id,command_name,base_state_name,pose_blend,type,state_group,category,start_blend_time,end_blend_time
51,byebye04,byebye04,0,0,0,0,2300,1600
52,byebye05,byebye05,1,0,2,0,2300,1600
53,byebye06,byebye06,1,0,2,0,2300,1600
54,byebye07,byebye07,1,0,2,0,2300,1600
55,check01,check01,0,0,0,0,2300,1600
56,check02,check02,0,0,0,0,2300,1600
57,check03,check03,0,0,0,0,2300,1600
58,check04,check04,0,0,0,0,2300,1600
59,check05,check05,0,0,0,0,2300,1600
60,check06,check06,0,0,0,0,2300,1600
61,check07,check07,0,0,0,0,2300,1600
62,check08,check08,0,0,0,0,2300,1600
63,check09,check09,0,0,0,0,2300,1600
64,check10,check10,0,0,0,0,2300,1600
65,check11,check11,1,0,2,0,2300,1600
66,clap01,clap01,1,0,2,0,2300,1600
67,clap02,clap02,1,0,2,0,2300,1600
68,clap03,clap03,1,0,2,0,2300,1600
69,clap04,clap04,1,0,2,0,2300,1600
70,clap05,clap05,1,0,2,0,2300,1600
71,come01,come01,1,0,2,0,2300,1600
72,come02,come02,1,0,2,0,2300,1600
73,come03,come03,1,0,2,0,2300,1600
74,come04,come04,1,0,2,0,2300,1600
75,come05,come05,1,0,2,0,2300,1600
76,count01,count01,1,0,2,0,2300,1600
77,cry01,cry01,1,0,2,0,2300,1600
78,cry02,cry02,1,0,2,0,2300,1600
79,cry03,cry03,1,0,2,0,2300,1600
80,cry04,cry04,1,0,2,0,2300,1600
81,cry05,cry05,1,0,2,0,2300,1600
82,cry06,cry06,1,0,2,0,2300,1600
83,cry07,cry07,1,0,2,0,2300,1600
84,cry08,cry08,1,0,2,0,2300,1600
85,cry09,cry09,1,0,2,0,2300,1600
86,cry10,cry10,1,0,2,0,2300,1600
87,cry11,cry11,0,0,0,0,2300,1600
88,dance01,dance01,1,0,2,0,2300,1600
89,dance02,dance02,1,0,2,0,2300,1600
90,dance03,dance03,1,0,2,0,2300,1600
91,dance04,dance04,1,0,2,0,2300,1600
92,dance05,dance05,1,0,2,0,2300,1600
93,dance06,dance06,1,0,2,0,2300,1600
94,dance07,dance07,0,0,0,0,2300,1600
95,dance08,dance08,1,0,2,0,2300,1600
96,dance09,dance09,1,0,2,0,2300,1600
97,dance10,dance10,1,0,2,0,2300,1600
98,dance11,dance11,1,0,2,0,2300,1600
99,dance12,dance12,1,0,2,0,2300,1600
100,dance13,dance13,1,0,2,0,2300,1600
101,dance14,dance14,1,0,2,0,2300,1600
102,dance15,dance15,1,0,2,0,2300,1600
103,dance16,dance16,1,0,2,0,2300,1600
104,dance17,dance17,1,0,2,0,2300,1600
105,dance18,dance18,1,0,2,0,2300,1600
106,dance19,dance19,1,0,2,0,2300,1600
107,fall01,fall01,1,0,2,0,2300,1600
108,fall02,fall02,1,0,2,0,2300,1600
109,fight01,fight01,1,0,2,0,2300,1600
110,fight02,fight02,1,0,2,0,2300,1600
111,fight03,fight03,1,0,2,0,2300,1600
112,fight04,fight04,1,0,2,0,2300,1600
113,fight05,fight05,1,0,2,0,2300,1600
114,fight06,fight06,1,0,2,0,2300,1600
115,fight07,fight07,1,0,2,0,2300,1600
116,fight08,fight08,1,0,2,0,2300,1600
117,fight09,fight09,1,0,2,0,2300,1600
118,fight10,fight10,1,0,2,0,2300,1600
119,fight11,fight11,1,0,2,0,2300,1600
120,fight12,fight12,1,0,2,0,2300,1600
121,fight13,fight13,1,0,2,0,2300,1600
122,fight14,fight14,1,0,2,0,2300,1600
123,gatts01,gatts01,1,0,2,0,2300,1600
124,gatts02,gatts02,1,0,2,0,2300,1600
125,gatts03,gatts03,1,0,2,0,2300,1600
126,gatts04,gatts04,1,0,2,0,2300,1600
127,gatts05,gatts05,1,0,2,0,2300,1600
128,gatts06,gatts06,1,0,2,0,2300,1600
129,gatts07,gatts07,0,0,0,0,2300,1600
130,getup01,getup01,0,0,0,0,2300,1600
131,goaway01,goaway01,0,0,0,0,2300,1600
132,good01,good01,1,0,2,0,2300,1600
133,good02,good02,1,0,2,0,2300,1600
134,good03,good03,1,0,2,0,2300,1600
135,guard01,guard01,0,0,0,0,2300,1600
136,guard02,guard02,1,0,2,0,2300,1600
137,guard03,guard03,1,0,2,0,2300,1600
138,guard04,guard04,1,0,2,0,2300,1600
139,guard05,guard05,1,0,2,0,2300,1600
140,handsup01,handsup01,1,0,2,0,2300,1600
141,handsup02,handsup02,1,0,2,0,2300,1600
142,handsup03,handsup03,1,0,2,0,2300,1600
143,happy01,happy01,1,0,2,0,2300,1600
144,happy02,happy02,1,0,2,0,2300,1600
145,happy03,happy03,1,0,2,0,2300,1600
146,happy04,happy04,1,0,2,0,2300,1600
147,happy05,happy05,1,0,2,0,2300,1600
148,hello01,hello01,0,0,0,0,2300,1600
149,hello02,hello02,0,0,0,0,2300,1600
150,hello03,hello03,1,0,2,0,2300,1600
151,hello04,hello04,1,0,2,0,2300,1600
152,hello05,hello05,1,0,2,0,2300,1600
153,hello06,hello06,1,0,2,0,2300,1600
154,hope01,hope01,1,0,2,0,2300,1600
155,hope02,hope02,1,0,2,0,2300,1600
156,hope03,hope03,1,0,2,0,2300,1600
157,hope04,hope04,1,0,2,0,2300,1600
158,hope05,hope05,1,0,2,0,2300,1600
159,hope06,hope06,1,0,2,0,2300,1600
160,hope07,hope07,1,0,2,0,2300,1600
161,hope08,hope08,1,0,2,0,2300,1600
162,hope09,hope09,1,0,2,0,2300,1600
163,hope10,hope10,1,0,2,0,2300,1600
164,hot01,hot01,1,0,2,0,2300,1600
165,hot02,hot02,1,0,2,0,2300,1600
166,hot03,hot03,1,0,2,0,2300,1600
167,hungry01,hungry01,1,0,2,0,2300,1600
168,hungry02,hungry02,1,0,2,0,2300,1600
169,hungry03,hungry03,1,0,2,0,2300,1600
170,hurry01,hurry01,1,0,2,0,2300,1600
171,hurry02,hurry02,0,0,0,0,2300,1600
172,hurry03,hurry03,0,0,0,0,2300,1600
173,idea01,idea01,1,0,2,0,2300,1600
174,idea02,idea02,1,0,2,0,2300,1600
175,idea03,idea03,1,0,2,0,2300,1600
176,ikaku01,ikaku01,1,0,2,0,2300,1600
177,ikaku02,ikaku02,1,0,2,0,2300,1600
178,ikaku03,ikaku03,1,0,2,0,2300,1600
179,ikaku04,ikaku04,1,0,2,0,2300,1600
180,janken01,janken01,1,0,2,0,2300,1600
181,janken02,janken02,1,0,2,0,2300,1600
182,janken03,janken03,1,0,2,0,2300,1600
183,janken04,janken04,1,0,2,0,2300,1600
184,joke01,joke01,1,0,2,0,2300,1600
185,joke02,joke02,1,0,2,0,2300,1600
186,joke03,joke03,1,0,2,0,2300,1600
187,joy01,joy01,1,0,2,0,2300,1600
188,joy02,joy02,1,0,2,0,2300,1600
189,joy03,joy03,1,0,2,0,2300,1600
190,joy04,joy04,1,0,2,0,2300,1600
191,joy05,joy05,1,0,2,0,2300,1600
192,joy06,joy06,1,0,2,0,2300,1600
193,joy07,joy07,1,0,2,0,2300,1600
194,joy08,joy08,1,0,2,0,2300,1600
195,kick01,kick01,0,0,0,0,2300,1600
196,kiss01,kiss01,1,0,2,0,2300,1600
197,kiss02,kiss02,1,0,2,0,2300,1600
198,kiss03,kiss03,1,0,2,0,2300,1600
199,koshiate01,koshiate01,1,0,2,0,2300,1600
200,koshiate02,koshiate02,1,0,2,0,2300,1600
201,koshiate03,koshiate03,1,0,2,0,2300,1600
202,koshiate04,koshiate04,1,0,2,0,2300,1600
203,koshiate05,koshiate05,1,0,2,0,2300,1600
204,koshiate06,koshiate06,1,0,2,0,2300,1600
205,koshiate07,koshiate07,0,0,0,0,2300,1600
206,koshiate08,koshiate08,1,0,2,0,2300,1600
207,koshiate09,koshiate09,1,0,2,0,2300,1600
208,koshiate10,koshiate10,1,0,2,0,2300,1600
209,kuchiate01,kuchiate01,1,0,2,0,2300,1600
210,kuchiate02,kuchiate02,1,0,2,0,2300,1600
211,kuchiate03,kuchiate03,1,0,2,0,2300,1600
212,kuchiate04,kuchiate04,1,0,2,0,2300,1600
213,kuchiate05,kuchiate05,1,0,2,0,2300,1600
214,laugh01,laugh01,1,0,2,0,2300,1600
215,laugh02,laugh02,1,0,2,0,2300,1600
216,laugh03,laugh03,1,0,2,0,2300,1600
217,laugh04,laugh04,1,0,2,0,2300,1600
218,laugh05,laugh05,1,0,2,0,2300,1600
219,laugh06,laugh06,1,0,2,0,2300,1600
220,laugh07,laugh07,1,0,2,0,2300,1600
221,laugh08,laugh08,1,0,2,0,2300,1600
222,muneate01,muneate01,1,0,2,0,2300,1600
223,muneate02,muneate02,1,0,2,0,2300,1600
224,muneate03,muneate03,1,0,2,0,2300,1600
225,muneate04,muneate04,1,0,2,0,2300,1600
226,muneate05,muneate05,1,0,2,0,2300,1600
227,muneate06,muneate06,1,0,2,0,2300,1600
228,muneate07,muneate07,1,0,2,0,2300,1600
229,muneate08,muneate08,1,0,2,0,2300,1600
230,muneate09,muneate09,1,0,2,0,2300,1600
231,muneate10,muneate10,1,0,2,0,2300,1600
232,muscle01,muscle01,1,0,2,0,2300,1600
233,muscle02,muscle02,1,0,2,0,2300,1600
234,near01,near01,1,0,2,0,2300,1600
235,near02,near02,1,0,2,0,2300,1600
236,near03,near03,1,0,2,0,2300,1600
237,near04,near04,1,0,2,0,2300,1600
238,near05,near05,1,0,2,0,2300,1600
239,near06,near06,1,0,2,0,2300,1600
240,near07,near07,1,0,2,0,2300,1600
241,near08,near08,1,0,2,0,2300,1600
242,near09,near09,1,0,2,0,2300,1600
243,near10,near10,1,0,2,0,2300,1600
244,neckup01,neckup01,1,0,2,0,2300,1600
245,neckup02,neckup02,1,0,2,0,2300,1600
246,neckup03,neckup03,1,0,2,0,2300,1600
247,ng01,ng01,1,0,2,0,2300,1600
248,ng02,ng02,1,0,2,0,2300,1600
249,ng03,ng03,0,0,0,0,2300,1600
250,ng04,ng04,0,0,0,0,2300,1600
251,ng05,ng05,1,0,2,0,2300,1600
252,ng06,ng06,0,0,0,0,2300,1600
253,ng07,ng07,1,0,2,0,2300,1600
254,oh01,oh01,0,0,0,0,2300,1600
255,oh02,oh02,0,0,0,0,2300,1600
256,oh03,oh03,0,0,0,0,2300,1600
257,oh04,oh04,0,0,0,0,2300,1600
258,oh05,oh05,1,0,2,0,2300,1600
259,oh06,oh06,1,0,2,0,2300,1600
260,oh07,oh07,1,0,2,0,2300,1600
261,oh08,oh08,1,0,2,0,2300,1600
262,oh09,oh09,1,0,2,0,2300,1600
263,oh10,oh10,1,0,2,0,2300,1600
264,oh11,oh11,1,0,2,0,2300,1600
265,oh12,oh12,1,0,2,0,2300,1600
266,oh13,oh13,1,0,2,0,2300,1600
267,oh14,oh14,1,0,2,0,2300,1600
268,ok01,ok01,1,0,2,0,2300,1600
269,ok02,ok02,1,0,2,0,2300,1600
270,pain01,pain01,1,0,2,0,2300,1600
271,pain02,pain02,1,0,2,0,2300,1600
272,pain03,pain03,1,0,2,0,2300,1600
273,pain04,pain04,1,0,2,0,2300,1600
274,pain05,pain05,1,0,2,0,2300,1600
275,peace01,peace01,1,0,2,0,2300,1600
276,peace02,peace02,1,0,2,0,2300,1600
277,peace03,peace03,1,0,2,0,2300,1600
278,point01,point01,1,0,2,0,2300,1600
279,point02,point02,1,0,2,0,2300,1600
280,point03,point03,1,0,2,0,2300,1600
281,point04,point04,1,0,2,0,2300,1600
282,point05,point05,1,0,2,0,2300,1600
283,point06,point06,1,0,2,0,2300,1600
284,point07,point07,1,0,2,0,2300,1600
285,point08,point08,1,0,2,0,2300,1600
286,point09,point09,1,0,2,0,2300,1600
287,point10,point10,1,0,2,0,2300,1600
288,point11,point11,0,0,0,0,2300,1600
289,point12,point12,1,0,2,0,2300,1600
290,pose01,pose01,0,0,0,0,2300,1600
291,pose02,pose02,1,0,2,0,2300,1600
292,pose03,pose03,1,0,2,0,2300,1600
293,pose04,pose04,1,0,2,0,2300,1600
294,pose05,pose05,0,0,0,0,2300,1600
295,pose06,pose06,1,0,2,0,2300,1600
296,pose07,pose07,1,0,2,0,2300,1600
297,pose08,pose08,1,0,2,0,2300,1600
298,pose09,pose09,1,0,2,0,2300,1600
299,pose10,pose10,1,0,2,0,2300,1600
300,pose11,pose11,1,0,2,0,2300,1600
301,pose12,pose12,1,0,2,0,2300,1600
302,punch01,punch01,1,0,2,0,2300,1600
303,punch02,punch02,1,0,2,0,2300,1600
304,punch03,punch03,1,0,2,0,2300,1600
305,punch04,punch04,0,0,0,0,2300,1600
306,punch05,punch05,1,0,2,0,2300,1600
307,quiet01,quiet01,1,0,2,0,2300,1600
308,quiet02,quiet02,1,0,2,0,2300,1600
309,quiet03,quiet03,1,0,2,0,2300,1600
310,quiet04,quiet04,1,0,2,0,2300,1600
311,request01,request01,1,0,2,0,2300,1600
312,request02,request02,1,0,2,0,2300,1600
313,sad01,sad01,1,0,2,0,2300,1600
314,sad02,sad02,1,0,2,0,2300,1600
315,salute01,salute01,1,0,2,0,2300,1600
316,salute02,salute02,1,0,2,0,2300,1600
317,see01,see01,1,0,2,0,2300,1600
318,see02,see02,1,0,2,0,2300,1600
319,see03,see03,1,0,2,0,2300,1600
320,see04,see04,1,0,2,0,2300,1600
321,see05,see05,0,0,0,0,2300,1600
322,see06,see06,0,0,0,0,2300,1600
323,see07,see07,0,0,0,0,2300,1600
324,see08,see08,0,0,0,0,2300,1600
325,see09,see09,0,0,0,0,2300,1600
326,see10,see10,1,0,2,0,2300,1600
327,send01,send01,1,0,2,0,2300,1600
328,send02,send02,1,0,2,0,2300,1600
329,send03,send03,1,0,2,0,2300,1600
330,send04,send04,1,0,2,0,2300,1600
331,send05,send05,1,0,2,0,2300,1600
332,send06,send06,1,0,2,0,2300,1600
333,send07,send07,1,0,2,0,2300,1600
334,send08,send08,1,0,2,0,2300,1600
335,set01,set01,1,0,2,0,2300,1600
336,set02,set02,1,0,2,0,2300,1600
337,shake01,shake01,1,0,2,0,2300,1600
338,shake02,shake02,1,0,2,0,2300,1600
339,shake03,shake03,1,0,2,0,2300,1600
340,shake04,shake04,1,0,2,0,2300,1600
341,shake05,shake05,1,0,2,0,2300,1600
342,shake06,shake06,1,0,2,0,2300,1600
343,shock01,shock01,1,0,2,0,2300,1600
344,shock02,shock02,1,0,2,0,2300,1600
345,shock03,shock03,1,0,2,0,2300,1600
346,shock04,shock04,1,0,2,0,2300,1600
347,shock05,shock05,1,0,2,0,2300,1600
348,shock06,shock06,1,0,2,0,2300,1600
349,shock07,shock07,1,0,2,0,2300,1600
350,shock08,shock08,1,0,2,0,2300,1600
351,shy01,shy01,1,0,2,0,2300,1600
352,shy02,shy02,1,0,2,0,2300,1600
353,shy03,shy03,1,0,2,0,2300,1600
354,shy04,shy04,1,0,2,0,2300,1600
355,shy05,shy05,1,0,2,0,2300,1600
356,shy06,shy06,1,0,2,0,2300,1600
357,shy07,shy07,1,0,2,0,2300,1600
358,shy08,shy08,1,0,2,0,2300,1600
359,shy09,shy09,1,0,2,0,2300,1600
360,sleep01,sleep01,1,0,2,0,2300,1600
361,sleep02,sleep02,1,0,2,0,2300,1600
362,sleep03,sleep03,1,0,2,0,2300,1600
363,sleep04,sleep04,0,0,0,0,2300,1600
364,sleep05,sleep05,0,0,0,0,2300,1600
365,smell01,smell01,1,0,2,0,2300,1600
366,sneeze01,sneeze01,0,0,0,0,2300,1600
367,soppo01,soppo01,1,0,2,0,2300,1600
368,soppo02,soppo02,1,0,2,0,2300,1600
369,soppo03,soppo03,1,0,2,0,2300,1600
370,soppo04,soppo04,1,0,2,0,2300,1600
371,soppo05,soppo05,1,0,2,0,2300,1600
372,soppo06,soppo06,1,0,2,0,2300,1600
373,soppo07,soppo07,1,0,2,0,2300,1600
374,soppo08,soppo08,1,0,2,0,2300,1600
375,soppo09,soppo09,1,0,2,0,2300,1600
376,soppo10,soppo10,1,0,2,0,2300,1600
377,soppo11,soppo11,1,0,2,0,2300,1600
378,soppo12,soppo12,1,0,2,0,2300,1600
379,sorry01,sorry01,1,0,2,0,2300,1600
380,sorry02,sorry02,1,0,2,0,2300,1600
381,stop01,stop01,1,0,2,0,2300,1600
382,stretch01,stretch01,0,0,0,0,2300,1600
383,stretch02,stretch02,0,0,0,0,2300,1600
384,stretch03,stretch03,0,0,0,0,2300,1600
385,stretch04,stretch04,0,0,0,0,2300,1600
386,stretch05,stretch05,0,0,0,0,2300,1600
387,stretch06,stretch06,1,0,2,0,2300,1600
388,stretch07,stretch07,1,0,2,0,2300,1600
389,stretch08,stretch08,1,0,2,0,2300,1600
390,stretch09,stretch09,1,0,2,0,2300,1600
391,stretch10,stretch10,1,0,2,0,2300,1600
392,stretch11,stretch11,1,0,2,0,2300,1600
393,stretch12,stretch12,1,0,2,0,2300,1600
394,stretch13,stretch13,0,0,2,0,2300,1600
395,stretch14,stretch14,1,0,2,0,2300,1600
396,stretch15,stretch15,1,0,2,0,2300,1600
397,stretch16,stretch16,1,0,2,0,2300,1600
398,stretch17,stretch17,1,0,2,0,2300,1600
399,stretch18,stretch18,1,0,2,0,2300,1600
400,stretch19,stretch19,1,0,2,0,2300,1600
401,stretch20,stretch20,0,0,0,0,2300,1600
402,stretch21,stretch21,1,0,2,0,2300,1600
403,sudachi01,sudachi01,1,0,2,0,2300,1600
404,sudachi02,sudachi02,1,0,2,0,2300,1600
405,sudachi03,sudachi03,1,0,2,0,2300,1600
406,sudachi04,sudachi04,1,0,2,0,2300,1600
407,sudachi05,sudachi05,1,0,2,0,2300,1600
408,surprise01,surprise01,1,0,2,0,2300,1600
409,surprise02,surprise02,1,0,2,0,2300,1600
410,surprise03,surprise03,1,0,2,0,2300,1600
411,surprise04,surprise04,1,0,2,0,2300,1600
412,surprise05,surprise05,1,0,2,0,2300,1600
413,surprise06,surprise06,1,0,2,0,2300,1600
414,surprise07,surprise07,1,0,2,0,2300,1600
415,surprise08,surprise08,1,0,2,0,2300,1600
416,surprise09,surprise09,1,0,2,0,2300,1600
417,surprise10,surprise10,1,0,2,0,2300,1600
418,surprise11,surprise11,1,0,2,0,2300,1600
419,surprise12,surprise12,1,0,2,0,2300,1600
420,swing01,swing01,1,0,2,0,2300,1600
421,swing02,swing02,1,0,2,0,2300,1600
422,swing03,swing03,1,0,2,0,2300,1600
423,tekumi01,tekumi01,1,0,2,0,2300,1600
424,tekumi02,tekumi02,1,0,2,0,2300,1600
425,tekumi03,tekumi03,1,0,2,0,2300,1600
426,tekumi04,tekumi04,1,0,2,0,2300,1600
427,tekumi05,tekumi05,1,0,2,0,2300,1600
428,tekumi06,tekumi06,1,0,2,0,2300,1600
429,think01,think01,1,0,2,0,2300,1600
430,think02,think02,1,0,2,0,2300,1600
431,think03,think03,1,0,2,0,2300,1600
432,think04,think04,1,0,2,0,2300,1600
433,think05,think05,1,0,2,0,2300,1600
434,think06,think06,1,0,2,0,2300,1600
435,think07,think07,1,0,2,0,2300,1600
436,think08,think08,1,0,2,0,2300,1600
437,think09,think09,1,0,2,0,2300,1600
438,think10,think10,1,0,2,0,2300,1600
439,think11,think11,1,0,2,0,2300,1600
440,tired01,tired01,1,0,2,0,2300,1600
441,tired02,tired02,1,0,2,0,2300,1600
442,tired03,tired03,1,0,2,0,2300,1600
443,tired04,tired04,1,0,2,0,2300,1600
444,tired05,tired05,1,0,2,0,2300,1600
445,tired06,tired06,1,0,2,0,2300,1600
446,turn01,turn01,0,0,0,0,2300,1600
447,turn02,turn02,0,0,0,0,2300,1600
448,turn03,turn03,0,0,0,0,2300,1600
449,turn04,turn04,0,0,0,0,2300,1600
450,turn05,turn05,0,0,0,0,2300,1600
451,turn06,turn06,0,0,0,0,2300,1600
452,turn07,turn07,0,0,0,0,2300,1600
453,udekumi01,udekumi01,1,0,2,0,2300,1600
454,udekumi02,udekumi02,1,0,2,0,2300,1600
455,udekumi03,udekumi03,1,0,2,0,2300,1600
456,udekumi04,udekumi04,1,0,2,0,2300,1600
457,udekumi05,udekumi05,1,0,2,0,2300,1600
458,udekumi06,udekumi06,1,0,2,0,2300,1600
459,udekumi07,udekumi07,1,0,2,0,2300,1600
460,yell01,yell01,1,0,2,0,2300,1600
461,yell02,yell02,1,0,2,0,2300,1600
462,yell03,yell03,1,0,2,0,2300,1600
463,jumpin01,jumpin01,1,0,2,0,2300,1600
464,runin01,runin01,0,0,0,0,2300,1600
465,runin02,runin02,0,0,0,0,2300,1600
466,runin03,runin03,0,0,0,0,2300,1600
467,runin04,runin04,0,0,0,0,2300,1600
468,runin05,runin05,0,0,0,0,2300,1600
469,runin06,runin06,1,0,2,0,2300,1600
470,runin07,runin07,0,0,0,0,2300,1600
471,runout01,runout01,0,0,0,0,2300,1600
472,runout02,runout02,0,0,0,0,2300,1600
473,runout03,runout03,0,0,0,0,2300,1600
474,runout04,runout04,0,0,0,0,2300,1600
475,runout05,runout05,0,0,0,0,2300,1600
476,runout06,runout06,0,0,0,0,2300,1600
477,runout07,runout07,0,0,0,0,2300,1600
478,runout08,runout08,0,0,0,0,2300,1600
479,skipin01,skipin01,0,0,0,0,2300,1600
480,skip01,skip01,0,0,4,0,2300,1600
481,topin01,topin01,1,0,2,0,2300,1600
482,walk01,walk01,0,0,4,0,2300,1600
483,walkin01,walkin01,0,0,0,0,2300,1600
484,walkin02,walkin02,0,0,0,0,2300,1600
485,walkin03,walkin03,0,0,0,0,2300,1600
486,walkin04,walkin04,0,0,0,0,2300,1600
487,walkin05,walkin05,0,0,0,0,2300,1600
488,walkin06,walkin06,0,0,0,0,2300,1600
489,walkout01,walkout01,0,0,0,0,2300,1600
490,walkout02,walkout02,0,0,0,0,2300,1600
491,walkout03,walkout03,0,0,0,0,2300,1600
492,walkout04,walkout04,0,0,0,0,2300,1600
493,walkout05,walkout05,0,0,0,0,2300,1600
494,walkout06,walkout06,0,0,0,0,2300,1600
495,walkout07,walkout07,0,0,0,0,2300,1600
496,walkunique01,walkunique01,0,0,4,0,2300,1600
497,walkunique02,walkunique02,0,0,4,0,2300,1600
499,crouch01,crouch01,1,0,2,0,2300,1600
500,walk02,walk02,0,0,4,0,2300,1600
501,walk03,walk03,0,0,4,0,2300,1600
502,run01,run01,0,0,4,0,2300,1600
503,run02,run02,0,0,4,0,2300,1600
504,run03,run03,0,0,4,0,2300,1600
505,run04,run04,0,0,4,0,2300,1600
506,run05,run05,0,0,4,0,2300,1600
507,run06,run06,0,0,4,0,2300,1600
508,run07,run07,0,0,4,0,2300,1600
509,run08,run08,0,0,4,0,2300,1600
510,book01,book01,1,0,2,0,2300,1600
511,book02,book02,1,0,2,0,2300,1600
512,book03,book03,1,0,2,0,2300,1600
513,book04,book04,1,0,2,0,2300,1600
514,drink01,drink01,1,0,2,0,2300,1600
515,drinklong01,drinklong01,1,0,2,0,2300,1600
516,drink02,drink02,1,0,2,0,2300,1600
517,drinklong02,drinklong02,1,0,2,0,2300,1600
518,drink03,drink03,1,0,2,0,2300,1600
519,drinklong03,drinklong03,1,0,2,0,2300,1600
520,phoneend01,phoneend01,0,0,2,0,2300,1600
521,phonelook01,phonelook01,1,0,2,0,2300,1600
522,phoneplay01,phoneplay01,1,0,2,0,2300,1600
523,phoneselfie01,phoneselfie01,1,0,2,0,2300,1600
524,phonetalk01,phonetalk01,1,0,2,0,2300,1600
525,phonestart01,phonestart01,0,0,2,0,2300,1600
526,phoneend02,phoneend02,0,0,2,0,2300,1600
527,phonelook02,phonelook02,1,0,2,0,2300,1600
528,phoneplay02,phoneplay02,0,0,2,0,2300,1600
529,phoneselfie02,phoneselfie02,1,0,2,0,2300,1600
530,phonetalk02,phonetalk02,1,0,2,0,2300,1600
531,phonestart02,phonestart02,0,0,2,0,2300,1600
532,phoneend03,phoneend03,0,0,2,0,2300,1600
533,phonelook03,phonelook03,1,0,2,0,2300,1600
534,phoneplay03,phoneplay03,0,0,2,0,2300,1600
535,phonetalk03,phonetalk03,1,0,2,0,2300,1600
536,phonestart03,phonestart03,0,0,2,0,2300,1600
537,phonelook04,phonelook04,1,0,2,0,2300,1600
538,phonelook05,phonelook05,1,0,2,0,2300,1600
539,phonelook06,phonelook06,1,0,2,0,2300,1600
544,present01,present01,1,0,2,0,2300,1600
545,present02,present02,1,0,2,0,2300,1600
546,turnL,turnL,0,0,0,0,2300,1600
547,turnR,turnR,0,0,0,0,2300,1600
548,walkback01,walkback01,0,0,4,0,2300,1600
549,walkside01,walkside01,0,0,0,0,2300,1600
550,hit01,hit01,0,0,2,0,2300,1600
551,hit02,hit02,0,0,2,0,2300,1600
552,diarylook01,diarylook01,1,0,2,0,2300,1600
553,diaryslide01,diaryslide01,0,0,4,0,2300,1600
554,letterlook01,letterlook01,1,0,2,0,2300,1600
555,eartouch01,eartouch01,1,0,2,0,2300,1600
556,eartouch02,eartouch02,1,0,2,0,2300,1600
557,speech01,speech01,1,0,2,0,2300,1600
558,speech02,speech02,1,0,2,0,2300,1600
559,speech03,speech03,1,0,2,0,2300,1600
560,speech04,speech04,1,0,2,0,2300,1600
561,brush01,brush01,1,0,2,0,2300,1600
562,brush02,brush02,1,0,2,0,2300,1600
563,brush03,brush03,1,0,2,0,2300,1600
565,talk01,talk01,0,0,2,0,2300,1600
566,talk02,talk02,0,0,2,0,2300,1600
567,talk03,talk03,0,0,2,0,2300,1600
568,talk04,talk04,0,0,2,0,2300,1600
569,talk05,talk05,0,0,2,0,2300,1600
