id,chara_id,program_group,program_group_2
224,1010,400,0
225,1011,400,0
226,1012,400,0
227,1013,400,0
228,1014,400,0
229,1015,400,0
230,1016,402,400
231,1017,400,0
232,1018,400,0
233,1019,400,0
234,1020,400,0
235,1021,400,0
236,1022,400,0
237,1024,400,0
238,1025,400,0
239,1026,400,0
240,1027,400,0
241,1028,400,0
242,1029,400,0
243,1030,400,0
244,1031,400,0
245,1032,400,0
246,1033,400,0
247,1034,400,0
248,1035,400,0
249,1036,400,0
250,1037,400,0
251,1038,400,0
252,1039,400,0
253,1040,400,0
254,1041,400,0
255,1042,400,0
256,1043,400,0
257,1044,400,0
258,1045,400,0
259,1046,400,0
260,1047,400,0
261,1048,400,0
262,1049,400,0
263,1050,401,400
264,1051,400,0
265,1052,400,0
266,1053,400,0
267,1054,400,0
268,1055,400,0
269,1056,400,0
270,1057,400,0
271,1058,400,0
272,1059,400,0
273,1060,400,0
274,1061,400,0
275,1023,401,400
276,1038,1038,0
277,1050,1008,0
278,1046,1010,0
279,1016,1016,0
280,1016,403,400
281,1001,500,0
282,1002,500,0
283,1003,500,0
284,1004,500,0
285,1005,500,0
286,1006,500,0
287,1007,500,0
288,1008,500,0
289,1009,500,0
290,1010,500,0
291,1011,500,0
292,1012,500,0
293,1013,500,0
294,1014,500,0
295,1015,500,0
296,1016,501,500
297,1016,502,500
298,1016,503,500
299,1017,500,0
300,1018,500,0
301,1019,500,0
302,1020,500,0
303,1021,500,0
304,1022,500,0
305,1023,500,0
306,1024,500,0
307,1025,500,0
308,1026,500,0
309,1027,500,0
310,1028,500,0
311,1029,500,0
312,1030,500,0
313,1031,500,0
314,1032,500,0
315,1033,500,0
316,1034,500,0
317,1035,500,0
318,1036,500,0
319,1037,500,0
320,1038,500,0
321,1039,500,0
322,1040,500,0
323,1041,500,0
324,1042,500,0
325,1043,500,0
326,1044,500,0
327,1045,500,0
328,1046,500,0
329,1047,500,0
330,1048,500,0
331,1049,500,0
332,1050,500,0
333,1051,500,0
334,1052,500,0
335,1053,500,0
336,1054,500,0
337,1055,500,0
338,1056,500,0
339,1057,500,0
340,1058,500,0
341,1059,500,0
342,1060,500,0
343,1061,500,0
344,1001,600,0
345,1002,600,0
346,1003,600,0
347,1004,600,0
348,1005,600,0
349,1006,600,0
350,1007,600,0
351,1008,600,0
352,1009,600,0
353,1010,600,0
354,1011,600,0
355,1012,600,0
356,1013,600,0
357,1014,600,0
358,1015,600,0
359,1016,601,600
360,1016,602,600
361,1016,603,600
362,1017,600,0
363,1018,600,0
364,1019,600,0
365,1020,600,0
366,1021,600,0
367,1022,600,0
368,1023,600,0
369,1024,600,0
370,1025,600,0
371,1026,600,0
372,1027,600,0
373,1028,600,0
374,1029,600,0
375,1030,600,0
376,1031,600,0
377,1032,600,0
378,1033,600,0
379,1034,600,0
380,1035,600,0
381,1036,600,0
382,1037,600,0
383,1038,600,0
384,1039,600,0
385,1040,600,0
386,1041,600,0
387,1042,600,0
388,1043,600,0
389,1044,600,0
390,1045,600,0
391,1046,600,0
392,1047,600,0
393,1048,600,0
394,1049,600,0
395,1050,600,0
396,1051,600,0
397,1052,600,0
398,1053,600,0
399,1054,600,0
400,1055,600,0
401,1056,600,0
402,1057,600,0
403,1058,600,0
404,1059,600,0
405,1060,600,0
406,1061,600,0
407,1001,700,0
408,1002,700,0
409,1003,700,0
410,1004,700,0
411,1005,700,0
412,1006,700,0
413,1007,700,0
414,1008,700,0
415,1009,700,0
416,1010,700,0
417,1011,700,0
418,1012,700,0
419,1013,700,0
420,1014,700,0
421,1015,700,0
422,1016,701,700
423,1016,702,700
424,1016,703,700
425,1017,700,0
426,1018,700,0
427,1019,700,0
428,1020,700,0
429,1021,700,0
430,1022,700,0
431,1023,700,0
432,1024,700,0
433,1025,700,0
434,1026,700,0
435,1027,700,0
436,1028,700,0
437,1029,700,0
438,1030,700,0
439,1031,700,0
440,1032,700,0
441,1033,700,0
442,1034,700,0
443,1035,700,0
444,1036,700,0
445,1037,700,0
446,1038,700,0
447,1039,700,0
448,1040,700,0
449,1041,700,0
450,1042,700,0
451,1043,700,0
452,1044,700,0
453,1045,700,0
454,1046,700,0
455,1047,700,0
456,1048,700,0
457,1049,700,0
458,1050,700,0
459,1051,700,0
460,1052,700,0
461,1053,700,0
462,1054,700,0
463,1055,700,0
464,1056,700,0
465,1057,700,0
466,1058,700,0
467,1059,700,0
468,1060,700,0
469,1061,700,0
470,1020,1004,0
471,1012,101201,0
472,1005,100501,0
473,1040,104001,0
474,1058,1006,0
475,1037,1013,0
476,1001,800,0
477,1002,800,0
478,1003,800,0
479,1004,800,0
480,1005,800,0
481,1006,800,0
482,1007,800,0
483,1008,800,0
484,1009,800,0
485,1010,800,0
486,1011,800,0
487,1012,800,0
488,1013,800,0
489,1014,800,0
490,1015,800,0
491,1016,800,0
492,1017,800,0
493,1018,800,0
494,1019,800,0
495,1020,800,0
496,1021,800,0
497,1022,800,0
498,1023,800,0
499,1024,800,0
500,1025,800,0
501,1026,800,0
502,1027,800,0
503,1028,800,0
504,1029,800,0
505,1030,800,0
506,1031,800,0
507,1032,800,0
508,1033,800,0
509,1034,800,0
510,1035,800,0
511,1036,800,0
512,1037,801,800
513,1038,800,0
514,1039,800,0
515,1040,800,0
516,1041,800,0
517,1042,800,0
518,1043,800,0
519,1044,800,0
520,1045,800,0
521,1046,800,0
522,1047,800,0
523,1048,800,0
524,1049,800,0
525,1050,800,0
526,1051,800,0
527,1052,800,0
528,1053,800,0
529,1054,800,0
530,1055,800,0
531,1056,800,0
532,1057,800,0
533,1058,800,0
534,1059,800,0
535,1060,800,0
536,1061,800,0
537,1028,102801,0
538,1019,1010,0
539,1039,1012,0
540,1025,1011,0
541,1048,1006,0
542,1059,100501,0
543,1022,1013,0
544,1021,1013,0
545,1069,1016,0
546,1062,100,0
547,1063,100,0
548,1064,100,0
549,1065,100,0
550,1066,100,0
551,1067,100,0
552,1068,100,0
553,1069,100,0
554,1070,100,0
555,1071,100,0
556,1072,100,0
557,1062,200,0
558,1063,200,0
559,1064,200,0
560,1065,200,0
561,1066,200,0
562,1067,200,0
563,1068,200,0
564,1069,200,0
565,1070,200,0
566,1071,200,0
567,1072,200,0
568,1062,300,0
569,1063,300,0
570,1064,300,0
571,1065,300,0
572,1066,300,0
573,1067,300,0
574,1068,300,0
575,1069,300,0
576,1070,300,0
577,1071,300,0
578,1072,300,0
579,1062,400,0
580,1063,400,0
581,1064,400,0
582,1065,400,0
583,1066,400,0
584,1067,400,0
585,1068,400,0
586,1069,400,0
587,1070,400,0
588,1071,400,0
589,1072,400,0
590,1062,500,0
591,1063,500,0
592,1064,500,0
593,1065,500,0
594,1066,500,0
595,1067,500,0
596,1068,500,0
597,1069,500,0
598,1070,500,0
600,1072,500,0
601,1062,600,0
602,1063,600,0
603,1064,600,0
604,1065,600,0
605,1066,600,0
606,1067,600,0
607,1068,600,0
608,1069,600,0
609,1070,600,0
610,1071,600,0
611,1072,600,0
612,1062,700,0
613,1063,700,0
614,1064,700,0
615,1065,700,0
616,1066,700,0
617,1067,700,0
618,1068,700,0
619,1069,700,0
620,1070,700,0
621,1071,700,0
622,1072,700,0
623,1062,800,0
624,1063,800,0
625,1064,800,0
626,1065,800,0
627,1066,800,0
628,1067,800,0
629,1068,800,0
630,1069,800,0
631,1070,800,0
632,1071,800,0
633,1072,800,0
634,1001,900,0
635,1002,900,0
636,1003,900,0
637,1004,900,0
638,1005,900,0
639,1006,900,0
640,1007,900,0
641,1008,900,0
642,1009,900,0
643,1010,900,0
644,1011,900,0
645,1012,900,0
646,1013,900,0
647,1014,900,0
648,1015,900,0
649,1016,900,0
650,1017,900,0
651,1018,900,0
652,1019,900,0
653,1020,900,0
654,1021,900,0
655,1022,900,0
656,1023,900,0
657,1024,900,0
658,1025,900,0
659,1026,900,0
660,1027,900,0
661,1028,900,0
662,1029,900,0
663,1030,900,0
664,1031,900,0
665,1032,900,0
666,1033,900,0
667,1034,900,0
668,1035,900,0
669,1036,900,0
670,1037,900,0
671,1038,900,0
672,1039,900,0
673,1040,900,0
674,1041,900,0
675,1042,900,0
676,1043,900,0
677,1044,900,0
678,1045,900,0
679,1046,900,0
680,1047,900,0
681,1048,900,0
682,1049,900,0
683,1050,900,0
684,1051,900,0
685,1052,900,0
686,1053,900,0
687,1054,900,0
688,1055,900,0
689,1056,900,0
691,1058,900,0
692,1059,900,0
693,1060,900,0
694,1061,900,0
695,1062,900,0
696,1063,900,0
697,1064,900,0
698,1065,900,0
699,1066,900,0
700,1067,900,0
701,1068,900,0
702,1069,901,900
703,1070,900,0
704,1071,901,900
705,1072,901,900
706,1071,107101,0
707,1033,1006,0
708,1062,1001,0
709,1068,1011,0
710,1067,1006,0
711,1074,1006,0
712,1074,100,0
713,1074,200,0
714,1074,300,0
715,1074,400,0
716,1074,500,0
717,1074,600,0
718,1074,704,700
719,1074,705,700
720,1074,800,0
721,1074,900,0
722,1051,105101,0
723,1072,1013,0
724,1031,101201,0
725,1031,102,100
726,1031,101,100
727,1064,1006,0
728,1034,103401,0
729,1001,2000,0
730,1002,2000,0
731,1003,2000,0
732,1004,2000,0
733,1005,2000,0
734,1006,2000,0
735,1007,2000,0
736,1008,2000,0
737,1009,2000,0
738,1010,2000,0
739,1011,2000,0
740,1012,2000,0
741,1013,2000,0
742,1014,2000,0
743,1015,2000,0
744,1016,2000,0
745,1017,2000,0
746,1018,2000,0
747,1019,2000,0
748,1020,2000,0
749,1021,2000,0
750,1022,2000,0
751,1023,2000,0
752,1024,2000,0
753,1025,2000,0
754,1026,2000,0
755,1027,2000,0
756,1028,2000,0
757,1029,2000,0
758,1030,2000,0
759,1031,2000,0
760,1032,2000,0
761,1033,2000,0
762,1034,2001,2000
763,1035,2000,0
764,1036,2000,0
765,1037,2000,0
766,1038,2000,0
767,1039,2000,0
768,1040,2000,0
769,1041,2000,0
770,1042,2000,0
771,1043,2000,0
772,1044,2000,0
773,1045,2000,0
774,1046,2000,0
775,1047,2000,0
776,1048,2000,0
777,1049,2000,0
778,1050,2000,0
779,1051,2000,0
780,1052,2000,0
781,1053,2000,0
782,1054,2000,0
783,1055,2000,0
784,1056,2000,0
785,1057,2000,0
786,1058,2000,0
787,1059,2000,0
788,1060,2000,0
789,1061,2000,0
790,1062,2000,0
791,1063,2000,0
792,1064,2000,0
793,1065,2000,0
794,1066,2000,0
795,1067,2000,0
796,1068,2000,0
797,1069,2000,0
798,1070,2000,0
799,1071,2000,0
800,1072,2000,0
801,1074,2000,0
802,1044,1005,0
803,1036,1011,0
804,1053,105301,0
805,1001,2100,0
806,1002,2100,0
807,1003,2100,0
808,1004,2100,0
809,1005,2100,0
810,1006,2100,0
811,1007,2100,0
812,1008,2100,0
813,1009,2100,0
814,1010,2100,0
815,1011,2100,0
816,1012,2100,0
817,1013,2100,0
818,1014,2100,0
819,1015,2100,0
820,1016,2100,0
821,1017,2100,0
822,1018,2100,0
823,1019,2100,0
824,1020,2100,0
825,1021,2100,0
826,1022,2100,0
827,1023,2100,0
828,1024,2100,0
829,1025,2100,0
830,1026,2100,0
831,1027,2100,0
832,1028,2100,0
833,1029,2100,0
834,1030,2100,0
835,1031,2100,0
836,1032,2100,0
837,1033,2100,0
838,1034,2100,0
839,1035,2100,0
840,1036,2100,0
841,1037,2100,0
842,1038,2100,0
843,1039,2100,0
844,1040,2100,0
845,1041,2100,0
846,1042,2100,0
847,1043,2100,0
848,1044,2100,0
849,1045,2100,0
850,1046,2101,2100
851,1047,2100,0
852,1048,2100,0
853,1049,2100,0
854,1050,2100,0
855,1051,2100,0
856,1052,2100,0
857,1053,2100,0
858,1054,2100,0
859,1055,2100,0
860,1056,2100,0
861,1057,2100,0
862,1058,2100,0
863,1059,2100,0
864,1060,2100,0
865,1061,2100,0
866,1062,2100,0
867,1063,2100,0
868,1064,2100,0
869,1065,2100,0
870,1066,2100,0
871,1067,2100,0
872,1068,2100,0
873,1069,2100,0
874,1070,2100,0
875,1071,2100,0
876,1072,2100,0
877,1074,2100,0
878,1098,109801,0
879,1098,100,0
880,1098,200,0
881,1098,300,0
882,1098,400,0
883,1098,500,0
884,1098,600,0
885,1098,700,0
886,1098,800,0
887,1098,900,0
888,1098,2000,0
889,1098,2100,0
890,1029,101201,0
891,1042,104201,0
892,1087,104201,0
893,1087,100,0
894,1087,200,0
895,1087,300,0
896,1087,400,0
897,1087,500,0
898,1087,600,0
899,1087,700,0
900,1087,800,0
901,1087,900,0
902,1087,2000,0
903,1087,2100,0
904,1078,1002,0
905,1078,100,0
906,1078,200,0
907,1078,300,0
908,1078,400,0
909,1078,500,0
910,1078,600,0
911,1078,700,0
912,1078,800,0
913,1078,900,0
914,1078,2000,0
915,1078,2100,0
916,1049,1011,0
917,1100,110001,0
918,1100,100,0
919,1100,200,0
920,1100,300,0
921,1100,400,0
922,1100,500,0
923,1100,600,0
924,1100,700,0
925,1100,800,0
926,1100,900,0
927,1100,2000,0
928,1100,2100,0
929,1047,1004,0
930,1099,110001,0
931,1099,100,0
932,1099,200,0
933,1099,300,0
934,1099,400,0
935,1099,500,0
936,1099,600,0
937,1099,700,0
938,1099,800,0
939,1099,900,0
940,1099,2000,0
941,1099,2100,0
942,1065,106501,0
943,1043,1010,0
944,1066,1003,0
945,1057,1011,0
946,1057,902,900
947,1057,202,200
948,1001,2200,0
949,1002,2200,0
950,1003,2200,0
951,1004,2200,0
952,1005,2200,0
953,1006,2200,0
954,1007,2200,0
955,1008,2200,0
956,1009,2200,0
957,1010,2200,0
958,1011,2200,0
959,1012,2200,0
960,1013,2200,0
961,1014,2200,0
962,1015,2200,0
963,1016,2200,0
964,1017,2200,0
965,1018,2200,0
966,1019,2200,0
967,1020,2200,0
968,1021,2200,0
969,1022,2200,0
970,1023,2200,0
971,1024,2200,0
972,1025,2200,0
973,1026,2200,0
974,1027,2200,0
975,1028,2200,0
976,1029,2200,0
977,1030,2200,0
978,1031,2200,0
979,1032,2200,0
980,1033,2200,0
981,1034,2200,0
982,1035,2200,0
983,1036,2200,0
984,1037,2200,0
985,1038,2200,0
986,1039,2200,0
987,1040,2200,0
988,1041,2200,0
989,1042,2200,0
990,1043,2200,0
991,1044,2200,0
992,1045,2200,0
993,1046,2200,0
994,1047,2200,0
995,1048,2200,0
996,1049,2200,0
997,1050,2200,0
998,1051,2200,0
999,1052,2200,0
1000,1053,2200,0
1001,1054,2200,0
1002,1055,2200,0
1003,1056,2200,0
1004,1057,2201,2200
1005,1058,2200,0
1006,1059,2200,0
1007,1060,2200,0
1008,1061,2200,0
1009,1062,2200,0
1010,1063,2200,0
1011,1064,2200,0
1012,1065,2200,0
1013,1066,2200,0
1014,1067,2200,0
1015,1068,2200,0
1016,1069,2200,0
1017,1070,2200,0
1018,1071,2200,0
1019,1072,2200,0
1020,1074,2200,0
1021,1078,2200,0
1022,1087,2200,0
1023,1098,2200,0
1024,1099,2200,0
1025,1100,2200,0
107101,1071,504,500
107102,1071,505,500
107103,1071,506,500
