id,priority,group_id,condition,win_saddle_type,race_instance_id_1,race_instance_id_2,race_instance_id_3,race_instance_id_4,race_instance_id_5,race_instance_id_6,race_instance_id_7,race_instance_id_8
168,134,154,0,3,111001,0,0,0,0,0,0,0
169,237,155,0,2,203601,0,0,0,0,0,0,0
170,238,156,0,2,203701,0,0,0,0,0,0,0
171,239,157,0,2,203801,0,0,0,0,0,0,0
172,240,158,0,2,203901,0,0,0,0,0,0,0
173,241,159,0,2,204001,0,0,0,0,0,0,0
174,242,160,0,2,204101,0,0,0,0,0,0,0
175,370,161,0,1,307101,0,0,0,0,0,0,0
176,371,162,0,1,307201,0,0,0,0,0,0,0
177,372,163,0,1,307301,0,0,0,0,0,0,0
178,373,164,0,1,307401,0,0,0,0,0,0,0
179,374,165,0,1,307501,0,0,0,0,0,0,0
180,375,166,0,1,307601,0,0,0,0,0,0,0
181,376,167,0,1,307701,0,0,0,0,0,0,0
