id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2,tail_color_r1,tail_color_r2,tail_color_g1,tail_color_g2,tail_color_b1,tail_color_b2,tail_toon_color_r1,tail_toon_color_r2,tail_toon_color_g1,tail_toon_color_g2,tail_toon_color_b1,tail_toon_color_b2
10,#C39FAC,#ECDC89,#FFC14C,#808080,#494DD4,#FFC14C,#CAA3B0,#E59F66,#F1914C,#808080,#251980,#F1914C,#FFFFFF,#FFFFFF,#FFFFFF,#331F10,#F1914C,#B26B38,#FFFFFF,#FFFFFF,#FFFFFF,#331F10,#F1914C,#B26B38,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#B69AF1,#FFFFFF,#FFC14C,#E6DECF,#FFFFFF,#FFFFFF,#B69AF1,#FFFFFF,#F1914C
11,#C39FAC,#ECDC89,#FAE2B5,#808080,#494DD4,#FAE2B5,#CAA3B0,#E59F66,#DDB89E,#808080,#251980,#DDB89E,#FFFFFF,#FFFFFF,#FFFFFF,#332A24,#DDB89E,#B29580,#FFFFFF,#FFFFFF,#FFFFFF,#332A24,#DDB89E,#B29580,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#FAE2B5,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#DDB89E
12,#C39FAC,#ECDC89,#D6910F,#808080,#494DD4,#D6910F,#CAA3B0,#E59F66,#DD6E1E,#808080,#251980,#DD6E1E,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#DD6E1E,#B25918,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#DD6E1E,#B25918,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#D6910F,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#DD6E1E
13,#C39FAC,#ECDC89,#FDB52E,#808080,#494DD4,#FDB52E,#CAA3B0,#E59F66,#F87920,#808080,#251980,#F87920,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#F87920,#B25717,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#F87920,#B25717,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#BB9FF8,#FFFFFF,#FDB52E,#E6DECF,#FFFFFF,#FFFFFF,#BB9FF8,#FFFFFF,#F87920
14,#C39FAC,#ECDC89,#E0B86D,#808080,#494DD4,#E0B86D,#CAA3B0,#E59F66,#CC9065,#808080,#251980,#CC9065,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#CC9065,#B27E58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#CC9065,#B27E58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#9A83CC,#FFFFFF,#E0B86D,#E6DECF,#FFFFFF,#FFFFFF,#9A83CC,#FFFFFF,#CC9065
15,#D2ABD9,#BC1623,#EC8682,#808080,#353537,#EC8682,#D2ABD9,#78151D,#BE635E,#808080,#130C0D,#BE635E,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#BE635E,#B25D58,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#BE635E,#B25D58,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#8F7ABE,#FFFFFF,#EC8682,#E6CFCF,#FFFFFF,#FFFFFF,#8F7ABE,#FFFFFF,#BE635E
16,#D2ABD9,#BC1623,#7B413F,#808080,#353537,#7B413F,#D2ABD9,#78151D,#522C2A,#808080,#130C0D,#522C2A,#FFFFFF,#FFFFFF,#FFFFFF,#331B1A,#522C2A,#804441,#FFFFFF,#FFFFFF,#FFFFFF,#331B1A,#522C2A,#804441,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#7B413F,#E6CFCF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#522C2A
17,#D2ABD9,#BC1623,#D95E59,#808080,#353537,#D95E59,#D2ABD9,#78151D,#B0443E,#808080,#130C0D,#B0443E,#FFFFFF,#FFFFFF,#FFFFFF,#331412,#B0443E,#B0443E,#FFFFFF,#FFFFFF,#FFFFFF,#331412,#B0443E,#B0443E,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#D95E59,#E6CFCF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#B0443E
18,#D2ABD9,#BC1623,#AB1F19,#808080,#353537,#AB1F19,#D2ABD9,#78151D,#800E08,#808080,#130C0D,#800E08,#FFFFFF,#FFFFFF,#FFFFFF,#330603,#800E08,#800E08,#FFFFFF,#FFFFFF,#FFFFFF,#330603,#800E08,#800E08,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#615280,#FFFFFF,#AB1F19,#E6CFCF,#FFFFFF,#FFFFFF,#615280,#FFFFFF,#800E08
19,#D2ABD9,#BC1623,#ECADAA,#808080,#353537,#EC908C,#D96D70,#78151D,#C89E9B,#808080,#130C0D,#C86A63,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#C86A63,#B25F59,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#C86A63,#B25F59,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D0CF,#FFFFFF,#FFFFFF,#9780C8,#FFFFFF,#EC908C,#E6D0CF,#FFFFFF,#FFFFFF,#9780C8,#FFFFFF,#C86A63
20,#E296C9,#D6BE2F,#F1899B,#808080,#3EA4B0,#F1899B,#B96FAF,#784420,#B75765,#808080,#1C5378,#B75765,#FFFFFF,#FFFFFF,#FFFFFF,#33181C,#B75765,#B25563,#FFFFFF,#FFFFFF,#FFFFFF,#33181C,#B75765,#B25563,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD3,#FFFFFF,#FFFFFF,#8A75B7,#FFFFFF,#F1899B,#E6CFD3,#FFFFFF,#FFFFFF,#8A75B7,#FFFFFF,#B75765
21,#E296C9,#D6BE2F,#6A2630,#808080,#3EA4B0,#6A2630,#B96FAF,#784420,#4B292F,#808080,#1C5378,#4B292F,#FFFFFF,#FFFFFF,#FFFFFF,#331C20,#4B292F,#804650,#FFFFFF,#FFFFFF,#FFFFFF,#331C20,#4B292F,#804650,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD2,#FFFFFF,#FFFFFF,#39304B,#FFFFFF,#6A2630,#E6CFD2,#FFFFFF,#FFFFFF,#39304B,#FFFFFF,#4B292F
22,#E296C9,#D6BE2F,#901124,#808080,#3EA4B0,#732B38,#B96FAF,#784420,#A61831,#808080,#1C5378,#731A27,#FFFFFF,#FFFFFF,#FFFFFF,#330B11,#731A27,#801C2B,#FFFFFF,#FFFFFF,#FFFFFF,#330B11,#731A27,#801C2B,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD3,#FFFFFF,#FFFFFF,#574A73,#FFFFFF,#732B38,#E6CFD3,#FFFFFF,#FFFFFF,#574A73,#FFFFFF,#731A27
23,#E296C9,#D6BE2F,#E7A4B0,#808080,#3EA4B0,#9C505D,#B96FAF,#784420,#D4B7BB,#808080,#1C5378,#7B3D46,#FFFFFF,#FFFFFF,#FFFFFF,#33191D,#7B3D46,#803F49,#FFFFFF,#FFFFFF,#FFFFFF,#33191D,#7B3D46,#803F49,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD2,#FFFFFF,#FFFFFF,#5D4F7B,#FFFFFF,#9C505D,#E6CFD2,#FFFFFF,#FFFFFF,#5D4F7B,#FFFFFF,#7B3D46
24,#060407,#D16852,#897576,#808080,#8C183A,#524142,#110C16,#98364E,#806767,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
25,#C39FAC,#ECDC89,#F1E9DB,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#F1E1D6,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
26,#9C68CF,#C7FCFB,#524142,#808080,#42176B,#524142,#64429E,#8FBFD2,#352524,#656161,#1E0E33,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
27,#8E878A,#423F3F,#FDF1F4,#696464,#AC2332,#421A29,#787175,#2D2029,#C5B9E2,#514054,#63173A,#230B12,#FFFFFF,#FFFFFF,#FFFFFF,#33101A,#230B12,#802842,#FFFFFF,#FFFFFF,#FFFFFF,#33101A,#230B12,#802842,#352831,#A9253E,#C78AA7,#40102B,#520C4D,#AD4876,#E6CFD7,#FFFFFF,#FFFFFF,#1A1623,#FFFFFF,#421A29,#E6CFD7,#FFFFFF,#FFFFFF,#1A1623,#FFFFFF,#230B12
10001,#7E3F2B,#F7A055,#F7E0D3,#83716B,#40342D,#DD5228,#582C1D,#C96B4B,#F8CACD,#654D55,#271714,#A8262D,#FFFFFF,#FFFFFF,#FFFFFF,#330C0E,#A8262D,#A8262D,#FFFFFF,#FFFFFF,#FFFFFF,#330C0E,#A8262D,#A8262D,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6D4CF,#FFFFFF,#FFFFFF,#7F6CA8,#FFFFFF,#DD5228,#E6D4CF,#FFFFFF,#FFFFFF,#7F6CA8,#FFFFFF,#A8262D
10002,#C39FAC,#ECDC89,#FAEDD5,#808080,#494DD4,#FAEBCE,#CAA3B0,#E59F66,#D7986B,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FAEBCE,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10003,#B0828A,#461F2E,#B3244F,#831B1A,#B98D92,#B94C68,#8E547B,#2B071B,#5F1F47,#3E0D1E,#975D82,#943B50,#FFFFFF,#FFFFFF,#FFFFFF,#33141B,#943B50,#943B50,#FFFFFF,#FFFFFF,#FFFFFF,#33141B,#943B50,#943B50,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD4,#FFFFFF,#FFFFFF,#705F94,#FFFFFF,#B94C68,#E6CFD4,#FFFFFF,#FFFFFF,#705F94,#FFFFFF,#943B50
10004,#36717A,#DA815F,#7A1717,#6C1900,#7A3131,#7A1717,#202761,#AE5940,#350B19,#5C4A50,#552221,#350B19,#FFFFFF,#FFFFFF,#FFFFFF,#330A18,#350B19,#801A3D,#FFFFFF,#FFFFFF,#FFFFFF,#330A18,#350B19,#801A3D,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#7A1717,#E6CFCF,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#350B19
10005,#D94D6B,#BC9AA3,#AB5653,#801648,#371C1A,#844240,#9B3D63,#9B7983,#663331,#2E0F27,#1E090B,#5E2F2D,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#5E2F2D,#80403C,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#5E2F2D,#80403C,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#473C5E,#FFFFFF,#844240,#E6CFCF,#FFFFFF,#FFFFFF,#473C5E,#FFFFFF,#5E2F2D
10008,#BAD9D2,#2292BC,#C08E79,#801F20,#1B372B,#773E3A,#7A93A7,#2F5493,#A25E71,#390F1E,#23341F,#522A27,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#522A27,#80423C,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#522A27,#80423C,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D0CF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#773E3A,#E6D0CF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#522A27
10009,#58281B,#D18540,#585756,#583C0D,#580F11,#743423,#3F0A08,#A35438,#4A3644,#2A1606,#110308,#4D2317,#FFFFFF,#FFFFFF,#FFFFFF,#33170F,#4D2317,#803A25,#FFFFFF,#FFFFFF,#FFFFFF,#33170F,#4D2317,#803A25,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D3CF,#FFFFFF,#FFFFFF,#3B324D,#FFFFFF,#743423,#E6D3CF,#FFFFFF,#FFFFFF,#3B324D,#FFFFFF,#4D2317
10010,#F5836B,#4B2321,#E6DCDB,#B4A9A9,#5D5758,#5D0F29,#C95E4D,#310D11,#B0A5A7,#9D8D8D,#4C394F,#0A0307,#FFFFFF,#FFFFFF,#FFFFFF,#330F24,#0A0307,#802659,#FFFFFF,#FFFFFF,#FFFFFF,#330F24,#0A0307,#802659,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD6,#FFFFFF,#FFFFFF,#08060A,#FFFFFF,#5D0F29,#E6CFD6,#FFFFFF,#FFFFFF,#08060A,#FFFFFF,#0A0307
10011,#956360,#67F154,#B1B4B1,#52802A,#B449CA,#B1B4B1,#633A98,#55BFC0,#9BA299,#1A4C4A,#694993,#9BA299,#FFFFFF,#FFFFFF,#FFFFFF,#313330,#9BA299,#9BA299,#FFFFFF,#FFFFFF,#FFFFFF,#313330,#9BA299,#9BA299,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#D2E6CF,#FFFFFF,#FFFFFF,#7A68A2,#FFFFFF,#B1B4B1,#D2E6CF,#FFFFFF,#FFFFFF,#7A68A2,#FFFFFF,#9BA299
10012,#D9D9D8,#BCA16F,#C05D3C,#804E19,#37331A,#C05D3C,#C6BEA6,#9F644E,#934234,#522510,#042105,#934234,#FFFFFF,#FFFFFF,#FFFFFF,#331712,#934234,#934234,#FFFFFF,#FFFFFF,#FFFFFF,#331712,#934234,#934234,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D4CF,#FFFFFF,#FFFFFF,#6F5E93,#FFFFFF,#C05D3C,#E6D4CF,#FFFFFF,#FFFFFF,#6F5E93,#FFFFFF,#934234
10014,#FFA2D4,#F141BF,#B476AA,#80214D,#CA30BD,#B49FB2,#C67EA5,#9F4FA9,#764792,#2D1227,#6F388F,#7A6688,#FFFFFF,#FFFFFF,#FFFFFF,#2E2633,#7A6688,#7A6688,#FFFFFF,#FFFFFF,#FFFFFF,#2E2633,#7A6688,#7A6688,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFE3,#FFFFFF,#FFFFFF,#675788,#FFFFFF,#B49FB2,#E6CFE3,#FFFFFF,#FFFFFF,#675788,#FFFFFF,#7A6688
10015,#9C68CF,#D16852,#F3E3E3,#808080,#8C183A,#524142,#9C68CF,#98364E,#9D9595,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
10016,#595358,#DBCFDD,#FFFFFF,#99E999,#395437,#924974,#353349,#B4A2C2,#FFFFFF,#67B9C6,#133A3D,#703859,#FFFFFF,#FFFFFF,#FFFFFF,#331A29,#703859,#804065,#FFFFFF,#FFFFFF,#FFFFFF,#331A29,#703859,#804065,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFDC,#FFFFFF,#FFFFFF,#554870,#FFFFFF,#924974,#E6CFDC,#FFFFFF,#FFFFFF,#554870,#FFFFFF,#703859
10017,#FFF0EE,#887F81,#403C3C,#61131D,#612922,#612940,#FEDBEF,#6B5D67,#2B1E25,#18050E,#421B13,#421827,#FFFFFF,#FFFFFF,#FFFFFF,#33121E,#421827,#802E4A,#FFFFFF,#FFFFFF,#FFFFFF,#33121E,#421827,#802E4A,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFD8,#FFFFFF,#FFFFFF,#322A42,#FFFFFF,#612940,#E6CFD8,#FFFFFF,#FFFFFF,#322A42,#FFFFFF,#421827
10018,#A81E1D,#605C5D,#C9A9A1,#7D2434,#A8473C,#A86022,#67122E,#4C3C52,#AB7A8A,#401424,#81372D,#7A341A,#FFFFFF,#FFFFFF,#FFFFFF,#33160B,#7A341A,#80361C,#FFFFFF,#FFFFFF,#FFFFFF,#33160B,#7A341A,#80361C,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D9CF,#FFFFFF,#FFFFFF,#5C4E7A,#FFFFFF,#A86022,#E6D9CF,#FFFFFF,#FFFFFF,#5C4E7A,#FFFFFF,#7A341A
10019,#E1C2FF,#D16852,#DDDDDD,#808080,#8C183A,#524142,#796889,#98364E,#A9A9A9,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
10020,#C0434A,#C67258,#7B7B7B,#FDFDFD,#1B8174,#ABABAB,#9A3338,#A0443F,#4A0E22,#F0FBF0,#284357,#5D4E54,#FFFFFF,#FFFFFF,#FFFFFF,#332B2E,#5D4E54,#806B73,#FFFFFF,#FFFFFF,#FFFFFF,#332B2E,#5D4E54,#806B73,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFCF,#FFFFFF,#FFFFFF,#463C5D,#FFFFFF,#ABABAB,#E6CFCF,#FFFFFF,#FFFFFF,#463C5D,#FFFFFF,#5D4E54
10021,#C39FAC,#ECDC89,#F6F3EC,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#DED6D0,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10022,#CFCFD6,#E6EFF1,#B4ADB2,#808080,#A5A6CA,#7D7D7D,#B5A1C8,#BFBFD1,#A4A4A4,#808080,#7E77BC,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#333031,#A49B9E,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#333031,#A49B9E,#A49B9E,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFCF,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#7D7D7D,#E6CFCF,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#A49B9E
