id,available_skill_set_id,skill_id,need_rank
255,102401,200742,0
263,102401,200492,2
264,102401,200381,3
265,102401,200502,4
266,102401,200491,5
267,102701,200232,0
268,102701,200722,0
269,102701,200612,0
277,102701,200472,2
278,102701,200721,3
279,102701,201102,4
280,102701,200611,5
281,103001,200861,0
282,103001,201342,0
283,103001,200742,0
291,103001,201581,2
292,103001,201341,3
293,103001,201352,4
294,103001,200741,5
295,103201,200132,0
296,103201,201152,0
297,103201,200572,0
305,103201,201102,2
306,103201,201151,3
307,103201,201112,4
308,103201,200571,5
309,103501,200152,0
310,103501,200732,0
311,103501,201402,0
319,103501,200592,2
320,103501,201401,3
321,103501,201392,4
322,103501,200591,5
323,104001,200052,0
324,104001,200692,0
325,104001,200602,0
333,104001,201651,2
334,104001,200691,3
335,104001,201062,4
336,104001,200601,5
337,104101,200841,0
338,104101,201312,0
339,104101,200652,0
347,104101,200982,2
348,104101,200651,3
349,104101,200992,4
350,104101,200981,5
351,104501,200352,0
352,104501,200742,0
353,104501,201372,0
361,104501,200462,2
362,104501,201371,3
363,104501,200881,4
364,104501,200351,5
365,105201,200442,0
366,105201,200652,0
367,105201,201412,0
375,105201,200472,2
376,105201,200441,3
377,105201,200302,4
378,105201,200471,5
379,105601,201562,0
380,105601,201422,0
381,105601,201232,0
389,105601,201571,2
390,105601,201231,3
391,105601,200781,4
392,105601,201561,5
393,106001,200122,0
394,106001,201162,0
395,106001,201442,0
403,106001,200911,2
404,106001,201161,3
405,106001,201422,4
406,106001,201441,5
407,106101,200262,0
408,106101,200672,0
409,106101,201432,0
417,106101,201142,2
418,106101,200671,3
419,106101,201072,4
420,106101,201431,5
491,102301,200162,0
492,102301,200742,0
493,102301,200562,0
501,102301,200262,2
502,102301,200561,3
503,102301,200821,4
504,102301,200741,5
533,104601,200452,0
534,104601,201522,0
535,104601,201672,0
543,104601,200162,2
544,104601,200451,3
545,104601,200952,4
546,104601,201671,5
617,105001,201641,0
618,105001,200622,0
619,105001,201162,0
627,105001,200642,2
628,105001,200621,3
629,105001,201452,4
630,105001,200641,5
645,102601,200232,0
646,102601,200532,0
647,102601,200712,0
655,102601,201242,2
656,102601,200531,3
657,102601,201252,4
658,102601,200711,5
659,100302,200452,0
660,100302,201142,0
661,100302,200572,0
662,100302,200172,2
663,100302,200571,3
664,100302,200352,4
665,100302,201141,5
666,101302,200362,0
667,101302,200562,0
668,101302,200742,0
669,101302,200192,2
670,101302,200741,3
671,101302,200462,4
672,101302,200361,5
673,103801,200462,0
674,103801,201372,0
675,103801,201012,0
676,103801,201002,2
677,103801,201371,3
678,103801,200582,4
679,103801,201011,5
680,101601,200362,0
681,101601,201102,0
682,101601,200572,0
683,101601,200512,2
684,101601,200361,3
685,101601,201641,4
686,101601,200511,5
687,102402,200352,0
688,102402,201332,0
689,102402,201162,0
690,102402,200432,2
691,102402,201161,3
692,102402,200332,4
693,102402,200351,5
694,101802,200342,0
695,101802,201072,0
696,101802,201322,0
697,101802,201532,2
698,101802,201071,3
699,101802,200462,4
700,101802,200341,5
701,101102,200472,0
702,101102,200742,0
703,101102,201422,0
704,101102,200771,2
705,101102,200741,3
706,101102,201542,4
707,101102,201421,5
708,101402,200512,0
709,101402,200702,0
710,101402,200612,0
711,101402,201072,2
712,101402,200701,3
713,101402,201412,4
714,101402,200611,5
715,100102,200462,0
716,100102,200592,0
717,100102,201132,0
718,100102,200212,2
719,100102,200591,3
720,100102,201611,4
721,100102,200461,5
722,100402,200352,0
723,100402,200682,0
724,100402,201282,0
725,100402,201571,2
726,100402,201281,3
727,100402,201082,4
728,100402,200681,5
729,105801,200472,0
730,105801,201112,0
731,105801,200582,0
732,105801,200142,2
733,105801,200581,3
734,105801,200861,4
735,105801,200471,5
736,103701,200502,0
737,103701,201542,0
738,103701,201112,0
739,103701,200512,2
740,103701,200501,3
741,103701,200432,4
742,103701,200511,5
743,105602,200012,0
744,105602,200602,0
745,105602,201212,0
746,105602,200752,2
747,105602,201211,3
748,105602,200062,4
749,105602,200751,5
750,102801,200212,0
751,102801,201352,0
752,102801,201002,0
753,102801,201362,2
754,102801,201001,3
755,102801,201012,4
756,102801,201351,5
757,101901,201591,0
758,101901,201682,0
759,101901,201382,0
760,101901,200162,2
761,101901,201592,3
762,101901,201102,4
763,101901,201681,5
764,103002,200771,0
765,103002,201172,0
766,103002,200562,0
767,103002,200352,2
768,103002,200561,3
769,103002,200851,4
770,103002,200772,5
771,104502,200332,0
772,104502,201162,0
773,104502,201352,0
774,104502,201322,2
775,104502,200331,3
776,104502,201102,4
777,104502,201161,5
778,103901,200492,0
779,103901,201072,0
780,103901,200612,0
781,103901,201382,2
782,103901,200491,3
783,103901,200132,4
784,103901,200611,5
785,102501,200232,0
786,102501,201222,0
787,102501,201422,0
788,102501,201581,2
789,102501,201421,3
790,102501,201202,4
791,102501,201221,5
792,101702,200192,0
793,101702,200752,0
794,101702,200562,0
795,101702,201342,2
796,101702,200561,3
797,101702,201312,4
798,101702,200194,5
799,104002,200232,0
800,104002,201092,0
801,104002,201692,0
802,104002,201542,2
803,104002,201091,3
804,104002,201392,4
805,104002,201691,5
806,104801,200302,0
807,104801,200602,0
808,104801,201102,0
809,104801,200572,2
810,104801,200601,3
811,104801,201702,4
812,104801,200571,5
813,105901,200062,0
814,105901,201442,0
815,105901,201142,0
816,105901,201382,2
817,105901,201441,3
818,105901,200722,4
819,105901,200064,5
820,100602,201621,0
821,100602,200752,0
822,100602,201352,0
823,100602,201422,2
824,100602,201351,3
825,100602,201571,4
826,100602,200751,5
827,102302,200512,0
828,102302,201202,0
829,102302,200572,0
830,102302,201532,2
831,102302,201201,3
832,102302,201312,4
833,102302,200511,5
834,102201,200192,0
835,102201,200582,0
836,102201,201112,0
837,102201,201342,2
838,102201,200581,3
839,102201,200012,4
840,102201,201341,5
841,102101,201611,0
842,102101,201132,0
843,102101,200592,0
844,102101,200572,2
845,102101,200591,3
846,102101,200642,4
847,102101,201612,5
848,101502,201312,0
849,101502,202012,0
850,101502,200352,0
851,101502,200252,2
852,101502,200351,3
853,101502,200202,4
854,101502,202011,5
855,105202,200452,0
856,105202,201072,0
857,105202,201402,0
858,105202,201621,2
859,105202,200451,3
860,105202,200242,4
861,105202,201401,5
862,106901,200172,0
863,106901,200582,0
864,106901,201112,0
865,106901,200342,2
866,106901,200581,3
867,106901,201532,4
868,106901,200174,5
869,102602,200432,0
870,102602,200542,0
871,102602,200762,0
872,102602,201522,2
873,102602,200541,3
874,102602,201601,4
875,102602,200431,5
876,103702,200302,0
877,103702,200592,0
878,103702,201152,0
879,103702,201102,2
880,103702,201151,3
881,103702,201392,4
882,103702,201103,5
883,107101,200022,0
884,107101,200572,0
885,107101,201702,0
886,107101,201322,2
887,107101,200571,3
888,107101,201142,4
889,107101,201701,5
890,103301,200492,0
891,103301,201152,0
892,103301,201492,0
893,103301,200632,2
894,103301,201491,3
895,103301,200861,4
896,103301,200631,5
897,106801,200432,0
898,106801,201172,0
899,106801,200532,0
900,106801,201102,2
901,106801,200531,3
902,106801,201272,4
903,106801,201173,5
904,106201,200482,0
905,106201,201212,0
906,106201,200602,0
907,106201,201621,2
908,106201,200481,3
909,106201,200512,4
910,106201,201211,5
911,106701,200012,0
912,106701,201692,0
913,106701,201102,0
914,106701,202012,2
915,106701,201691,3
916,106701,200152,4
917,106701,200014,5
918,107401,200472,0
919,107401,201462,0
920,107401,202072,0
921,107401,201212,2
922,107401,200471,3
923,107401,201222,4
924,107401,202071,5
925,100502,200771,0
926,100502,201042,0
927,100502,200582,0
928,100502,201332,2
929,100502,200772,3
930,100502,201902,4
931,100502,200581,5
932,102002,200172,0
933,102002,200712,0
934,102002,200542,0
935,102002,201272,2
936,102002,200541,3
937,102002,200532,4
938,102002,201271,5
939,105101,200362,0
940,105101,201062,0
941,105101,201342,0
942,105101,200652,2
943,105101,200361,3
944,105101,201392,4
945,105101,201341,5
946,107201,200462,0
947,107201,200732,0
948,107201,201322,0
949,107201,202092,2
950,107201,200461,3
951,107201,200342,4
952,107201,200731,5
953,106002,200492,0
954,106002,201152,0
955,106002,201542,0
956,106002,202082,2
957,106002,201151,3
958,106002,200302,4
959,106002,200491,5
960,106102,200172,0
961,106102,200672,0
962,106102,200612,0
963,106102,200692,2
964,106102,200611,3
965,106102,201382,4
966,106102,200174,5
967,103101,201651,0
968,103101,201282,0
969,103101,202132,0
970,103101,200032,2
971,103101,201281,3
972,103101,201082,4
973,103101,202131,5
974,106401,201661,0
975,106401,201242,0
976,106401,201192,0
977,106401,200532,2
978,106401,201662,3
979,106401,200302,4
980,106401,201191,5
981,103802,200851,0
982,103802,201322,0
983,103802,201012,0
984,103802,200652,2
985,103802,201011,3
986,103802,201532,4
987,103802,200651,5
988,102202,200152,0
989,102202,201902,0
990,102202,201052,0
991,102202,201042,2
992,102202,201051,3
993,102202,200192,4
994,102202,201901,5
995,103401,201611,0
996,103401,201452,0
997,103401,202002,0
998,103401,200202,2
999,103401,201612,3
1000,103401,200642,4
1001,103401,202001,5
1002,104401,200781,0
1003,104401,201482,0
1004,104401,202082,0
1005,104401,201512,2
1006,104401,201481,3
1007,104401,200642,4
1008,104401,201511,5
1009,101002,200162,0
1010,101002,200682,0
1011,101002,201902,0
1012,101002,201042,2
1013,101002,200681,3
1014,101002,201322,4
1015,101002,201901,5
1016,105902,200062,0
1017,105902,202122,0
1018,105902,202082,0
1019,105902,201102,2
1020,105902,202121,3
1021,105902,202152,4
1022,105902,202081,5
1023,103601,200462,0
1024,103601,202102,0
1025,103601,201452,0
1026,103601,201492,2
1027,103601,202101,3
1028,103601,201502,4
1029,103601,201453,5
1030,100103,200332,0
1031,100103,201212,0
1032,100103,200612,0
1033,100103,201172,2
1034,100103,201211,3
1035,100103,201182,4
1036,100103,202061,5
1037,100702,201562,0
1038,100702,200752,0
1039,100702,201482,0
1040,100702,202102,2
1041,100702,200751,3
1042,100702,202032,4
1043,100702,202101,5
1044,101303,200432,0
1045,101303,201532,0
1046,101303,202012,0
1047,101303,202192,2
1048,101303,202011,3
1049,101303,200562,4
1050,101303,202191,5
1051,105301,200462,0
1052,105301,200612,0
1053,105301,202112,0
1054,105301,200972,2
1055,105301,200611,3
1056,105301,202122,4
1057,105301,202111,5
1058,109801,202262,0
1059,109801,201532,0
1060,109801,201112,0
1061,109801,202332,2
1062,109801,202261,3
1063,109801,202252,4
1064,109801,202331,5
1065,104602,201672,0
1066,104602,201252,0
1067,104602,202132,0
1068,104602,202312,2
1069,104602,201671,3
1070,104602,202352,4
1071,104602,202311,5
1072,103502,202172,0
1073,103502,201412,0
1074,103502,201702,0
1075,103502,200592,2
1076,103502,201411,3
1077,103502,202152,4
1078,103502,201701,5
1079,105002,200492,0
1080,105002,202382,0
1081,105002,202082,0
1082,105002,201552,2
1083,105002,202381,3
1084,105002,201452,4
1085,105002,202081,5
1086,102901,200492,0
1087,102901,201102,0
1088,102901,201342,0
1089,102901,200242,2
1090,102901,200491,3
1091,102901,201322,4
1092,102901,201341,5
1093,104201,200152,0
1094,104201,200962,0
1095,104201,201072,0
1096,104201,202042,2
1097,104201,200963,3
1098,104201,201902,4
1099,104201,201071,5
1100,101902,202272,0
1101,101902,200462,0
1102,101902,200702,0
1103,101902,201591,2
1104,101902,200461,3
1105,101902,201682,4
1106,101902,202271,5
1107,105802,200352,0
1108,105802,201902,0
1109,105802,201102,0
1110,105802,202372,2
1111,105802,201901,3
1112,105802,200012,4
1113,105802,200351,5
1114,108701,200162,0
1115,108701,202042,0
1116,108701,200532,0
1117,108701,200972,2
1118,108701,200531,3
1119,108701,201601,4
1120,108701,202041,5
1121,107801,200302,0
1122,107801,201052,0
1123,107801,202412,0
1124,107801,201042,2
1125,107801,201051,3
1126,107801,200342,4
1127,107801,202411,5
1128,103402,200952,0
1129,103402,200752,0
1130,103402,200642,0
1131,103402,201472,2
1132,103402,200751,3
1133,103402,202322,4
1134,103402,200641,5
1135,102102,200462,0
1136,102102,200722,0
1137,102102,201902,0
1138,102102,200162,2
1139,102102,200721,3
1140,102102,201611,4
1141,102102,200461,5
1142,104901,202442,0
1143,104901,202032,0
1144,104901,201702,0
1145,104901,201382,2
1146,104901,202031,3
1147,104901,201102,4
1148,104901,202441,5
1149,110001,202302,0
1150,110001,201532,0
1151,110001,201072,0
1152,110001,201032,2
1153,110001,201071,3
1154,110001,202332,4
1155,110001,202301,5
1156,100802,202452,0
1157,100802,200492,0
1158,100802,201112,0
1159,100802,202152,2
1160,100802,200491,3
1161,100802,201382,4
1162,100802,202451,5
1163,100902,202462,0
1164,100902,201282,0
1165,100902,202012,0
1166,100902,201172,2
1167,100902,201281,3
1168,100902,201182,4
1169,100902,202461,5
1170,104701,200192,0
1171,104701,200572,0
1172,104701,201112,0
1173,104701,201322,2
1174,104701,200571,3
1175,104701,201172,4
1176,104701,201113,5
1177,101602,200172,0
1178,101602,202472,0
1179,101602,202482,0
1180,101602,200742,2
1181,101602,202471,3
1182,101602,202192,4
1183,101602,202481,5
1184,106702,202422,0
1185,106702,201222,0
1186,106702,202122,0
1187,106702,201382,2
1188,106702,202421,3
1189,106702,202452,4
1190,106702,201221,5
1191,106802,201262,0
1192,106802,200532,0
1193,106802,200542,0
1194,106802,200712,2
1195,106802,200541,3
1196,106802,201601,4
1197,106802,200531,5
1198,109901,202202,0
1199,109901,201672,0
1200,109901,200562,0
1201,109901,201332,2
1202,109901,200561,3
1203,109901,200861,4
1204,109901,201671,5
1205,106501,202502,0
1206,106501,200302,0
1207,106501,201052,0
1208,106501,201032,2
1209,106501,201051,3
1210,106501,201651,4
1211,106501,202501,5
1212,102702,202172,0
1213,102702,201342,0
1214,102702,200292,0
1215,102702,201112,2
1216,102702,201341,3
1217,102702,201322,4
1218,102702,202171,5
1219,103102,201601,0
1220,103102,200432,0
1221,103102,201252,0
1222,103102,201522,2
1223,103102,200431,3
1224,103102,201082,4
1225,103102,201253,5
1226,104301,202343,0
1227,104301,200162,0
1228,104301,202282,0
1229,104301,201052,2
1230,104301,202281,3
1231,104301,201072,4
1232,104301,202341,5
1233,106601,202392,0
1234,106601,201282,0
1235,106601,200532,0
1236,106601,201252,2
1237,106601,202391,3
1238,106601,200432,4
1239,106601,200531,5
1240,105701,201142,0
1241,105701,202522,0
1242,105701,200642,0
1243,105701,200232,2
1244,105701,202521,3
1245,105701,201591,4
1246,105701,200641,5
