id,card_id,rank,skill_id,start_date
102101211,102101,5,102101211,1677207600
102102111,102102,3,102102111,1677207600
102102211,102102,5,102102211,1677207600
102201111,102201,3,102201111,1677207600
102201211,102201,5,102201211,1677207600
102202111,102202,3,102202111,1677207600
102202211,102202,5,102202211,1677207600
102301111,102301,3,102301111,1677207600
102301211,102301,5,102301211,1677207600
102302111,102302,3,102302111,1677207600
102302211,102302,5,102302211,1677207600
102401111,102401,3,102401111,1677207600
102401211,102401,5,102401211,1677207600
102402111,102402,3,102402111,1677207600
102402211,102402,5,102402211,1677207600
102501111,102501,3,102501111,1677207600
102501211,102501,5,102501211,1677207600
102601111,102601,3,102601111,1677207600
102601211,102601,5,102601211,1677207600
102602111,102602,3,102602111,1677207600
102602211,102602,5,102602211,1677207600
102701111,102701,3,102701111,1677207600
102701211,102701,5,102701211,1677207600
102702111,102702,3,102702111,1677207600
102702211,102702,5,102702211,1677207600
102801111,102801,3,102801111,1677207600
102801211,102801,5,102801211,1677207600
102901111,102901,3,102901111,1677207600
102901211,102901,5,102901211,1677207600
103001111,103001,3,103001111,1677207600
103001211,103001,5,103001211,1677207600
103002111,103002,3,103002111,1677207600
103002211,103002,5,103002211,1677207600
103101111,103101,3,103101111,1677207600
103101211,103101,5,103101211,1677207600
103102111,103102,3,103102111,1677207600
103102211,103102,5,103102211,1677207600
103201111,103201,3,103201111,1677207600
103201211,103201,5,103201211,1677207600
103301111,103301,3,103301111,1677207600
103301211,103301,5,103301211,1677207600
103401111,103401,3,103401111,1677207600
103401211,103401,5,103401211,1677207600
103402111,103402,3,103402111,1677207600
103402211,103402,5,103402211,1677207600
103501111,103501,3,103501111,1677207600
103501211,103501,5,103501211,1677207600
103502111,103502,3,103502111,1677207600
103502211,103502,5,103502211,1677207600
103601111,103601,3,103601111,1677207600
103601211,103601,5,103601211,1677207600
103701111,103701,3,103701111,1677207600
103701211,103701,5,103701211,1677207600
103702111,103702,3,103702111,1677207600
103702211,103702,5,103702211,1677207600
103801111,103801,3,103801111,1677207600
103801211,103801,5,103801211,1677207600
103802111,103802,3,103802111,1677207600
103802211,103802,5,103802211,1677207600
103901111,103901,3,103901111,1677207600
103901211,103901,5,103901211,1677207600
104001111,104001,3,104001111,1677207600
104001211,104001,5,104001211,1677207600
104002111,104002,3,104002111,1677207600
104002211,104002,5,104002211,1677207600
104101111,104101,3,104101111,1677207600
104101211,104101,5,104101211,1677207600
104201111,104201,3,104201111,1677207600
104201211,104201,5,104201211,1677207600
104301111,104301,3,104301111,1677207600
104301211,104301,5,104301211,1677207600
104401111,104401,3,104401111,1677207600
104401211,104401,5,104401211,1677207600
104501111,104501,3,104501111,1677207600
104501211,104501,5,104501211,1677207600
104502111,104502,3,104502111,1677207600
104502211,104502,5,104502211,1677207600
104601111,104601,3,104601111,1677207600
104601211,104601,5,104601211,1677207600
104602111,104602,3,104602111,1677207600
104602211,104602,5,104602211,1677207600
104701111,104701,3,104701111,1677207600
104701211,104701,5,104701211,1677207600
104801111,104801,3,104801111,1677207600
104801211,104801,5,104801211,1677207600
104901111,104901,3,104901111,1677207600
104901211,104901,5,104901211,1677207600
105001111,105001,3,105001111,1677207600
105001211,105001,5,105001211,1677207600
105002111,105002,3,105002111,1677207600
105002211,105002,5,105002211,1677207600
105101111,105101,3,105101111,1677207600
105101211,105101,5,105101211,1677207600
105201111,105201,3,105201111,1677207600
105201211,105201,5,105201211,1677207600
105202111,105202,3,105202111,1677207600
105202211,105202,5,105202211,1677207600
105301111,105301,3,105301111,1677207600
105301211,105301,5,105301211,1677207600
105601111,105601,3,105601111,1677207600
105601211,105601,5,105601211,1677207600
105602111,105602,3,105602111,1677207600
105602211,105602,5,105602211,1677207600
105701111,105701,3,105701111,1677207600
105701211,105701,5,105701211,1677207600
105801111,105801,3,105801111,1677207600
105801211,105801,5,105801211,1677207600
105802111,105802,3,105802111,1677207600
105802211,105802,5,105802211,1677207600
105901111,105901,3,105901111,1677207600
105901211,105901,5,105901211,1677207600
105902111,105902,3,105902111,1677207600
105902211,105902,5,105902211,1677207600
106001111,106001,3,106001111,1677207600
106001211,106001,5,106001211,1677207600
106002111,106002,3,106002111,1677207600
106002211,106002,5,106002211,1677207600
106101111,106101,3,106101111,1677207600
106101211,106101,5,106101211,1677207600
106102111,106102,3,106102111,1677207600
106102211,106102,5,106102211,1677207600
106201111,106201,3,106201111,1677207600
106201211,106201,5,106201211,1677207600
106401111,106401,3,106401111,1677207600
106401211,106401,5,106401211,1677207600
106501111,106501,3,106501111,1677207600
106501211,106501,5,106501211,1677207600
106601111,106601,3,106601111,1677207600
106601211,106601,5,106601211,1677207600
106701111,106701,3,106701111,1677207600
106701211,106701,5,106701211,1677207600
106702111,106702,3,106702111,1677207600
106702211,106702,5,106702211,1677207600
106801111,106801,3,106801111,1677207600
106801211,106801,5,106801211,1677207600
106802111,106802,3,106802111,1677207600
106802211,106802,5,106802211,1677207600
106901111,106901,3,106901111,1677207600
106901211,106901,5,106901211,1677207600
107101111,107101,3,107101111,1677207600
107101211,107101,5,107101211,1677207600
107201111,107201,3,107201111,1677207600
107201211,107201,5,107201211,1677207600
107401111,107401,3,107401111,1677207600
107401211,107401,5,107401211,1677207600
107801111,107801,3,107801111,1677207600
107801211,107801,5,107801211,1677207600
108701111,108701,3,108701111,1677207600
108701211,108701,5,108701211,1677207600
109801111,109801,3,109801111,1677207600
109801211,109801,5,109801211,1677207600
109901111,109901,3,109901111,1677207600
109901211,109901,5,109901211,1677207600
110001111,110001,3,110001111,1677207600
110001211,110001,5,110001211,1677207600
