id,fan_set_id,order,fan_count
478,27,10,325
479,27,11,260
480,27,12,195
481,27,13,163
482,27,14,130
483,27,15,98
484,27,16,65
485,27,17,65
486,27,18,65
487,28,1,6700
488,28,2,2680
489,28,3,1675
490,28,4,1005
491,28,5,670
492,28,6,603
493,28,7,536
494,28,8,469
495,28,9,402
496,28,10,335
497,28,11,268
498,28,12,201
499,28,13,168
500,28,14,134
501,28,15,101
502,28,16,67
503,28,17,67
504,28,18,67
505,29,1,7000
506,29,2,2800
507,29,3,1750
508,29,4,1050
509,29,5,700
510,29,6,630
511,29,7,560
512,29,8,490
513,29,9,420
514,29,10,350
515,29,11,280
516,29,12,210
517,29,13,175
518,29,14,140
519,29,15,105
520,29,16,70
521,29,17,70
522,29,18,70
523,30,1,10000
524,30,2,4000
525,30,3,2500
526,30,4,1500
527,30,5,1000
528,30,6,900
529,30,7,800
530,30,8,700
531,30,9,600
532,30,10,500
533,30,11,400
534,30,12,300
535,30,13,250
536,30,14,200
537,30,15,150
538,30,16,100
539,30,17,100
540,30,18,100
541,31,1,10500
542,31,2,4200
543,31,3,2625
544,31,4,1575
545,31,5,1050
546,31,6,945
547,31,7,840
548,31,8,735
549,31,9,630
550,31,10,525
551,31,11,420
552,31,12,315
553,31,13,263
554,31,14,210
555,31,15,158
556,31,16,105
557,31,17,105
558,31,18,105
559,32,1,11000
560,32,2,4400
561,32,3,2750
562,32,4,1650
563,32,5,1100
564,32,6,990
565,32,7,880
566,32,8,770
567,32,9,660
568,32,10,550
569,32,11,440
570,32,12,330
571,32,13,275
572,32,14,220
573,32,15,165
574,32,16,110
575,32,17,110
576,32,18,110
577,33,1,12000
578,33,2,4800
579,33,3,3000
580,33,4,1800
581,33,5,1200
582,33,6,1080
583,33,7,960
584,33,8,840
585,33,9,720
586,33,10,600
587,33,11,480
588,33,12,360
589,33,13,300
590,33,14,240
591,33,15,180
592,33,16,120
593,33,17,120
594,33,18,120
595,34,1,15000
596,34,2,6000
597,34,3,3750
598,34,4,2250
599,34,5,1500
600,34,6,1350
601,34,7,1200
602,34,8,1050
603,34,9,900
604,34,10,750
605,34,11,600
606,34,12,450
607,34,13,375
608,34,14,300
609,34,15,225
610,34,16,150
611,34,17,150
612,34,18,150
613,35,1,20000
614,35,2,8000
615,35,3,5000
616,35,4,3000
617,35,5,2000
618,35,6,1800
619,35,7,1600
620,35,8,1400
621,35,9,1200
622,35,10,1000
623,35,11,800
624,35,12,600
625,35,13,500
626,35,14,400
627,35,15,300
628,35,16,200
629,35,17,200
630,35,18,200
631,36,1,30000
632,36,2,12000
633,36,3,7500
634,36,4,4500
635,36,5,3000
636,36,6,2700
637,36,7,2400
638,36,8,2100
639,36,9,1800
640,36,10,1500
641,36,11,1200
642,36,12,900
643,36,13,750
644,36,14,600
645,36,15,450
646,36,16,300
647,36,17,300
648,36,18,300
649,37,1,7000
650,37,2,2800
651,37,3,1750
652,37,4,1050
653,37,5,700
654,37,6,630
655,37,7,560
656,37,8,490
657,37,9,420
658,37,10,350
659,37,11,280
660,37,12,210
661,37,13,175
662,37,14,140
663,37,15,105
664,37,16,70
665,37,17,70
666,37,18,70
667,38,1,5200
668,38,2,2080
669,38,3,1300
670,38,4,780
671,38,5,520
672,38,6,468
673,38,7,416
674,38,8,364
675,38,9,312
676,38,10,260
677,38,11,208
678,38,12,156
679,38,13,130
680,38,14,104
681,38,15,78
682,38,16,52
683,38,17,26
684,38,18,5
685,39,1,3800
686,39,2,1520
687,39,3,950
688,39,4,570
689,39,5,380
690,39,6,342
691,39,7,304
692,39,8,266
693,39,9,228
694,39,10,190
695,39,11,152
696,39,12,114
697,39,13,95
698,39,14,76
699,39,15,57
700,39,16,38
701,39,17,38
702,39,18,38
703,40,1,3800
704,40,2,1520
705,40,3,950
706,40,4,570
707,40,5,380
708,40,6,342
709,40,7,304
710,40,8,266
711,40,9,228
712,40,10,190
713,40,11,152
714,40,12,114
715,40,13,95
716,40,14,76
717,40,15,57
718,40,16,38
719,40,17,38
720,40,18,38
721,41,1,6000
722,41,2,2400
723,41,3,1500
724,41,4,900
725,41,5,600
726,41,6,540
727,41,7,480
728,41,8,420
729,41,9,360
730,41,10,300
731,41,11,240
732,41,12,180
733,41,13,150
734,41,14,120
735,41,15,90
736,41,16,60
737,41,17,60
738,41,18,60
739,42,1,4500
740,42,2,1800
741,42,3,1125
742,42,4,675
743,42,5,450
744,42,6,405
745,42,7,360
746,42,8,315
747,42,9,270
748,42,10,225
749,42,11,180
750,42,12,135
751,42,13,113
752,42,14,90
753,42,15,68
754,42,16,45
755,42,17,45
756,42,18,45
757,43,1,8000
758,43,2,3200
759,43,3,2000
760,43,4,1200
761,43,5,800
762,43,6,720
763,43,7,640
764,43,8,560
765,43,9,480
766,43,10,400
767,43,11,320
768,43,12,240
769,43,13,200
770,43,14,160
771,43,15,120
772,43,16,80
773,43,17,80
774,43,18,80
775,44,1,1000
776,44,2,400
777,44,3,250
778,44,4,150
779,44,5,100
780,44,6,90
781,44,7,80
782,44,8,70
783,44,9,60
784,44,10,50
785,44,11,40
786,44,12,30
787,44,13,25
788,44,14,20
789,44,15,15
790,44,16,7
791,44,17,7
792,44,18,7
793,45,1,1700
794,45,2,680
795,45,3,425
796,45,4,255
797,45,5,170
798,45,6,153
799,45,7,136
800,45,8,119
801,45,9,102
802,45,10,85
803,45,11,68
804,45,12,51
805,45,13,43
806,45,14,34
807,45,15,26
808,45,16,17
809,45,17,17
810,45,18,17
811,46,1,13000
812,46,2,5200
813,46,3,3250
814,46,4,1950
815,46,5,1300
816,46,6,1170
817,46,7,1040
818,46,8,910
819,46,9,780
820,46,10,650
821,46,11,520
822,46,12,390
823,46,13,325
824,46,14,260
825,46,15,195
826,46,16,130
827,46,17,130
828,46,18,130
829,47,1,13500
830,47,2,5400
831,47,3,3375
832,47,4,2025
833,47,5,1350
834,47,6,1215
835,47,7,1080
836,47,8,945
837,47,9,810
838,47,10,675
839,47,11,540
840,47,12,405
841,47,13,338
842,47,14,270
843,47,15,203
844,47,16,135
845,47,17,135
846,47,18,135
847,48,1,2000
848,48,2,800
849,48,3,500
850,48,4,300
851,48,5,200
852,48,6,180
853,48,7,160
854,48,8,140
855,48,9,120
856,48,10,100
857,48,11,80
858,48,12,60
859,48,13,50
860,48,14,40
861,48,15,30
862,48,16,20
863,48,17,20
864,48,18,20
865,49,1,2500
866,49,2,1000
867,49,3,625
868,49,4,375
869,49,5,250
870,49,6,225
871,49,7,200
872,49,8,175
873,49,9,150
874,49,10,125
875,49,11,100
876,49,12,75
877,49,13,63
878,49,14,50
879,49,15,38
880,49,16,25
881,49,17,25
882,49,18,25
883,50,1,2600
884,50,2,1040
885,50,3,650
886,50,4,390
887,50,5,260
888,50,6,234
889,50,7,208
890,50,8,182
891,50,9,156
892,50,10,130
893,50,11,104
894,50,12,78
895,50,13,65
896,50,14,52
897,50,15,39
898,50,16,26
899,50,17,26
900,50,18,26
901,51,1,3200
902,51,2,1280
903,51,3,800
904,51,4,480
905,51,5,320
906,51,6,288
907,51,7,256
908,51,8,224
909,51,9,192
910,51,10,160
911,51,11,128
912,51,12,96
913,51,13,80
914,51,14,64
915,51,15,48
916,51,16,32
917,51,17,32
918,51,18,32
919,52,1,2700
920,52,2,1080
921,52,3,675
922,52,4,405
923,52,5,270
924,52,6,243
925,52,7,216
926,52,8,189
927,52,9,162
928,52,10,135
929,52,11,108
930,52,12,81
931,52,13,68
932,52,14,54
933,52,15,41
934,52,16,27
935,52,17,27
936,52,18,27
937,53,1,2100
938,53,2,840
939,53,3,525
940,53,4,315
941,53,5,210
942,53,6,189
943,53,7,168
944,53,8,147
945,53,9,126
946,53,10,105
947,53,11,84
948,53,12,63
949,53,13,53
950,53,14,42
951,53,15,32
952,53,16,21
953,53,17,21
954,53,18,21
955,54,1,4200
956,54,2,1680
957,54,3,1050
958,54,4,630
959,54,5,420
960,54,6,378
961,54,7,336
962,54,8,294
963,54,9,252
964,54,10,210
965,54,11,168
966,54,12,126
967,54,13,105
968,54,14,84
969,54,15,63
970,54,16,42
971,54,17,42
972,54,18,42
