id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2
11,#756B69,#542D24,#75171D,#DDDAD9,#C0255E,#543E38,#57484E,#3B100E,#2D0A19,#E0C3C0,#6F2757,#3B1F1D,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#3B1F1D,#80433F,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#3B1F1D,#80433F,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
12,#F3C08A,#5C4234,#51412E,#AA6F29,#AA901C,#673D0C,#CA8763,#45211D,#401618,#7C3F20,#956D30,#431009,#FFFFFF,#FFFFFF,#FFFFFF,#330C06,#431009,#801E10,#FFFFFF,#FFFFFF,#FFFFFF,#330C06,#431009,#801E10,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
13,#B1B296,#C4C837,#55562B,#C1C466,#494B0D,#444444,#7A8363,#64A641,#364018,#9C8F48,#081305,#322C26,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
14,#B1B296,#C4C837,#55562B,#C1C466,#494B0D,#444444,#7A8363,#64A641,#364018,#9C8F48,#081305,#322C26,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
15,#193740,#56A7D8,#EC845E,#CCD4D9,#77382F,#5F5B59,#2C403A,#2F5AA8,#C05A3F,#9298B7,#51261F,#50384D,#FFFFFF,#FFFFFF,#FFFFFF,#332331,#50384D,#80587A,#FFFFFF,#FFFFFF,#FFFFFF,#332331,#50384D,#80587A,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
16,#EC8566,#8D7B75,#FA5A2A,#73C0EC,#37627A,#522F1C,#C05D47,#70575F,#C52A33,#3F7EB5,#2A425D,#481A14,#FFFFFF,#FFFFFF,#FFFFFF,#33120E,#481A14,#802E24,#FFFFFF,#FFFFFF,#FFFFFF,#33120E,#481A14,#802E24,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
17,#485A6D,#41322B,#D87E4E,#6D6038,#5AB0D8,#0A3341,#153853,#281613,#AA4E3C,#575423,#3263A8,#0D2026,#FFFFFF,#FFFFFF,#FFFFFF,#122B33,#0D2026,#2D6D80,#FFFFFF,#FFFFFF,#FFFFFF,#122B33,#0D2026,#2D6D80,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
101,#7A6D9F,#522A9F,#6D2AEF,#260D47,#7225D1,#2F2D42,#3E4A7C,#342166,#4B2DB9,#07030E,#3D2D9F,#131734,#FFFFFF,#FFFFFF,#FFFFFF,#131733,#131734,#2F3980,#FFFFFF,#FFFFFF,#FFFFFF,#131733,#131734,#2F3980,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
102,#ABA5DB,#53566E,#8F95BE,#AFBEE8,#8D94BB,#313241,#6B83B9,#252D52,#46669D,#72ABC5,#45679A,#161E33,#FFFFFF,#FFFFFF,#FFFFFF,#161D33,#161E33,#374980,#FFFFFF,#FFFFFF,#FFFFFF,#161D33,#161E33,#374980,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
103,#416A4C,#6A225C,#D180BE,#D846C8,#7ECEA1,#6A5A65,#24404F,#160B17,#914EAF,#7B4B90,#5184B4,#42294B,#FFFFFF,#FFFFFF,#FFFFFF,#2D1C33,#42294B,#714580,#FFFFFF,#FFFFFF,#FFFFFF,#2D1C33,#42294B,#714580,#4B2A2C,#BC9490,#FE9063,#594329,#713113,#D68C30
104,#49494E,#C8C9D9,#5C5DBF,#2936D9,#0E1548,#292A52,#1F1D39,#8B8DBA,#54487B,#232A9B,#07060D,#1D1A2C,#FFFFFF,#FFFFFF,#FFFFFF,#221E33,#1D1A2C,#544B80,#FFFFFF,#FFFFFF,#FFFFFF,#221E33,#1D1A2C,#544B80,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
105,#ABA5DB,#53566E,#8F95BE,#AFBEE8,#8D94BB,#000000,#6B83B9,#252D52,#46669D,#72ABC5,#45679A,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
106,#7A6D9F,#522A9F,#6D2AEF,#260D47,#7225D1,#26262E,#3E4A7C,#342166,#4B2DB9,#07030E,#3D2D9F,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
107,#22B9C1,#C4232C,#1E5D60,#60301A,#C19C9B,#4F4344,#5371A2,#811842,#224545,#3C1F0D,#A67B7D,#372429,#FFFFFF,#FFFFFF,#FFFFFF,#332127,#372429,#805360,#FFFFFF,#FFFFFF,#FFFFFF,#332127,#372429,#805360,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
108,#7A6D9F,#522A9F,#6D2AEF,#260D47,#7225D1,#26262E,#3E4A7C,#342166,#4B2DB9,#07030E,#3D2D9F,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
109,#7C7A86,#372689,#F0F3DD,#BFC0D1,#907EE8,#2C2E50,#404564,#211A4F,#CBF3D8,#8389B3,#665FB2,#1D1B2B,#FFFFFF,#FFFFFF,#FFFFFF,#221F33,#1D1B2B,#544E80,#FFFFFF,#FFFFFF,#FFFFFF,#221F33,#1D1B2B,#544E80,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
110,#776971,#FCDEE9,#D42487,#63706B,#404846,#4B2532,#533E55,#E3BEFE,#8B3384,#435057,#20293A,#300B1E,#FFFFFF,#FFFFFF,#FFFFFF,#330B20,#300B1E,#801D50,#FFFFFF,#FFFFFF,#FFFFFF,#330B20,#300B1E,#801D50,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
111,#756B69,#542D24,#75171D,#DDDAD9,#C0255E,#543E38,#57484E,#3B100E,#2D0A19,#E0C3C0,#6F2757,#3B1F1D,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#3B1F1D,#80433F,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#3B1F1D,#80433F,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
112,#F3C08A,#5C4234,#51412E,#AA6F29,#AA901C,#673D0C,#CA8763,#45211D,#401618,#7C3F20,#956D30,#431009,#FFFFFF,#FFFFFF,#FFFFFF,#330C06,#431009,#801E10,#FFFFFF,#FFFFFF,#FFFFFF,#330C06,#431009,#801E10,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
113,#B1B296,#C4C837,#55562B,#C1C466,#494B0D,#444444,#7A8363,#64A641,#364018,#9C8F48,#081305,#322C26,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
114,#B1B296,#C4C837,#55562B,#C1C466,#494B0D,#444444,#7A8363,#64A641,#364018,#9C8F48,#081305,#322C26,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#FFFFFF,#FFFFFF,#FFFFFF,#332D27,#322C26,#807062,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
115,#193740,#56A7D8,#EC845E,#CCD4D9,#77382F,#5F5B59,#2C403A,#2F5AA8,#C05A3F,#9298B7,#51261F,#50384D,#FFFFFF,#FFFFFF,#FFFFFF,#332331,#50384D,#80587A,#FFFFFF,#FFFFFF,#FFFFFF,#332331,#50384D,#80587A,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
116,#EC8566,#8D7B75,#FA5A2A,#73C0EC,#37627A,#522F1C,#C05D47,#70575F,#C52A33,#3F7EB5,#2A425D,#481A14,#FFFFFF,#FFFFFF,#FFFFFF,#33120E,#481A14,#802E24,#FFFFFF,#FFFFFF,#FFFFFF,#33120E,#481A14,#802E24,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
117,#485A6D,#41322B,#D87E4E,#6D6038,#5AB0D8,#0A3341,#153853,#281613,#AA4E3C,#575423,#3263A8,#0D2026,#FFFFFF,#FFFFFF,#FFFFFF,#122B33,#0D2026,#2D6D80,#FFFFFF,#FFFFFF,#FFFFFF,#122B33,#0D2026,#2D6D80,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
201,#756B69,#542D24,#75171D,#DDDAD9,#C0255E,#543E38,#57484E,#3B100E,#2D0A19,#E0C3C0,#6F2757,#3B1F1D,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#3B1F1D,#80433F,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#3B1F1D,#80433F,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
202,#E5E5EC,#4648FC,#B19931,#544E33,#FCE996,#3C3E65,#D2D1ED,#3F41C1,#608236,#393F13,#D5B074,#182957,#FFFFFF,#FFFFFF,#FFFFFF,#0E1833,#182957,#233C80,#FFFFFF,#FFFFFF,#FFFFFF,#0E1833,#182957,#233C80,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
203,#B4E3D1,#8A6E72,#40EFAC,#34413D,#1E6047,#410C0C,#7396B0,#68445D,#5BAEBF,#161B2F,#14451E,#110305,#FFFFFF,#FFFFFF,#FFFFFF,#330910,#110305,#801628,#FFFFFF,#FFFFFF,#FFFFFF,#330910,#110305,#801628,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
204,#D53F99,#32A948,#78D5A3,#C56FA3,#D2D5D4,#5E5D5E,#833B7C,#2C646B,#4B81BA,#A54799,#93A1AA,#503951,#FFFFFF,#FFFFFF,#FFFFFF,#322433,#503951,#7D5A80,#FFFFFF,#FFFFFF,#FFFFFF,#322433,#503951,#7D5A80,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
205,#86D2CD,#26504D,#D2718E,#24948C,#40101F,#944E3E,#537DA0,#275349,#AD5A72,#39536D,#0F0A0A,#6D392D,#FFFFFF,#FFFFFF,#FFFFFF,#331B15,#6D392D,#804334,#FFFFFF,#FFFFFF,#FFFFFF,#331B15,#6D392D,#804334,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
1001,#EB83AA,#7E2546,#EB359B,#EBDEE0,#716C6B,#5A364A,#CB59A0,#2A1223,#9A3C8C,#ECBAE7,#534A4E,#3F1434,#FFFFFF,#FFFFFF,#FFFFFF,#33102A,#3F1434,#802869,#FFFFFF,#FFFFFF,#FFFFFF,#33102A,#3F1434,#802869,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1002,#54617A,#A2C2EB,#353F4E,#4D88EB,#2FB5EB,#33354A,#224259,#6394BC,#101C39,#4855A8,#406FC1,#16213D,#FFFFFF,#FFFFFF,#FFFFFF,#121C33,#16213D,#2E4580,#FFFFFF,#FFFFFF,#FFFFFF,#121C33,#16213D,#2E4580,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1003,#716A63,#F1DED3,#5DDEF1,#F14F59,#F17927,#113F54,#534445,#F2CBCD,#6799C7,#B1405A,#C8533B,#232C46,#FFFFFF,#FFFFFF,#FFFFFF,#1A2033,#232C46,#405180,#FFFFFF,#FFFFFF,#FFFFFF,#1A2033,#232C46,#405180,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1004,#93D4BD,#D45390,#D48FA1,#215646,#6A4857,#400F25,#597FA1,#953F79,#A85997,#34502B,#4F203E,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1005,#AFADA0,#56564E,#B0B441,#5D6010,#E1E829,#79797D,#9D9788,#384127,#44813F,#142F0E,#DBBE46,#2C4D4E,#FFFFFF,#FFFFFF,#FFFFFF,#1D3233,#2C4D4E,#487E80,#FFFFFF,#FFFFFF,#FFFFFF,#1D3233,#2C4D4E,#487E80,#9949FF,#F5F1FF,#7A70FF,#BAABFF,#2D3FFF,#C2A1FF
1006,#2F504E,#3DAFA7,#814C4C,#AF1F39,#AF969A,#180605,#111642,#516B95,#60333C,#62163E,#96787D,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1007,#2F504E,#3DAFA7,#814C4C,#AF1F39,#AF969A,#180605,#111642,#516B95,#60333C,#62163E,#96787D,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1008,#3069AA,#AA905D,#162B4E,#92A0AA,#423724,#423F0D,#3C466C,#8F5540,#171824,#737C95,#2D2B0B,#060B03,#FFFFFF,#FFFFFF,#FFFFFF,#1C330F,#060B03,#478025,#FFFFFF,#FFFFFF,#FFFFFF,#1C330F,#060B03,#478025,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1009,#565161,#CDCBD2,#576141,#4A6112,#351E61,#4D2E00,#252E51,#9892AD,#21432F,#0E2E14,#160E27,#1D0400,#FFFFFF,#FFFFFF,#FFFFFF,#330800,#1D0400,#801300,#FFFFFF,#FFFFFF,#FFFFFF,#330800,#1D0400,#801300,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1010,#9ED36D,#4F6739,#6F447C,#D0CAD3,#4B7C1B,#6A666A,#5BA16B,#1C4939,#2F235A,#9F91AD,#16463C,#3A3855,#FFFFFF,#FFFFFF,#FFFFFF,#232233,#3A3855,#575580,#FFFFFF,#FFFFFF,#FFFFFF,#232233,#3A3855,#575580,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1011,#871D3F,#BD2931,#87747E,#5EBDAB,#BD5A72,#334B47,#331227,#781C41,#624764,#617EA3,#984758,#15173A,#FFFFFF,#FFFFFF,#FFFFFF,#121533,#15173A,#2D3380,#FFFFFF,#FFFFFF,#FFFFFF,#121533,#15173A,#2D3380,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1012,#434342,#1E2143,#A0A09C,#EBE495,#797017,#434219,#312925,#17151B,#89887E,#D2B47C,#294817,#212E03,#FFFFFF,#FFFFFF,#FFFFFF,#253303,#212E03,#5C8009,#FFFFFF,#FFFFFF,#FFFFFF,#253303,#212E03,#5C8009,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1013,#444251,#4C5130,#282151,#465114,#6349E8,#09023A,#212343,#283B11,#110F15,#072115,#4D40AF,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1014,#8F5198,#609861,#4CF54E,#402443,#298C2B,#4A4B4A,#452C76,#38717B,#50C4C8,#180833,#23535B,#3D3B2F,#FFFFFF,#FFFFFF,#FFFFFF,#333127,#3D3B2F,#807961,#FFFFFF,#FFFFFF,#FFFFFF,#333127,#3D3B2F,#807961,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1015,#9B8043,#E4D1A7,#4A4029,#3B414A,#14294A,#332404,#7D4529,#DDA98C,#35350D,#161E35,#151521,#291006,#FFFFFF,#FFFFFF,#FFFFFF,#331308,#291006,#803013,#FFFFFF,#FFFFFF,#FFFFFF,#331308,#291006,#803013,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1016,#768AA7,#30568E,#625745,#DDC69C,#C88F32,#0B2141,#356887,#333852,#4C481E,#D79C82,#A0643D,#0D0D18,#FFFFFF,#FFFFFF,#FFFFFF,#1B1D33,#0D0D18,#444880,#FFFFFF,#FFFFFF,#FFFFFF,#1B1D33,#0D0D18,#444880,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1017,#4B364D,#699065,#61CA54,#264822,#551B5C,#112B04,#23143D,#3C7072,#4A8C8C,#0E3017,#170D1D,#061E11,#FFFFFF,#FFFFFF,#FFFFFF,#0A331C,#061E11,#1A8046,#FFFFFF,#FFFFFF,#FFFFFF,#0A331C,#061E11,#1A8046,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1101,#EB83AA,#7E2546,#EB359B,#EBDEE0,#716C6B,#5A364A,#CB59A0,#2A1223,#9A3C8C,#ECBAE7,#534A4E,#3F1434,#FFFFFF,#FFFFFF,#FFFFFF,#33102A,#3F1434,#802869,#FFFFFF,#FFFFFF,#FFFFFF,#33102A,#3F1434,#802869,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1102,#54617A,#A2C2EB,#353F4E,#4D88EB,#2FB5EB,#33354A,#224259,#6394BC,#101C39,#4855A8,#406FC1,#16213D,#FFFFFF,#FFFFFF,#FFFFFF,#121C33,#16213D,#2E4580,#FFFFFF,#FFFFFF,#FFFFFF,#121C33,#16213D,#2E4580,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1103,#716A63,#F1DED3,#5DDEF1,#F14F59,#F17927,#113F54,#534445,#F2CBCD,#6799C7,#B1405A,#C8533B,#232C46,#FFFFFF,#FFFFFF,#FFFFFF,#1A2033,#232C46,#405180,#FFFFFF,#FFFFFF,#FFFFFF,#1A2033,#232C46,#405180,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1104,#93D4BD,#D45390,#D48FA1,#215646,#6A4857,#400F25,#597FA1,#953F79,#A85997,#34502B,#4F203E,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1105,#AFADA0,#56564E,#B0B441,#5D6010,#E1E829,#79797D,#9D9788,#384127,#44813F,#142F0E,#DBBE46,#2C4D4E,#FFFFFF,#FFFFFF,#FFFFFF,#1D3233,#2C4D4E,#487E80,#FFFFFF,#FFFFFF,#FFFFFF,#1D3233,#2C4D4E,#487E80,#9949FF,#F5F1FF,#7A70FF,#BAABFF,#2D3FFF,#C2A1FF
1106,#2F504E,#3DAFA7,#814C4C,#AF1F39,#AF969A,#180605,#111642,#516B95,#60333C,#62163E,#96787D,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1107,#2F504E,#3DAFA7,#814C4C,#AF1F39,#AF969A,#180605,#111642,#516B95,#60333C,#62163E,#96787D,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1108,#3069AA,#AA905D,#162B4E,#92A0AA,#423724,#423F0D,#3C466C,#8F5540,#171824,#737C95,#2D2B0B,#060B03,#FFFFFF,#FFFFFF,#FFFFFF,#1C330F,#060B03,#478025,#FFFFFF,#FFFFFF,#FFFFFF,#1C330F,#060B03,#478025,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1109,#565161,#CDCBD2,#576141,#4A6112,#351E61,#4D2E00,#252E51,#9892AD,#21432F,#0E2E14,#160E27,#1D0400,#FFFFFF,#FFFFFF,#FFFFFF,#330800,#1D0400,#801300,#FFFFFF,#FFFFFF,#FFFFFF,#330800,#1D0400,#801300,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
1110,#9ED36D,#4F6739,#6F447C,#D0CAD3,#4B7C1B,#6A666A,#5BA16B,#1C4939,#2F235A,#9F91AD,#16463C,#3A3855,#FFFFFF,#FFFFFF,#FFFFFF,#232233,#3A3855,#575580,#FFFFFF,#FFFFFF,#FFFFFF,#232233,#3A3855,#575580,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1111,#871D3F,#BD2931,#87747E,#5EBDAB,#BD5A72,#334B47,#331227,#781C41,#624764,#617EA3,#984758,#15173A,#FFFFFF,#FFFFFF,#FFFFFF,#121533,#15173A,#2D3380,#FFFFFF,#FFFFFF,#FFFFFF,#121533,#15173A,#2D3380,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1112,#434342,#1E2143,#A0A09C,#EBE495,#797017,#434219,#312925,#17151B,#89887E,#D2B47C,#294817,#212E03,#FFFFFF,#FFFFFF,#FFFFFF,#253303,#212E03,#5C8009,#FFFFFF,#FFFFFF,#FFFFFF,#253303,#212E03,#5C8009,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1113,#444251,#4C5130,#282151,#465114,#6349E8,#09023A,#212343,#283B11,#110F15,#072115,#4D40AF,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1114,#8F5198,#609861,#4CF54E,#402443,#298C2B,#4A4B4A,#452C76,#38717B,#50C4C8,#180833,#23535B,#3D3B2F,#FFFFFF,#FFFFFF,#FFFFFF,#333127,#3D3B2F,#807961,#FFFFFF,#FFFFFF,#FFFFFF,#333127,#3D3B2F,#807961,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
1115,#9B8043,#E4D1A7,#4A4029,#3B414A,#14294A,#332404,#7D4529,#DDA98C,#35350D,#161E35,#151521,#291006,#FFFFFF,#FFFFFF,#FFFFFF,#331308,#291006,#803013,#FFFFFF,#FFFFFF,#FFFFFF,#331308,#291006,#803013,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
