id,story_event_id,chara_id,card_id,rarity_1,rarity_2,rarity_3,rarity_4,rarity_5,start_date,end_date
136,1021,1001,100101,0,0,10,13,16,1672282800,1673319599
137,1021,1001,100102,0,0,10,13,16,1672282800,1673319599
138,1021,1001,100103,0,0,10,13,16,1672282800,1673319599
139,1021,1044,104401,0,0,10,13,16,1672282800,1673319599
140,1021,1011,101101,0,7,10,13,16,1672282800,1673319599
141,1021,1011,101102,0,0,10,13,16,1672282800,1673319599
142,1022,1027,102702,0,0,30,32,35,1675047600,1676257199
143,1022,1031,103102,0,0,30,32,35,1675047600,1676257199
144,1022,1027,102701,4,7,10,13,16,1675047600,1676257199
145,1022,1028,102801,0,0,10,13,16,1675047600,1676257199
146,1022,1031,103101,0,0,10,13,16,1675047600,1676257199
147,1023,1057,105701,0,0,30,32,35,1677207600,1678417199
148,1023,1066,106601,25,27,30,32,35,1677207600,1678417199
149,1023,1059,105901,0,0,10,13,16,1677207600,1678417199
150,1023,1059,105902,0,0,10,13,16,1677207600,1678417199
151,1023,1032,103201,4,7,10,13,16,1677207600,1678417199
152,1023,1017,101701,0,0,10,13,16,1677207600,1678417199
153,1023,1017,101702,0,0,10,13,16,1677207600,1678417199
