id,target_type,card_id,count,item_category_1,item_id_1,item_num_1,prop_id,location_id,motion_type,replace_index
52,8,102701,1,20,1002701,1,129200,138,1,-1
53,8,102702,1,20,1002702,1,129200,169,1,-1
54,8,102801,1,20,1002801,1,130500,139,5,0
55,8,102901,1,20,1002901,1,129100,140,9,-1
56,8,103001,1,20,1003001,1,129100,114,9,-1
57,8,103002,1,20,1003002,1,129100,141,9,-1
58,8,103101,1,20,1003101,1,129300,142,2,-1
59,8,103102,1,20,1003102,1,129300,170,2,-1
60,8,103201,1,20,1003201,1,130500,143,3,0
61,8,103301,1,20,1003301,1,129400,144,6,-1
62,8,103401,1,20,1003401,1,129300,145,2,-1
63,8,103402,1,20,1003402,1,129300,120,2,-1
64,8,103501,1,20,1003501,1,130500,101,2,0
65,8,103502,1,20,1003502,1,130500,146,2,0
66,8,103601,1,20,1003601,1,129400,147,6,2
67,8,103701,1,20,1003701,1,129100,148,3,1
68,8,103702,1,20,1003702,1,129100,139,3,1
69,8,103801,1,20,1003801,1,128700,116,11,-1
70,8,103802,1,20,1003802,1,128700,149,11,-1
71,8,103901,1,20,1003901,1,130500,150,5,0
72,8,104001,1,20,1004001,1,129400,151,10,-1
73,8,104002,1,20,1004002,1,129400,136,10,-1
74,8,104101,1,20,1004101,1,130500,152,2,2
75,8,104201,1,20,1004201,1,129200,153,4,-1
76,8,104301,1,20,1004301,1,130500,116,2,0
77,8,104401,1,20,1004401,1,128700,154,11,-1
78,8,104501,1,20,1004501,1,129100,106,3,-1
79,8,104502,1,20,1004502,1,129100,155,3,-1
80,8,104601,1,20,1004601,1,128700,156,11,1
81,8,104602,1,20,1004602,1,128700,157,11,1
82,8,104701,1,20,1004701,1,129200,103,1,-1
83,8,104801,1,20,1004801,1,130500,102,6,0
84,8,104901,1,20,1004901,1,129700,159,8,2
85,8,105001,1,20,1005001,1,130500,144,10,2
86,8,105002,1,20,1005002,1,130500,128,10,2
87,8,105101,1,20,1005101,1,129200,150,1,-1
88,8,105201,1,20,1005201,1,130500,101,5,0
89,8,105202,1,20,1005202,1,130500,150,5,0
90,8,105301,1,20,1005301,1,129300,101,2,3
91,8,105601,1,20,1005601,1,129100,160,9,-1
92,8,105602,1,20,1005602,1,129100,161,9,-1
93,8,105801,1,20,1005801,1,129100,162,9,-1
94,8,105802,1,20,1005802,1,129100,141,9,-1
95,8,105901,1,20,1005901,1,129400,103,10,-1
96,8,105902,1,20,1005902,1,129400,154,10,-1
97,8,106001,1,20,1006001,1,129700,163,7,-1
98,8,106002,1,20,1006002,1,129700,149,7,-1
99,8,106101,1,20,1006101,1,129400,102,10,-1
100,8,106102,1,20,1006102,1,129400,155,10,-1
101,8,106201,1,20,1006201,1,129100,106,3,1
102,8,106401,1,20,1006401,1,130500,164,11,0
103,8,106501,1,20,1006501,1,129300,165,2,4
104,8,106701,1,20,1006701,1,129100,148,3,1
105,8,106702,1,20,1006702,1,129100,166,3,1
106,8,106801,1,20,1006801,1,129700,114,7,-1
107,8,106802,1,20,1006802,1,129700,167,7,-1
108,8,106901,1,20,1006901,1,129200,103,1,-1
109,8,107101,1,20,1007101,1,129100,123,3,2
110,8,107201,1,20,1007201,1,129400,162,6,-1
111,8,107401,1,20,1007401,1,129100,123,3,-1
112,8,107801,1,20,1007801,1,129100,168,3,1
113,8,108701,1,20,1008701,1,128700,138,11,-1
114,8,109801,1,20,1009801,1,129300,104,5,-1
115,8,109901,1,20,1009901,1,129700,159,7,-1
116,8,110001,1,20,1010001,1,129100,106,3,-1
