id,cue_id
4511,0
4512,0
4513,0
4514,0
4515,0
4516,0
4517,0
4518,0
4519,0
4520,0
4521,0
4522,0
4523,0
4524,0
4525,0
4526,0
5920,9016
5921,9016
5922,9016
5930,9016
5931,9016
5932,9016
5933,9016
5935,9016
5936,9016
5937,9016
5940,9016
5941,9016
5945,9016
5946,9016
5947,9016
5948,9016
5950,9016
5955,9016
5960,9016
5965,9016
5970,9016
5975,9016
6001,9023
6002,9024
6003,9025
6004,9026
6005,9027
6006,9028
6007,9029
6008,9030
6009,9031
6010,9032
6011,9033
6012,9034
6013,9023
6014,9024
6015,9025
6016,9026
6017,9027
6018,9028
6019,9029
6020,9030
6021,9031
6022,9032
6023,9033
6024,9034
6025,9023
6026,9024
6029,9027
6030,9028
6031,9029
6032,9030
6033,9031
6034,9032
6035,9033
6036,9034
6037,9023
6038,9024
6041,9027
6042,9028
6043,9029
6044,9030
6045,9031
6046,9032
6047,9033
6048,9034
9057,9022
9058,9022
9062,9022
9063,9022
9064,9022
9066,9022
9068,9022
9071,9022
9073,9022
9074,9022
9076,9022
9077,9022
9078,9021
9079,9021
9080,9021
9083,9021
9084,9021
9086,9021
9087,9021
9090,9021
9091,9021
9092,9021
9093,9021
9177,9021
9178,9021
9179,9021
9181,9021
9183,9021
9185,9021
9186,9021
9187,9021
9212,9022
9214,9022
9215,9022
9217,9022
9218,9022
9219,9022
9220,9022
9222,9022
9224,9022
9225,9022
9226,9022
9227,9022
9228,9022
9230,9022
9231,9022
9233,9022
9235,9022
9237,9022
9238,9021
9239,9021
9240,9021
9241,9021
9242,9021
9243,9021
9245,9021
9246,9021
9248,9021
9249,9021
9250,9021
9307,9022
9309,9022
9310,9022
9312,9022
9313,9022
9315,9022
9317,9022
9319,9022
9321,9022
9322,9022
9323,9022
9324,9022
9325,9022
9327,9022
9329,9022
9331,9022
9332,9022
9333,9022
9334,9021
9335,9021
9336,9021
9338,9021
9340,9021
9341,9021
9342,9021
9364,9022
9366,9022
9368,9022
9370,9022
9372,9022
9374,9022
9375,9022
9376,9022
9378,9022
9380,9022
9381,9022
9382,9021
9383,9021
9386,9021
9388,9021
9389,9021
9390,9021
9391,9021
9392,9021
9393,9021
9394,9021
9395,9021
9396,9021
9397,9021
9398,9021
9399,9021
9400,9021
9401,9021
9402,9021
9403,9021
9404,9021
9405,9021
9406,9021
9407,9021
9500,9011
9501,9011
9502,9011
9503,9011
9504,9011
9505,9011
9506,9011
9510,9011
9511,9011
9512,9011
9513,9011
9514,9011
9515,9011
9516,9011
9517,9011
9520,9011
9521,9011
9522,9011
9523,9011
9524,9011
9525,9011
9526,9011
9527,9011
9528,9011
9529,9011
9530,9011
9531,9011
9532,9011
9533,9011
9534,9011
9535,9011
9536,9011
9540,9011
9541,9011
9542,9011
9543,9011
9550,9011
9551,9011
9552,9011
9561,9011
9562,9011
9600,9012
9601,9012
9602,9012
9603,9012
9604,9012
9605,9012
9606,9012
9610,9012
9611,9012
9612,9012
9613,9012
9614,9012
9615,9012
9616,9012
9617,9012
9620,9012
9621,9012
9622,9012
9623,9012
9624,9012
9625,9012
9626,9012
9627,9012
9628,9012
9629,9012
9630,9012
9631,9012
9632,9012
9633,9012
9634,9012
9635,9012
9636,9012
9640,9012
9641,9012
9642,9012
9643,9012
9650,9012
9651,9012
9652,9012
9661,9012
9662,9012
9700,9013
9701,9013
9702,9013
9703,9013
9704,9013
9705,9013
9706,9013
9710,9013
9711,9013
9712,9013
9713,9013
9714,9013
9715,9013
9716,9013
9717,9013
9720,9013
9721,9013
9722,9013
9723,9013
9724,9013
9725,9013
9726,9013
9727,9013
9728,9013
9729,9013
9730,9013
9731,9013
9732,9013
9733,9013
9734,9013
9735,9013
9736,9013
9740,9013
9741,9013
9742,9013
9743,9013
9750,9013
9751,9013
9752,9013
9761,9013
9762,9013
9999,9013
11001,9035
11002,9035
11003,9035
11004,9035
11005,9036
11006,9036
11013,9035
11014,9035
11015,9035
11016,9035
11017,9036
11018,9036
12000,9016
12001,9016
12002,9016
12003,9016
12004,9016
15001,9037
15002,9037
15003,9037
15004,9037
15005,9037
15006,9037
15007,9037
15008,9037
15009,9037
15010,9037
15011,9037
15012,9037
15013,9037
15014,9037
15015,9037
15016,9037
15017,9037
15018,9037
21000,2001
21150,2002
21200,2003
21300,2004
21400,2005
21500,2006
21600,2007
21700,2008
21800,2009
21900,2010
22000,2011
22100,2012
22200,2013
22300,2014
22400,2015
22500,2016
22600,2017
23000,2018
23200,2019
23400,2020
23600,2021
