music_id,sort,music_type,title_color_top,title_color_bottom,condition_type,song_chara_type,live_member_number,default_main_dress,default_main_dress_color,default_mob_dress,default_mob_dress_color,backdancer_order,backdancer_dress,backdancer_dress_color,has_live,start_date,end_date
1074,939,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1075,942,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1076,940,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1077,943,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1078,944,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1079,945,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
8501,920,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8502,921,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8503,922,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8504,923,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8505,924,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
9051,917,99,#cccccc,#cccccc,2,2,7,101,0,7,1,8,7,1,0,1658286000,4102412399
