id,talent_group_id,talent_level,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5,item_category_6,item_id_6,item_num_6
62,102701,3,11,7,30,11,80,5,11,91,5,0,0,0,0,0,0,0,0,0
63,102701,4,11,7,60,11,73,15,11,80,15,11,83,15,11,91,15,11,44,2
64,102701,5,11,7,100,11,73,30,11,80,30,11,83,30,11,91,30,11,44,10
65,103001,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,103001,3,11,10,30,11,74,5,11,83,5,0,0,0,0,0,0,0,0,0
67,103001,4,11,10,60,11,74,15,11,78,15,11,80,15,11,83,15,11,44,2
68,103001,5,11,10,100,11,74,30,11,78,30,11,80,30,11,83,30,11,44,10
69,103201,2,11,7,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,103201,3,11,7,30,11,73,5,11,91,5,0,0,0,0,0,0,0,0,0
71,103201,4,11,7,60,11,71,15,11,73,15,11,78,15,11,91,15,11,44,2
72,103201,5,11,7,100,11,71,30,11,73,30,11,78,30,11,91,30,11,44,10
73,103501,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,103501,3,11,7,30,11,78,5,11,83,5,0,0,0,0,0,0,0,0,0
75,103501,4,11,7,60,11,71,15,11,78,15,11,83,15,11,92,15,11,44,2
76,103501,5,11,7,100,11,71,30,11,78,30,11,83,30,11,92,30,11,44,10
77,104101,2,11,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,104101,3,11,1,30,11,81,5,11,85,5,0,0,0,0,0,0,0,0,0
79,104101,4,11,1,60,11,70,15,11,79,15,11,81,15,11,85,15,11,44,2
80,104101,5,11,1,100,11,70,30,11,79,30,11,81,30,11,85,30,11,44,10
81,104501,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,104501,3,11,10,30,11,74,5,11,83,5,0,0,0,0,0,0,0,0,0
83,104501,4,11,10,60,11,71,15,11,74,15,11,83,15,11,91,15,11,44,2
84,104501,5,11,10,100,11,71,30,11,74,30,11,83,30,11,91,30,11,44,10
85,105201,2,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,105201,3,11,13,30,11,69,5,11,102,5,0,0,0,0,0,0,0,0,0
87,105201,4,11,13,60,11,69,15,11,104,15,11,102,15,11,88,15,11,44,2
88,105201,5,11,13,100,11,69,30,11,104,30,11,102,30,11,88,30,11,44,10
89,105601,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,105601,3,11,10,30,11,80,5,11,83,5,0,0,0,0,0,0,0,0,0
91,105601,4,11,10,60,11,80,15,11,78,15,11,83,15,11,91,15,11,44,2
92,105601,5,11,10,100,11,80,30,11,78,30,11,83,30,11,91,30,11,44,10
93,106001,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,106001,3,11,7,30,11,84,5,11,91,5,0,0,0,0,0,0,0,0,0
95,106001,4,11,7,60,11,80,15,11,83,15,11,84,15,11,91,15,11,44,2
96,106001,5,11,7,100,11,80,30,11,83,30,11,84,30,11,91,30,11,44,10
97,106101,2,11,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,106101,3,11,1,30,11,70,5,11,73,5,0,0,0,0,0,0,0,0,0
99,106101,4,11,1,60,11,70,15,11,73,15,11,84,15,11,92,15,11,44,2
100,106101,5,11,1,100,11,70,30,11,73,30,11,84,30,11,92,30,11,44,10
101,101501,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,101501,3,11,10,30,11,80,5,11,74,5,0,0,0,0,0,0,0,0,0
103,101501,4,11,10,60,11,80,15,11,74,15,11,73,15,11,91,15,11,44,2
104,101501,5,11,10,100,11,80,30,11,74,30,11,73,30,11,91,30,11,44,10
105,1,2,11,25,1,11,26,1,11,27,1,11,28,1,11,28,1,11,28,1
106,1,3,11,25,1,11,26,1,11,27,1,11,28,1,11,28,1,11,28,1
107,1,4,11,25,1,11,26,1,11,27,1,11,28,1,11,28,1,11,28,1
108,1,5,11,25,1,11,26,1,11,27,1,11,28,1,11,28,1,11,28,1
109,102601,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,102601,3,11,7,30,11,90,5,11,73,5,0,0,0,0,0,0,0,0,0
111,102601,4,11,7,60,11,90,15,11,73,15,11,78,15,11,83,15,11,44,2
112,102601,5,11,7,100,11,90,30,11,73,30,11,78,30,11,83,30,11,44,10
113,102301,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,102301,3,11,7,30,11,80,5,11,74,5,0,0,0,0,0,0,0,0,0
115,102301,4,11,7,60,11,80,15,11,74,15,11,83,15,11,78,15,11,44,2
116,102301,5,11,7,100,11,80,30,11,74,30,11,83,30,11,78,30,11,44,10
117,100302,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,100302,3,11,7,30,11,78,5,11,91,5,0,0,0,0,0,0,0,0,0
119,100302,4,11,7,60,11,78,15,11,91,15,11,87,15,11,74,15,11,44,2
120,100302,5,11,7,100,11,78,30,11,91,30,11,87,30,11,74,30,11,44,10
121,101302,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,101302,3,11,10,30,11,74,5,11,80,5,0,0,0,0,0,0,0,0,0
123,101302,4,11,10,60,11,74,15,11,80,15,11,83,15,11,71,15,11,44,2
124,101302,5,11,10,100,11,74,30,11,80,30,11,83,30,11,71,30,11,44,10
125,103801,2,11,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,103801,3,11,1,30,11,81,5,11,70,5,0,0,0,0,0,0,0,0,0
127,103801,4,11,1,60,11,81,15,11,70,15,11,72,15,11,76,15,11,44,2
128,103801,5,11,1,100,11,81,30,11,70,30,11,72,30,11,76,30,11,44,10
129,105001,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,105001,3,11,7,30,11,73,5,11,92,5,0,0,0,0,0,0,0,0,0
131,105001,4,11,7,60,11,73,15,11,92,15,11,78,15,11,74,15,11,44,2
132,105001,5,11,7,100,11,73,30,11,92,30,11,78,30,11,74,30,11,44,10
133,104601,2,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,104601,3,11,13,30,11,106,5,11,103,5,0,0,0,0,0,0,0,0,0
135,104601,4,11,13,60,11,106,15,11,103,15,11,105,15,11,101,15,11,44,2
136,104601,5,11,13,100,11,106,30,11,103,30,11,105,30,11,101,30,11,44,10
137,101601,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,101601,3,11,10,30,11,83,5,11,91,5,0,0,0,0,0,0,0,0,0
139,101601,4,11,10,60,11,73,15,11,78,15,11,83,15,11,91,15,11,44,2
140,101601,5,11,10,100,11,73,30,11,78,30,11,83,30,11,91,30,11,44,10
141,105602,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,105602,3,11,10,30,11,71,5,11,83,5,0,0,0,0,0,0,0,0,0
143,105602,4,11,10,60,11,71,15,11,78,15,11,83,15,11,91,15,11,44,2
144,105602,5,11,10,100,11,71,30,11,78,30,11,83,30,11,91,30,11,44,10
145,101802,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,101802,3,11,7,30,11,77,5,11,86,5,0,0,0,0,0,0,0,0,0
147,101802,4,11,7,60,11,77,15,11,86,15,11,89,15,11,76,15,11,44,2
148,101802,5,11,7,100,11,77,30,11,86,30,11,89,30,11,76,30,11,44,10
149,102402,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,102402,3,11,10,30,11,80,5,11,84,5,0,0,0,0,0,0,0,0,0
151,102402,4,11,10,60,11,80,15,11,84,15,11,83,15,11,91,15,11,44,2
152,102402,5,11,10,100,11,80,30,11,84,30,11,83,30,11,91,30,11,44,10
153,102001,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,102001,3,11,7,30,11,73,5,11,83,5,0,0,0,0,0,0,0,0,0
155,102001,4,11,7,60,11,73,15,11,74,15,11,78,15,11,83,15,11,44,2
156,102001,5,11,7,100,11,73,30,11,74,30,11,78,30,11,83,30,11,44,10
157,101201,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,101201,3,11,7,30,11,87,5,11,89,5,0,0,0,0,0,0,0,0,0
159,101201,4,11,7,60,11,77,15,11,87,15,11,89,15,11,91,15,11,44,2
160,101201,5,11,7,100,11,77,30,11,87,30,11,89,30,11,91,30,11,44,10
161,101102,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,101102,3,11,7,30,11,80,5,11,91,5,0,0,0,0,0,0,0,0,0
163,101102,4,11,7,60,11,79,15,11,80,15,11,90,15,11,91,15,11,44,2
164,101102,5,11,7,100,11,79,30,11,80,30,11,90,30,11,91,30,11,44,10
165,101402,2,11,7,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,101402,3,11,7,30,11,75,5,11,87,5,0,0,0,0,0,0,0,0,0
167,101402,4,11,7,60,11,75,15,11,78,15,11,80,15,11,87,15,11,44,2
168,101402,5,11,7,100,11,75,30,11,78,30,11,80,30,11,87,30,11,44,10
169,100501,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,100501,3,11,4,30,11,73,5,11,90,5,0,0,0,0,0,0,0,0,0
171,100501,4,11,4,60,11,70,15,11,73,15,11,78,15,11,90,15,11,44,2
172,100501,5,11,4,100,11,70,30,11,73,30,11,78,30,11,90,30,11,44,10
173,104001,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,104001,3,11,4,30,11,73,5,11,89,5,0,0,0,0,0,0,0,0,0
175,104001,4,11,4,60,11,71,15,11,73,15,11,83,15,11,89,15,11,44,2
176,104001,5,11,4,100,11,71,30,11,73,30,11,83,30,11,89,30,11,44,10
177,100102,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,100102,3,11,10,30,11,78,5,11,80,5,0,0,0,0,0,0,0,0,0
179,100102,4,11,10,60,11,74,15,11,78,15,11,80,15,11,84,15,11,44,2
180,100102,5,11,10,100,11,74,30,11,78,30,11,80,30,11,84,30,11,44,10
181,100402,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,100402,3,11,4,30,11,78,5,11,79,5,0,0,0,0,0,0,0,0,0
183,100402,4,11,4,60,11,71,15,11,78,15,11,79,15,11,84,15,11,44,2
184,100402,5,11,4,100,11,71,30,11,78,30,11,79,30,11,84,30,11,44,10
185,105801,2,11,7,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,105801,3,11,7,30,11,80,5,11,91,5,0,0,0,0,0,0,0,0,0
187,105801,4,11,7,60,11,74,15,11,80,15,11,87,15,11,91,15,11,44,2
188,105801,5,11,7,100,11,74,30,11,80,30,11,87,30,11,91,30,11,44,10
189,103701,2,11,7,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,103701,3,11,7,30,11,78,5,11,84,5,0,0,0,0,0,0,0,0,0
191,103701,4,11,7,60,11,74,15,11,78,15,11,84,15,11,91,15,11,44,2
192,103701,5,11,7,100,11,74,30,11,78,30,11,84,30,11,91,30,11,44,10
193,102801,2,11,1,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,102801,3,11,1,30,11,70,5,11,81,5,0,0,0,0,0,0,0,0,0
195,102801,4,11,1,60,11,70,15,11,79,15,11,81,15,11,85,15,11,44,2
196,102801,5,11,1,100,11,70,30,11,79,30,11,81,30,11,85,30,11,44,10
197,101901,2,11,4,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,101901,3,11,4,30,11,69,5,11,84,5,0,0,0,0,0,0,0,0,0
199,101901,4,11,4,60,11,69,15,11,79,15,11,84,15,11,85,15,11,44,2
200,101901,5,11,4,100,11,69,30,11,79,30,11,84,30,11,85,30,11,44,10
201,103002,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,103002,3,11,10,30,11,74,5,11,83,5,0,0,0,0,0,0,0,0,0
203,103002,4,11,10,60,11,74,15,11,80,15,11,83,15,11,84,15,11,44,2
204,103002,5,11,10,100,11,74,30,11,80,30,11,83,30,11,84,30,11,44,10
205,104502,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,104502,3,11,10,30,11,83,5,11,84,5,0,0,0,0,0,0,0,0,0
207,104502,4,11,10,60,11,83,15,11,84,15,11,87,15,11,91,15,11,44,2
208,104502,5,11,10,100,11,83,30,11,84,30,11,87,30,11,91,30,11,44,10
209,103901,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,103901,3,11,7,30,11,77,5,11,82,5,0,0,0,0,0,0,0,0,0
211,103901,4,11,7,60,11,76,15,11,77,15,11,82,15,11,86,15,11,44,2
212,103901,5,11,7,100,11,76,30,11,77,30,11,82,30,11,86,30,11,44,10
213,102501,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,102501,3,11,10,30,11,74,5,11,83,5,0,0,0,0,0,0,0,0,0
215,102501,4,11,10,60,11,74,15,11,83,15,11,87,15,11,91,15,11,44,2
216,102501,5,11,10,100,11,74,30,11,83,30,11,87,30,11,91,30,11,44,10
217,101702,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,101702,3,11,7,30,11,83,5,11,91,5,0,0,0,0,0,0,0,0,0
219,101702,4,11,7,60,11,83,15,11,84,15,11,87,15,11,91,15,11,44,2
220,101702,5,11,7,100,11,83,30,11,84,30,11,87,30,11,91,30,11,44,10
221,104002,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,104002,3,11,4,30,11,83,5,11,89,5,0,0,0,0,0,0,0,0,0
223,104002,4,11,4,60,11,80,15,11,83,15,11,87,15,11,89,15,11,44,2
224,104002,5,11,4,100,11,80,30,11,83,30,11,87,30,11,89,30,11,44,10
225,104801,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,104801,3,11,7,30,11,74,5,11,84,5,0,0,0,0,0,0,0,0,0
227,104801,4,11,7,60,11,71,15,11,74,15,11,84,15,11,87,15,11,44,2
228,104801,5,11,7,100,11,71,30,11,74,30,11,84,30,11,87,30,11,44,10
229,105901,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,105901,3,11,7,30,11,77,5,11,86,5,0,0,0,0,0,0,0,0,0
231,105901,4,11,7,60,11,77,15,11,82,15,11,86,15,11,89,15,11,44,2
232,105901,5,11,7,100,11,77,30,11,82,30,11,86,30,11,89,30,11,44,10
233,100602,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,100602,3,11,7,30,11,87,5,11,90,5,0,0,0,0,0,0,0,0,0
235,100602,4,11,7,60,11,85,15,11,87,15,11,90,15,11,91,15,11,44,2
236,100602,5,11,7,100,11,85,30,11,87,30,11,90,30,11,91,30,11,44,10
237,102302,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,102302,3,11,7,30,11,80,5,11,91,5,0,0,0,0,0,0,0,0,0
239,102302,4,11,7,60,11,80,15,11,83,15,11,90,15,11,91,15,11,44,2
240,102302,5,11,7,100,11,80,30,11,83,30,11,90,30,11,91,30,11,44,10
241,101502,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,101502,3,11,10,30,11,87,5,11,91,5,0,0,0,0,0,0,0,0,0
243,101502,4,11,10,60,11,80,15,11,84,15,11,87,15,11,91,15,11,44,2
244,101502,5,11,10,100,11,80,30,11,84,30,11,87,30,11,91,30,11,44,10
245,102201,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,102201,3,11,7,30,11,82,5,11,86,5,0,0,0,0,0,0,0,0,0
247,102201,4,11,7,60,11,82,15,11,85,15,11,86,15,11,91,15,11,44,2
248,102201,5,11,7,100,11,82,30,11,85,30,11,86,30,11,91,30,11,44,10
249,102101,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,102101,3,11,10,30,11,74,5,11,84,5,0,0,0,0,0,0,0,0,0
251,102101,4,11,10,60,11,74,15,11,80,15,11,84,15,11,87,15,11,44,2
252,102101,5,11,10,100,11,74,30,11,80,30,11,84,30,11,87,30,11,44,10
253,105202,2,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,105202,3,11,13,30,11,69,5,11,102,5,0,0,0,0,0,0,0,0,0
255,105202,4,11,13,60,11,69,15,11,88,15,11,102,15,11,91,15,11,44,2
256,105202,5,11,13,100,11,69,30,11,88,30,11,102,30,11,91,30,11,44,10
257,106901,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,106901,3,11,7,30,11,78,5,11,90,5,0,0,0,0,0,0,0,0,0
259,106901,4,11,7,60,11,73,15,11,78,15,11,80,15,11,90,15,11,44,2
260,106901,5,11,7,100,11,73,30,11,78,30,11,80,30,11,90,30,11,44,10
261,102602,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,102602,3,11,7,30,11,73,5,11,78,5,0,0,0,0,0,0,0,0,0
263,102602,4,11,7,60,11,73,15,11,78,15,11,87,15,11,90,15,11,44,2
264,102602,5,11,7,100,11,73,30,11,78,30,11,87,30,11,90,30,11,44,10
265,103702,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,103702,3,11,7,30,11,78,5,11,84,5,0,0,0,0,0,0,0,0,0
267,103702,4,11,7,60,11,71,15,11,78,15,11,80,15,11,84,15,11,44,2
268,103702,5,11,7,100,11,71,30,11,78,30,11,80,30,11,84,30,11,44,10
269,107101,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,107101,3,11,7,30,11,78,5,11,84,5,0,0,0,0,0,0,0,0,0
271,107101,4,11,7,60,11,71,15,11,78,15,11,84,15,11,87,15,11,44,2
272,107101,5,11,7,100,11,71,30,11,78,30,11,84,30,11,87,30,11,44,10
273,103301,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,103301,3,11,7,30,11,78,5,11,92,5,0,0,0,0,0,0,0,0,0
275,103301,4,11,7,60,11,73,15,11,78,15,11,80,15,11,92,15,11,44,2
276,103301,5,11,7,100,11,73,30,11,78,30,11,80,30,11,92,30,11,44,10
277,106201,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,106201,3,11,10,30,11,74,5,11,83,5,0,0,0,0,0,0,0,0,0
279,106201,4,11,10,60,11,74,15,11,78,15,11,83,15,11,91,15,11,44,2
280,106201,5,11,10,100,11,74,30,11,78,30,11,83,30,11,91,30,11,44,10
281,106801,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,106801,3,11,10,30,11,74,5,11,91,5,0,0,0,0,0,0,0,0,0
283,106801,4,11,10,60,11,74,15,11,83,15,11,84,15,11,91,15,11,44,2
284,106801,5,11,10,100,11,74,30,11,83,30,11,84,30,11,91,30,11,44,10
285,106701,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,106701,3,11,10,30,11,83,5,11,91,5,0,0,0,0,0,0,0,0,0
287,106701,4,11,10,60,11,74,15,11,78,15,11,83,15,11,91,15,11,44,2
288,106701,5,11,10,100,11,74,30,11,78,30,11,83,30,11,91,30,11,44,10
289,107401,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,107401,3,11,10,30,11,74,5,11,92,5,0,0,0,0,0,0,0,0,0
291,107401,4,11,10,60,11,74,15,11,83,15,11,91,15,11,92,15,11,44,2
292,107401,5,11,10,100,11,74,30,11,83,30,11,91,30,11,92,30,11,44,10
293,100502,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,100502,3,11,4,30,11,73,5,11,90,5,0,0,0,0,0,0,0,0,0
295,100502,4,11,4,60,11,70,15,11,73,15,11,75,15,11,90,15,11,44,2
296,100502,5,11,4,100,11,70,30,11,73,30,11,75,30,11,90,30,11,44,10
297,102002,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,102002,3,11,7,30,11,73,5,11,83,5,0,0,0,0,0,0,0,0,0
299,102002,4,11,7,60,11,73,15,11,78,15,11,83,15,11,84,15,11,44,2
300,102002,5,11,7,100,11,73,30,11,78,30,11,83,30,11,84,30,11,44,10
301,105101,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,105101,3,11,4,30,11,72,5,11,81,5,0,0,0,0,0,0,0,0,0
303,105101,4,11,4,60,11,72,15,11,79,15,11,81,15,11,89,15,11,44,2
304,105101,5,11,4,100,11,72,30,11,79,30,11,81,30,11,89,30,11,44,10
305,107201,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,107201,3,11,7,30,11,73,5,11,84,5,0,0,0,0,0,0,0,0,0
307,107201,4,11,7,60,11,71,15,11,73,15,11,79,15,11,84,15,11,44,2
308,107201,5,11,7,100,11,71,30,11,73,30,11,79,30,11,84,30,11,44,10
309,106002,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,106002,3,11,7,30,11,84,5,11,91,5,0,0,0,0,0,0,0,0,0
311,106002,4,11,7,60,11,71,15,11,80,15,11,84,15,11,91,15,11,44,2
312,106002,5,11,7,100,11,71,30,11,80,30,11,84,30,11,91,30,11,44,10
313,106102,2,11,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,106102,3,11,1,30,11,70,5,11,73,5,0,0,0,0,0,0,0,0,0
315,106102,4,11,1,60,11,70,15,11,73,15,11,81,15,11,92,15,11,44,2
316,106102,5,11,1,100,11,70,30,11,73,30,11,81,30,11,92,30,11,44,10
317,103101,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,103101,3,11,7,30,11,78,5,11,90,5,0,0,0,0,0,0,0,0,0
319,103101,4,11,7,60,11,73,15,11,78,15,11,84,15,11,90,15,11,44,2
320,103101,5,11,7,100,11,73,30,11,78,30,11,84,30,11,90,30,11,44,10
