id,champions_id,round,round_detail,start_date,end_date,interval_start_time,interval_end_time
43,8,0,0,1639710000,1640055599,1640055599,1640055599
44,8,1,0,1640055600,1640228399,1640228400,1640229299
45,8,2,0,1640228400,1640401199,1640401200,1640402099
46,8,3,1,1640401200,1640444399,1640444399,1640444399
47,8,3,2,1640444400,1640487599,1640487599,1640487599
48,8,3,3,1640487600,1640573999,1640573999,1640573999
49,9,0,0,1642474800,1642820399,1642820399,1642820399
50,9,1,0,1642820400,1642993199,1642993200,1642994099
51,9,2,0,1642993200,1643165999,1643166000,1643166899
52,9,3,1,1643166000,1643209199,1643209199,1643209199
53,9,3,2,1643209200,1643252399,1643252399,1643252399
54,9,3,3,1643252400,1643338799,1643338799,1643338799
55,10,0,0,1644807600,1645153199,1645153199,1645153199
56,10,1,0,1645153200,1645325999,1645326000,1645326899
57,10,2,0,1645326000,1645498799,1645498800,1645499699
58,10,3,1,1645498800,1645541999,1645541999,1645541999
59,10,3,2,1645542000,1645585199,1645585199,1645585199
60,10,3,3,1645585200,1645671599,1645671599,1645671599
61,11,0,0,1647572400,1647917999,1647917999,1647917999
62,11,1,0,1647918000,1648090799,1648090800,1648091699
63,11,2,0,1648090800,1648263599,1648263600,1648264499
64,11,3,1,1648263600,1648306799,1648306799,1648306799
65,11,3,2,1648306800,1648349999,1648349999,1648349999
66,11,3,3,1648350000,1648436399,1648436399,1648436399
67,12,0,0,1650337200,1650596399,1650596399,1650596399
68,12,1,0,1650596400,1650769199,1650769200,1650770099
69,12,2,0,1650769200,1650941999,1650942000,1650942899
70,12,3,1,1650942000,1650985199,1650985199,1650985199
71,12,3,2,1650985200,1651028399,1651028399,1651028399
72,12,3,3,1651028400,1651114799,1651114799,1651114799
73,13,0,0,1653015600,1653361199,1653361199,1653361199
74,13,1,0,1653361200,1653533999,1653534000,1653534899
75,13,2,0,1653534000,1653706799,1653706800,1653707699
76,13,3,1,1653706800,1653749999,1653749999,1653749999
77,13,3,2,1653750000,1653793199,1653793199,1653793199
78,13,3,3,1653793200,1653879599,1653879599,1653879599
79,14,0,0,1654830000,1655175599,1655175599,1655175599
80,14,1,0,1655175600,1655348399,1655348400,1655349299
81,14,2,0,1655348400,1655521199,1655521200,1655522099
82,14,3,1,1655521200,1655564399,1655564399,1655564399
83,14,3,2,1655564400,1655607599,1655607599,1655607599
84,14,3,3,1655607600,1655693999,1655693999,1655693999
85,15,0,0,1657508400,1657767599,1657767599,1657767599
86,15,1,0,1657767600,1657940399,1657940400,1657941299
87,15,2,0,1657940400,1658113199,1658113200,1658114099
88,15,3,1,1658113200,1658156399,1658156399,1658156399
89,15,3,2,1658156400,1658199599,1658199599,1658199599
90,15,3,3,1658199600,1658285999,1658285999,1658285999
91,16,0,0,1660100400,1660359599,1660359599,1660359599
92,16,1,0,1660359600,1660532399,1660532400,1660533299
93,16,2,0,1660532400,1660705199,1660705200,1660706099
94,16,3,1,1660705200,1660748399,1660748399,1660748399
95,16,3,2,1660748400,1660791599,1660791599,1660791599
96,16,3,3,1660791600,1660877999,1660877999,1660877999
97,17,0,0,1662951600,1663210799,1663210799,1663210799
98,17,1,0,1663210800,1663383599,1663383600,1663384499
99,17,2,0,1663383600,1663556399,1663556400,1663557299
100,17,3,1,1663556400,1663599599,1663599599,1663599599
101,17,3,2,1663599600,1663642799,1663642799,1663642799
102,17,3,3,1663642800,1663729199,1663729199,1663729199
103,18,0,0,1665457200,1665716399,1665716399,1665716399
104,18,1,0,1665716400,1665889199,1665889200,1665890099
105,18,2,0,1665889200,1666061999,1666062000,1666062899
106,18,3,1,1666062000,1666105199,1666105199,1666105199
107,18,3,2,1666105200,1666148399,1666148399,1666148399
108,18,3,3,1666148400,1666234799,1666234799,1666234799
109,19,0,0,1667962800,1668308399,1668308399,1668308399
110,19,1,0,1668308400,1668481199,1668481200,1668482099
111,19,2,0,1668481200,1668653999,1668654000,1668654899
112,19,3,1,1668654000,1668697199,1668697199,1668697199
113,19,3,2,1668697200,1668740399,1668740399,1668740399
114,19,3,3,1668740400,1668826799,1668826799,1668826799
115,20,0,0,1670814000,1671073199,1671073199,1671073199
116,20,1,0,1671073200,1671245999,1671246000,1671246899
117,20,2,0,1671246000,1671418799,1671418800,1671419699
118,20,3,1,1671418800,1671461999,1671461999,1671461999
119,20,3,2,1671462000,1671505199,1671505199,1671505199
120,20,3,3,1671505200,1671591599,1671591599,1671591599
121,21,0,0,1673319600,1673665199,1673665199,1673665199
122,21,1,0,1673665200,1673837999,1673838000,1673838899
123,21,2,0,1673838000,1674010799,1674010800,1674011699
124,21,3,1,1674010800,1674053999,1674053999,1674053999
125,21,3,2,1674054000,1674097199,1674097199,1674097199
126,21,3,3,1674097200,1674183599,1674183599,1674183599
127,22,0,0,1676257200,1676602799,1676602799,1676602799
128,22,1,0,1676602800,1676775599,1676775600,1676776499
129,22,2,0,1676775600,1676948399,1676948400,1676949299
130,22,3,1,1676948400,1676991599,1676991599,1676991599
131,22,3,2,1676991600,1677034799,1677034799,1677034799
132,22,3,3,1677034800,1677121199,1677121199,1677121199
