transfer_detail_id,transfer_event_id,trainer_type,difficulty,limited_type,start_date,end_date,cool_time,condition1_type,condition1_value1,condition1_value2,condition2_type,condition2_value1,condition2_value2,condition3_type,condition3_value1,condition3_value2,condition4_type,condition4_value1,condition4_value2,condition5_type,condition5_value1,condition5_value2
3001,3,223,3,1,1631242800,1631415599,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
3002,3,213,3,1,1631415600,1631588399,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
3003,3,102,2,3,1631242800,1631415599,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,3,202,2,3,1631415600,1631588399,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,3,201,1,5,1631242800,1631415599,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,3,101,1,5,1631415600,1631588399,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,4,133,3,1,1633921200,1634093999,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
4002,4,113,3,1,1634094000,1634266799,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
4003,4,202,2,3,1633921200,1634093999,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,4,102,2,3,1634094000,1634266799,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,4,101,1,5,1633921200,1634093999,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,4,201,1,5,1634094000,1634266799,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
5001,5,123,3,1,1636340400,1636513199,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
5002,5,223,3,1,1636513200,1636685999,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
5003,5,202,2,3,1636340400,1636513199,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
5004,5,102,2,3,1636513200,1636685999,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
5005,5,101,1,5,1636340400,1636513199,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,5,201,1,5,1636513200,1636685999,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,6,113,3,1,1640574000,1640746799,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
6002,6,213,3,1,1640746800,1640919599,0,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
6003,6,202,2,3,1640574000,1640746799,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,6,102,2,3,1640746800,1640919599,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,6,201,1,5,1640574000,1640746799,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,6,101,1,5,1640746800,1640919599,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
7001,7,123,3,1,1642474800,1642647599,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
7002,7,133,3,1,1642647600,1642820399,0,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
7003,7,202,2,3,1642474800,1642647599,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
7004,7,102,2,3,1642647600,1642820399,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
7005,7,201,1,5,1642474800,1642647599,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
7006,7,101,1,5,1642647600,1642820399,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
8001,8,223,3,1,1645066800,1645239599,0,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
8002,8,113,3,1,1645239600,1645412399,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
8003,8,202,2,3,1645066800,1645239599,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
8004,8,102,2,3,1645239600,1645412399,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
8005,8,101,1,5,1645066800,1645239599,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
8006,8,201,1,5,1645239600,1645412399,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
9001,9,133,3,1,1647399600,1647572399,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
9002,9,123,3,1,1647572400,1647745199,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
9003,9,102,2,3,1647399600,1647572399,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
9004,9,202,2,3,1647572400,1647745199,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
9005,9,201,1,5,1647399600,1647572399,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
9006,9,101,1,5,1647572400,1647745199,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
10001,10,223,3,1,1649646000,1649818799,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
10002,10,123,3,1,1649818800,1649991599,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
10003,10,102,2,3,1649646000,1649818799,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,10,202,2,3,1649818800,1649991599,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,10,201,1,5,1649646000,1649818799,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,10,101,1,5,1649818800,1649991599,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,11,113,3,1,1652929200,1653101999,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
11002,11,213,3,1,1653102000,1653274799,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
11003,11,102,2,3,1652929200,1653101999,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
11004,11,202,2,3,1653102000,1653274799,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
11005,11,201,1,5,1652929200,1653101999,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
11006,11,101,1,5,1653102000,1653274799,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,12,133,3,1,1655694000,1655866799,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
12002,12,223,3,1,1655866800,1656039599,0,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
12003,12,102,2,3,1655694000,1655866799,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
12004,12,202,2,3,1655866800,1656039599,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
12005,12,201,1,5,1655694000,1655866799,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
12006,12,101,1,5,1655866800,1656039599,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
13001,13,304,4,1,1658286000,1658890799,0,900,26,0,0,0,0,0,0,0,0,0,0,0,0,0
13002,13,263,3,1,1658286000,1658890799,0,410,6,0,900,131,0,0,0,0,0,0,0,0,0,0
13003,13,293,3,1,1658286000,1658890799,0,400,6,0,900,7,0,0,0,0,0,0,0,0,0,0
13004,13,242,2,3,1658286000,1658890799,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13005,13,252,2,3,1658286000,1658890799,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13006,13,304,4,1,1658890800,1659495599,0,900,27,0,0,0,0,0,0,0,0,0,0,0,0,0
13007,13,283,3,1,1658890800,1659495599,0,320,6,0,900,130,0,0,0,0,0,0,0,0,0,0
13008,13,273,3,1,1658890800,1659495599,0,420,6,0,900,129,0,0,0,0,0,0,0,0,0,0
13009,13,262,2,3,1658890800,1659495599,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13010,13,292,2,3,1658890800,1659495599,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13011,13,304,4,1,1659495600,1660100399,0,900,49,0,0,0,0,0,0,0,0,0,0,0,0,0
13012,13,243,3,1,1659495600,1660100399,0,140,400,0,900,24,0,0,0,0,0,0,0,0,0,0
13013,13,253,3,1,1659495600,1660100399,0,420,6,0,900,42,0,0,0,0,0,0,0,0,0,0
13014,13,282,2,3,1659495600,1660100399,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
13015,13,272,2,3,1659495600,1660100399,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
14001,14,113,3,1,1660878000,1661050799,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
14002,14,123,3,1,1661050800,1661223599,0,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
14003,14,213,3,1,1661223600,1661396399,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
14004,14,202,2,3,1660878000,1661050799,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
14005,14,102,2,3,1661050800,1661223599,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
14006,14,202,2,3,1661223600,1661396399,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
14007,14,101,1,5,1660878000,1661050799,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
14008,14,201,1,5,1661050800,1661223599,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
14009,14,101,1,5,1661223600,1661396399,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
15001,15,223,3,1,1663642800,1663815599,0,210,6,0,900,128,0,0,0,0,0,0,0,0,0,0
15002,15,213,3,1,1663815600,1663988399,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
15003,15,102,2,3,1663642800,1663815599,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
15004,15,202,2,3,1663815600,1663988399,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
15005,15,201,1,5,1663642800,1663815599,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
15006,15,101,1,5,1663815600,1663988399,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
16001,16,113,3,1,1666148400,1666321199,0,400,6,0,900,128,0,0,0,0,0,0,0,0,0,0
16002,16,123,3,1,1666321200,1666493999,0,310,6,0,900,128,0,0,0,0,0,0,0,0,0,0
16003,16,102,2,3,1666148400,1666321199,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
16004,16,202,2,3,1666321200,1666493999,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
16005,16,201,1,5,1666148400,1666321199,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
16006,16,101,1,5,1666321200,1666493999,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0
17001,17,133,3,1,1668740400,1668913199,0,320,6,0,900,128,0,0,0,0,0,0,0,0,0,0
17002,17,113,3,1,1668913200,1669085999,0,420,6,0,900,128,0,0,0,0,0,0,0,0,0,0
17003,17,202,2,3,1668740400,1668913199,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
17004,17,102,2,3,1668913200,1669085999,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
17005,17,101,1,5,1668740400,1668913199,0,110,200,0,0,0,0,0,0,0,0,0,0,0,0,0
17006,17,201,1,5,1668913200,1669085999,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
18001,18,213,3,1,1671505200,1671677999,0,330,6,0,900,128,0,0,0,0,0,0,0,0,0,0
18002,18,223,3,1,1671678000,1671850799,0,430,6,0,900,128,0,0,0,0,0,0,0,0,0,0
18003,18,102,2,3,1671505200,1671677999,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
18004,18,202,2,3,1671678000,1671850799,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
18005,18,201,1,5,1671505200,1671677999,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
18006,18,101,1,5,1671678000,1671850799,0,120,200,0,0,0,0,0,0,0,0,0,0,0,0,0
19001,19,113,3,1,1674183600,1674356399,0,300,6,0,900,128,0,0,0,0,0,0,0,0,0,0
19002,19,123,3,1,1674356400,1674529199,0,410,6,0,900,128,0,0,0,0,0,0,0,0,0,0
19003,19,102,2,3,1674183600,1674356399,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
19004,19,202,2,3,1674356400,1674529199,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
19005,19,201,1,5,1674183600,1674356399,0,130,200,0,0,0,0,0,0,0,0,0,0,0,0,0
19006,19,101,1,5,1674356400,1674529199,0,140,200,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,20,304,4,1,1677207600,1677639599,0,900,52,0,0,0,0,0,0,0,0,0,0,0,0,0
20002,20,263,3,1,1677207600,1677639599,0,410,6,0,900,27,0,0,0,0,0,0,0,0,0,0
20003,20,293,3,1,1677207600,1677639599,0,400,6,0,900,34,0,0,0,0,0,0,0,0,0,0
20004,20,242,2,3,1677207600,1677639599,0,120,300,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,20,252,2,3,1677207600,1677639599,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,20,304,4,1,1677639600,1678071599,0,900,119,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,20,283,3,1,1677639600,1678071599,0,320,6,0,900,42,0,0,0,0,0,0,0,0,0,0
20008,20,273,3,1,1677639600,1678071599,0,320,6,0,900,102,0,0,0,0,0,0,0,0,0,0
20009,20,262,2,3,1677639600,1678071599,0,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,20,292,2,3,1677639600,1678071599,0,140,300,0,0,0,0,0,0,0,0,0,0,0,0,0
20011,20,304,4,1,1678071600,1678503599,0,900,54,0,0,0,0,0,0,0,0,0,0,0,0,0
20012,20,243,3,1,1678071600,1678503599,0,420,6,0,900,24,0,0,0,0,0,0,0,0,0,0
20013,20,253,3,1,1678071600,1678503599,0,420,6,0,900,20,0,0,0,0,0,0,0,0,0,0
20014,20,282,2,3,1678071600,1678503599,0,110,300,0,0,0,0,0,0,0,0,0,0,0,0,0
20015,20,272,2,3,1678071600,1678503599,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0
