id,roulette_id,story_event_id,sheet_num,can_loop,use_item_category,use_item_id,use_item_num,character_id,dress_id,reset_line,reward_set_id,roulette_max_num,start_date,end_date
79,1020,1020,3,0,94,45,10,1008,100846,8,41,25,1669604400,1671073199
80,1020,1020,4,1,94,45,10,1008,100846,1,7,25,1669604400,1671073199
81,1021,1021,1,0,94,45,10,1011,101101,8,42,25,1672282800,1673578799
82,1021,1021,2,0,94,45,10,1011,101101,8,42,25,1672282800,1673578799
83,1021,1021,3,0,94,45,10,1011,101101,8,43,25,1672282800,1673578799
84,1021,1021,4,1,94,45,10,1011,101101,1,7,25,1672282800,1673578799
85,1022,1022,1,0,94,45,10,1028,102801,8,44,25,1675047600,1676516399
86,1022,1022,2,0,94,45,10,1028,102801,8,44,25,1675047600,1676516399
87,1022,1022,3,0,94,45,10,1028,102801,8,45,25,1675047600,1676516399
88,1022,1022,4,1,94,45,10,1028,102801,1,7,25,1675047600,1676516399
89,1023,1023,1,0,94,45,10,1066,106601,8,46,25,1677207600,1678676399
90,1023,1023,2,0,94,45,10,1066,106601,8,46,25,1677207600,1678676399
91,1023,1023,3,0,94,45,10,1066,106601,8,47,25,1677207600,1678676399
92,1023,1023,4,1,94,45,10,1066,106601,1,7,25,1677207600,1678676399
