id,group_id,odds,item_exchange_id,ribbon_value
100,117,33300,10313,0
101,117,33300,10314,0
102,117,33300,10315,0
103,117,33300,10316,0
104,117,33300,10317,0
105,117,33300,10318,0
106,117,33300,10319,0
107,117,33300,10320,0
108,117,33300,10321,0
109,117,33300,10322,0
110,117,33300,10323,0
111,117,33300,10324,0
112,117,33300,10325,0
113,117,33300,10326,0
114,117,33300,10327,0
115,117,33300,10328,0
116,117,33300,10329,0
117,121,1000000,10220,0
118,122,1000000,10221,0
119,123,200000,10226,0
120,123,200000,10227,0
121,123,200000,10228,0
122,123,200000,10229,0
123,123,200000,10230,0
124,124,1000000,10232,0
125,125,7692,10000,0
126,125,7692,10003,0
127,125,7692,10004,0
128,125,7692,10010,0
129,125,7692,10016,0
130,125,7692,10043,0
131,125,7692,10026,0
132,125,7692,10027,0
133,125,7692,10029,0
134,125,7692,10031,0
135,125,7692,10033,0
136,125,7692,10040,0
137,125,7692,10037,0
138,125,7692,10038,0
139,125,7692,10039,0
140,125,7692,10045,0
141,125,7692,10046,0
142,125,7692,10047,0
143,125,7692,10048,0
144,125,7692,10049,0
145,125,7692,10050,0
146,125,7692,10051,0
147,125,7692,10052,0
148,125,7692,10053,0
149,125,7692,10054,0
150,125,7692,10055,0
151,125,87500,10005,0
152,125,87500,10006,0
153,125,87500,10007,0
154,125,87500,10013,0
155,125,112500,10017,0
156,125,112500,10019,0
157,125,112500,10022,0
158,125,112500,10023,0
159,126,8000,10001,0
160,126,8000,10002,0
161,126,8000,10008,0
162,126,8000,10012,0
163,126,8000,10041,0
164,126,8000,10044,0
165,126,8000,10025,0
166,126,8000,10028,0
167,126,8000,10030,0
168,126,8000,10032,0
169,126,8000,10034,0
170,126,8000,10036,0
171,126,8000,10035,0
172,126,8000,10042,0
173,126,8000,10056,0
174,126,8000,10057,0
175,126,8000,10058,0
176,126,8000,10059,0
177,126,8000,10060,0
178,126,8000,10061,0
179,126,8000,10062,0
180,126,8000,10063,0
181,126,8000,10064,0
182,126,8000,10065,0
183,126,8000,10066,0
184,126,87500,10009,0
185,126,87500,10011,0
186,126,87500,10020,0
187,126,87500,10014,0
188,126,112500,10015,0
189,126,112500,10018,0
190,126,112500,10021,0
191,126,112500,10024,0
192,127,33300,10300,0
193,127,33300,10301,0
194,127,33300,10302,0
195,127,33300,10303,0
196,127,33300,10304,0
197,127,33300,10305,0
198,127,33300,10306,0
199,127,33300,10307,0
200,127,33300,10308,0
201,127,33300,10309,0
202,127,33300,10310,0
203,127,33300,10311,0
204,127,33300,10312,0
205,127,33300,10313,0
206,127,33300,10314,0
207,127,33300,10315,0
208,127,33300,10316,0
209,127,33300,10317,0
210,127,33300,10318,0
211,127,33300,10319,0
212,127,33300,10320,0
213,127,33300,10321,0
214,127,33300,10322,0
215,127,33300,10323,0
216,127,33300,10324,0
217,127,33300,10325,0
218,127,33300,10326,0
219,127,33300,10327,0
220,127,33300,10328,0
221,127,33300,10329,0
222,131,1000000,10220,0
223,132,1000000,10221,0
224,133,200000,10226,0
225,133,200000,10227,0
226,133,200000,10228,0
227,133,200000,10229,0
228,133,200000,10230,0
229,134,1000000,10232,0
230,135,5555,10000,0
231,135,5555,10003,0
232,135,5555,10004,0
233,135,5555,10010,0
234,135,5555,10016,0
235,135,5555,10043,0
236,135,5555,10026,0
237,135,5555,10027,0
238,135,5555,10029,0
239,135,5555,10031,0
240,135,5555,10033,0
241,135,5555,10040,0
242,135,5555,10037,0
243,135,5555,10038,0
244,135,5555,10039,0
245,135,5555,10045,0
246,135,5555,10046,0
247,135,5555,10047,0
248,135,5555,10048,0
249,135,5555,10049,0
250,135,5555,10050,0
251,135,5555,10051,0
252,135,5555,10052,0
253,135,5555,10053,0
254,135,5555,10054,0
255,135,5555,10055,0
256,135,5555,10067,0
257,135,5555,10068,0
258,135,5555,10069,0
259,135,5555,10070,0
260,135,5555,10071,0
261,135,5555,10072,0
262,135,5555,10073,0
263,135,5555,10074,0
264,135,5555,10075,0
265,135,5555,10076,0
266,135,70000,10005,0
267,135,70000,10006,0
268,135,70000,10007,0
269,135,70000,10013,0
270,135,70000,10077,0
271,135,112500,10017,0
272,135,112500,10019,0
273,135,112500,10022,0
274,135,112500,10023,0
275,136,5405,10001,0
276,136,5405,10002,0
277,136,5405,10008,0
278,136,5405,10012,0
279,136,5405,10041,0
280,136,5405,10044,0
281,136,5405,10025,0
282,136,5405,10028,0
283,136,5405,10030,0
284,136,5405,10032,0
285,136,5405,10034,0
286,136,5405,10036,0
287,136,5405,10035,0
288,136,5405,10042,0
289,136,5405,10056,0
290,136,5405,10057,0
291,136,5405,10058,0
292,136,5405,10059,0
293,136,5405,10060,0
294,136,5405,10061,0
295,136,5405,10062,0
296,136,5405,10063,0
297,136,5405,10064,0
298,136,5405,10065,0
299,136,5405,10066,0
300,136,5405,10078,0
301,136,5405,10079,0
302,136,5405,10080,0
303,136,5405,10081,0
304,136,5405,10082,0
305,136,5405,10083,0
306,136,5405,10084,0
307,136,5405,10085,0
308,136,5405,10086,0
309,136,5405,10087,0
310,136,5405,10088,0
311,136,5405,10089,0
312,136,87500,10009,0
313,136,87500,10011,0
314,136,87500,10020,0
315,136,87500,10014,0
316,136,112500,10015,0
317,136,112500,10018,0
318,136,112500,10021,0
319,136,112500,10024,0
320,137,33300,10300,0
321,137,33300,10301,0
322,137,33300,10302,0
323,137,33300,10303,0
324,137,33300,10304,0
325,137,33300,10305,0
326,137,33300,10306,0
327,137,33300,10307,0
328,137,33300,10308,0
329,137,33300,10309,0
330,137,33300,10310,0
331,137,33300,10311,0
332,137,33300,10312,0
333,137,33300,10313,0
334,137,33300,10314,0
335,137,33300,10315,0
336,137,33300,10316,0
337,137,33300,10317,0
338,137,33300,10318,0
339,137,33300,10319,0
340,137,33300,10320,0
341,137,33300,10321,0
342,137,33300,10322,0
343,137,33300,10323,0
344,137,33300,10324,0
345,137,33300,10325,0
346,137,33300,10326,0
347,137,33300,10327,0
348,137,33300,10328,0
349,137,33300,10329,0
350,141,1000000,10220,0
351,142,1000000,10221,0
352,143,200000,10226,0
353,143,200000,10227,0
354,143,200000,10228,0
355,143,200000,10229,0
356,143,200000,10230,0
357,144,1000000,10232,0
358,145,5555,10000,0
359,145,5555,10003,0
360,145,5555,10004,0
361,145,5555,10010,0
362,145,5555,10016,0
363,145,5555,10043,0
364,145,5555,10026,0
365,145,5555,10027,0
366,145,5555,10029,0
367,145,5555,10031,0
368,145,5555,10033,0
369,145,5555,10040,0
370,145,5555,10037,0
371,145,5555,10038,0
372,145,5555,10039,0
373,145,5555,10045,0
374,145,5555,10046,0
375,145,5555,10047,0
376,145,5555,10048,0
377,145,5555,10049,0
378,145,5555,10050,0
379,145,5555,10051,0
380,145,5555,10052,0
381,145,5555,10053,0
382,145,5555,10054,0
383,145,5555,10055,0
384,145,5555,10067,0
385,145,5555,10068,0
386,145,5555,10069,0
387,145,5555,10070,0
388,145,5555,10071,0
389,145,5555,10072,0
390,145,5555,10073,0
391,145,5555,10074,0
392,145,5555,10075,0
393,145,5555,10076,0
394,145,70000,10005,0
395,145,70000,10006,0
396,145,70000,10007,0
397,145,70000,10013,0
398,145,70000,10077,0
399,145,112500,10017,0
400,145,112500,10019,0
401,145,112500,10022,0
402,145,112500,10023,0
403,146,5405,10001,0
404,146,5405,10002,0
405,146,5405,10008,0
406,146,5405,10012,0
407,146,5405,10041,0
408,146,5405,10044,0
409,146,5405,10025,0
410,146,5405,10028,0
411,146,5405,10030,0
412,146,5405,10032,0
413,146,5405,10034,0
414,146,5405,10036,0
415,146,5405,10035,0
416,146,5405,10042,0
417,146,5405,10056,0
418,146,5405,10057,0
419,146,5405,10058,0
420,146,5405,10059,0
421,146,5405,10060,0
422,146,5405,10061,0
423,146,5405,10062,0
424,146,5405,10063,0
425,146,5405,10064,0
426,146,5405,10065,0
427,146,5405,10066,0
428,146,5405,10078,0
429,146,5405,10079,0
430,146,5405,10080,0
431,146,5405,10081,0
432,146,5405,10082,0
433,146,5405,10083,0
434,146,5405,10084,0
435,146,5405,10085,0
436,146,5405,10086,0
437,146,5405,10087,0
438,146,5405,10088,0
439,146,5405,10089,0
440,146,87500,10009,0
441,146,87500,10011,0
442,146,87500,10020,0
443,146,87500,10014,0
444,146,112500,10015,0
445,146,112500,10018,0
446,146,112500,10021,0
447,146,112500,10024,0
448,147,30000,10300,0
449,147,30000,10301,0
450,147,30000,10302,0
451,147,30000,10303,0
452,147,30000,10304,0
453,147,30000,10305,0
454,147,30000,10306,0
455,147,30000,10307,0
456,147,30000,10308,0
457,147,30000,10309,0
458,147,30000,10310,0
459,147,30000,10311,0
460,147,30000,10312,0
461,147,30000,10313,0
462,147,30000,10314,0
463,147,30000,10315,0
464,147,30000,10316,0
465,147,30000,10317,0
466,147,30000,10318,0
467,147,30000,10319,0
468,147,30000,10320,0
469,147,30000,10321,0
470,147,30000,10322,0
471,147,30000,10323,0
472,147,30000,10324,0
473,147,30000,10325,0
474,147,30000,10326,0
475,147,30000,10327,0
476,147,30000,10328,0
477,147,30000,10329,0
478,147,30000,10330,0
479,147,30000,10331,0
480,147,30000,10332,0
481,147,30000,10333,0
482,155,4166,10000,0
483,155,4166,10003,0
484,155,4166,10004,0
485,155,4166,10010,0
486,155,4166,10016,0
487,155,4166,10043,0
488,155,4166,10026,0
489,155,4166,10027,0
490,155,4166,10029,0
491,155,4166,10031,0
492,155,4166,10033,0
493,155,4166,10040,0
494,155,4166,10037,0
495,155,4166,10038,0
496,155,4166,10039,0
497,155,4166,10045,0
498,155,4166,10046,0
499,155,4166,10047,0
500,155,4166,10048,0
501,155,4166,10049,0
502,155,4166,10050,0
503,155,4166,10051,0
504,155,4166,10052,0
505,155,4166,10053,0
506,155,4166,10054,0
507,155,4166,10055,0
508,155,4166,10067,0
509,155,4166,10068,0
510,155,4166,10069,0
511,155,4166,10070,0
512,155,4166,10071,0
513,155,4166,10072,0
514,155,4166,10073,0
515,155,4166,10074,0
516,155,4166,10075,0
517,155,4166,10076,0
518,155,4166,10091,0
519,155,4166,10094,0
520,155,4166,10095,0
521,155,4166,10097,0
522,155,4166,10099,0
523,155,4166,10100,0
524,155,4166,10104,0
525,155,4166,10105,0
526,155,4166,10106,0
527,155,4166,10111,0
528,155,4166,10113,0
529,155,4166,10114,0
530,155,70000,10005,0
531,155,70000,10006,0
532,155,70000,10007,0
533,155,70000,10013,0
534,155,70000,10077,0
535,155,112500,10017,0
536,155,112500,10019,0
537,155,112500,10022,0
538,155,112500,10023,0
539,156,4000,10001,0
540,156,4000,10002,0
541,156,4000,10008,0
542,156,4000,10012,0
543,156,4000,10041,0
544,156,4000,10044,0
545,156,4000,10025,0
546,156,4000,10028,0
547,156,4000,10030,0
548,156,4000,10032,0
549,156,4000,10034,0
550,156,4000,10036,0
551,156,4000,10035,0
552,156,4000,10042,0
553,156,4000,10056,0
554,156,4000,10057,0
555,156,4000,10058,0
556,156,4000,10059,0
557,156,4000,10060,0
558,156,4000,10061,0
559,156,4000,10062,0
560,156,4000,10063,0
561,156,4000,10064,0
562,156,4000,10065,0
563,156,4000,10066,0
564,156,4000,10078,0
565,156,4000,10079,0
566,156,4000,10080,0
567,156,4000,10081,0
568,156,4000,10082,0
569,156,4000,10083,0
570,156,4000,10084,0
571,156,4000,10085,0
572,156,4000,10086,0
573,156,4000,10087,0
574,156,4000,10088,0
575,156,4000,10089,0
576,156,4000,10090,0
577,156,4000,10092,0
578,156,4000,10093,0
579,156,4000,10096,0
580,156,4000,10098,0
581,156,4000,10101,0
582,156,4000,10102,0
583,156,4000,10103,0
584,156,4000,10107,0
585,156,4000,10109,0
586,156,4000,10108,0
587,156,4000,10110,0
588,156,4000,10112,0
589,156,87500,10009,0
590,156,87500,10011,0
591,156,87500,10020,0
592,156,87500,10014,0
593,156,112500,10015,0
594,156,112500,10018,0
595,156,112500,10021,0
596,156,112500,10024,0
