id,group_id,message,voice,per,comment_group,reuse,omit_tag
25,100200,ファンファーレが高らかに響く！\n春のGⅠ開幕戦、フェブラリーステークス！,1088701,100,0,0,0
26,100201,オオカン桜が見守るもとでの熱き戦い！\n電撃6ハロン、高松宮記念！,1088801,100,0,0,0
27,100202,早春の阪神に最強を自負するウマ娘が集う！\n春の中・長距離三冠、第一弾、大阪杯！,1088901,100,0,0,0
28,100203,咲き誇る桜が女王の誕生を待ち望む！\nクラシック第一弾！桜花賞！,1089001,100,0,0,0
29,100204,最も『はやい』ウマ娘が勝つという皐月賞！\n成長を見せつけるのは誰だ！,1089101,100,0,0,0
30,100205,唯一無二、一帖の盾をかけた熱き戦い！\n最長距離GⅠ天皇賞（春）！,1089201,100,0,0,0
31,100206,世代最速を自負するウマ娘が府中に集う！\nNHKマイルカップ！,1089301,100,0,0,0
32,100207,女神見守る府中に天使が舞い降りる！\nヴィクトリアに見初められた者が勝者となる！,1089401,100,0,0,0
33,100208,樫の女王を目指すウマ娘が府中に集う！\nオークスで戴冠するのは誰だ！,1089501,100,0,0,0
34,100209,すべてのウマ娘が目指す頂点、日本ダービー！\n歴史に蹄跡を残すのは誰だ！,1089601,100,0,0,0
35,100210,快速自慢が集う東京マイル・安田記念！\n春のマイル王は誰の手に！,1089701,100,0,0,0
36,100211,票に託されたファンの夢\n思いを力にかえて走るグランプリ・宝塚記念！,1089801,100,0,0,0
37,100212,秋の気配が近づく中山に快速自慢が集う！\n電光石火・スプリンターズステークス！,1089901,100,0,0,0
38,100213,賑やかな秋を彩る秋華たち\n秋華賞の舞台で美しく華を咲かせるのは誰だ！,1090001,100,0,0,0
39,100214,クラシックロードの終着点\n菊花賞を制し最強の称号を手にするのは誰だ！,1090101,100,0,0,0
40,100215,ウマ娘たちが追い求める一帖の盾\n鍛えた脚を武器に往く栄光への道！\n天皇賞（秋）！,1090201,100,0,0,0
41,100216,日の丸とユニオンジャックに見守られ、\n淀のターフでエリザベス女王杯を掲げるのは誰だ！,1090301,100,0,0,0
42,100217,長く続いたマイル路線も終わりを迎える\n王者誕生！　マイルチャンピオンシップ！,1090401,100,0,0,0
43,100218,世界のウマ娘が栄光を求め\nジャパンカップの府中に集う！\n日本勢は対抗できるのか！,1090501,100,0,0,0
44,100219,砂上の戦いを求める猛者が集う！\nダート王決定戦、チャンピオンズカップ！,1090601,100,0,0,0
45,100220,寒空の阪神に熱き心の若駒が揃う！\nクラシックへの道、阪神ジュベナイルフィリーズ！,1090701,100,0,0,0
46,100221,クラシックへの登竜門\n朝日杯フューチュリティステークス！\nここから道ははじまる！,1090801,100,0,0,0
47,100222,年末の中山で争われる夢のグランプリ・有馬記念！\nあなたの夢、私の夢は叶うのか！,1090901,100,0,0,0
48,100223,誰をも魅了し、心を奪う希望の星が誕生する！\nホープフルステークス！,1091001,100,0,0,0
49,100224,日々のトレーニングで力を蓄えたウマ娘たちが\nついにレースの舞台におりたちます！\nトレーニングレース！,1092301,100,0,0,0
50,100225,可能性を秘めたウマ娘たちが\nはじめて本番の舞台に立つ！\nビギナー戦スタート！,1091101,100,0,0,0
51,100226,最強と呼ばれる者ですら負けることはある\n敗者復活戦から再起を図るのは誰だ！,1091201,100,0,0,0
52,100227,一勝をあげてもウマ娘に休む暇はない\n新たな壁を突破するのは誰だ\nヴァルゴレース！,1091301,100,0,0,0
53,100228,黄道に美しく輝くハマルのように\n光を放つウマ娘は誰だ！\nアリエスレース！,1091401,100,0,0,0
54,100229,旅人に北を教える美しき星座\nウマ娘たちにも道しるべとなるのか！\nカシオペアレース！,1091501,100,0,0,0
55,100230,美しく輝くベテルギウスのように\n最も強い光となるのは誰だ！\nオリオンレース！,1091601,100,0,0,0
56,100231,トゥインクル・シリーズからの刺客\n%legend\nついにレジェンドを打ち負す者が現れるのか！？,1091701|%legend|1091702,100,0,0,0
57,100300,スピード自慢の快足ウマ娘たちが\n新潟1000ｍに集う,1034601,100,0,0,0
58,100800,現在、1番人気は%h_pop1,%w_0.3|1002701|%h_pop1,100,0,0,0
59,100800,このレース、最も人気を集めているのは\n%h_pop1、1番人気です,1002801|%h_pop1|1002802,100,0,0,0
60,100800,さあ、1番人気の紹介です\n%h_pop1,1002901|%h_pop1,100,0,0,0
61,100800,1番人気はもちろんこの娘\n%h_pop1,%w_0.3|1003001|%h_pop1,100,0,0,0
62,100802,続く2番人気は%h_pop2,%w_0.3|1003101|%h_pop2,100,0,0,0
63,100802,2番人気を紹介しましょう\n%h_pop2,%w_0.3|1003201|%h_pop2,100,0,0,0
64,100802,実力は負けていません\n2番人気、%h_pop2,%w_0.3|1003301|%h_pop2,100,0,0,0
65,100802,この評価は少し不満か？\n2番人気はこの娘、%h_pop2,%w_0.1|1003401|%h_pop2,100,0,0,0
66,100803,2番人気を紹介しましょう\n%h_pop2,%w_0.3|1003201|%h_pop2,100,0,0,0
67,100803,この評価は少し不満か？\n2番人気はこの娘、%h_pop2,%w_0.1|1003401|%h_pop2,100,0,0,0
68,100804,3番人気には%h_pop3,%w_0.3|1003501|%h_pop3,100,0,0,0
69,100804,3番人気はこの娘です、%h_pop3,%w_0.3|1003601|%h_pop3,100,0,0,0
70,100804,虎視眈々と上位を狙っています\n3番人気は%h_pop3,%w_0.3|1003701|%h_pop3,100,0,0,0
71,100804,人気と実力を兼ね備えた\n%h_pop3\n今日は3番人気です,%w_0.3|1003801|%h_pop3|1003802,100,0,0,0
72,100805,さあ、今日の主役はこのウマ娘をおいて他にいない\n1番人気%h_pop1！,%w_0.1|1003901|1003902|%w_0.01|%h_pop1,100,0,0,0
73,100805,威風堂々とスタートを待つのはこのウマ娘\n本日の1番人気%h_pop1！,%w_0.1|1003903|1003904|%h_pop1,100,0,0,0
74,100805,スタンドに押しかけた\nファンの期待を一身に背負って\n1番人気%h_pop1！,%w_0.1|1003905|1003906|%h_pop1,100,0,0,0
75,100805,さあ、今日の主役はこのウマ娘をおいて他にいない\n本日の1番人気%h_pop1！,%w_0.1|1003901|1003904|%h_pop1,100,0,0,0
76,100805,威風堂々とスタートを待つのはこのウマ娘\n1番人気%h_pop1！,%w_0.1|1003903|1003906|%h_pop1,100,0,0,0
77,100805,スタンドに押しかけた\nファンの期待を一身に背負って\n1番人気%h_pop1！,%w_0.1|1003905|1003902|%h_pop1,100,0,0,0
78,100805,さあ、今日の主役は\nこのウマ娘をおいて他にいない\n1番人気%h_pop1！,%w_0.1|1003901|1003906|%h_pop1,100,0,0,0
80,100805,スタンドに押しかけた\nファンの期待を一身に背負って\n本日の1番人気%h_pop1！,%w_0.1|1003905|1003904|%w_0.01|%h_pop1,100,0,0,0
81,100806,対抗するのは%h_pop2\n真っ向勝負に注目だ,1004001|%h_pop2|1004002,100,0,0,0
82,100806,2番人気は%h_pop2\n実力は1番人気にも引けを取りません,1004003|%h_pop2|1004004,100,0,0,0
83,100806,さあ、2番人気はこの娘\n%h_pop2\n十分に勝利を狙えますよ,1004005|%h_pop2|1004006,100,0,0,0
84,100806,対抗するのは%h_pop2\n実力は1番人気にも引けを取りません,1004001|%h_pop2|1004004,100,0,0,0
85,100806,2番人気は%h_pop2\n十分に勝利を狙えますよ,1004003|%h_pop2|1004006,100,0,0,0
86,100806,さあ、2番人気はこの娘\n%h_pop2\n真っ向勝負に注目だ,1004005|%h_pop2|1004002,100,0,0,0
87,100806,対抗するのは%h_pop2\n十分に勝利を狙えますよ,1004001|%h_pop2|1004006,100,0,0,0
88,100806,2番人気は%h_pop2\n真っ向勝負に注目だ,1004003|%h_pop2|1004002,100,0,0,0
89,100806,さあ、2番人気はこの娘\n%h_pop2\n実力は1番人気にも引けを取りません,1004005|%h_pop2|1004004,100,0,0,0
90,100807,%h_pop3、現在、3番人気\n注目株のウマ娘だ！,%w_0.3|%h_pop3|1004101|1004102,100,0,0,0
91,100807,%h_pop3、3番人気です\n下剋上は起りうるのか！？,%w_0.3|%h_pop3|1004103|1004104,100,0,0,0
93,100807,%h_pop3、現在、3番人気\n下剋上は起りうるのか！？,%w_0.3|%h_pop3|1004101|1004104,100,0,0,0
94,100807,%h_pop3、3番人気です\n実力は間違いなく上位です！,%w_0.3|%h_pop3|1004103|1004106,100,0,0,0
96,100807,%h_pop3、現在、3番人気\n実力は間違いなく上位です！,%w_0.3|%h_pop3|1004101|1004106,100,0,0,0
97,100807,%h_pop3、3番人気です\n注目株のウマ娘だ！,%w_0.3|%h_pop3|1004103|1004102,100,0,0,0
99,100808,注目の%h_player、%p_waku_banでの出走,1088201|%h_player|%p_waku_ban,100,0,0,0
100,100999,各ウマ娘、ゲートに入って体勢整いました,%w_0.3|1000901,100,0,0,0
101,100999,ゲートイン完了\n出走の準備が整いました,%w_0.3|1001001,100,0,0,0
102,102000,スタート！,%w_0.2|1004201|%w_0.2,100,0,0,0
103,102000,スタートです,%w_0.2|1004301|%w_0.2,100,0,0,0
104,102000,さあゲートが開いた,%w_0.2|1004401|%w_0.2,100,0,0,0
105,102000,今スタートが切られました,%w_0.2|1004501|%w_0.2,100,0,0,0
106,102001,%horse1、真っ先に跳びだした,%horse1|1004601,100,0,0,0
107,102001,%horse1\nこれは素晴らしいスタートです！,%horse1|1004801,100,0,0,0
108,102001,好ダッシュを見せ%horse_ta1,1040401|%horse_ta1,100,0,0,0
110,102001,%horse1いいスタートだ,%horse1|1040201,100,0,0,0
111,102001,%horse1、跳びだしていった,%horse1|1040701,100,0,0,0
112,102001,いいスタートを切っ%horse_ta1,1040801|%horse_ta1,100,0,0,0
113,102001,%horse1、好スタート,%horse1|1040901,100,0,0,0
114,102001,%horse1、好ダッシュを見せています,%horse1|1041001,100,0,0,0
115,102002,絶好の立ちあがりを\n見せ%horse_ta1\n続いて、%horse2,1004701|%horse_ta1|1004702|%horse2,100,100021,0,0
116,102003,各ウマ娘、まずは無難な走りだしといったところ,1004901,100,100024,0,0
117,102004,おっと！　%horse1、出遅れた！\n後方からのレースとなりました,1005301|%horse1|1005302,100,0,0,0
118,102004,おっと！　%horse1\n出遅れてしまったか！？,1005101|%horse1|1005102,100,0,0,0
119,102004,%horse1\n出遅れ最後方からのレースになった,%horse1|1040301,100,0,0,0
120,102004,%horse1\nちょっとつまずく形で後方からのスタート,%horse1|1040601,100,0,0,0
121,102004,%horse1、ちょっと出遅れた,%horse1|1041101,100,0,0,0
122,102004,%horse1、かなり出遅れた,%horse1|1041201,100,0,0,0
123,102005,少々バラついたスタートになりました,1005201,100,100027,0,0
124,102006,各ウマ娘、そろってキレイなスタートを切りました！,1005001,100,100025,0,0
125,102006,各ウマ娘、きれいなスタートを切りました,1040101,100,100025,0,0
127,103000,%h_rank1先頭に立ちました,%h_rank1|1042201,100,0,0,0
128,103000,先頭を行っ%h_rank_ta1,1005401|%h_rank_ta1,100,0,0,0
129,103000,先頭を駆けます、%h_rank1,1006401|%h_rank1,100,0,0,0
130,103000,ハナを奪っていっ%h_rank_ta1,1041301|%h_rank_ta1,100,0,0,0
131,103001,1番人気、%h_pop1、早くも先頭,1005501|%h_pop1|1005502,100,0,0,0
132,103001,%h_pop1先頭に立つのか,%h_pop1|1041601,100,0,0,0
133,103001,やはり、%h_pop1,1041501||%h_pop1,100,0,0,0
134,103001,注目株の%h_pop1、現在トップ！,1007901|%c_0.02|%h_pop1|1007902,100,0,0,0
136,103003,%h_rank_a1%h_rank_to2\nこのふたりが競り合っているぞ,%h_rank_a1|%h_rank_to2|1005701,100,0,0,0
137,103004,さあ、後続を離して\n先頭に立っ%h_rank_ta1,1005801|%h_rank_ta1,100,0,0,0
138,103004,最高の立ちあがりを\n見せ%h_rank_ta1！,1005901|%h_rank_ta1,100,0,0,0
139,103005,%h_rank1、早くも先頭に躍り出た,%h_rank1|1006002,100,0,0,0
140,103006,さあ、ハナに立っ%h_rank_ta1\nこのままリードすることができるか？,1006101|%h_rank_ta1|1006102,100,0,0,0
141,103006,先頭は、%h_rank1\n単身で飛ばしていきます,1006201|%h_rank1|1006202,100,0,0,0
142,103007,さあ、激しい先行争いで\n前にで%h_rank_ta1,1006301|%h_rank_ta1,100,0,0,0
143,103008,さあ、期待に応えて、%h_pop1！\n逃げる逃げる、早くも先頭！,1006501||%h_pop1|1006502,100,0,0,0
144,103009,続いて、%h_rank2,%w_0.1|1006601|%w_0.1|%h_rank2,100,0,0,0
145,103009,続きました%h_rank2,%w_0.1|1041701|%h_rank2,100,0,0,0
146,103010,%h_rank1、%h_rank2\nふたりの競り合いは続いている,%h_rank1|%h_rank2|1006701,100,100044,0,0
147,103010,%h_rank_a1%h_rank_to2\nふたりともハナは譲りません,%h_rank_a1|%h_rank_to2|1006801,100,100044,0,0
148,103010,%h_rank_a1%h_rank_to2\n序盤からやりあっています,%h_rank_a1|%h_rank_to2|1006901,100,100044,0,0
149,103011,2番手の位置で先頭をうかがうのは\n%h_rank2！,%w_0.1|1007001|%w_0.02|%h_rank2,100,0,0,0
150,103012,先頭から大きく離されて\n2番手は、%h_rank2！,1007101|%h_rank2,100,0,0,0
152,103013,激しい先頭争い,%w_0.1|2052001,100,0,0,0
153,103013,早くも激しい競り合い,%w_0.1|1081501,100,0,0,0
155,103015,%h_pop1、現在最後方！\n失策……はたまた狙いどおりかっ！？,%h_pop1|1007401,100,100075,0,0
156,103015,現在、最後方は\n1番人気の%h_pop1\nこの状況をどう見ますか？,1008101|%h_pop1|1008102,100,100075,0,0
159,103016,期待どおりの結果をだせるか？\n1番人気、%h_pop1！,1008501|%h_pop1,100,0,0,0
160,103017,苦しい戦いを強いられている\n%h_pop1、ここからどうでる？,1008701|%h_pop1|1008702,100,0,0,0
161,103020,注目の%h_pop1\n少し後方に位置取りましたね？,1008001|%c_0.01|%h_pop1|1008002,100,100074,0,0
162,103018,先行争いは%h_rank1\n%h_rank2、%h_rank3,%w_0.1|1041401|%h_rank1|%w_0.1|%h_rank2|%w_0.1|%h_rank3,100,0,0,0
163,103019,長丁場のこのレースですが\n%h_rank1\n早くも先頭に躍り出た,1006001|%h_rank1|1006002,100,0,0,0
164,105000,先頭は見あったまま！\nこれは直線勝負になるか！？,%w_0.1|2013701|2013702,100,0,0,0
165,105000,まだ先頭は動かない！\nこのまま直線での争いになるのか！？,%w_0.1|2013703|2013704,100,0,0,0
166,105000,互いに脚を溜めている展開！\nはたして抜け出すのは誰だ！？,%w_0.1|2013705|2013706,100,0,0,0
167,105000,先頭は見あったまま！\nこのまま直線での争いになるのか！？,%w_0.1|2013701|2013704,100,0,0,0
168,105000,まだ先頭は動かない！\nはたして抜け出すのは誰だ！？,%w_0.1|2013703|2013706,100,0,0,0
169,105000,互いに脚を溜めている展開！\nこれは直線勝負になるか！？,%w_0.1|2013705|2013702,100,0,0,0
170,105000,先頭は見あったまま！\nはたして抜け出すのは誰だ！？,%w_0.1|2013701|2013706,100,0,0,0
171,105000,まだ先頭は動かない！\nこれは直線勝負になるか！？,%w_0.1|2013703|2013702,100,0,0,0
172,105000,互いに脚を溜めている展開！\nこのまま直線での争いになるのか！？,%w_0.1|2013705|2013704,100,0,0,0
173,105001,勝負は最後の直線に持ちこされた！,2013801,100,0,0,0
174,105001,この直線で勝負が決まるぞ！,2013901,100,0,0,0
175,105001,さあいよいよ直線だ！\nどのタイミングで誰が仕掛けるのか！？,2014001|2014002,100,0,0,0
176,106000,最終コーナー\n最初に立ちあがっ%h_rank_ta1,%w_0.1|2014101|2014102|%h_rank_ta1,100,0,0,0
177,106000,最後のコーナー\n最初に駆け抜けてき%h_rank_ta1,%w_0.1|2014103|2014104|%h_rank_ta1,100,0,0,0
178,106000,最終コーナーを曲がって\n先陣を切っ%h_rank_ta1,%w_0.1|2014105|2014106|%h_rank_ta1,100,0,0,0
179,106000,最終コーナー\n最初に駆け抜けてき%h_rank_ta1,%w_0.1|2014101|2014104|%h_rank_ta1,100,0,0,0
180,106000,最後のコーナー\n先陣を切っ%h_rank_ta1,%w_0.1|2014103|2014106|%h_rank_ta1,100,0,0,0
181,106000,最終コーナーを曲がって\n最初に立ちあがっ%h_rank_ta1,%w_0.1|2014105|2014102|%h_rank_ta1,100,0,0,0
182,106000,最終コーナー\n先陣を切っ%h_rank_ta1,%w_0.1|2014101|2014106|%h_rank_ta1,100,0,0,0
183,106000,最後のコーナー\n最初に立ちあがっ%h_rank_ta1,%w_0.1|2014103|2014102|%h_rank_ta1,100,0,0,0
184,106000,最終コーナーを曲がって\n最初に駆け抜けてき%h_rank_ta1,%w_0.1|2014105|2014104|%h_rank_ta1,100,0,0,0
185,106000,さあ最終コーナーを曲がって\n最後の直線コースに入った,1044801,100,0,0,0
186,106001,スタンド前に入って、各ウマ娘が一斉に突き進む！,2014201|2014202,100,0,0,0
187,106001,さあ、ここからが勝負どころです！,2014203|2014204,100,0,0,0
188,106001,ゴールが近づいてきて、もう一段ギアが入ったぞ！,2014205|2014206,100,0,0,0
189,106001,スタンド前に入って、もう一段ギアが入ったぞ！,2014201|2014206,100,0,0,0
190,106001,ゴールが近づいてきて、各ウマ娘が一斉に突き進む！,2014205|2014202,100,0,0,0
191,108000,ゴール前は横一線！？,3021801,100,0,0,0
192,108001,前はふたりがしのぎを削る！,2016601,100,0,0,0
193,108001,最後はふたりの鍔迫り合いだ！,2016701,100,0,0,0
194,108001,先頭ふたりの競り合いだ！,3021901,100,0,0,0
195,108001,先頭はふたりの一騎打ち！,2020101,100,0,0,0
196,108002,3人横一線！これは負けられない戦いだ！,2016401|2016402,100,0,0,0
197,108002,3人ならんでの意地の張り合い！,2016501,100,0,0,0
198,108002,%h_rank1、%h_rank2\n%h_rank3、横一線に並んだ,%h_rank1|%h_rank2|%h_rank3|2051801,100,0,0,0
199,108002,%h_rank1、%h_rank2\n%h_rank3、横一線に並んだ,%h_rank1|%h_rank2|%h_rank3|2055301,100,0,0,0
200,108002,%h_rank1、%h_rank2\n%h_rank3、さあ横一線だ,%h_rank1|%h_rank2|%h_rank3|2055401,100,0,0,0
201,108002,%h_rank1、%h_rank2\n%h_rank3、三つ巴の戦いです！,%h_rank1|%h_rank2|%h_rank3|2055501,100,0,0,0
202,108003,4番手まで大混戦！,3022101,100,0,0,0
203,108004,ここから、なんと……%horse1！？,3022201|%horse1,100,0,0,0
205,108006,熾烈なデッドヒート！,2016201,100,0,0,0
206,108006,まだ勝負は続く、続いている！,2016301|2016302,100,0,0,0
207,108007,先頭は%h_rank1！,3022501|%h_rank1,100,0,0,0
208,108007,先頭は%h_rank1,2014401|%h_rank1,100,0,0,0
209,108007,先頭は%h_rank1,2014501|%h_rank1,100,0,0,0
210,108007,先頭は、%h_rank1！,2014401|%h_rank1,100,0,0,0
211,108008,先頭は依然、%h_rank1！,2012601|%h_rank1,100,0,0,0
212,108008,先頭は変わらず、%h_rank1,2012701|%w_0.01|%h_rank1,100,0,0,0
213,108008,先頭は、%h_rank1、変わらない！,2014501|%h_rank1|2014502,100,0,0,0
214,108009,先頭は、%h_rank1\nこのままいくのか！？,2014401|%h_rank1|2014402,100,0,0,0
215,108010,%h_rank1！,%h_rank1,100,0,0,0
216,108010,%h_rank_l1！,%h_rank_l1,100,0,0,0
217,109003,%h_rank_l1！\n大差で今、ゴールイン！\n圧倒的な実力差を見せつけ、レースを制した！,%w_0.1|%h_rank_l1|3022601|3022602,100,0,0,0
218,109000,%h_rank_l1！\nこれは完璧な勝利です！\n他の追随をまるで許さなかったぞ！,%h_rank_l1|3022701|3022702,100,0,0,0
219,109000,%h_rank_l1！\n強いとしか言えない走り！\n次のレースが今から楽しみです！,%h_rank_l1|3022801|3022802,100,0,0,0
220,109000,%h_rank_l1！強い走りだ！\nこのレースの主役は間違いなくこの娘でした！,%h_rank_l1|3023301|3023302,100,0,0,0
221,109001,ふたりが並んでゴールイン！\n%h_rank1、体勢有利か！？,3023801|%h_rank1|%w_0.01|3023802,100,0,0,0
222,109001,ほぼ同時にゴールイン！\n%h_rank1、わずかに体勢有利か！？,3023901|%h_rank1|3023902,100,0,0,0
224,109001,%h_rank_a1%h_rank_to2\nふたり並んでゴールイン！,%h_rank_a1|%h_rank_to2|3036401,100,0,0,0
227,109002,3人並んでのゴールイン！！\n%h_rank1、わずかに体勢有利か！？,3024201|%h_rank1|3024202,100,0,0,0
228,109002,3人がほぼ同時！\nわずかに%h_rank1、体勢有利か！？,3022001|%h_rank1|3037001,100,0,0,0
229,109004,一群がなだれ込んでゴールイン！,3024301,100,0,0,0
230,109004,大接戦！　大接戦のゴール！,3024601,100,0,0,0
231,109005,大楽勝だ！\n%h_rank1、ゴールイン！\n圧巻の走りでレースを制した！,3022901|%h_rank1|3022902|3022903,100,0,0,0
232,109005,強さを見せつけて、%h_rank1\nゴール板を駆け抜けた！　これは見事な走り！,3023001|%h_rank1|3023002|3023003,100,0,0,0
233,109005,後ろを突き放して、%h_rank1\n今勝利です！　この娘に敵うウマ娘はいるのか！？,3023101|%h_rank1|3023102|3023103,100,0,0,0
234,109005,大楽勝だ！　%h_rank1\nゴール板を駆け抜けた！\nこれは見事な走り！,3022901|%h_rank1|3023002|3023003,100,0,0,0
235,109005,強さを見せつけて、%h_rank1\n今勝利です！　この娘に敵うウマ娘はいるのか！？,3023001|%h_rank1|3023102|3023103,100,0,0,0
236,109005,後ろを突き放して、%h_rank1\nゴールイン！　圧巻の走りでレースを制した！,3023101|%h_rank1|%w_0.01|3022902|3022903,100,0,0,0
237,109005,大楽勝だ！　%h_rank1\n今勝利です！　この娘に敵うウマ娘はいるのか！？,3022901|%h_rank1|3023102|3023103,100,0,0,0
238,109005,強さを見せつけて、%h_rank1\nゴールイン！　圧巻の走りでレースを制した！,3023001|%h_rank1|%w_0.01|3022902|3022903,100,0,0,0
239,109005,後ろを突き放して、%h_rank1\nゴール板を駆け抜けた！　これは見事な走り！,3023101|%h_rank1|3023002|3023003,100,0,0,0
240,109006,%h_rank_l1！\n1着でゴールイン！\n実力を遺憾なく発揮しレースを制した！,%h_rank_l1|3023201|3023202,100,0,0,0
241,109006,お見事！　%h_rank_l1！\n着差以上の強さを見せた見事な勝利です！,3023401|%h_rank_l1|3023402,100,0,0,0
242,109007,1着は%h_rank_l1！\n他のウマ娘たちをねじ伏せ、レースを制した！,3023501|%h_rank_l1|3023502,100,0,0,0
243,109007,勝っ%h_rank_ta1！\n見事な走りで、勝利を手中におさめました！,%w_0.1|3023601|%h_rank_ta1|3023602,100,0,0,0
244,109007,やりました！　%h_rank_l1！\n最後、意地を見せて、栄冠を手にしました！,3023701|%h_rank_l1|3023702,100,0,0,0
245,109007,1着は%h_rank_l1！\n見事な走りで、勝利を手中におさめました！,3023501|%h_rank_l1|3023602,100,0,0,0
246,109007,勝っ%h_rank_ta1！\n最後、意地を見せて、栄冠を手にしました！,%w_0.1|3023601|%h_rank_ta1|3023702,100,0,0,0
247,109007,やりました！　%h_rank_l1！\n他のウマ娘たちをねじ伏せ、レースを制した！,3023701|%h_rank_l1|3023502,100,0,0,0
248,109007,1着は%h_rank_l1！\n最後、意地を見せて、栄冠を手にしました！,3023501|%h_rank_l1|3023702,100,0,0,0
249,109007,勝っ%h_rank_ta1！\n他のウマ娘たちをねじ伏せ、レースを制した！,%w_0.1|3023601|%h_rank_ta1|3023502,100,0,0,0
250,109007,やりました！　%h_rank_l1！\n見事な走りで、勝利を手中におさめました！,3023701|%h_rank_l1|3023602,100,0,0,0
258,109012,勝っ%h_rank_ta1！,%w_0.1|3024701|%h_rank_ta1,100,0,0,0
259,109012,%h_rank_l1！　勝利を飾った！,%w_0.2|%h_rank_l1|3025001,100,0,0,0
260,109012,%h_rank_l1、見事に制しました,%w_0.2|%h_rank_l1|3037401,100,0,0,0
261,109012,%race_wo！\n%h_rank_l1、見事な勝利だ！,%w_0.2|%race_wo|%w_0.01|%h_rank_l1|3024801,100,0,0,0
262,109202,%h_rank_l1！　見事に完勝！\n%race_wo！,%w_0.2|%h_rank_l1|3024901|%race_wo,100,0,0,0
263,109202,%race_wo！\n%h_rank_no1完勝でした！,%w_0.2|%race_wo|%h_rank_no1|%c_0.02|3025101,100,0,0,0
264,109012,%h_rank_l1！\n%race_wo！,%w_0.2|%h_rank_l1|%race_wo,100,0,0,0
265,109009,%h_rank_l1、今1着でゴールイン,%h_rank_l1|3036501,100,0,0,0
266,109009,%h_rank_l1、今ゴールイン,%h_rank_l1|3036801,100,0,0,0
267,109010,%h_rank_l1、差しきってゴール！,%h_rank_l1|3036601,100,0,0,0
269,109011,2着は%h_rank_l2,%w_0.2|3037301|%h_rank_l2,100,0,0,0
