id,label,body_motion,body_motion_type,body_motion_play_type,body_motion_scene_type,scene_sub_folder,chara_type_target,add_layer_index,is_mirror,facial_motion,chara_face_type,transition_time,ear_motion,is_enable_randome_ear,tail_motion,tail_motion_type,is_enable_randome_tail,prop_id,prop_motion,prop_motion_scene_type,prop_attach_node_name_type,is_prop_require_motion_end
100002,Circle01_102,01_102,3,2,1,,0,0,0,01_102,,0,,0,,0,1,400400,,5,2,0
100003,Circle01_103,01_103,3,1,1,,0,0,0,01_103,,0,,0,,1,0,100300,01_103,5,2,0
100004,Circle01_104_01,01_104_01,3,1,1,,0,0,0,01_104_01,,0,,0,loopS01_tail,0,0,0,,5,0,0
100005,Circle01_104_02,01_104_02,3,1,1,,0,0,0,01_104_02,,0,,0,loopS01_tail,0,0,0,,5,0,0
100006,Circle01_104_03,01_104_03,3,1,1,,0,0,0,01_104_03,,0,,0,loopS01_tail,0,0,0,,5,0,0
100007,Circle01_105,01_105,3,1,1,,0,0,0,01_105,,0,,0,loopS01_tail,0,0,100300,01_105,5,2,0
100022,Circle01_201_01,01_201_01,4,1,1,,1,0,0,01_201_01,,0,,0,,0,1,0,,5,2,0
100023,Circle01_201_02,01_201_02,4,1,1,,1,0,0,01_201_02,,0,,0,,0,1,0,,5,2,0
100024,Circle01_301,01_301,3,1,1,,0,0,0,01_301,,0,,0,,1,0,0,,5,2,0
100025,Circle01_302,01_302,3,1,1,,0,0,0,01_302,,0,,0,,1,0,0,,5,2,0
100026,Circle01_303,01_303,3,1,1,,0,0,0,01_303,,0,,0,,1,0,0,,5,2,0
100027,Circle02_101,02_101,3,1,1,,0,0,0,02_101,,0,,0,loopS01_tail,0,0,0,,0,0,0
100028,Circle02_102,02_102,3,1,1,,0,0,0,02_102,,0,,0,loopS01_tail,0,0,0,,0,0,0
100029,Circle02_201,02_201,3,1,1,,0,0,0,02_201,,0,,0,,0,1,400600,02_201,5,0,0
100030,Circle02_202,02_202,3,1,1,,0,0,0,02_202,,0,,0,,0,1,103900,,5,1,0
100031,Circle02_301,02_301,3,1,1,,0,0,0,02_301,,0,,0,loopS01_tail,0,0,400200,02_301,5,0,0
100032,Circle02_302,02_302,3,1,1,,0,0,0,02_302,,0,,0,,0,1,0,,5,0,0
100033,Circle02_303,02_303,3,1,1,,0,0,0,02_303,,0,,0,,0,1,0,,0,0,0
100034,Circle02_304,02_304,3,1,1,,0,0,0,02_304,,0,,0,,0,1,0,,0,0,0
100035,Circle02_305,02_305,3,1,1,,0,0,0,02_305,,0,,0,,0,1,0,,0,0,0
100036,Circle02_306,02_306,3,1,1,,0,0,0,02_306,,0,,0,,0,1,0,,0,0,0
100037,Circle02_401,02_401,3,1,1,,0,0,0,02_401,,0,,0,,0,1,400200,02_401,5,0,0
100038,Circle02_402,02_402,3,1,1,,0,0,0,02_402,,0,,0,,0,1,0,02_402,5,0,0
100039,Circle02_403,02_403,3,1,1,,0,0,0,02_403,,0,,0,,0,1,0,02_403,5,0,0
100040,Circle02_404,02_404,3,1,1,,0,0,0,02_404,,0,,0,,0,1,0,02_404,5,0,0
100041,Circle03_101,03_101,3,1,1,,0,0,0,03_101,,0,,0,,0,1,0,,0,0,0
100042,Circle03_201,03_201,3,1,1,,0,0,0,03_201,,0,,0,,0,1,0,,0,0,0
100043,Circle03_202,03_202,3,1,1,,0,0,0,03_202,,0,,0,,0,1,0,,0,0,0
100044,Circle03_301,03_301,3,1,1,,0,0,0,03_301,,0,,0,loopS01_tail,0,0,0,,0,0,0
100045,Circle03_302_01,03_302_01,3,1,1,,0,0,0,03_302_01,,0,,0,loopS01_tail,0,0,0,,0,0,0
100046,Circle03_302_02,03_302_02,3,1,1,,0,0,0,03_302_02,,0,,0,loopS01_tail,0,0,0,,0,0,0
100047,Circle03_302_03,03_302_03,3,1,1,,0,0,0,03_302_03,,0,,0,loopS01_tail,0,0,0,,0,0,0
100048,Circle03_303_01,03_303_01,3,1,1,,0,0,0,03_303_01,,0,,0,loopS01_tail,0,0,0,,0,0,0
100049,Circle03_303_02,03_303_02,3,1,1,,0,0,0,03_303_02,,0,,0,loopS01_tail,0,0,0,,0,0,0
100050,Circle03_303_03,03_303_03,3,1,1,,0,0,0,03_303_03,,0,,0,loopS01_tail,0,0,0,,0,0,0
100051,Circle03_401,03_401,3,1,1,,0,0,0,03_401,,0,,0,loopS01_tail,0,0,400500,,5,2,0
100052,Circle03_402,03_402,3,1,1,,0,0,0,03_402,,0,,0,loopS01_tail,0,0,400500,,5,2,0
100053,Circle03_403,03_403,3,1,1,,0,0,0,03_403,,0,,0,loopS01_tail,0,0,400500,,5,2,0
100054,Circle03_404,03_404,3,1,1,,0,0,0,03_404,,0,,0,loopS01_tail,0,0,400500,,5,2,0
100055,Circle03_405,03_405,3,1,1,,0,0,0,03_405,,0,,0,loopS01_tail,0,0,400500,,5,2,0
100056,Circle03_406,03_406,3,1,1,,0,0,0,03_406,,0,,0,loopS01_tail,0,0,400500,,5,2,0
100057,Circle03_501,03_501,3,1,1,,0,0,0,03_501,,0,,0,,0,1,0,,0,0,0
100058,Circle03_502,03_502,3,1,1,,0,0,0,03_502,,0,,0,,0,1,0,,0,0,0
100059,Circle03_503,03_503,3,1,1,,0,0,0,03_503,,0,,0,,0,1,0,,0,0,0
100060,Circle03_504,03_504,3,1,1,,0,0,0,03_504,,0,,0,,0,1,0,,0,0,0
100061,Circle03_505,03_505,3,1,1,,0,0,0,03_505,,0,,0,,0,1,0,,0,0,0
301001,Catch01,catch01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301002,Push01,push01,3,3,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301003,PushL,push_L,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301004,PushR,push_R,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301005,Hang01_01,hang01_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301006,Hang01_02,hang01_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301007,Hang01_03,hang01_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301008,GatherL,gather_L,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301009,GatherR,gather_R,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301010,Lift01,lift01,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301011,Catch02,catch02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301012,Catch03,catch03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301013,Catch04,catch04,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301014,Catch05,catch05,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301015,Catch06,catch06,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301016,Catch07,catch07,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301017,Catch08,catch08,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301018,Catch09,catch01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301019,Catch10,catch10,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301020,Catch11,catch11,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,401000,,0,2,0
301021,Catch12,catch12,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301022,Hang02_01,hang02_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301023,Hang02_02,hang02_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301024,Hang02_03,hang02_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301025,Hang03_01,hang03_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301026,Hang03_02,hang03_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301027,Hang03_03,hang03_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301028,Hang04_01,hang04_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301029,Hang04_02,hang04_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301030,Hang04_03,hang04_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301031,Hang05_01,hang05_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301032,Hang05_02,hang05_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301033,Hang05_03,hang05_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301034,Hang05_04,hang05_04,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301035,Hang06_01,hang06_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301036,Hang06_02,hang06_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301037,Hang06_03,hang06_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301038,Hang06_04,hang06_04,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301039,Hang07_01,hang07_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301040,Hang08_01,hang08_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301041,Hang10_01,hang10_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301042,Hang11_01,hang01_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301043,Hang11_02,hang01_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301044,Hang11_03,hang01_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,,0,0,0
301045,Lift09,lift09,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301046,Lift10,lift10,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301047,Lift02,lift02,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301048,Lift03,lift03,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301049,Lift04,lift04,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301050,Lift06,lift06,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
301051,Lift08,lift08,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,,0,0,0
400001,Roulette01,start01,3,2,0,,0,0,0,,KiriC,0,,1,,0,1,0,,0,0,0
400002,Roulette02,run00_loop,3,1,0,,0,0,0,,IkariA,0,,1,,0,1,0,,0,0,0
400003,Roulette03,01_003_loop,3,1,2,,0,0,0,,IkariB,0,,1,,0,1,0,,0,0,0
400004,Roulette04,01_005_loop,3,1,2,,0,0,0,,OdorokiB,0,,1,,0,1,0,,0,0,0
400005,Roulette05,jump01,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
400006,Roulette06,goal01,3,1,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
400007,Roulette07,goal02,3,1,0,,0,0,0,,FightA,0,,1,,0,1,0,,0,0,0
400008,Roulette08,jump03,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
400009,Roulette09,fight04,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
400010,Roulette10,hope01,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
400011,Roulette11,shy02,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,,0,0,0
500001,Jukebox01,dance01,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
500002,Jukebox02,dance05,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
500003,Jukebox03,dance09,3,2,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
500004,Jukebox04,dance11,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
500005,Jukebox05,dance13,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
500006,Jukebox06,dance14,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
500007,Jukebox07,dance15,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
500008,Jukebox08,music01,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,,0,0,0
500009,Jukebox09,music02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
500010,Jukebox10,music03,3,2,0,,0,0,0,,IkariB,0,,1,,0,1,0,,0,0,0
500011,Jukebox11,music04,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
500012,Jukebox12,music05,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,,0,0,0
500013,Jukebox13,music06,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
500014,Jukebox14,music07,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
500015,Jukebox15,music08,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
500016,Jukebox16,music09,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
500017,Jukebox17,Oh01,3,1,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
600001,Showtime01,mot01,2,2,0,,0,0,0,mot01,,0,mot01,0,,0,1,0,,0,0,0
600002,Showtime02,act02,2,2,0,,0,0,0,act02,,0,act02,0,,0,1,0,,0,0,0
600003,Showtime03,pose03,3,2,0,,0,0,0,pose03,,0,pose03,0,,0,1,0,,0,0,0
600004,Showtime04,showtime01,3,2,0,,0,0,0,showtime01,,0,showtime01,0,,0,1,0,,0,0,0
600005,Showtime05,showtime02,3,2,0,,0,0,0,showtime02,,0,showtime02,0,,0,1,0,,0,0,0
600006,Showtime06,showtime03,3,2,0,,0,0,0,showtime03,,0,showtime03,0,,0,1,0,,0,0,0
600007,Gorushichan01,mot01,2,2,0,,0,0,0,mot01,,0,mot01,0,,0,1,0,,0,0,0
600008,Gorushichan02,mot02,2,2,0,,0,0,0,mot02,,0,mot02,0,,0,1,0,,0,0,0
600009,Gorushichan03,mot03,2,2,0,,0,0,0,mot03,,0,mot03,0,,0,1,0,,0,0,0
600010,Gorushichan04,ikaku01,3,2,0,,0,0,0,ikaku01,,0,ikaku01,0,,0,1,0,,0,0,0
600011,Gorushichan05,joy05,3,2,0,,0,0,0,joy05,,0,joy05,0,,0,1,0,,0,0,0
600012,Gorushichan06,topin01,3,2,0,,0,0,0,topin01,,0,topin01,0,,0,1,0,,0,0,0
600013,Gorushichan07,akire02,3,2,0,,0,0,0,akire02,,0,akire02,0,,0,1,0,,0,0,0
700001,Fanraid01,01_0101_loop,3,1,4,,0,0,0,01_0101_loop,,0,,0,loopS01_tail,0,1,0,,0,0,0
700002,Fanraid02,01_0102_loop,3,1,4,,0,0,0,01_0102_loop,,0,,0,,0,1,0,,0,0,0
700003,Fanraid03,01_0201_loop,3,1,4,,0,0,0,01_0201_loop,,0,,0,,0,1,0,,0,0,0
700004,Fanraid04,01_0202_loop,3,1,4,,0,0,0,01_0202_loop,,0,,0,,0,1,0,,0,0,0
700005,Fanraid05,01_0301_loop,3,1,4,,0,0,0,01_0301_loop,,0,,0,,0,1,0,,0,0,0
700006,Fanraid06,01_0302_loop,3,1,4,,0,0,0,01_0302_loop,,0,,0,,0,1,113901,,0,2,0
700007,Fanraid07,01_0303_loop,3,1,4,,0,0,0,01_0303_loop,,0,,0,,0,1,0,,0,0,0
700008,Fanraid08,01_0401_loop,3,1,4,,0,0,0,01_0401_loop,,0,,0,,0,1,0,,0,0,0
700009,Fanraid09,01_0402_loop,3,1,4,,0,0,0,01_0402_loop,,0,,0,,0,1,0,,0,0,0
700010,Fanraid10,01_0403_loop,3,1,4,,0,0,0,01_0403_loop,,0,,0,,0,1,0,,0,0,0
