id,bgm_time_1,bgm_cue_name_1,bgm_cuesheet_name_1,bgm_time_2,bgm_cue_name_2,bgm_cuesheet_name_2,bgm_time_3,bgm_cue_name_3,bgm_cuesheet_name_3,bgm_time_4,bgm_cue_name_4,bgm_cuesheet_name_4,bgm_time_5,bgm_cue_name_5,bgm_cuesheet_name_5,bgm_time_6,bgm_cue_name_6,bgm_cuesheet_name_6,bgm_time_7,bgm_cue_name_7,bgm_cuesheet_name_7,bgm_time_8,bgm_cue_name_8,bgm_cuesheet_name_8,bgm_time_9,bgm_cue_name_9,bgm_cuesheet_name_9,bgm_time_10,bgm_cue_name_10,bgm_cuesheet_name_10,bgm_time_11,bgm_cue_name_11,bgm_cuesheet_name_11,bgm_time_12,bgm_cue_name_12,bgm_cuesheet_name_12,bgm_time_13,bgm_cue_name_13,bgm_cuesheet_name_13,bgm_time_14,bgm_cue_name_14,bgm_cuesheet_name_14,bgm_time_15,bgm_cue_name_15,bgm_cuesheet_name_15,bgm_time_16,bgm_cue_name_16,bgm_cuesheet_name_16,bgm_time_17,bgm_cue_name_17,bgm_cuesheet_name_17,bgm_time_18,bgm_cue_name_18,bgm_cuesheet_name_18,bgm_time_19,bgm_cue_name_19,bgm_cuesheet_name_19,bgm_time_20,bgm_cue_name_20,bgm_cuesheet_name_20,bgm_time_21,bgm_cue_name_21,bgm_cuesheet_name_21,bgm_time_22,bgm_cue_name_22,bgm_cuesheet_name_22,bgm_time_23,bgm_cue_name_23,bgm_cuesheet_name_23,bgm_time_24,bgm_cue_name_24,bgm_cuesheet_name_24,bgm_time_25,bgm_cue_name_25,bgm_cuesheet_name_25,bgm_time_26,bgm_cue_name_26,bgm_cuesheet_name_26,bgm_time_27,bgm_cue_name_27,bgm_cuesheet_name_27,bgm_time_28,bgm_cue_name_28,bgm_cuesheet_name_28,bgm_time_29,bgm_cue_name_29,bgm_cuesheet_name_29,bgm_time_30,bgm_cue_name_30,bgm_cuesheet_name_30
11,9,snd_bgm_GM042_race_ls_01,snd_bgm_GM042_race_ls_01,11,snd_bgm_GM042_race_ls_02,snd_bgm_GM042_race_ls_02,14,snd_bgm_GM042_race_ls_03,snd_bgm_GM042_race_ls_03,17,snd_bgm_GM042_race_ls_04,snd_bgm_GM042_race_ls_04,20,snd_bgm_GM042_race_ls_05,snd_bgm_GM042_race_ls_05,23,snd_bgm_GM042_race_ls_06,snd_bgm_GM042_race_ls_06,26,snd_bgm_GM042_race_ls_07,snd_bgm_GM042_race_ls_07,29,snd_bgm_GM042_race_ls_08,snd_bgm_GM042_race_ls_08,32,snd_bgm_GM042_race_ls_09,snd_bgm_GM042_race_ls_09,35,snd_bgm_GM042_race_ls_10,snd_bgm_GM042_race_ls_10,38,snd_bgm_GM042_race_ls_11,snd_bgm_GM042_race_ls_11,41,snd_bgm_GM042_race_ls_12,snd_bgm_GM042_race_ls_12,44,snd_bgm_GM042_race_ls_13,snd_bgm_GM042_race_ls_13,47,snd_bgm_GM042_race_ls_14,snd_bgm_GM042_race_ls_14,50,snd_bgm_GM042_race_ls_15,snd_bgm_GM042_race_ls_15,54,snd_bgm_GM042_race_ls_16,snd_bgm_GM042_race_ls_16,57,snd_bgm_GM042_race_ls_17,snd_bgm_GM042_race_ls_17,60,snd_bgm_GM042_race_ls_18,snd_bgm_GM042_race_ls_18,63,snd_bgm_GM042_race_ls_19,snd_bgm_GM042_race_ls_19,66,snd_bgm_GM042_race_ls_20,snd_bgm_GM042_race_ls_20,69,snd_bgm_GM042_race_ls_21,snd_bgm_GM042_race_ls_21,99,snd_bgm_GM042_race_ls_99,snd_bgm_GM042_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
12,68,snd_bgm_GM043_race_short,snd_bgm_GM043,999,snd_bgm_GM043_race_full,snd_bgm_GM043,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
13,11,snd_bgm_GM044_race_ls_01,snd_bgm_GM044_race_ls_01,14,snd_bgm_GM044_race_ls_02,snd_bgm_GM044_race_ls_02,17,snd_bgm_GM044_race_ls_03,snd_bgm_GM044_race_ls_03,20,snd_bgm_GM044_race_ls_04,snd_bgm_GM044_race_ls_04,23,snd_bgm_GM044_race_ls_05,snd_bgm_GM044_race_ls_05,25,snd_bgm_GM044_race_ls_06,snd_bgm_GM044_race_ls_06,28,snd_bgm_GM044_race_ls_07,snd_bgm_GM044_race_ls_07,31,snd_bgm_GM044_race_ls_08,snd_bgm_GM044_race_ls_08,34,snd_bgm_GM044_race_ls_09,snd_bgm_GM044_race_ls_09,37,snd_bgm_GM044_race_ls_10,snd_bgm_GM044_race_ls_10,40,snd_bgm_GM044_race_ls_11,snd_bgm_GM044_race_ls_11,42,snd_bgm_GM044_race_ls_12,snd_bgm_GM044_race_ls_12,45,snd_bgm_GM044_race_ls_13,snd_bgm_GM044_race_ls_13,48,snd_bgm_GM044_race_ls_14,snd_bgm_GM044_race_ls_14,51,snd_bgm_GM044_race_ls_15,snd_bgm_GM044_race_ls_15,54,snd_bgm_GM044_race_ls_16,snd_bgm_GM044_race_ls_16,56,snd_bgm_GM044_race_ls_17,snd_bgm_GM044_race_ls_17,59,snd_bgm_GM044_race_ls_18,snd_bgm_GM044_race_ls_18,62,snd_bgm_GM044_race_ls_19,snd_bgm_GM044_race_ls_19,65,snd_bgm_GM044_race_ls_20,snd_bgm_GM044_race_ls_20,68,snd_bgm_GM044_race_ls_21,snd_bgm_GM044_race_ls_21,70,snd_bgm_GM044_race_ls_22,snd_bgm_GM044_race_ls_22,73,snd_bgm_GM044_race_ls_23,snd_bgm_GM044_race_ls_23,99,snd_bgm_GM044_race_ls_99,snd_bgm_GM044_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,
14,138,snd_bgm_GM045_race_short,snd_bgm_GM045,999,snd_bgm_GM045_race_full,snd_bgm_GM045,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
15,9,snd_bgm_GM046_race_ls_01,snd_bgm_GM046_race_ls_01,11,snd_bgm_GM046_race_ls_02,snd_bgm_GM046_race_ls_02,14,snd_bgm_GM046_race_ls_03,snd_bgm_GM046_race_ls_03,17,snd_bgm_GM046_race_ls_04,snd_bgm_GM046_race_ls_04,20,snd_bgm_GM046_race_ls_05,snd_bgm_GM046_race_ls_05,23,snd_bgm_GM046_race_ls_06,snd_bgm_GM046_race_ls_06,26,snd_bgm_GM046_race_ls_07,snd_bgm_GM046_race_ls_07,29,snd_bgm_GM046_race_ls_08,snd_bgm_GM046_race_ls_08,32,snd_bgm_GM046_race_ls_09,snd_bgm_GM046_race_ls_09,35,snd_bgm_GM046_race_ls_10,snd_bgm_GM046_race_ls_10,37,snd_bgm_GM046_race_ls_11,snd_bgm_GM046_race_ls_11,40,snd_bgm_GM046_race_ls_12,snd_bgm_GM046_race_ls_12,43,snd_bgm_GM046_race_ls_13,snd_bgm_GM046_race_ls_13,46,snd_bgm_GM046_race_ls_14,snd_bgm_GM046_race_ls_14,49,snd_bgm_GM046_race_ls_15,snd_bgm_GM046_race_ls_15,51,snd_bgm_GM046_race_ls_16,snd_bgm_GM046_race_ls_16,54,snd_bgm_GM046_race_ls_17,snd_bgm_GM046_race_ls_17,57,snd_bgm_GM046_race_ls_18,snd_bgm_GM046_race_ls_18,60,snd_bgm_GM046_race_ls_19,snd_bgm_GM046_race_ls_19,99,snd_bgm_GM046_race_ls_99,snd_bgm_GM046_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
16,123,snd_bgm_GM059_race_short,snd_bgm_GM059,999,snd_bgm_GM059_race_full,snd_bgm_GM059,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
17,11,snd_bgm_GM060_race_ls_01,snd_bgm_GM060_race_ls_01,13,snd_bgm_GM060_race_ls_02,snd_bgm_GM060_race_ls_02,16,snd_bgm_GM060_race_ls_03,snd_bgm_GM060_race_ls_03,19,snd_bgm_GM060_race_ls_04,snd_bgm_GM060_race_ls_04,22,snd_bgm_GM060_race_ls_05,snd_bgm_GM060_race_ls_05,24,snd_bgm_GM060_race_ls_06,snd_bgm_GM060_race_ls_06,26,snd_bgm_GM060_race_ls_07,snd_bgm_GM060_race_ls_07,29,snd_bgm_GM060_race_ls_08,snd_bgm_GM060_race_ls_08,32,snd_bgm_GM060_race_ls_09,snd_bgm_GM060_race_ls_09,35,snd_bgm_GM060_race_ls_10,snd_bgm_GM060_race_ls_10,38,snd_bgm_GM060_race_ls_11,snd_bgm_GM060_race_ls_11,41,snd_bgm_GM060_race_ls_12,snd_bgm_GM060_race_ls_12,44,snd_bgm_GM060_race_ls_13,snd_bgm_GM060_race_ls_13,47,snd_bgm_GM060_race_ls_14,snd_bgm_GM060_race_ls_14,50,snd_bgm_GM060_race_ls_15,snd_bgm_GM060_race_ls_15,53,snd_bgm_GM060_race_ls_16,snd_bgm_GM060_race_ls_16,56,snd_bgm_GM060_race_ls_17,snd_bgm_GM060_race_ls_17,59,snd_bgm_GM060_race_ls_18,snd_bgm_GM060_race_ls_18,62,snd_bgm_GM060_race_ls_19,snd_bgm_GM060_race_ls_19,65,snd_bgm_GM060_race_ls_20,snd_bgm_GM060_race_ls_20,68,snd_bgm_GM060_race_ls_21,snd_bgm_GM060_race_ls_21,99,snd_bgm_GM060_race_ls_99,snd_bgm_GM060_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
18,130,snd_bgm_GM073_race_short,snd_bgm_GM073,999,snd_bgm_GM073_race_full,snd_bgm_GM073,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19,9,snd_bgm_GM074_race_ls_01,snd_bgm_GM074_race_ls_01,13,snd_bgm_GM074_race_ls_02,snd_bgm_GM074_race_ls_02,14,snd_bgm_GM074_race_ls_03,snd_bgm_GM074_race_ls_03,18,snd_bgm_GM074_race_ls_04,snd_bgm_GM074_race_ls_04,21,snd_bgm_GM074_race_ls_05,snd_bgm_GM074_race_ls_05,24,snd_bgm_GM074_race_ls_06,snd_bgm_GM074_race_ls_06,27,snd_bgm_GM074_race_ls_07,snd_bgm_GM074_race_ls_07,29,snd_bgm_GM074_race_ls_08,snd_bgm_GM074_race_ls_08,32,snd_bgm_GM074_race_ls_09,snd_bgm_GM074_race_ls_09,36,snd_bgm_GM074_race_ls_10,snd_bgm_GM074_race_ls_10,38,snd_bgm_GM074_race_ls_11,snd_bgm_GM074_race_ls_11,42,snd_bgm_GM074_race_ls_12,snd_bgm_GM074_race_ls_12,44,snd_bgm_GM074_race_ls_13,snd_bgm_GM074_race_ls_13,48,snd_bgm_GM074_race_ls_14,snd_bgm_GM074_race_ls_14,50,snd_bgm_GM074_race_ls_15,snd_bgm_GM074_race_ls_15,52,snd_bgm_GM074_race_ls_16,snd_bgm_GM074_race_ls_16,56,snd_bgm_GM074_race_ls_17,snd_bgm_GM074_race_ls_17,58,snd_bgm_GM074_race_ls_18,snd_bgm_GM074_race_ls_18,60,snd_bgm_GM074_race_ls_19,snd_bgm_GM074_race_ls_19,62,snd_bgm_GM074_race_ls_20,snd_bgm_GM074_race_ls_20,65,snd_bgm_GM074_race_ls_21,snd_bgm_GM074_race_ls_21,69,snd_bgm_GM074_race_ls_22,snd_bgm_GM074_race_ls_22,71,snd_bgm_GM074_race_ls_23,snd_bgm_GM074_race_ls_23,75,snd_bgm_GM074_race_ls_24,snd_bgm_GM074_race_ls_24,79,snd_bgm_GM074_race_ls_25,snd_bgm_GM074_race_ls_25,99,snd_bgm_GM074_race_ls_99,snd_bgm_GM074_race_ls_99,0,,,0,,,0,,,0,,
20,139,snd_bgm_GM075_race_short,snd_bgm_GM075,999,snd_bgm_GM075_race_full,snd_bgm_GM075,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
21,9,snd_bgm_GM076_race_ls_01,snd_bgm_GM076_race_ls_01,12,snd_bgm_GM076_race_ls_02,snd_bgm_GM076_race_ls_02,14,snd_bgm_GM076_race_ls_03,snd_bgm_GM076_race_ls_03,17,snd_bgm_GM076_race_ls_04,snd_bgm_GM076_race_ls_04,19,snd_bgm_GM076_race_ls_05,snd_bgm_GM076_race_ls_05,22,snd_bgm_GM076_race_ls_06,snd_bgm_GM076_race_ls_06,24,snd_bgm_GM076_race_ls_07,snd_bgm_GM076_race_ls_07,26,snd_bgm_GM076_race_ls_08,snd_bgm_GM076_race_ls_08,29,snd_bgm_GM076_race_ls_09,snd_bgm_GM076_race_ls_09,31,snd_bgm_GM076_race_ls_10,snd_bgm_GM076_race_ls_10,34,snd_bgm_GM076_race_ls_11,snd_bgm_GM076_race_ls_11,36,snd_bgm_GM076_race_ls_12,snd_bgm_GM076_race_ls_12,39,snd_bgm_GM076_race_ls_13,snd_bgm_GM076_race_ls_13,41,snd_bgm_GM076_race_ls_14,snd_bgm_GM076_race_ls_14,44,snd_bgm_GM076_race_ls_15,snd_bgm_GM076_race_ls_15,46,snd_bgm_GM076_race_ls_16,snd_bgm_GM076_race_ls_16,48,snd_bgm_GM076_race_ls_17,snd_bgm_GM076_race_ls_17,51,snd_bgm_GM076_race_ls_18,snd_bgm_GM076_race_ls_18,53,snd_bgm_GM076_race_ls_19,snd_bgm_GM076_race_ls_19,56,snd_bgm_GM076_race_ls_20,snd_bgm_GM076_race_ls_20,58,snd_bgm_GM076_race_ls_21,snd_bgm_GM076_race_ls_21,61,snd_bgm_GM076_race_ls_22,snd_bgm_GM076_race_ls_22,64,snd_bgm_GM076_race_ls_23,snd_bgm_GM076_race_ls_23,69,snd_bgm_GM076_race_ls_24,snd_bgm_GM076_race_ls_24,74,snd_bgm_GM076_race_ls_25,snd_bgm_GM076_race_ls_25,79,snd_bgm_GM076_race_ls_26,snd_bgm_GM076_race_ls_26,99,snd_bgm_GM076_race_ls_99,snd_bgm_GM076_race_ls_99,0,,,0,,,0,,
22,96,snd_bgm_GM119_race_short,snd_bgm_GM119,999,snd_bgm_GM119_race_full,snd_bgm_GM119,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
