id,story_event_id,ending_flag,character_id,dress_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
32,1016,1,1069,2,7,110,snd_bgm_DM027_sys,snd_bgm_DM027,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
33,1017,0,1023,2,196,111,snd_bgm_GM224_sys,snd_bgm_GM224,Story_bg_9002_General_Outdoor,Story_bg_9002_General_Outdoor
34,1017,1,1023,2,20,110,snd_bgm_GM224_sys,snd_bgm_GM224,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
35,1018,0,1043,2,6,8113,snd_bgm_GM230_sys,snd_bgm_GM230,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
36,1018,1,1043,2,33,120,snd_bgm_GM230_sys,snd_bgm_GM230,snd_sfx_atmos_kasenjiki_e,snd_sfx_atmos_kasenjiki_e
37,1019,0,1071,6,207,0,snd_bgm_GM236_sys_02,snd_bgm_GM236,snd_sfx_atmos_wide_room_quiet,snd_sfx_atmos_wide_room_quiet
38,1019,1,1071,6,76,110,snd_bgm_GM234_sys_02,snd_bgm_GM234,snd_sfx_atmos_race_track_d,snd_sfx_atmos_race_track_d
39,1020,0,1076,5,211,6112,snd_bgm_GM245_sys,snd_bgm_GM245,snd_sfx_atmos_zawazawa_d,snd_sfx_atmos_zawazawa_d
40,1020,1,1076,5,211,6132,snd_bgm_GM245_sys,snd_bgm_GM245,snd_sfx_atmos_stagemob_d,snd_sfx_atmos_stagemob_d
41,1021,0,1011,5,161,0,snd_bgm_GM250_sys,snd_bgm_GM250,snd_sfx_atmos_room_d,snd_sfx_atmos_room_d
42,1021,1,1011,26,111,120,snd_bgm_GM250_sys,snd_bgm_GM250,snd_sfx_atmos_namiki_e,snd_sfx_atmos_namiki_e
43,1022,0,1028,901028,139,110,snd_bgm_GM255_sys,snd_bgm_GM255,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
44,1022,1,1028,901028,218,120,snd_bgm_GM255_sys,snd_bgm_GM255,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
45,1023,0,1017,5,22,110,snd_bgm_GM271_sys,snd_bgm_GM271,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
46,1023,1,1017,5,16,130,snd_bgm_GM271_sys,snd_bgm_GM271,snd_sfx_atmos_roof_n,snd_sfx_atmos_roof_n
