id,cutin_category,card_id,chara_id,extension_sec,extension_sec_long
157,2,0,1098,11666,11666
158,3,104602,0,25666,96666
159,3,103502,0,26000,94333
160,3,105002,0,23000,96333
161,3,102901,0,28333,95000
162,2,0,1029,11666,11666
163,3,104201,0,23333,105333
164,2,0,1042,11666,11666
165,3,101902,0,30333,100000
166,3,105802,0,22666,98000
167,3,108701,0,30000,105666
168,2,0,1087,11666,11666
169,3,107801,0,26666,94666
170,2,0,1078,11666,11666
171,3,102102,0,22333,96333
172,3,103402,0,24000,99666
173,3,104901,0,23000,103333
174,2,0,1049,11666,11666
175,3,110001,0,26333,100000
176,2,0,1100,11666,11666
177,3,100802,1008,25000,98000
178,3,100902,1009,30000,94666
179,3,104701,0,30000,100333
180,2,0,1047,11666,11666
181,3,101602,0,23333,98000
182,3,106802,0,24333,100000
183,3,106702,0,23333,95666
184,3,109901,0,30000,95333
185,2,0,1099,11666,11666
186,3,106501,0,25000,94666
187,2,0,1065,11666,11666
188,3,102702,0,30000,101333
189,3,103102,0,32666,96333
190,3,104301,0,27000,100000
191,2,0,1043,11666,11666
192,3,106601,0,13166,13166
193,2,0,1066,26333,26333
194,3,105701,0,25000,97000
195,2,0,1057,11666,11666
