id,command_name,base_state_name,layer_index,tail_motion_type,start_blend_time,end_blend_time
53,upleftB,uprightB_plus_mirror,2,0,2300,1600
54,upleftBE,uprightBE_plus_mirror,2,0,2300,1600
55,uprightA,uprightA_plus,2,0,2300,1600
56,uprightAE,uprightAE_plus,2,0,2300,1600
57,uprightB,uprightB_plus,2,0,2300,1600
58,uprightBE,uprightBE_plus,2,0,2300,1600
59,up_neckA,up_neckA_plus,2,0,2300,1600
60,up_neckB,up_neckB_plus,2,0,2300,1600
61,yesA,yesA_plus,2,0,2300,1600
62,yesB,yesB_plus,2,0,2300,1600
63,yesC,yesC_plus,2,0,2300,1600
64,noA,noA_plus,2,0,2300,1600
65,noB,noB_plus,2,0,2300,1600
66,laugh_s,laugh_s_plus,2,0,2300,1600
67,surprise_s,surprise_s_plus,2,0,2300,1600
68,talkA,talkA_plus,2,0,2300,1600
69,talkB,talkB_plus,2,0,2300,1600
70,plusend,plusend,2,0,2500,0
71,shotS01,shotS01_tail,3,0,0,0
72,shotS01_mirror,shotS01_tail_mirror,3,0,0,0
73,shotS02,shotS02_tail,3,0,0,0
74,shotS02_mirror,shotS02_tail_mirror,3,0,0,0
75,shotS03,shotS03_tail,3,0,0,0
76,shotS03_mirror,shotS03_tail_mirror,3,0,0,0
77,loopL01,loopL01_tail,3,0,0,0
78,loopL01_mirror,loopL01_tail_mirror,3,0,0,0
79,loopL02,loopL02_tail,3,0,0,0
80,loopL02_mirror,loopL02_tail_mirror,3,0,0,0
81,loopL03,loopL03_tail,3,0,0,0
82,loopL03_mirror,loopL03_tail_mirror,3,0,0,0
83,loopL04,loopL04_tail,3,0,0,0
84,loopL04_mirror,loopL04_tail_mirror,3,0,0,0
85,loopS01,loopS01_tail,3,0,0,0
86,loopS01_mirror,loopS01_tail_mirror,3,0,0,0
87,shotL01,shotL01_tail,3,0,0,0
88,shotL01_mirror,shotL01_tail_mirror,3,0,0,0
89,shotL02,shotL02_tail,3,0,0,0
90,shotL02_mirror,shotL02_tail_mirror,3,0,0,0
91,shotL03,shotL03_tail,3,1,0,0
92,shotL03_mirror,shotL03_tail_mirror,3,1,0,0
93,tome01,tome01_tail,3,0,0,0
94,tome01_mirror,tome01_tail_mirror,3,0,0,0
95,downA_IK,downA_IK_add,2,0,2300,1600
96,downAE_IK,downAE_IK_add,2,0,2300,1600
97,downB_IK,downB_IK_add,2,0,2300,1600
98,downBE_IK,downBE_IK_add,2,0,2300,1600
99,downrightA_IK,downrightA_IK_add,2,0,2300,1600
100,downrightAE_IK,downrightAE_IK_add,2,0,2300,1600
101,downrightB_IK,downrightB_IK_add,2,0,2300,1600
102,downrightBE_IK,downrightBE_IK_add,2,0,2300,1600
103,downleftA_IK,downrightA_IK_add_mirror,2,0,2300,1600
104,downleftAE_IK,downrightAE_IK_add_mirror,2,0,2300,1600
105,downleftB_IK,downrightB_IK_add_mirror,2,0,2300,1600
106,downleftBE_IK,downrightBE_IK_add_mirror,2,0,2300,1600
107,laugh_IK,laugh_IK_add,2,0,2300,1600
108,noA_IK,noA_IK_add,2,0,2300,1600
109,noB_IK,noB_IK_add,2,0,2300,1600
110,questionR_IK,questionR_IK_add,2,0,2300,1600
111,questionRE_IK,questionRE_IK_add,2,0,2300,1600
112,questionL_IK,questionR_IK_add_mirror,2,0,2300,1600
113,questionLE_IK,questionRE_IK_add_mirror,2,0,2300,1600
114,rightA_IK,rightA_IK_add,2,0,2300,1600
115,rightAE_IK,rightAE_IK_add,2,0,2300,1600
116,rightB_IK,rightB_IK_add,2,0,2300,1600
117,rightBE_IK,rightBE_IK_add,2,0,2300,1600
118,leftA_IK,rightA_IK_add_mirror,2,0,2300,1600
119,leftAE_IK,rightAE_IK_add_mirror,2,0,2300,1600
120,leftB_IK,rightB_IK_add_mirror,2,0,2300,1600
121,leftBE_IK,rightBE_IK_add_mirror,2,0,2300,1600
122,surprise_s_IK,surprise_s_IK_add,2,0,2300,1600
123,talkA_IK,talkA_IK_add,2,0,2300,1600
124,talkB_IK,talkB_IK_add,2,0,2300,1600
125,upA_IK,upA_IK_add,2,0,2300,1600
126,upAE_IK,upAE_IK_add,2,0,2300,1600
127,upB_IK,upB_IK_add,2,0,2300,1600
128,upBE_IK,upBE_IK_add,2,0,2300,1600
129,uprightA_IK,uprightA_IK_add,2,0,2300,1600
130,uprightAE_IK,uprightAE_IK_add,2,0,2300,1600
131,uprightB_IK,uprightB_IK_add,2,0,2300,1600
132,uprightBE_IK,uprightBE_IK_add,2,0,2300,1600
133,upleftA_IK,uprightA_IK_add_mirror,2,0,2300,1600
134,upleftAE_IK,uprightAE_IK_add_mirror,2,0,2300,1600
135,upleftB_IK,uprightB_IK_add_mirror,2,0,2300,1600
136,upleftBE_IK,uprightBE_IK_add_mirror,2,0,2300,1600
137,yesA_IK,yesA_IK_add,2,0,2300,1600
138,yesB_IK,yesB_IK_add,2,0,2300,1600
139,yesC_IK,yesC_IK_add,2,0,2300,1600
140,HipBack_IK,HipBack_IK_add,2,0,2300,1600
141,HipBackE_IK,HipBackE_IK_add,2,0,2300,1600
142,HipDown_IK,HipDown_IK_add,2,0,2300,1600
143,HipDownE_IK,HipDownE_IK_add,2,0,2300,1600
144,HipFront_IK,HipFront_IK_add,2,0,2300,1600
145,HipFrontE_IK,HipFrontE_IK_add,2,0,2300,1600
146,HipLeft_IK,HipLeft_IK_add,2,0,2300,1600
147,HipLeftE_IK,HipLeftE_IK_add,2,0,2300,1600
148,HipRight_IK,HipRight_IK_add,2,0,2300,1600
149,HipRightE_IK,HipRightE_IK_add,2,0,2300,1600
150,HipUp_IK,HipUp_IK_add,2,0,2300,1600
151,HipUpE_IK,HipUpE_IK_add,2,0,2300,1600
