id,round_id,win_percent_type,text_number,resource_id,race_track_id,ground,distance,weather
4000,4,3,1,0,0,0,0,0
4001,4,3,1,0,0,0,0,0
4002,4,3,1,0,0,0,0,0
4003,4,3,1,0,0,0,0,0
4004,4,3,1,0,0,0,0,0
4100,4,3,2,0,0,0,0,0
4101,4,3,2,0,0,0,0,0
4102,4,3,2,0,0,0,0,0
4103,4,3,2,0,0,0,0,0
4104,4,3,2,0,0,0,0,0
4105,4,3,2,0,0,0,0,0
4106,4,3,2,0,0,0,0,0
4107,4,3,2,0,0,0,0,0
4108,4,3,2,0,0,0,0,0
4200,4,3,3,0,0,0,0,0
4201,4,3,3,0,0,0,0,0
4202,4,3,3,0,0,0,0,0
4203,4,3,3,0,0,0,0,0
4204,4,3,3,0,0,0,0,0
4205,4,3,3,0,0,0,0,0
4206,4,3,3,0,0,0,0,0
4207,4,3,3,0,0,0,0,0
4208,4,3,3,0,0,0,0,0
4209,4,3,3,0,0,0,0,0
4210,4,3,3,0,0,0,0,0
4211,4,3,3,0,0,0,0,0
5000,5,3,1,0,0,0,0,0
5001,5,3,1,0,0,0,0,0
5002,5,3,1,0,0,0,0,0
5003,5,3,1,0,0,0,0,0
5004,5,3,1,0,0,0,0,0
5100,5,3,2,0,0,0,0,0
5101,5,3,2,0,0,0,0,0
5102,5,3,2,0,0,0,0,0
5103,5,3,2,0,0,0,0,0
5104,5,3,2,0,0,0,0,0
5105,5,3,2,0,0,0,0,0
5106,5,3,2,0,0,0,0,0
5107,5,3,2,0,0,0,0,0
5108,5,3,2,0,0,0,0,0
5200,5,3,3,0,0,0,0,0
5201,5,3,3,0,0,0,0,0
5202,5,3,3,0,0,0,0,0
5203,5,3,3,0,0,0,0,0
5204,5,3,3,0,0,0,0,0
5205,5,3,3,0,0,0,0,0
5206,5,3,3,0,0,0,0,0
5207,5,3,3,0,0,0,0,0
5208,5,3,3,0,0,0,0,0
5209,5,3,3,0,0,0,0,0
5210,5,3,3,0,0,0,0,0
5211,5,3,3,0,0,0,0,0
