id,race_set_id,scenario_group_id,target_type,sort_id,turn,race_type,condition_type,condition_id,condition_value_1,condition_value_2,determine_race,determine_race_flag
129,1045,100,1,8,72,0,1,81,1,0,0,0
130,1045,701,3,9,74,1,1,10001,1,0,0,0
131,1045,701,3,10,76,2,1,10002,1,0,0,0
132,1045,701,3,11,78,3,1,10003,1,0,0,0
133,1027,100,1,1,12,0,1,851,0,0,0,0
134,1027,100,1,2,25,0,1,193,3,0,0,0
135,1027,100,1,3,31,0,1,163,5,0,0,0
136,1027,100,1,4,34,0,1,166,5,0,0,0
137,1027,100,1,5,44,0,1,168,3,0,0,0
138,1027,100,1,6,48,0,1,81,3,0,0,0
139,1027,100,1,7,56,0,1,4,3,0,0,0
140,1027,100,1,8,60,0,1,1071,1,0,0,0
141,1027,100,1,9,72,0,1,81,1,0,0,0
142,1027,701,3,10,74,1,1,10001,1,0,0,0
143,1027,701,3,11,76,2,1,10002,1,0,0,0
144,1027,701,3,12,78,3,1,10003,1,0,0,0
145,1024,100,1,1,12,0,1,1067,0,0,0,0
146,1024,100,1,2,37,0,3,0,10000,0,0,0
147,1024,100,1,3,44,0,1,168,3,0,0,0
148,1024,100,1,4,48,0,1,81,3,0,0,0
149,1024,100,1,5,54,0,1,12,2,0,0,0
150,1024,100,1,6,56,0,1,4,3,0,0,0
151,1024,100,1,7,60,0,1,74,3,0,0,0
152,1024,100,1,8,68,0,1,76,1,0,0,0
153,1024,100,1,9,72,0,1,81,1,0,0,0
154,1024,701,3,10,74,1,1,10001,1,0,0,0
155,1024,701,3,11,76,2,1,10002,1,0,0,0
156,1024,701,3,12,78,3,1,10003,1,0,0,0
157,1060,100,1,1,12,0,1,1067,0,0,0,0
158,1060,100,1,2,26,0,1,195,3,0,0,0
159,1060,100,1,3,39,0,1,104,3,0,0,0
160,1060,100,1,4,44,0,1,1073,3,0,0,0
161,1060,100,1,5,48,0,1,81,3,0,0,0
162,1060,100,1,6,60,0,1,74,3,0,0,0
163,1060,100,1,7,68,0,1,76,3,0,0,0
164,1060,100,1,8,71,0,1,118,1,0,0,0
165,1060,100,1,9,72,0,1,81,1,0,0,0
166,1060,701,3,10,74,1,1,10001,1,0,0,0
167,1060,701,3,11,76,2,1,10002,1,0,0,0
168,1060,701,3,12,78,3,1,10003,1,0,0,0
169,1018,100,1,1,12,0,1,1068,0,0,0,0
170,1018,100,1,2,23,0,1,623,5,0,0,0
171,1018,100,1,3,31,0,1,162,5,0,0,0
172,1018,100,1,4,34,0,1,165,5,0,0,0
173,1018,100,1,5,44,0,1,167,3,0,0,0
174,1018,100,1,6,54,0,1,3,3,0,0,0
175,1018,100,1,7,60,0,1,74,3,0,0,0
176,1018,100,1,8,64,0,1,82,1,0,0,0
177,1018,100,1,9,68,0,1,76,1,0,0,0
178,1018,701,3,10,74,1,1,10001,1,0,0,0
179,1018,701,3,11,76,2,1,10002,1,0,0,0
180,1018,701,3,12,78,3,1,10003,1,0,0,0
181,1032,100,1,1,12,0,1,1069,0,0,0,0
182,1032,100,1,2,29,0,1,169,5,0,0,0
183,1032,100,1,3,31,0,1,163,5,0,0,0
184,1032,100,1,4,34,0,1,166,5,0,1,0
185,1032,100,1,5,44,0,1,168,3,0,0,0
186,1032,100,1,6,54,0,1,3,3,0,0,0
187,1032,100,1,7,60,0,1,74,3,0,0,0
188,1032,100,1,8,68,0,1,76,1,0,0,0
189,1032,100,1,9,72,0,1,81,1,0,0,0
190,1032,701,3,10,74,1,1,10001,1,0,0,0
191,1032,701,3,11,76,2,1,10002,1,0,0,0
192,1032,701,3,12,78,3,1,10003,1,0,0,0
193,1017,100,1,1,12,0,1,931,0,0,0,0
194,1017,100,1,2,19,0,1,632,5,0,0,0
195,1017,100,1,3,31,0,1,163,5,0,0,0
196,1017,100,1,4,34,0,1,166,5,0,0,0
197,1017,100,1,5,44,0,1,168,3,0,0,0
198,1017,100,1,6,48,0,1,81,3,0,0,0
199,1017,100,1,7,56,0,1,4,3,0,0,0
200,1017,100,1,8,70,0,1,79,2,0,0,0
201,1017,100,1,9,72,0,1,81,1,0,0,0
202,1017,701,3,10,74,1,1,10001,1,0,0,0
203,1017,701,3,11,76,2,1,10002,1,0,0,0
204,1017,701,3,12,78,3,1,10003,1,0,0,0
205,1061,100,1,1,12,0,1,1066,0,0,0,0
206,1061,100,1,2,24,0,1,625,5,0,0,0
207,1061,100,1,3,31,0,1,163,5,0,0,0
208,1061,100,1,4,34,0,1,166,5,0,0,0
209,1061,100,1,5,44,0,1,168,0,0,0,0
210,1061,100,1,6,54,0,1,2,1,0,0,0
211,1061,100,1,7,59,0,1,73,3,0,0,0
212,1061,100,1,8,66,0,1,75,1,0,0,0
213,1061,100,1,9,68,0,1,76,1,0,0,0
214,1061,701,3,10,74,1,1,10001,1,0,0,0
215,1061,701,3,11,76,2,1,10002,1,0,0,0
216,1061,701,3,12,78,3,1,10003,1,0,0,0
217,1004,100,1,1,12,0,1,676,0,0,0,0
218,1004,100,1,2,23,0,1,624,5,0,0,0
219,1004,100,1,3,30,0,1,1074,3,0,0,0
220,1004,100,1,4,31,0,1,163,5,0,0,0
221,1004,100,1,5,34,0,1,166,5,0,0,0
222,1004,100,1,6,48,0,1,81,0,0,0,0
223,1004,100,1,7,54,0,1,3,1,0,0,0
224,1004,100,1,8,59,0,1,73,1,0,0,0
225,1004,100,1,9,68,0,1,76,1,0,0,0
226,1004,701,3,10,74,1,1,10001,1,0,0,0
227,1004,701,3,11,76,2,1,10002,1,0,0,0
228,1004,701,3,12,78,3,1,10003,1,0,0,0
229,1041,100,1,1,12,0,1,676,0,0,0,0
230,1041,100,1,2,21,0,1,626,5,0,0,0
231,1041,100,1,3,30,0,1,171,0,0,0,0
232,1041,100,1,4,34,0,1,210,5,0,0,0
233,1041,100,1,5,42,0,1,75,3,0,0,0
234,1041,100,1,6,54,0,1,2,3,0,0,0
235,1041,100,1,7,60,0,1,96,1,0,0,0
236,1041,100,1,8,61,0,1,97,1,0,0,0
237,1041,100,1,9,65,0,1,83,1,0,0,0
238,1041,100,1,10,66,0,1,75,1,0,0,0
239,1041,100,1,11,70,0,1,78,1,0,0,0
240,1041,701,3,12,74,1,1,10001,1,0,0,0
241,1041,701,3,13,76,2,1,10002,1,0,0,0
242,1041,701,3,14,78,3,1,10003,1,0,0,0
243,1014,100,1,1,12,0,1,846,0,0,0,0
244,1014,100,1,2,27,0,1,183,5,0,0,0
245,1014,100,1,3,33,0,1,164,5,0,0,0
246,1014,100,1,4,34,0,1,166,5,0,0,0
247,1014,100,1,5,43,0,1,86,3,0,0,0
248,1014,100,1,6,60,0,1,74,1,0,0,0
249,1014,100,1,7,70,0,1,79,1,0,0,0
250,1014,100,1,8,72,0,1,81,1,0,0,0
251,1014,701,3,9,74,1,1,10001,1,0,0,0
252,1014,701,3,10,76,2,1,10002,1,0,0,0
253,1014,701,3,11,78,3,1,10003,1,0,0,0
254,1008,100,1,1,12,0,1,1066,0,0,0,0
255,1008,100,1,2,23,0,1,623,5,0,0,0
256,1008,100,1,3,29,0,1,185,5,0,0,0
257,1008,100,1,4,31,0,1,162,5,0,0,0
258,1008,100,1,5,34,0,1,166,5,0,0,0
259,1008,100,1,6,44,0,1,167,3,0,0,0
260,1008,100,1,7,48,0,1,81,0,0,0,0
261,1008,100,1,8,57,0,1,5,3,0,0,0
262,1008,100,1,9,59,0,1,73,2,0,0,0
263,1008,100,1,10,68,0,1,76,1,0,0,0
264,1008,701,3,11,74,1,1,10001,1,0,0,0
265,1008,701,3,12,76,2,1,10002,1,0,0,0
266,1008,701,3,13,78,3,1,10003,1,0,0,0
267,1007,100,1,1,12,0,1,1068,0,0,0,0
268,1007,100,1,2,24,0,1,625,5,0,0,0
269,1007,100,1,3,31,0,1,163,5,0,0,0
270,1007,100,1,4,44,0,1,168,3,0,0,0
271,1007,100,1,5,48,0,1,81,3,0,0,0
272,1007,100,1,6,56,0,1,4,3,0,0,0
273,1007,100,1,7,60,0,1,74,1,0,0,0
274,1007,100,1,8,68,0,1,76,1,0,0,0
275,1007,100,1,9,72,0,1,81,1,0,0,0
276,1007,701,3,10,74,1,1,10001,1,0,0,0
277,1007,701,3,11,76,2,1,10002,1,0,0,0
278,1007,701,3,12,78,3,1,10003,1,0,0,0
279,1035,100,1,1,12,0,1,689,0,0,0,0
280,1035,100,1,2,24,0,1,625,5,0,0,0
281,1035,100,1,3,29,0,1,169,5,0,0,0
282,1035,100,1,4,31,0,1,163,5,0,0,0
283,1035,100,1,5,34,0,1,166,5,0,0,0
284,1035,100,1,6,44,0,1,168,3,0,0,0
285,1035,100,1,7,54,0,1,3,3,0,0,0
286,1035,100,1,8,60,0,1,74,3,0,0,0
287,1035,100,1,9,72,0,1,81,1,0,0,0
288,1035,701,3,10,74,1,1,10001,1,0,0,0
289,1035,701,3,11,76,2,1,10002,1,0,0,0
290,1035,701,3,12,78,3,1,10003,1,0,0,0
291,1009,100,1,4,34,0,1,166,5,0,2,100901
292,1056,100,1,2,30,0,1,171,5,0,3,105602
293,1056,100,1,2,30,0,1,188,5,0,3,105603
294,1056,100,1,7,61,0,1,100,2,0,3,105604
295,1056,100,1,7,64,0,1,82,2,0,3,105606
296,1032,100,1,4,33,0,1,164,5,0,2,103201
297,1015,100,1,1,12,0,1,1067,0,0,0,0
298,1015,100,1,2,28,0,3,0,5000,0,0,0
299,1015,100,1,3,31,0,1,163,5,0,0,0
300,1015,100,1,4,34,0,1,166,5,0,0,0
301,1015,100,1,5,48,0,1,81,3,0,0,0
302,1015,100,1,6,56,0,1,4,3,0,0,0
303,1015,100,1,7,60,0,1,74,3,0,0,0
304,1015,100,1,8,70,0,1,79,2,0,0,0
305,1015,100,1,9,72,0,1,81,1,0,0,0
306,1015,701,3,10,74,1,1,10001,1,0,0,0
307,1015,701,3,11,76,2,1,10002,1,0,0,0
308,1015,701,3,12,78,3,1,10003,1,0,0,0
309,1026,100,1,1,12,0,1,1075,0,0,0,0
310,1026,100,1,2,23,0,1,624,5,0,0,0
311,1026,100,1,3,30,0,1,171,5,0,0,0
312,1026,100,1,4,31,0,1,163,5,0,0,0
313,1026,100,1,5,34,0,1,166,5,0,0,0
314,1026,100,1,6,44,0,1,168,3,0,0,0
315,1026,100,1,7,56,0,1,4,3,0,0,0
316,1026,100,1,8,70,0,1,79,2,0,0,0
317,1026,100,1,9,72,0,1,81,1,0,0,0
318,1026,701,3,10,74,1,1,10001,1,0,0,0
319,1026,701,3,11,76,2,1,10002,1,0,0,0
320,1026,701,3,12,78,3,1,10003,1,0,0,0
321,1023,100,1,1,12,0,1,1070,0,0,0,0
322,1023,100,1,2,23,0,1,624,5,0,0,0
323,1023,100,1,3,31,0,1,163,5,0,0,0
324,1023,100,1,4,34,0,1,166,5,0,0,0
325,1023,100,1,5,44,0,1,168,3,0,0,0
326,1023,100,1,6,56,0,1,1076,3,0,0,0
327,1023,100,1,7,60,0,1,74,1,0,0,0
328,1023,100,1,8,68,0,1,76,3,0,0,0
329,1023,100,1,9,72,0,1,81,1,0,0,0
330,1023,701,3,10,74,1,1,10001,1,0,0,0
331,1023,701,3,11,76,2,1,10002,1,0,0,0
332,1023,701,3,12,78,3,1,10003,1,0,0,0
333,1038,100,1,1,12,0,1,1077,0,0,0,0
334,1038,100,1,2,23,0,3,0,3000,0,0,0
335,1038,100,1,3,29,0,1,170,5,0,0,0
336,1038,100,1,4,34,0,1,210,5,0,0,0
337,1038,100,1,5,36,0,1,96,3,0,0,0
338,1038,100,1,6,42,0,1,75,3,0,0,0
339,1038,100,1,7,53,0,1,28,3,0,0,0
340,1038,100,1,8,54,0,1,2,1,0,0,0
341,1038,100,1,9,66,0,1,75,1,0,0,0
342,1038,701,3,10,74,1,1,10001,1,0,0,0
343,1038,701,3,11,76,2,1,10002,1,0,0,0
344,1038,701,3,12,78,3,1,10003,1,0,0,0
345,1050,100,1,1,12,0,1,1068,0,0,0,0
346,1050,100,1,2,24,0,1,625,5,0,0,0
347,1050,100,1,3,31,0,1,163,5,0,0,0
348,1050,100,1,4,34,0,1,166,5,0,0,0
349,1050,100,1,5,44,0,1,168,0,0,0,0
350,1050,100,1,6,54,0,1,13,1,0,0,0
351,1050,100,1,7,56,0,1,1076,3,0,0,0
352,1050,100,1,8,68,0,1,76,1,0,0,0
353,1050,100,1,9,72,0,1,81,1,0,0,0
354,1050,701,3,10,74,1,1,10001,1,0,0,0
355,1050,701,3,11,76,2,1,10002,1,0,0,0
356,1050,701,3,12,78,3,1,10003,1,0,0,0
357,1046,100,1,1,12,0,1,846,0,0,0,0
358,1046,100,1,2,25,0,2,700,1,2,0,0
359,1046,100,1,3,31,0,1,163,0,0,0,0
360,1046,100,1,4,37,0,1,1023,5,0,0,0
361,1046,100,1,5,45,0,1,1132,3,0,0,0
362,1046,100,1,6,48,0,1,1027,3,0,0,0
363,1046,100,1,7,52,0,1,1,1,0,0,0
364,1046,100,1,8,60,0,1,1022,1,0,0,0
365,1046,100,1,9,69,0,1,1132,1,0,0,0
366,1046,100,1,10,71,0,1,80,1,0,0,0
367,1046,100,1,11,72,0,1,1027,1,0,0,0
368,1046,701,3,12,74,1,1,10001,1,0,0,0
369,1046,701,3,13,76,2,1,10002,1,0,0,0
370,1046,701,3,14,78,3,1,10003,1,0,0,0
371,1016,100,1,1,12,0,1,1078,0,0,0,0
372,1016,100,1,2,23,0,1,624,5,0,0,0
373,1016,100,1,3,31,0,1,163,5,0,0,0
374,1016,100,1,4,34,0,1,166,5,0,0,0
375,1016,100,1,5,44,0,1,168,3,0,0,0
376,1016,100,1,6,48,0,1,1089,3,0,0,0
377,1016,100,1,7,54,0,1,12,1,0,0,0
378,1016,100,1,8,56,0,1,1079,1,0,3,101601
379,1016,100,1,8,56,0,1,1083,1,0,3,101602
380,1016,100,1,9,68,0,1,1080,1,0,3,101603
381,1016,100,1,9,68,0,1,1084,1,0,3,101604
382,1016,100,1,10,70,0,1,1081,1,0,3,101605
383,1016,100,1,10,70,0,1,1085,1,0,3,101606
384,1016,100,1,11,72,0,1,1082,1,0,3,101607
385,1016,100,1,11,72,0,1,1086,1,0,3,101608
386,1016,701,3,12,74,1,1,10001,1,0,0,0
387,1016,701,3,13,76,2,1,10002,1,0,0,0
388,1016,701,3,14,78,3,1,10003,1,0,0,0
389,1020,100,1,1,12,0,1,689,0,0,0,0
390,1020,100,1,2,25,0,3,0,3000,0,0,0
391,1020,100,1,3,31,0,1,163,5,0,0,0
392,1020,100,1,4,34,0,1,166,5,0,0,0
393,1020,100,1,5,44,0,1,168,3,0,0,0
394,1020,100,1,6,48,0,1,81,3,0,0,0
395,1020,100,1,7,56,0,1,4,3,0,0,0
396,1020,100,1,8,60,0,1,74,3,0,0,0
397,1020,100,1,9,68,0,1,76,1,0,0,0
398,1020,100,1,10,72,0,1,81,1,0,0,0
399,1020,701,3,11,74,1,1,10001,1,0,0,0
400,1020,701,3,12,76,2,1,10002,1,0,0,0
401,1020,701,3,13,78,3,1,10003,1,0,0,0
402,1012,100,1,1,12,0,1,1090,0,0,0,0
403,1012,100,1,2,23,0,1,623,5,0,0,0
404,1012,100,1,3,31,0,1,162,5,0,0,0
405,1012,100,1,4,34,0,1,165,5,0,0,0
406,1012,100,1,5,44,0,1,167,3,0,0,0
407,1012,100,1,6,48,0,1,81,3,0,0,0
408,1012,100,1,7,54,0,1,3,1,0,0,0
409,1012,100,1,8,59,0,1,73,1,0,0,0
410,1012,100,1,9,70,0,1,79,1,0,0,0
411,1012,100,1,10,72,0,1,81,1,0,0,0
412,1012,701,3,11,74,1,1,10001,1,0,0,0
413,1012,701,3,12,76,2,1,10002,1,0,0,0
414,1012,701,3,13,78,3,1,10003,1,0,0,0
415,1005,100,1,1,12,0,1,1091,0,0,0,0
416,1005,100,1,2,23,0,1,624,5,0,0,0
417,1005,100,1,3,29,0,1,169,5,0,0,0
418,1005,100,1,4,31,0,1,163,5,0,0,0
419,1005,100,1,5,33,0,1,164,5,0,3,100501
420,1005,100,1,5,34,0,1,166,5,0,3,100502
421,1005,100,1,6,44,0,1,168,0,0,3,100503
422,1005,100,1,6,46,0,1,78,3,0,3,100504
423,1005,100,1,7,54,0,1,2,3,0,0,0
424,1005,100,1,8,59,0,1,73,3,0,0,0
425,1005,100,1,9,68,0,1,76,1,0,0,0
426,1005,100,1,10,72,0,1,81,0,0,0,0
427,1005,701,3,11,74,1,1,10001,1,0,0,0
428,1005,701,3,12,76,2,1,10002,1,0,0,0
429,1005,701,3,13,78,3,1,10003,1,0,0,0
430,1040,100,1,1,12,0,1,1092,0,0,0,0
431,1040,100,1,2,23,0,1,623,5,0,0,0
432,1040,100,1,3,31,0,1,163,5,0,0,0
433,1040,100,1,4,34,0,1,166,5,0,0,0
434,1040,100,1,5,44,0,1,168,3,0,0,0
435,1040,100,1,6,48,0,1,81,3,0,0,0
436,1040,100,1,7,54,0,1,3,3,0,0,0
437,1040,100,1,8,56,0,1,4,3,0,0,0
438,1040,100,1,9,60,0,1,74,3,0,0,0
439,1040,100,1,10,70,0,1,79,1,0,0,0
440,1040,701,3,11,74,1,1,10001,1,0,0,0
441,1040,701,3,12,76,2,1,10002,1,0,0,0
442,1040,701,3,13,78,3,1,10003,1,0,0,0
443,1058,100,1,1,12,0,1,1067,0,0,0,0
444,1058,100,1,2,31,0,3,0,6000,0,0,0
445,1058,100,1,3,44,0,3,0,15000,0,0,0
446,1058,100,1,4,49,0,1,6,3,0,0,0
447,1058,100,1,5,53,0,1,11,1,0,0,0
448,1058,100,1,6,60,0,1,74,2,0,0,0
449,1058,100,1,7,68,0,1,76,2,0,0,0
450,1058,100,1,8,70,0,1,79,2,0,0,0
451,1058,100,1,9,72,0,1,81,1,0,0,0
452,1058,701,3,10,74,1,1,10001,1,0,0,0
453,1058,701,3,11,76,2,1,10002,1,0,0,0
454,1058,701,3,12,78,3,1,10003,1,0,0,0
455,1037,100,1,1,12,0,1,1069,0,0,0,0
456,1037,100,1,2,25,0,1,1093,5,0,0,0
457,1037,100,1,3,31,0,1,163,5,0,0,0
458,1037,100,1,4,34,0,1,166,5,0,0,0
459,1037,100,1,5,46,0,1,79,0,0,0,0
460,1037,100,1,6,48,0,1,81,0,0,0,0
461,1037,100,1,7,54,0,1,3,3,0,0,0
462,1037,100,1,8,56,0,1,4,3,0,0,0
463,1037,100,1,9,68,0,1,76,1,0,0,0
464,1037,100,1,10,72,0,1,81,1,0,0,0
465,1037,701,3,11,74,1,1,10001,1,0,0,0
466,1037,701,3,12,76,2,1,10002,1,0,0,0
467,1037,701,3,13,78,3,1,10003,1,0,0,0
468,1028,100,1,1,12,0,1,1094,0,0,0,0
469,1028,100,1,2,23,0,3,0,3000,0,0,0
470,1028,100,1,3,37,0,3,0,10000,0,0,0
471,1028,100,1,4,42,0,1,75,3,0,0,0
472,1028,100,1,5,44,0,1,89,3,0,0,0
473,1028,100,1,6,46,0,1,78,3,0,0,0
474,1028,100,1,7,54,0,1,2,1,0,0,0
475,1028,100,1,8,59,0,1,73,2,0,0,0
476,1028,100,1,9,66,0,1,75,1,0,0,0
477,1028,100,1,10,70,0,1,78,1,0,0,0
478,1028,701,3,11,74,1,1,10001,1,0,0,0
479,1028,701,3,12,76,2,1,10002,1,0,0,0
480,1028,701,3,13,78,3,1,10003,1,0,0,0
481,1019,100,1,1,12,0,1,846,0,0,0,0
482,1019,100,1,2,28,0,1,198,3,0,0,0
483,1019,100,1,3,33,0,1,164,5,0,0,0
484,1019,100,1,4,37,0,1,1023,5,0,0,0
485,1019,100,1,5,46,0,1,78,3,0,0,0
486,1019,100,1,6,60,0,2,100,3,3,0,0
487,1019,100,1,7,68,0,1,76,1,0,0,0
488,1019,701,3,8,74,1,1,10001,1,0,0,0
489,1019,701,3,9,76,2,1,10002,1,0,0,0
490,1019,701,3,10,78,3,1,10003,1,0,0,0
491,1039,100,1,1,12,0,1,1070,0,0,0,0
492,1039,100,1,2,31,0,3,0,7000,0,0,0
493,1039,100,1,3,34,0,1,165,5,0,0,0
494,1039,100,1,4,44,0,1,167,3,0,0,0
495,1039,100,1,5,45,0,1,77,3,0,0,0
496,1039,100,1,6,53,0,1,11,3,0,0,0
497,1039,100,1,7,57,0,1,5,3,0,0,0
498,1039,100,1,8,60,0,1,74,3,0,0,0
499,1039,100,1,9,69,0,1,77,1,0,0,0
500,1039,701,3,10,74,1,1,10001,1,0,0,0
501,1039,701,3,11,76,2,1,10002,1,0,0,0
502,1039,701,3,12,78,3,1,10003,1,0,0,0
503,1025,100,1,1,12,0,1,851,0,0,0,0
504,1025,100,1,2,26,0,3,0,4000,0,0,0
505,1025,100,1,3,29,0,1,169,5,0,0,0
