id,rental_rank,rental_num,use_value1,use_value2
412,83,2,46360,15110
413,83,3,46360,15110
414,83,4,46360,15110
415,83,5,46360,15110
416,84,1,46800,15130
417,84,2,46800,15130
418,84,3,46800,15130
419,84,4,46800,15130
420,84,5,46800,15130
421,85,1,47240,15150
422,85,2,47240,15150
423,85,3,47240,15150
424,85,4,47240,15150
425,85,5,47240,15150
426,86,1,47680,15170
427,86,2,47680,15170
428,86,3,47680,15170
429,86,4,47680,15170
430,86,5,47680,15170
431,87,1,48120,15190
432,87,2,48120,15190
433,87,3,48120,15190
434,87,4,48120,15190
435,87,5,48120,15190
436,88,1,48560,15210
437,88,2,48560,15210
438,88,3,48560,15210
439,88,4,48560,15210
440,88,5,48560,15210
441,89,1,49000,15230
442,89,2,49000,15230
443,89,3,49000,15230
444,89,4,49000,15230
445,89,5,49000,15230
446,90,1,49440,15250
447,90,2,49440,15250
448,90,3,49440,15250
449,90,4,49440,15250
450,90,5,49440,15250
451,91,1,49870,15270
452,91,2,49870,15270
453,91,3,49870,15270
454,91,4,49870,15270
455,91,5,49870,15270
456,92,1,50300,15290
457,92,2,50300,15290
458,92,3,50300,15290
459,92,4,50300,15290
460,92,5,50300,15290
461,93,1,50730,15310
462,93,2,50730,15310
463,93,3,50730,15310
464,93,4,50730,15310
465,93,5,50730,15310
466,94,1,51160,15330
467,94,2,51160,15330
468,94,3,51160,15330
469,94,4,51160,15330
470,94,5,51160,15330
471,95,1,51590,15350
472,95,2,51590,15350
473,95,3,51590,15350
474,95,4,51590,15350
475,95,5,51590,15350
476,96,1,52020,15370
477,96,2,52020,15370
478,96,3,52020,15370
479,96,4,52020,15370
480,96,5,52020,15370
481,97,1,52450,15390
482,97,2,52450,15390
483,97,3,52450,15390
484,97,4,52450,15390
485,97,5,52450,15390
486,98,1,52880,15410
487,98,2,52880,15410
488,98,3,52880,15410
489,98,4,52880,15410
490,98,5,52880,15410
