id,race_group_id,race_program_id
511,10001,2014
512,10001,2015
513,10001,2016
514,10001,2017
515,10001,2018
516,10001,2019
517,10001,2020
518,10001,2021
519,10001,2022
520,10001,2023
521,10001,2024
522,10001,2025
523,10001,2026
524,10001,2027
525,10001,2028
526,10001,2029
527,10001,2030
528,10001,2031
529,10001,2032
530,10001,2033
531,10001,2034
532,10001,2035
533,10001,2036
534,10001,2037
535,10001,2038
536,10001,2039
537,10001,2040
538,10001,2041
539,10002,2101
540,10002,2102
541,10002,2103
542,10002,2104
543,10002,2105
544,10002,2106
545,10002,2107
546,10002,2108
547,10002,2109
548,10002,2110
549,10002,2111
550,10002,2112
551,10002,2113
552,10002,2114
553,10002,2115
554,10002,2116
555,10002,2117
556,10002,2118
557,10002,2119
558,10002,2120
559,10002,2121
560,10002,2122
561,10002,2123
562,10002,2124
563,10002,2125
564,10002,2126
565,10002,2127
566,10002,2128
567,10002,2129
568,10002,2130
569,10002,2131
570,10002,2132
571,10002,2133
572,10002,2134
573,10002,2135
574,10002,2136
575,10002,2137
576,10002,2138
577,10002,2139
578,10002,2140
579,10002,2141
580,10003,2201
581,10003,2202
582,10003,2203
583,10003,2204
584,10003,2205
585,10003,2206
586,10003,2207
587,10003,2208
588,10003,2209
589,10003,2210
590,10003,2211
591,10003,2212
592,10003,2213
593,10003,2214
594,10003,2215
595,10003,2216
596,10003,2217
597,10003,2218
598,10003,2219
599,10003,2220
600,10003,2221
601,10003,2222
602,10003,2223
603,10003,2224
604,10003,2225
605,10003,2226
606,10003,2227
607,10003,2228
608,10003,2229
609,10003,2230
610,10003,2231
611,10003,2232
612,10003,2233
613,10003,2234
614,10003,2235
615,10003,2236
616,10003,2237
617,10003,2238
618,10003,2239
619,10003,2240
620,10003,2241
621,1022,1022
622,1023,1023
623,20001,1024
624,20002,1025
625,20003,1026
626,1027,1027
627,1031,1031
628,1032,1032
629,1033,1033
630,1034,1034
631,1035,1035
632,1036,1036
633,1037,1037
634,1038,1038
635,1039,1039
636,1040,1040
637,1041,1041
638,1042,1042
639,1043,1043
640,1044,1044
641,1045,1045
642,1046,1046
643,1047,1047
644,1048,1048
645,1049,1049
646,1050,1050
647,1051,1051
648,1052,1052
649,1053,1053
650,1054,1054
651,1055,1055
652,1056,1056
653,1057,1057
654,1058,1058
655,1059,1059
656,1060,1060
657,1061,1061
658,1062,1062
659,1063,1063
660,1064,1064
661,1065,1065
662,1066,1066
663,1067,1067
664,1068,1068
665,1069,1069
666,1070,1070
667,1071,1071
668,1072,1072
669,1073,1073
670,1074,1074
671,1075,1075
672,1076,1076
673,1077,1077
674,1078,1078
675,1079,1079
676,1080,1080
677,1081,1081
678,1082,1082
679,1083,1083
680,1084,1084
681,1085,1085
682,1086,1086
683,1087,1087
684,1088,1088
685,1089,1089
686,1090,1090
687,1091,1091
688,1092,1092
689,1093,1093
690,1094,1094
691,1095,1095
692,1096,1096
693,1097,1097
694,1098,1098
695,1099,1099
696,1100,1100
697,1101,1101
698,1102,1102
699,1103,1103
700,1104,1104
701,1105,1105
702,1106,1106
703,1107,1107
704,1108,1108
705,1109,1109
706,20001,1110
707,20002,1111
708,20003,1112
709,20001,1113
710,20002,1114
711,20003,1115
712,20001,1116
713,20002,1117
714,20003,1118
715,1119,1119
716,1120,1120
717,1121,1121
718,1122,1122
719,1123,1123
720,1124,1124
721,1125,1125
722,1126,1126
723,1127,1127
724,1128,1128
725,1129,1129
726,1130,1130
727,1131,1131
728,1132,1132
729,1135,1135
730,1136,1136
731,1137,1137
732,1138,1138
733,1139,1139
734,1140,1140
735,1141,1141
40001,40001,2301
40002,40001,2302
40003,40001,2303
40004,40001,2304
40005,40001,2305
40006,40001,2306
40007,40001,2307
40008,40001,2308
40009,40001,2309
40010,40001,2310
40011,40001,2311
40012,40001,2312
40013,40001,2313
40014,40001,2314
40015,40001,2315
40016,40001,2316
40017,40001,2317
40018,40001,2318
40019,40001,2319
40020,40001,2320
40021,40001,2321
40022,40001,2322
40023,40001,2323
40024,40001,2324
40025,40001,2325
40026,40001,2326
40027,40001,2327
40028,40001,2328
40029,40001,2329
40030,40001,2330
40031,40001,2331
40032,40001,2332
40033,40001,2333
40034,40001,2334
40035,40001,2335
40036,40001,2336
40037,40001,2337
40038,40001,2338
40039,40001,2339
40040,40001,2340
40041,40001,2341
40042,40002,2401
40043,40002,2402
40044,40002,2403
40045,40002,2404
40046,40002,2405
40047,40002,2406
40048,40002,2407
40049,40002,2408
40050,40002,2409
40051,40002,2410
40052,40002,2411
40053,40002,2412
40054,40002,2413
40055,40002,2414
40056,40002,2415
40057,40002,2416
40058,40002,2417
40059,40002,2418
40060,40002,2419
40061,40002,2420
40062,40002,2421
40063,40002,2422
40064,40002,2423
40065,40002,2424
40066,40002,2425
40067,40002,2426
40068,40002,2427
40069,40002,2428
40070,40002,2429
40071,40002,2430
40072,40002,2431
40073,40002,2432
40074,40002,2433
40075,40002,2434
40076,40002,2435
40077,40002,2436
40078,40002,2437
40079,40002,2438
40080,40002,2439
40081,40002,2440
40082,40002,2441
40083,40003,2501
40084,40003,2502
40085,40003,2503
40086,40003,2504
40087,40003,2505
40088,40003,2506
40089,40003,2507
40090,40003,2508
40091,40003,2509
40092,40003,2510
40093,40003,2511
40094,40003,2512
40095,40003,2513
40096,40003,2514
40097,40003,2515
40098,40003,2516
40099,40003,2517
40100,40003,2518
40101,40003,2519
40102,40003,2520
40103,40003,2521
40104,40003,2522
40105,40003,2523
40106,40003,2524
40107,40003,2525
40108,40003,2526
40109,40003,2527
40110,40003,2528
40111,40003,2529
40112,40003,2530
40113,40003,2531
40114,40003,2532
40115,40003,2533
40116,40003,2534
40117,40003,2535
40118,40003,2536
40119,40003,2537
40120,40003,2538
40121,40003,2539
40122,40003,2540
40123,40003,2541
50001,50001,2601
50002,50001,2602
50003,50001,2603
50004,50001,2604
50005,50001,2605
50006,50001,2606
50007,50001,2607
50008,50001,2608
50009,50001,2609
50010,50001,2610
50011,50001,2611
50012,50001,2612
50013,50001,2613
50014,50001,2614
50015,50001,2615
50016,50001,2616
50017,50001,2617
50018,50001,2618
50019,50001,2619
50020,50001,2620
50021,50001,2621
50022,50001,2622
50023,50001,2623
50024,50001,2624
50025,50001,2625
50026,50001,2626
50027,50001,2627
50028,50001,2628
50029,50001,2629
50030,50001,2630
50031,50001,2631
50032,50001,2632
50033,50001,2633
50034,50001,2634
50035,50001,2635
50036,50001,2636
50037,50001,2637
50038,50001,2638
50039,50001,2639
50040,50001,2640
50041,50001,2641
50042,50002,2701
50043,50002,2702
50044,50002,2703
50045,50002,2704
50046,50002,2705
50047,50002,2706
50048,50002,2707
50049,50002,2708
50050,50002,2709
50051,50002,2710
50052,50002,2711
50053,50002,2712
50054,50002,2713
50055,50002,2714
50056,50002,2715
50057,50002,2716
50058,50002,2717
50059,50002,2718
50060,50002,2719
50061,50002,2720
50062,50002,2721
50063,50002,2722
50064,50002,2723
50065,50002,2724
50066,50002,2725
50067,50002,2726
50068,50002,2727
50069,50002,2728
50070,50002,2729
50071,50002,2730
50072,50002,2731
50073,50002,2732
50074,50002,2733
50075,50002,2734
50076,50002,2735
50077,50002,2736
50078,50002,2737
50079,50002,2738
50080,50002,2739
50081,50002,2740
50082,50002,2741
50083,50003,2801
50084,50003,2802
50085,50003,2803
50086,50003,2804
50087,50003,2805
50088,50003,2806
50089,50003,2807
50090,50003,2808
50091,50003,2809
50092,50003,2810
50093,50003,2811
50094,50003,2812
50095,50003,2813
50096,50003,2814
50097,50003,2815
50098,50003,2816
50099,50003,2817
50100,50003,2818
50101,50003,2819
50102,50003,2820
50103,50003,2821
50104,50003,2822
50105,50003,2823
50106,50003,2824
50107,50003,2825
50108,50003,2826
50109,50003,2827
50110,50003,2828
50111,50003,2829
50112,50003,2830
50113,50003,2831
50114,50003,2832
50115,50003,2833
50116,50003,2834
50117,50003,2835
50118,50003,2836
50119,50003,2837
50120,50003,2838
50121,50003,2839
50122,50003,2840
50123,50003,2841
50124,50004,2842
50125,50004,2843
50126,50004,2844
50127,50004,2845
50128,50004,2846
50129,50004,2847
50130,50004,2848
50131,50004,2849
50132,50004,2850
50133,50004,2851
50134,50004,2852
50135,50004,2853
50136,50004,2854
50137,50004,2855
50138,50004,2856
50139,50004,2857
50140,50004,2858
50141,50004,2859
50142,50004,2860
50143,50004,2861
50144,50004,2862
50145,50004,2863
50146,50004,2864
50147,50004,2865
50148,50004,2866
50149,50004,2867
50150,50004,2868
50151,50004,2869
50152,50004,2870
50153,50004,2871
50154,50004,2872
50155,50004,2873
50156,50004,2874
50157,50004,2875
50158,50004,2876
50159,50004,2877
50160,50004,2878
50161,50004,2879
50162,50004,2880
50163,50004,2881
50164,50004,2882
