id,lv,type_0,value_0,value_0_1,value_0_2,value_0_3,value_0_4,type_1,value_1,value_1_1,value_1_2,value_1_3,value_1_4
20057,25,8,5,0,0,0,0,15,5,0,0,0,0
20058,25,1,10,0,0,0,0,4,1,0,0,0,0
20059,25,5,1,0,0,0,0,14,15,0,0,0,0
30001,30,6,1,0,0,0,0,12,20,0,0,0,0
30002,30,2,15,0,0,0,0,18,20,0,0,0,0
30003,30,1,10,0,0,0,0,9,20,0,0,0,0
30004,30,8,5,0,0,0,0,14,15,0,0,0,0
30005,30,1,10,0,0,0,0,19,20,0,0,0,0
30006,30,2,15,0,0,0,0,14,15,0,0,0,0
30007,30,1,10,0,0,0,0,19,20,0,0,0,0
30008,30,2,15,0,0,0,0,19,20,0,0,0,0
30009,30,8,5,0,0,0,0,10,20,0,0,0,0
30010,30,1,10,0,0,0,0,14,15,0,0,0,0
30011,30,8,5,0,0,0,0,12,20,0,0,0,0
30012,30,1,10,0,0,0,0,18,20,0,0,0,0
30013,30,2,15,0,0,0,0,14,15,0,0,0,0
30014,30,3,1,0,0,0,0,9,20,0,0,0,0
30015,30,1,10,0,0,0,0,14,15,0,0,0,0
30016,30,1,10,0,0,0,0,19,20,0,0,0,0
30017,30,5,1,0,0,0,0,11,20,0,0,0,0
30018,30,2,15,0,0,0,0,14,15,0,0,0,0
30019,40,1,10,0,0,0,0,15,5,0,0,0,0
30020,30,8,5,0,0,0,0,19,20,0,0,0,0
30021,30,27,10,0,0,0,0,28,5,0,0,0,0
30022,40,4,1,0,0,0,0,10,20,0,0,0,0
30023,40,1,10,0,0,0,0,18,20,0,0,0,0
30024,30,5,1,0,0,0,0,11,20,0,0,0,0
30025,40,8,5,0,0,0,0,15,5,0,0,0,0
30026,30,2,15,0,0,0,0,15,5,0,0,0,0
30027,30,8,5,0,0,0,0,12,20,0,0,0,0
30028,30,8,5,0,0,0,0,19,20,0,0,0,0
30029,30,2,15,0,0,0,0,14,15,0,0,0,0
30030,40,1,10,0,0,0,0,12,20,0,0,0,0
30031,30,8,5,0,0,0,0,15,5,0,0,0,0
30032,30,8,5,0,0,0,0,19,20,0,0,0,0
30033,40,1,10,0,0,0,0,14,15,0,0,0,0
30034,30,4,1,0,0,0,0,8,5,0,0,0,0
30036,30,27,10,0,0,0,0,28,5,0,0,0,0
30038,30,8,5,0,0,0,0,15,5,0,0,0,0
30039,30,3,1,0,0,0,0,9,20,0,0,0,0
30040,30,2,15,0,0,0,0,19,20,0,0,0,0
30041,40,8,5,0,0,0,0,15,5,0,0,0,0
30042,30,5,1,0,0,0,0,11,20,0,0,0,0
30043,30,1,10,0,0,0,0,6,1,0,0,0,0
30044,40,3,1,0,0,0,0,9,20,0,0,0,0
30045,30,1,10,0,0,0,0,3,1,0,0,0,0
30046,30,2,15,0,0,0,0,4,1,0,0,0,0
30047,40,8,5,0,0,0,0,11,20,0,0,0,0
30048,30,5,1,0,0,0,0,30,1,0,0,0,0
30052,30,113,28,30,0,0,0,0,0,0,0,0,0
30053,30,101,80,3,1,30,1,0,0,0,0,0,0
30054,30,7,1,0,0,0,0,15,5,0,0,0,0
30055,30,3,1,0,0,0,0,13,20,0,0,0,0
30056,30,1,10,0,0,0,0,19,20,0,0,0,0
30057,40,5,1,0,0,0,0,18,20,0,0,0,0
30058,30,5,1,0,0,0,0,11,20,0,0,0,0
30059,30,4,1,0,0,0,0,18,20,0,0,0,0
30060,30,6,1,0,0,0,0,15,5,0,0,0,0
30061,30,7,1,0,0,0,0,14,15,0,0,0,0
30062,40,8,5,0,0,0,0,10,20,0,0,0,0
30063,30,8,5,0,0,0,0,15,5,0,0,0,0
30064,30,1,10,0,0,0,0,14,15,0,0,0,0
30065,30,1,10,0,0,0,0,8,5,0,0,0,0
30066,40,8,5,0,0,0,0,9,20,0,0,0,0
30067,30,101,80,30,2,0,0,0,0,0,0,0,0
30068,30,2,15,0,0,0,0,15,5,0,0,0,0
30069,30,8,5,0,0,0,0,19,20,0,0,0,0
30070,40,1,10,0,0,0,0,14,15,0,0,0,0
30071,30,5,1,0,0,0,0,14,15,0,0,0,0
30072,30,5,1,0,0,0,0,14,15,0,0,0,0
30073,30,3,1,0,0,0,0,19,20,0,0,0,0
30074,40,1,10,0,0,0,0,15,5,0,0,0,0
30075,30,1,10,0,0,0,0,4,1,0,0,0,0
30076,40,8,5,0,0,0,0,15,5,0,0,0,0
30077,30,8,5,0,0,0,0,18,20,0,0,0,0
30078,30,2,15,0,0,0,0,27,10,0,0,0,0
30079,40,8,5,0,0,0,0,18,20,0,0,0,0
30080,30,0,0,0,0,0,0,0,0,0,0,0,0
30081,40,101,80,8,10,0,0,0,0,0,0,0,0
30082,30,101,100,7,3,0,0,0,0,0,0,0,0
30083,30,102,80,20,0,0,0,0,0,0,0,0,0
30084,40,8,5,0,0,0,0,18,20,0,0,0,0
30085,30,103,5,15,0,0,0,0,0,0,0,0,0
30086,30,104,10000,20,0,0,0,0,0,0,0,0,0
30087,40,101,80,4,2,0,0,0,0,0,0,0,0
30088,40,103,4,10,0,0,0,0,0,0,0,0,0
30089,30,101,100,2,60,0,0,0,0,0,0,0,0
30090,30,105,10,2,0,0,0,0,0,0,0,0,0
30091,30,106,5,1,3,0,0,0,0,0,0,0,0
30092,40,101,80,3,2,0,0,0,0,0,0,0,0
30093,30,101,80,5,2,0,0,0,0,0,0,0,0
30094,30,107,1,10,30,15,5,0,0,0,0,0,0
30095,30,108,8,100,75,5,20,0,0,0,0,0,0
30096,40,5,1,0,0,0,0,15,5,0,0,0,0
30097,30,101,80,7,1,30,1,0,0,0,0,0,0
30098,30,30,1,0,0,0,0,0,0,0,0,0,0
30099,30,109,8,30,0,0,0,0,0,0,0,0,0
30100,40,101,80,8,10,0,1,0,0,0,0,0,0
30101,30,101,100,1,20,0,0,0,0,0,0,0,0
30102,30,110,8,5,0,0,0,0,0,0,0,0,0
30103,30,101,100,31,5,0,0,0,0,0,0,0,0
30104,40,101,80,8,10,0,0,0,0,0,0,0,0
30105,40,5,1,0,0,0,0,14,15,0,0,0,0
30106,30,101,80,5,1,30,1,0,0,0,0,0,0
30107,30,111,8,5,0,0,0,0,0,0,0,0,0
30108,30,112,20,0,0,0,0,0,0,0,0,0,0
30109,40,101,80,8,10,0,1,0,0,0,0,0,0
30110,30,101,80,4,2,0,0,0,0,0,0,0,0
30111,30,109,8,30,0,0,0,0,0,0,0,0,0
30112,30,106,5,1,3,0,0,0,0,0,0,0,0
30113,40,101,80,8,10,0,0,0,0,0,0,0,0
30114,30,101,80,5,2,0,0,0,0,0,0,0,0
30115,30,114,8,5,20,0,0,0,0,0,0,0,0
30116,30,105,10,2,0,0,0,0,0,0,0,0,0
30117,40,101,80,8,10,0,0,0,0,0,0,0,0
30118,30,101,80,6,2,0,0,0,0,0,0,0,0
30119,40,101,80,5,2,0,0,0,0,0,0,0,0
30120,30,101,100,6,3,0,0,0,0,0,0,0,0
30121,40,101,80,8,10,0,0,0,0,0,0,0,0
30122,30,101,80,5,1,30,1,0,0,0,0,0,0
30123,30,111,8,5,0,0,0,0,0,0,0,0,0
30124,30,101,80,3,1,30,1,0,0,0,0,0,0
30125,40,101,80,4,2,0,0,0,0,0,0,0,0
30126,30,101,80,30,2,0,0,0,0,0,0,0,0
30127,30,113,2,60,0,0,0,0,0,0,0,0,0
30128,30,101,80,19,40,0,0,0,0,0,0,0,0
30129,40,101,80,8,10,0,0,0,0,0,0,0,0
30130,30,101,80,5,2,0,0,0,0,0,0,0,0
30131,30,101,100,8,15,0,0,0,0,0,0,0,0
30132,30,108,8,100,75,5,20,0,0,0,0,0,0
30133,40,101,80,7,2,0,0,0,0,0,0,0,0
30134,30,116,1,8,4,5,0,0,0,0,0,0,0
30135,40,101,80,3,2,0,0,0,0,0,0,0,0
30136,40,101,80,6,2,0,0,0,0,0,0,0,0
30145,40,101,80,5,2,0,0,0,0,0,0,0,0
30146,30,115,14,5,0,0,0,0,0,0,0,0,0
