id,score_group_id,score_type,data,disp_order,bonus_score,reward_coin
194,10,102,3,16,60,0
195,10,102,4,17,70,0
196,10,102,5,18,80,0
197,10,102,6,19,90,0
198,10,102,7,20,100,0
199,10,102,8,21,100,0
200,11,1,1000,1,1500,60
201,11,2,1000,2,1500,60
202,11,3,1000,3,1500,60
203,11,4,1000,4,1500,60
204,11,5,1000,5,1500,60
205,11,1,1201,1,1000,40
206,11,2,1201,2,1000,40
207,11,3,1201,3,1000,40
208,11,4,1201,4,1000,40
209,11,5,1201,5,1000,40
210,11,6,200332,1,400,40
211,11,6,200712,2,400,40
212,11,6,200722,3,400,40
213,11,6,210072,4,400,40
214,11,6,200331,5,1200,100
215,11,6,200711,6,1200,100
216,11,6,200721,7,1200,100
217,11,6,210071,8,1200,100
218,11,3000,4,11,2000,200
219,11,3001,10,12,2000,200
220,11,3001,15,13,2000,200
221,11,103,1,14,40,0
222,11,103,2,15,50,0
223,11,103,3,16,60,0
224,11,103,4,17,70,0
225,11,103,5,18,80,0
226,11,103,6,19,90,0
227,11,103,7,20,100,0
228,11,103,8,21,100,0
229,12,1,1000,1,1500,60
230,12,2,1000,2,1500,60
231,12,3,1000,3,1500,60
232,12,4,1000,4,1500,60
233,12,5,1000,5,1500,60
234,12,1,1201,1,1000,40
235,12,2,1201,2,1000,40
236,12,3,1201,3,1000,40
237,12,4,1201,4,1000,40
238,12,5,1201,5,1000,40
239,12,6,200352,1,400,40
240,12,6,200742,2,400,40
241,12,6,201212,3,400,40
242,12,6,210072,4,400,40
243,12,6,200351,5,1200,100
244,12,6,200741,6,1200,100
245,12,6,201211,7,1200,100
246,12,6,210071,8,1200,100
247,12,3000,4,11,2000,200
248,12,3001,10,12,2000,200
249,12,3001,15,13,2000,200
250,12,104,1,14,40,0
251,12,104,2,15,50,0
252,12,104,3,16,60,0
253,12,104,4,17,70,0
254,12,104,5,18,80,0
255,12,104,6,19,90,0
256,12,104,7,20,100,0
257,12,104,8,21,100,0
258,13,1,1000,1,1500,60
259,13,2,1000,2,1500,60
260,13,3,1000,3,1500,60
261,13,4,1000,4,1500,60
262,13,5,1000,5,1500,60
263,13,1,1201,1,1000,40
264,13,2,1201,2,1000,40
265,13,3,1201,3,1000,40
266,13,4,1201,4,1000,40
267,13,5,1201,5,1000,40
268,13,6,200452,1,400,40
269,13,6,201672,2,400,40
270,13,6,202282,3,400,40
271,13,6,210072,4,400,40
272,13,6,200451,5,1200,100
273,13,6,201671,6,1200,100
274,13,6,202281,7,1200,100
275,13,6,210071,8,1200,100
276,13,3000,4,11,2000,200
277,13,3001,10,12,2000,200
278,13,3001,15,13,2000,200
279,13,106,1,14,40,0
280,13,106,2,15,50,0
281,13,106,3,16,60,0
282,13,106,4,17,70,0
283,13,106,5,18,80,0
284,13,106,6,19,90,0
285,13,106,7,20,100,0
286,13,106,8,21,100,0
287,14,1,1000,1,1500,60
288,14,2,1000,2,1500,60
289,14,3,1000,3,1500,60
290,14,4,1000,4,1500,60
291,14,5,1000,5,1500,60
292,14,1,1201,1,1000,40
293,14,2,1201,2,1000,40
294,14,3,1201,3,1000,40
295,14,4,1201,4,1000,40
296,14,5,1201,5,1000,40
297,14,6,200332,1,400,40
298,14,6,200502,2,400,40
299,14,6,200712,3,400,40
300,14,6,200722,4,400,40
301,14,6,201702,5,400,40
302,14,6,210072,6,400,40
303,14,6,200331,7,1200,100
304,14,6,200501,8,1200,100
305,14,6,200711,11,1200,100
306,14,6,200721,12,1200,100
307,14,6,201701,13,1200,100
308,14,6,210071,14,1200,100
309,14,7,100,15,100,20
310,14,7,200,16,70,0
311,14,7,300,17,50,0
312,14,7,400,18,20,0
313,14,3000,4,11,2000,200
314,14,3001,10,12,2000,200
315,14,3001,15,13,2000,200
316,15,1,1000,1,1500,60
317,15,2,1000,2,1500,60
318,15,3,1000,3,1500,60
319,15,4,1000,4,1500,60
320,15,5,1000,5,1500,60
321,15,1,1201,1,1000,40
322,15,2,1201,2,1000,40
323,15,3,1201,3,1000,40
324,15,4,1201,4,1000,40
325,15,5,1201,5,1000,40
326,15,8,1,6,400,40
327,15,8,2,7,1200,100
328,15,7,100,8,100,20
329,15,7,200,9,70,0
330,15,7,300,10,50,0
331,15,7,400,11,20,0
332,15,3000,4,12,2000,200
333,15,3001,10,13,2000,200
334,15,3001,15,14,2000,200
