id,description_id,num,sub_num,timing_type,count_type
10190206,101902211,2,2,1,1
10200101,102001111,1,1,2,1
10200102,102001111,1,2,2,1
10200103,102001111,2,1,1,1
10200104,102001111,2,2,2,1
10200105,102001211,1,1,1,1
10200106,102001211,1,2,1,1
10200107,102001211,2,1,1,1
10200108,102001211,3,1,1,1
10200201,102002111,1,1,2,1
10200202,102002111,1,2,2,1
10200203,102002111,2,1,1,1
10200204,102002211,1,1,1,1
10200205,102002211,1,2,1,1
10200206,102002211,2,1,1,1
10200207,102002211,2,2,1,1
10210101,102101111,1,1,1,1
10210102,102101111,1,2,1,1
10210103,102101111,2,1,1,1
10210104,102101211,1,1,1,1
10210105,102101211,1,2,1,1
10210106,102101211,2,1,2,1
10210201,102102111,1,1,1,1
10210202,102102111,2,1,1,1
10210203,102102211,1,1,2,1
10210204,102102211,2,1,1,1
10220101,102201111,1,1,2,1
10220102,102201111,1,2,1,1
10220103,102201111,2,1,1,1
10220104,102201211,1,1,2,1
10220105,102201211,1,2,1,1
10220106,102201211,2,1,1,1
10220201,102202111,1,1,2,1
10220202,102202111,1,2,1,1
10220203,102202111,2,1,1,1
10220204,102202211,1,1,2,1
10220205,102202211,1,2,2,1
10220206,102202211,2,1,1,1
10230101,102301111,1,1,2,1
10230102,102301111,1,2,1,1
10230103,102301111,2,1,1,1
10230104,102301211,1,1,2,1
10230105,102301211,1,2,2,1
10230106,102301211,2,1,1,1
10230201,102302111,1,1,2,1
10230202,102302111,2,1,1,1
10230203,102302211,1,1,1,1
10230204,102302211,2,1,1,1
10240101,102401111,1,1,1,1
10240102,102401111,1,2,1,1
10240103,102401211,1,1,2,1
10240104,102401211,1,2,2,1
10240105,102401211,2,1,1,1
10240201,102402111,1,1,1,1
10240202,102402111,2,1,1,1
10240203,102402211,1,1,1,1
10240204,102402211,1,2,1,1
10240205,102402211,2,1,1,1
10240206,102402211,2,2,1,1
10250101,102501111,1,1,2,1
10250102,102501111,2,1,1,1
10250103,102501211,1,1,1,1
10250104,102501211,1,2,1,1
10260101,102601111,1,1,2,1
10260102,102601111,1,2,2,1
10260103,102601111,2,1,1,1
10260104,102601211,1,1,2,1
10260105,102601211,1,2,1,1
10260106,102601211,2,1,1,1
10260201,102602111,1,1,1,1
10260202,102602111,1,2,1,1
10260203,102602111,2,1,1,1
10260204,102602211,1,1,2,2
10260205,102602211,1,2,1,1
10260206,102602211,2,1,1,1
10270101,102701111,1,1,2,1
10270102,102701111,2,1,1,1
10270103,102701211,1,1,2,2
10270104,102701211,1,2,1,1
10270105,102701211,2,1,1,1
10270201,102702111,1,1,2,2
10270202,102702111,1,2,1,1
10270203,102702111,2,1,1,1
10270204,102702211,1,1,2,1
10270205,102702211,1,2,1,1
10280101,102801111,1,1,2,1
10280102,102801111,2,1,1,1
10280103,102801211,1,1,2,2
10280104,102801211,1,2,1,1
10280105,102801211,2,1,1,1
10290101,102901111,1,1,2,1
10290102,102901111,1,2,1,1
10290103,102901111,2,1,2,1
10290104,102901111,2,2,1,1
10290105,102901111,3,1,2,1
10290106,102901111,3,2,1,1
10290107,102901211,1,1,1,1
10290108,102901211,2,1,1,1
10300101,103001111,1,1,1,1
10300102,103001111,2,1,1,1
10300103,103001211,1,1,2,1
10300104,103001211,1,2,1,1
10300105,103001211,2,1,1,1
10300201,103002111,1,1,1,1
10300202,103002111,1,2,1,1
10300203,103002111,2,1,1,1
10300204,103002211,1,1,1,1
10300205,103002211,2,1,1,1
10310101,103101111,1,1,2,1
10310102,103101111,1,2,2,1
10310103,103101111,2,1,1,1
10310104,103101211,1,1,1,1
10310105,103101211,2,1,1,1
10310201,103102111,1,1,2,1
10310202,103102111,1,2,1,1
10310203,103102211,1,1,2,2
10310204,103102211,1,2,1,1
10310205,103102211,2,1,1,1
10320101,103201111,1,1,1,1
10320102,103201111,1,2,1,1
10320103,103201211,1,1,2,1
10320104,103201211,1,2,1,1
10320105,103201211,2,1,1,1
10330101,103301111,1,1,2,1
10330102,103301111,1,2,2,1
10330103,103301111,2,1,1,1
10330104,103301211,1,1,1,1
10330105,103301211,2,1,1,1
10340101,103401111,1,1,2,2
10340102,103401111,1,2,1,1
10340103,103401111,2,1,2,1
10340104,103401111,2,2,2,1
10340105,103401211,1,1,1,1
10340106,103401211,2,1,1,1
10340201,103402111,1,1,2,2
10340202,103402111,1,2,1,1
10340203,103402111,2,1,1,1
10340204,103402211,1,1,2,1
10340205,103402211,1,2,1,1
10340206,103402211,2,1,1,1
10350101,103501111,1,1,2,1
10350102,103501111,1,2,1,1
10350103,103501111,2,1,1,1
10350104,103501211,1,1,1,1
10350105,103501211,1,2,1,1
10350106,103501211,2,1,1,1
10350201,103502111,1,1,1,1
10350202,103502111,1,2,1,1
10350203,103502211,1,1,2,1
10350204,103502211,2,1,1,1
10360101,103601111,1,1,2,1
10360102,103601111,1,2,1,1
10360103,103601111,2,1,1,1
10360104,103601211,1,1,2,1
10360105,103601211,1,2,1,1
10360106,103601211,2,1,2,1
10360107,103601211,2,2,1,1
10370101,103701111,1,1,2,1
10370102,103701111,1,2,1,1
10370103,103701111,2,1,1,1
10370104,103701211,1,1,2,1
10370105,103701211,1,2,1,1
10370106,103701211,2,1,1,1
10370201,103702111,1,1,1,1
10370202,103702111,1,2,1,1
10370203,103702211,1,1,2,2
10370204,103702211,1,2,1,1
10370205,103702211,2,1,1,1
10380101,103801111,1,1,2,1
10380102,103801111,1,2,1,1
10380103,103801111,2,1,2,1
10380104,103801111,2,2,1,1
10380105,103801111,3,1,2,1
10380106,103801111,3,2,1,1
10380107,103801211,1,1,1,1
10380108,103801211,1,2,1,1
10380109,103801211,2,1,2,1
10380201,103802111,1,1,1,1
10380202,103802111,1,2,1,1
10380203,103802111,2,1,1,1
10380204,103802211,1,1,1,1
10380205,103802211,1,2,1,1
10380206,103802211,2,1,1,1
10380207,103802211,2,2,1,1
10390101,103901111,1,1,2,1
10390102,103901111,1,2,1,1
10390103,103901111,2,1,2,1
10390104,103901111,2,2,1,1
10390105,103901211,1,1,2,2
10390106,103901211,1,2,1,1
10400101,104001111,1,1,2,1
10400102,104001111,1,2,1,1
10400103,104001111,2,1,1,1
10400104,104001211,1,1,2,2
10400105,104001211,1,2,2,1
10400106,104001211,2,1,1,1
10400201,104002111,1,1,1,1
10400202,104002111,1,2,1,1
10400203,104002111,2,1,1,1
10400204,104002211,1,1,2,1
10400205,104002211,1,2,2,1
10400206,104002211,2,1,1,1
10410101,104101111,1,1,2,1
10410102,104101111,1,2,1,1
10410103,104101211,1,1,2,2
10410104,104101211,1,2,1,1
10410105,104101211,2,1,2,2
10410106,104101211,2,2,1,1
10420101,104201111,1,1,2,1
10420102,104201111,1,2,2,1
10420103,104201111,2,1,1,1
10420104,104201211,1,1,2,1
10420105,104201211,1,2,1,1
10420106,104201211,2,1,1,1
10420107,104201211,2,2,1,1
10430101,104301111,1,1,2,2
10430102,104301111,1,2,2,1
10430103,104301111,2,1,1,1
10430104,104301211,1,1,1,1
10430105,104301211,1,2,1,1
10430106,104301211,2,1,1,1
10440101,104401111,1,1,2,1
10440102,104401111,1,2,1,1
10440103,104401211,1,1,2,1
10440104,104401211,1,2,1,1
10440105,104401211,2,1,2,1
10440106,104401211,2,2,1,1
10450101,104501111,1,1,2,2
10450102,104501111,1,2,1,1
10450103,104501111,2,1,1,1
10450104,104501211,1,1,2,1
10450105,104501211,1,2,1,1
10450201,104502111,1,1,2,1
10450202,104502111,1,2,1,1
10450203,104502111,2,1,1,1
10450204,104502111,2,2,1,1
10450205,104502211,1,1,2,2
10450206,104502211,1,2,1,1
10450207,104502211,2,1,1,1
10460101,104601111,1,1,2,2
10460102,104601111,1,2,2,1
10460103,104601211,1,1,1,1
10460104,104601211,1,2,1,1
10460105,104601211,2,1,1,1
10460201,104602111,1,1,2,2
10460202,104602111,1,2,1,1
10460203,104602111,2,1,1,1
10460204,104602211,1,1,2,2
10460205,104602211,1,2,1,1
10460206,104602211,2,1,2,1
10460207,104602211,2,2,1,1
10470101,104701111,1,1,1,1
10470102,104701111,1,2,1,1
10470103,104701111,2,1,1,1
10470104,104701111,3,1,1,1
10470105,104701211,1,1,2,1
10470106,104701211,1,2,1,1
10480101,104801111,1,1,1,1
10480102,104801111,2,1,1,1
10480103,104801111,2,2,1,1
10480104,104801211,1,1,2,1
10480105,104801211,1,2,2,1
10480106,104801211,2,1,1,1
10480107,104801211,2,2,1,1
10490101,104901111,1,1,2,2
10490102,104901111,1,2,1,1
10490103,104901111,2,1,1,1
10490104,104901211,1,1,2,2
10490105,104901211,1,2,1,1
10490106,104901211,2,1,1,1
10500101,105001111,1,1,1,1
10500102,105001111,1,2,1,1
10500103,105001211,1,1,2,1
10500104,105001211,1,2,2,1
10500105,105001211,2,1,1,1
10500201,105002111,1,1,1,1
10500202,105002111,2,1,1,1
10500203,105002211,1,1,1,1
10500204,105002211,2,1,1,1
10510101,105101111,1,1,1,1
10510102,105101211,1,1,1,1
10510103,105101211,2,1,1,1
10510104,105101211,3,1,1,1
10520101,105201111,1,1,1,1
10520102,105201111,1,2,1,1
10520103,105201111,2,1,1,1
10520104,105201211,1,1,1,1
10520105,105201211,2,1,1,1
10520201,105202111,1,1,1,1
10520202,105202111,1,2,1,1
10520203,105202111,2,1,1,1
10520204,105202211,1,1,1,1
10520205,105202211,2,1,1,1
10530101,105301111,1,1,2,1
10530102,105301111,1,2,1,1
10530103,105301111,2,1,1,1
10530104,105301211,1,1,1,1
10560101,105601111,1,1,1,1
10560102,105601111,2,1,1,1
10560103,105601211,1,1,2,1
10560104,105601211,1,2,1,1
10560105,105601211,2,1,2,1
10560106,105601211,2,2,1,1
10560107,105601211,3,1,2,1
10560108,105601211,3,2,1,1
10560201,105602111,1,1,2,1
10560202,105602111,1,2,2,1
10560203,105602111,2,1,1,1
10560204,105602211,1,1,2,1
10560205,105602211,1,2,2,1
10560206,105602211,2,1,1,1
10570101,105701111,1,1,2,1
10570102,105701111,1,2,1,1
10570103,105701111,2,1,1,1
10570104,105701211,1,1,1,1
10570105,105701211,2,1,1,1
10580101,105801111,1,1,1,1
10580102,105801111,1,2,1,1
10580103,105801111,2,1,1,1
10580104,105801211,1,1,2,2
10580105,105801211,1,2,1,1
10580201,105802111,1,1,1,1
10580202,105802211,1,1,2,1
10580203,105802211,2,1,1,1
10580204,105802211,3,1,1,1
10590101,105901111,1,1,2,1
10590102,105901111,1,2,1,1
10590103,105901111,2,1,1,1
10590104,105901211,1,1,2,1
10590105,105901211,2,1,1,1
10590201,105902111,1,1,2,1
10590202,105902111,1,2,2,1
10590203,105902111,2,1,1,1
10590204,105902211,1,1,2,1
10590205,105902211,1,2,2,1
10590206,105902211,2,1,1,1
10600101,106001111,1,1,2,2
10600102,106001111,1,2,1,1
10600103,106001111,2,1,2,2
10600104,106001111,2,2,1,1
10600105,106001211,1,1,2,2
10600106,106001211,1,2,1,1
10600107,106001211,2,1,2,2
10600108,106001211,2,2,1,1
10600201,106002111,1,1,2,2
10600202,106002111,1,2,2,1
10600203,106002111,2,1,1,1
10600204,106002211,1,1,2,2
10600205,106002211,1,2,2,1
10600206,106002211,2,1,1,1
10610101,106101111,1,1,2,1
10610102,106101111,2,1,1,1
10610103,106101211,1,1,2,1
10610104,106101211,2,1,1,1
10610201,106102111,1,1,2,2
10610202,106102111,1,2,2,1
10610203,106102111,2,1,1,1
10610204,106102211,1,1,2,2
10610205,106102211,1,2,2,1
10610206,106102211,2,1,1,1
10620101,106201111,1,1,2,2
10620102,106201111,1,2,1,1
10620103,106201211,1,1,2,1
10620104,106201211,1,2,1,1
10620105,106201211,2,1,1,1
10640101,106401111,1,1,1,1
10640102,106401111,1,2,1,1
10640103,106401111,2,1,1,1
10640104,106401211,1,1,1,1
10640105,106401211,1,2,1,1
10640106,106401211,2,1,1,1
10650101,106501111,1,1,2,2
10650102,106501111,1,2,1,1
10650103,106501111,2,1,1,1
10650104,106501111,2,2,1,1
10650105,106501211,1,1,2,1
10650106,106501211,1,2,2,1
10650107,106501211,2,1,1,1
10660101,106601111,1,1,2,2
10660102,106601111,1,2,1,1
10660103,106601111,2,1,1,1
10660104,106601111,2,2,1,1
10660105,106601211,1,1,2,1
10660106,106601211,2,1,1,1
10670101,106701111,1,1,2,1
10670102,106701111,1,2,1,1
10670103,106701111,2,1,1,1
10670104,106701211,1,1,2,1
10670105,106701211,1,2,1,1
10670106,106701211,2,1,1,1
10670201,106702111,1,1,2,1
10670202,106702111,1,2,1,1
10670203,106702111,2,1,1,1
10670204,106702211,1,1,2,2
10670205,106702211,1,2,1,1
10670206,106702211,2,1,1,1
10680101,106801111,1,1,2,2
10680102,106801111,1,2,1,1
10680103,106801111,2,1,1,1
10680104,106801211,1,1,2,1
10680105,106801211,1,2,1,1
10680106,106801211,2,1,1,1
10680201,106802111,1,1,2,2
10680202,106802111,1,2,1,1
10680203,106802111,2,1,1,1
10680204,106802211,1,1,2,1
10680205,106802211,1,2,1,1
10680206,106802211,2,1,1,1
10690101,106901111,1,1,2,1
10690102,106901111,1,2,1,1
10690103,106901211,1,1,2,1
10690104,106901211,1,2,1,1
10710101,107101111,1,1,2,1
10710102,107101111,1,2,1,1
10710103,107101211,1,1,2,1
10710104,107101211,1,2,1,1
10720101,107201111,1,1,2,2
10720102,107201111,1,2,1,1
10720103,107201211,1,1,2,1
10720104,107201211,1,2,1,1
10740101,107401111,1,1,2,1
10740102,107401111,1,2,1,1
10740103,107401211,1,1,2,1
10740104,107401211,2,1,1,1
10740105,107401211,3,1,1,1
10740106,107401211,3,2,1,1
10780101,107801111,1,1,2,1
10780102,107801111,1,2,1,1
10780103,107801111,2,1,2,1
10780104,107801211,1,1,2,2
10780105,107801211,1,2,1,1
10780106,107801211,2,1,1,1
10870101,108701111,1,1,2,2
10870102,108701111,1,2,1,1
10870103,108701111,2,1,1,1
10870104,108701211,1,1,1,1
10870105,108701211,1,2,1,1
10980101,109801111,1,1,1,1
10980102,109801111,1,2,1,1
10980103,109801211,1,1,1,1
10980104,109801211,1,2,1,1
10990101,109901111,1,1,2,2
10990102,109901111,1,2,1,1
10990103,109901111,2,1,2,1
10990104,109901211,1,1,1,1
10990105,109901211,1,2,1,1
11000101,110001111,1,1,2,2
11000102,110001111,1,2,1,1
11000103,110001111,2,1,2,1
11000104,110001211,1,1,1,1
11000105,110001211,1,2,1,1
