character_id,win_1,win_2,win_2_position_y,win_3,win_3_position_y,win_4,win_4_position_y,win_5,lose_1,lose_2,lose_3,lose_4,lose_5,draw_1,draw_2,draw_3,draw_4,draw_5,position_y
1038,1038001,1038001,0,1038001,0,1038001,0,1038001,5,5,5,5,5,9,9,9,9,9,0
1039,1039000,1039000,0,1039000,0,1039000,0,1039000,5,5,5,5,5,9,9,9,9,9,0
1040,1040000,1040000,0,1040000,0,1040000,0,1040000,5,5,5,5,5,9,9,9,9,9,0
1041,1041000,1041000,0,1041001,0,1041000,0,1041000,5,5,5,5,5,9,9,9,9,9,0
1042,1042001,1042001,0,1042001,0,1042001,0,1042001,5,5,5,5,5,9,9,9,9,9,0
1043,1043001,1043001,0,1043001,0,1043001,0,1043001,5,5,5,5,5,9,9,9,9,9,0
1044,1044000,1044000,0,1044000,0,1044000,0,1044000,5,5,5,5,5,9,9,9,9,9,0
1045,1045000,1045000,0,1045001,0,1045000,0,1045000,5,5,5,5,5,9,9,9,9,9,0
1046,1046001,1046001,0,1046001,0,1046001,0,1046001,5,5,5,5,5,9,9,9,9,9,0
1047,1047001,1047001,0,1047001,0,1047001,0,1047001,5,5,5,5,5,9,9,9,9,9,0
1048,1048001,1048001,0,1048001,0,1048001,0,1048001,5,5,5,5,5,9,9,9,9,9,0
1049,1049001,1049001,0,1049001,0,1049001,0,1049001,5,5,5,5,5,9,9,9,9,9,0
1050,1050001,1050001,0,1050001,0,1050001,0,1050001,5,5,5,5,5,9,9,9,9,9,0
1051,1051001,1051001,0,1051001,0,1051001,0,1051001,5,5,5,5,5,9,9,9,9,9,0
1052,1052000,1052000,0,1052000,0,1052000,0,1052000,5,5,5,5,5,9,9,9,9,9,0
1053,1053000,1053000,0,1053000,0,1053000,0,1053000,5,5,5,5,5,9,9,9,9,9,0
1054,1054001,1054001,0,1054001,0,1054001,0,1054001,5,5,5,5,5,9,9,9,9,9,0
1055,1055000,1055000,0,1055000,0,1055000,0,1055000,5,5,5,5,5,9,9,9,9,9,0
1056,1056000,1056000,0,1056000,0,1056000,0,1056000,5,5,5,5,5,9,9,9,9,9,0
1057,1057001,1057001,0,1057001,0,1057001,0,1057001,5,5,5,5,5,9,9,9,9,9,0
1058,1058001,1058001,0,1058001,0,1058001,0,1058001,5,5,5,5,5,9,9,9,9,9,0
1059,1059001,1059001,0,1059001,0,1059001,0,1059001,5,5,5,5,5,9,9,9,9,9,0
1060,1060000,1060000,0,1060000,0,1060000,0,1060000,5,5,5,5,5,9,9,9,9,9,0
1061,1061000,1061000,0,1061000,0,1061000,0,1061000,5,5,5,5,5,9,9,9,9,9,0
1062,1062000,1062000,0,1062000,0,1062000,0,1062000,5,5,5,5,5,9,9,9,9,9,0
1063,1063001,1063001,0,1063001,0,1063001,0,1063001,5,5,5,5,5,9,9,9,9,9,0
1064,1064001,1064001,0,1064001,0,1064001,0,1064001,5,5,5,5,5,9,9,9,9,9,0
1065,1065000,1065000,0,1065000,0,1065000,0,1065000,5,5,5,5,5,9,9,9,9,9,0
1066,1066000,1066000,0,1066000,0,1066000,0,1066000,5,5,5,5,5,9,9,9,9,9,0
1067,1067001,1067001,0,1067001,0,1067001,0,1067001,5,5,5,5,5,9,9,9,9,9,0
1068,1068000,1068000,0,1068000,0,1068000,0,1068000,5,5,5,5,5,9,9,9,9,9,0
1069,1069000,1069000,0,1069000,0,1069000,0,1069000,5,5,5,5,5,9,9,9,9,9,0
1070,1070001,1070001,0,1070001,0,1070001,0,1070001,5,5,5,5,5,9,9,9,9,9,0
1071,1071001,1071001,0,1071001,0,1071001,0,1071001,5,5,5,5,5,9,9,9,9,9,0
1072,1072001,1072001,0,1072001,0,1072001,0,1072001,5,5,5,5,5,9,9,9,9,9,0
1073,1073000,1073000,0,1073000,0,1073000,0,1073000,5,5,5,5,5,9,9,9,9,9,0
1074,1074000,1074000,0,1074000,0,1074000,0,1074000,5,5,5,5,5,9,9,9,9,9,0
1076,1076000,1076000,0,1076000,0,1076000,0,1076000,5,5,5,5,5,9,9,9,9,9,0
1077,1077000,1077000,0,1077000,0,1077000,0,1077000,5,5,5,5,5,9,9,9,9,9,0
1078,1078001,1078001,0,1078001,0,1078001,0,1078001,5,5,5,5,5,9,9,9,9,9,0
1083,1083000,1083000,0,1083000,0,1083000,0,1083000,5,5,5,5,5,9,9,9,9,9,0
1084,1084001,1084001,0,1084001,0,1084001,0,1084001,5,5,5,5,5,9,9,9,9,9,0
1085,1013,1013,0,1013,0,1013,0,1013,5,5,5,5,5,9,9,9,9,9,0
1086,1086000,1086000,0,1086000,0,1086000,0,1086000,5,5,5,5,5,9,9,9,9,9,0
1087,1087001,1087001,0,1087001,0,1087001,0,1087001,5,5,5,5,5,9,9,9,9,9,0
1093,0,0,0,0,0,0,0,0,5,5,5,5,5,9,9,9,9,9,0
1094,1094000,1094000,0,1094000,0,1094000,0,1094000,5,5,5,5,5,9,9,9,9,9,0
1098,1098001,1098001,0,1098001,0,1098001,0,1098001,5,5,5,5,5,9,9,9,9,9,0
1099,1099001,1099001,0,1099001,0,1099001,0,1099001,5,5,5,5,5,9,9,9,9,9,0
1100,1100000,1100000,0,1100000,0,1100000,0,1100000,5,5,5,5,5,9,9,9,9,9,0
1104,1104000,1104000,0,1104000,0,1104000,0,1104000,5,5,5,5,5,9,9,9,9,9,0
