tbl,idx,stat
race_jikkyo_cue,sqlite_autoindex_race_jikkyo_cue_1,1894 2 1
single_mode_reward_set,single_mode_reward_set_0_reward_set_id,878 15
race_bib_color,sqlite_autoindex_race_bib_color_1,92 16 1
campaign_single_race_add_data,campaign_single_race_add_data_0_race_additional_id,43 1
single_mode_team_name,,4
single_mode_difficulty_mode,,4
live_extra_data,live_extra_data_0_music_id,1 1
story_event_mission_top_chara,story_event_mission_top_chara_0_story_event_id,46 2
story_event_mission,story_event_mission_0_item_category,1005 201
story_event_mission,story_event_mission_0_story_event_id,1005 44
succession_relation_member,succession_relation_member_0_chara_id,3343 46
item_exchange_top,item_exchange_top_0_item_top_category,32 11
single_mode_team_race_set,single_mode_team_race_set_0_super_team_chara_id,68 6
single_mode_scout_chara,single_mode_scout_chara_0_chara_id,269 4
single_mode_training,single_mode_training_0_command_id_1_command_level,58 2 1
single_mode_training,single_mode_training_0_cutin_file_id,58 1
single_mode_training,single_mode_training_0_command_type,58 15
single_mode_training,single_mode_training_0_command_id,58 2
jukebox_music_data,jukebox_music_data_0_version_type,65 22
jukebox_music_data,sqlite_autoindex_jukebox_music_data_1,65 1
audio_story_effect,audio_story_effect_0_effect_name,18 1
single_mode_free_shop_item,single_mode_free_shop_item_0_item_id,53 1
home_poster_data,home_poster_data_0_pos_index,29 10
home_poster_data,home_poster_data_0_priority,29 6
single_mode_venus_sprace_data,single_mode_venus_sprace_data_0_race_group_id,3 1
single_mode_free_shop_effect,single_mode_free_shop_effect_0_effect_group_id,64 2
succession_relation,,1616
audience_impostor_lottery,audience_impostor_lottery_0_group_id_1_pattern,132 22 8
race_bgm_cutin_extension_time,race_bgm_cutin_extension_time_0_cutin_category,195 65
home_story_trigger,home_story_trigger_0_home_event_type,451 151
home_story_trigger,home_story_trigger_0_gallery_chara_id,451 6
home_story_trigger,home_story_trigger_0_pos_id,451 38
home_story_trigger,home_story_trigger_0_home_event_type_1_story_id,451 151 2
home_story_trigger,sqlite_autoindex_home_story_trigger_1,451 6 1
text_data,sqlite_autoindex_text_data_1,48184 223 1
single_mode_turn,single_mode_turn_0_turn_set_id,390 78
single_mode_top_bg_chara,single_mode_top_bg_chara_0_bg_id_1_scenario_id,12 12 12
race_jikkyo_trigger,,1981
limited_exchange_reward,,596
home_env_setting,home_env_setting_0_home_set_id_1_home_event_type_2_season_3_weather_4_timezone,128 128 19 10 4 1
crane_game_extra_odds_condition,,1
training_cutt_data,training_cutt_data_0_command_id_1_sub_id,82 7 6
timezone_data,,4
story_event_bingo_reward,story_event_bingo_reward_0_reward_set_id,376 8
story_event_bingo_reward,sqlite_autoindex_story_event_bingo_reward_1,376 8 1
gacha_free_campaign,,30
team_building_consecutive_wins,,10
story_event_data,,23
race_proper_ground_rate,,9
daily_legend_race,daily_legend_race_0_race_instance_id,29 1
daily_legend_race,daily_legend_race_0_group_id,29 1
team_stadium,,1
mini_motion_set,mini_motion_set_0_id,229 1
mini_motion_set,sqlite_autoindex_mini_motion_set_1,229 1
story_event_nickname_bonus,story_event_nickname_bonus_0_story_event_id,69 3
story_event_nickname_bonus,sqlite_autoindex_story_event_nickname_bonus_1,69 3 1
story_event_bonus_support_card,story_event_bonus_support_card_0_story_event_id,373 17
story_event_bonus_support_card,sqlite_autoindex_story_event_bonus_support_card_1,373 17 3 2 1
story_extra_data,,4
single_mode_live_live_data,,5
single_mode_program,single_mode_program_0_month,945 79
daily_race_npc,,176
race_trophy,race_trophy_0_race_instance_id,417 1
race_trophy,race_trophy_0_trophy_id,417 2
collect_raid_top_data,collect_raid_top_data_0_collect_raid_id,5 5
crane_game_hidden_odds,,33
team_stadium_class_reward,team_stadium_class_reward_0_team_stadium_id_1_class_reward_type,17 17 5
single_mode_venus_training_plate,,3
single_mode_live_master_bonus,,133
single_mode_npc,single_mode_npc_0_npc_group_id,1868 156
home_prop_setting,sqlite_autoindex_home_prop_setting_1,20 5 1
collect_raid_segment_cutt,,3
collect_raid_mission_top_chara,collect_raid_mission_top_chara_0_mission_top_chara_group_id,4 4
campaign_sp_present_bonus_data,campaign_sp_present_bonus_data_0_target_type_1_card_id,116 116 1
campaign_sp_present_bonus_data,campaign_sp_present_bonus_data_0_card_id,116 1
race_condition,race_condition_0_ground_1_weather,32 8 4
race_condition,race_condition_0_weather_1_ground,32 8 4
race_condition,race_condition_0_season_1_weather,32 7 2
race_condition,race_condition_0_season_1_ground,32 7 2
login_bonus_detail,login_bonus_detail_0_login_bonus_id,220 3
login_bonus_detail,sqlite_autoindex_login_bonus_detail_1,220 3 1
live_permission_data,live_permission_data_0_music_id,600 22
live_permission_data,sqlite_autoindex_live_permission_data_1,600 22 1
item_exchange,item_exchange_0_pay_item_id,1054 48
item_exchange,item_exchange_0_item_exchange_top_id,1054 31
collect_raid_all_reward,collect_raid_all_reward_0_all_reward_set_id,7 7
fan_raid_all_reward,fan_raid_all_reward_0_fan_raid_id,7 7
fan_raid_individual_reward,fan_raid_individual_reward_0_fan_raid_id,7 7
event_motion_data,event_motion_data_0_type,1131 566
event_motion_data,sqlite_autoindex_event_motion_data_1,1131 1
single_mode_free_shop,,11
single_mode_difficulty_box,single_mode_difficulty_box_0_box_step,5 3
single_mode_difficulty_box,single_mode_difficulty_box_0_box_id,5 1
single_mode_difficulty_box,single_mode_difficulty_box_0_reward_set_id,5 2
single_mode_difficulty_box,sqlite_autoindex_single_mode_difficulty_box_1,5 2 1
single_mode_chara_effect,,25
single_mode_top_bg,single_mode_top_bg_0_scenario_id,89 18
single_mode_top_bg,single_mode_top_bg_0_month_1_scenario_id,89 7 2
race_bgm,race_bgm_0_race_type,392 31
mission_race_equate,mission_race_equate_0_input_id,20 3
collect_raid_master,collect_raid_master_0_individual_reward_set_id,1 1
team_building_discount_point,team_building_discount_point_0_team_rank,30 1
campaign_walking_data,campaign_walking_data_0_campaign_id,2 1
mini_face_type_data,sqlite_autoindex_mini_face_type_data_1,35 1
directory,directory_0_rank_level,200 1
directory,directory_0_required_point,200 1
single_mode_live_square,,269
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_chara_type_1_cutt_type,24 4 2
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_chara_type,24 4
single_mode_aoharu_cutt_type,single_mode_aoharu_cutt_type_0_cutt_type,24 12
collect_event_map_bg_data,,1
fan_raid_top_data,fan_raid_top_data_0_fan_raid_id,4 4
race_jikkyo_message,race_jikkyo_message_0_comment_group,2818 75
race_jikkyo_message,race_jikkyo_message_0_group_id,2818 3
race_instance,race_instance_0_race_id,2016 2
collect_event_map_master,,1
note_profile,note_profile_0_chara_id,55 2
single_mode_outing_set,,2
single_mode_hint_gain,single_mode_hint_gain_0_hint_id,2342 28
succession_initial_factor,succession_initial_factor_0_factor_type,13 5
succession_initial_factor,succession_initial_factor_0_factor_type_1_value_1,13 5 2
collect_raid_mission,collect_raid_mission_0_mission_data_id,18 1
circle_rank_data,,11
fan_raid_data,,1
team_stadium_support_text,team_stadium_support_text_0_type,10 5
story_extra_story_data,story_extra_story_data_0_story_extra_id,19 5
single_mode_conclusion_set,single_mode_conclusion_set_0_story_id,982 2
single_mode_event_production,,86
single_mode_evaluation,single_mode_evaluation_0_chara_id,16 4
daily_race,daily_race_0_race_instance_id,8 1
champions_news_win_comment,champions_news_win_comment_0_round_id,893 179
campaign_walking_location,,141
single_mode_difficulty_box_reward,single_mode_difficulty_box_reward_0_box_id,65 13
single_mode_route,single_mode_route_0_scenario_id_1_chara_id,81 41 2
single_mode_route,single_mode_route_0_scenario_id,81 41
succession_rental,succession_rental_0_rental_rank_1_rental_num,490 5 1
champions_evaluation_rate,,16
campaign_walking_reward_set,campaign_walking_reward_set_0_reward_set_id,15 5
story_event_story_data,story_event_story_data_0_story_event_id,188 9
story_event_story_data,story_event_story_data_0_story_event_id_1_episode_index_id,188 9 1
collect_raid_staging_mini_chara,collect_raid_staging_mini_chara_0_staging_mini_chara_group_id_1_staging_type,5 5 1
collect_raid_staging_mini_chara,collect_raid_staging_mini_chara_0_staging_mini_chara_group_id,5 5
champions_round_detail,champions_round_detail_0_champions_id_1_league_type,308 14 7
team_building_win_reward,,2
mini_bg,mini_bg_0_scene_type,6 2
single_mode_live_training_plate,,3
champions_round_schedule,champions_round_schedule_0_champions_id,132 6
team_building_chara_group,team_building_chara_group_0_chara_group_id,16 2
main_story_data,main_story_data_0_part_id,118 17
main_story_data,sqlite_autoindex_main_story_data_1,118 1
single_mode_route_race,single_mode_route_race_0_race_set_id,957 12
gacha_top_bg,gacha_top_bg_0_gacha_id,180 1
champions_news_chara_comment,champions_news_chara_comment_0_round_id,967 194
champions_schedule,,22
team_building_race_npc,,286
team_stadium_score_bonus,team_stadium_score_bonus_0_condition_type,7 2
gift_message,,93
race_proper_runningstyle_rate,,9
highlight_interpolate,,3
single_mode_aoharu_result_cutt,single_mode_aoharu_result_cutt_0_chara_id,4 2
race_bgm_cutin,race_bgm_cutin_0_card_id_1_bgm_group_id,4 1 1
race_bgm_cutin,race_bgm_cutin_0_bgm_group_id,4 2
race_bgm_cutin,race_bgm_cutin_0_card_id,4 1
home_eat,home_eat_0_chara_id,64 4
support_card_group,support_card_group_0_chara_id,9 1
support_card_group,support_card_group_0_support_card_id,9 5
team_building_rank_reward_group,team_building_rank_reward_group_0_reward_group_id,33 2
fan_raid_bonus_support_card,fan_raid_bonus_support_card_0_fan_raid_id,3 3
transfer_event_data,,20
race_player_camera,race_player_camera_0_category,104 35
race_player_camera,race_player_camera_0_prefab_name,104 1
legend_race_cutt_chara_data,legend_race_cutt_chara_data_0_sub_id_1_chara_num,1 1 1
piece_data,,119
support_card_data,support_card_data_0_chara_id,281 4
crane_game_prize_pattern,,3
crane_game_arm_swing,,3
team_stadium_rank,,75
challenge_match_data,,3
single_mode_member_rank,single_mode_member_rank_0_member_rank_id,8 1
single_mode_training_se,single_mode_training_se_0_sheet_id,220 1
jukebox_setlist_data,,2
card_talent_upgrade,card_talent_upgrade_0_talent_group_id_1_talent_level,476 4 1
challenge_match_boss_npc,,18
main_story_race_bonus,main_story_race_bonus_0_group_id,24 2
single_mode_ao_training_plate,,3
single_mode_scenario_group,single_mode_scenario_group_0_scenario_id,19 4
race_jikkyo_race,,680
race_jikkyo_base_venus,race_jikkyo_base_venus_0_mode,1431 111
race_jikkyo_base,race_jikkyo_base_0_mode,4143 319
collect_raid_story,collect_raid_story_0_story_set_id,2 2
character_system_text,character_system_text_0_character_id,16388 173
character_system_text,sqlite_autoindex_character_system_text_1,16388 173 1
story_event_roulette_bingo,story_event_roulette_bingo_0_story_event_id,92 4
story_event_roulette_bingo,sqlite_autoindex_story_event_roulette_bingo_1,92 4 4 1
single_mode_story_guide,,4
announce_character,,70
card_data,card_data_0_get_piece_id,120 2
card_data,card_data_0_chara_id,120 2
team_stadium_evaluation_rate,sqlite_autoindex_team_stadium_evaluation_rate_1,24 8 1
honor_data,,660
story_event_point_reward,story_event_point_reward_0_story_event_id,2358 103
single_mode_recommend,,14
single_mode_race_live,,180
race_track,,15
legend_race_boss_npc,legend_race_boss_npc_0_chara_id,51 2
circle_stamp_data,sqlite_autoindex_circle_stamp_data_1,69 1
banner_data,banner_data_0_group_id,336 26
fan_raid_bonus_chara,fan_raid_bonus_chara_0_fan_raid_id,1 1
training_challenge_exam,,15
mini_bg_chara_motion,mini_bg_chara_motion_0_bg_id,94 16
transfer_event_detail,transfer_event_detail_0_transfer_event_id,147 8
single_mode_free_shop_bg,,5
price_change,price_change_0_group_id,25 3
chara_data,,104
homestory_hip_offset,homestory_hip_offset_0_story_id_1_chara_id,42 2 2
announce_data,,121
champions_stand_motion,sqlite_autoindex_champions_stand_motion_1,18 6 1
chara_type,chara_type_0_target_scene_1_target_cut,4182 465 135
chara_type,sqlite_autoindex_chara_type_1,4182 1
team_stadium_raw_score,team_stadium_raw_score_0_race_score_name_id,96 14
team_stadium_raw_score,team_stadium_raw_score_0_condition_type,96 9
challenge_match_raw_point,challenge_match_raw_point_0_race_point_name_id,92 23
challenge_match_raw_point,challenge_match_raw_point_0_condition_type,92 11
story_event_bonus_card,story_event_bonus_card_0_story_event_id,153 7
story_event_bonus_card,sqlite_autoindex_story_event_bonus_card_1,153 7 2 1
single_mode_restrict_support,single_mode_restrict_support_0_support_card_id,2 2
single_mode_restrict_support,single_mode_restrict_support_0_scenario_id,2 1
single_mode_difficulty_data,single_mode_difficulty_data_0_difficulty_id_1_difficulty_index,13 4 1
single_mode_difficulty_data,sqlite_autoindex_single_mode_difficulty_data_1,13 4 1
single_mode_rank,,98
collect_raid_individual_reward,collect_raid_individual_reward_0_individual_reward_set_id,7 7
audio_ignored_cue_on_highspeed,audio_ignored_cue_on_highspeed_0_cue_name_1_cue_sheet,7 1 1
team_building_collection_chara,team_building_collection_chara_0_team_building_event_id,128 64
team_building_collection_chara,team_building_collection_chara_0_chara_id,128 2
fan_raid_story_data,fan_raid_story_data_0_fan_raid_id_1_story_condition_type,2 2 1
single_mode_free_win_point,single_mode_free_win_point_0_grade_1_order_min,66 7 2
single_mode_free_win_point,single_mode_free_win_point_0_race_group_id_1_order_min,66 17 3
single_mode_free_win_point,single_mode_free_win_point_0_grade,66 7
single_mode_free_win_point,single_mode_free_win_point_0_race_group_id,66 17
single_mode_analyze_message,single_mode_analyze_message_0_popularity,53 3
single_mode_training_effect,single_mode_training_effect_0_command_id_1_result_state,280 20 18
race_jikkyo_comment,race_jikkyo_comment_0_message_group,287 287
race_jikkyo_comment,race_jikkyo_comment_0_group_id,287 2
support_card_team_score_bonus,support_card_team_score_bonus_0_level,7 1
support_card_level,support_card_level_0_rarity,135 45
support_card_level,sqlite_autoindex_support_card_level_1,135 45 1
single_mode_race_restrict_turn,single_mode_race_restrict_turn_0_chara_id,4 1
single_mode_race_restrict_turn,sqlite_autoindex_single_mode_race_restrict_turn_1,4 1 1
single_mode_change_chara_route,single_mode_change_chara_route_0_route_race_group_id_1_chara_id,74 74 1
race_proper_distance_rate,,9
champions_bgm,champions_bgm_0_round_id_1_scene_type_2_race_number,55 10 3 1
audio_cuesheet,audio_cuesheet_0_attribute,12 2
single_mode_event_item_detail,single_mode_event_item_detail_0_event_category_id_1_item_id,20 2 1
audience_data,,78
mob_dress_color_set,,803
champions_entry_reward,champions_entry_reward_0_champions_id,2 2
champions_entry_reward,sqlite_autoindex_champions_entry_reward_1,2 2 1
support_card_effect_filter,support_card_effect_filter_0_group_id,25 7
single_mode_venus_crystal_group,single_mode_venus_crystal_group_0_chara_id,15 5
character_system_lottery,character_system_lottery_0_trigger_1_param1,4816 27 2
character_system_lottery,character_system_lottery_0_chara_id_1_trigger,4816 62 3
character_system_lottery,character_system_lottery_0_chara_id,4816 62
note_profile_text_type,note_profile_text_type_0_text_type,24 3
main_story_race_bonus_condition,main_story_race_bonus_condition_0_group_id,16 1
main_story_part,,7
single_mode_ao_offset,,5
single_mode_chara_program,single_mode_chara_program_0_chara_id,1024 14
single_mode_scenario_update,single_mode_scenario_update_0_scenario_id,2 1
item_group,item_group_0_group_id,39 20
chara_motion_act,chara_motion_act_0_chara_id,36 3
chara_motion_act,chara_motion_act_0_chara_id_1_command_name,36 3 1
team_building_data,,2
succession_factor,succession_factor_0_factor_group_id_1_rarity,1242 3 1
race_bgm_pattern,,42
race_env_define,race_env_define_0_race_track_id,1200 80
login_bonus_chara,login_bonus_chara_0_login_bonus_detail_id,13 1
gacha_data,,180
daily_race_billing,,1
card_rarity_data,card_rarity_data_0_card_id_1_rarity,381 4 1
card_rarity_data,card_rarity_data_0_race_dress_id,381 4
card_rarity_data,card_rarity_data_0_card_id,381 4
campaign_data,campaign_data_0_open_flag_id,266 133
campaign_data,campaign_data_0_image_change,266 133
campaign_data,campaign_data_0_target_type,266 30
crane_game_prize_face,,3
race_course_set_status,,11
legend_race_billing,,1
gacha_piece,gacha_piece_0_rarity,3 1
support_card_effect_table,support_card_effect_table_0_id,2366 9
support_card_effect_table,sqlite_autoindex_support_card_effect_table_1,2366 9 1
campaign_story_data,campaign_story_data_0_campaign_id,4 4
single_mode_free_coin_race,single_mode_free_coin_race_0_grade_1_order_min,36 4 1
single_mode_free_coin_race,single_mode_free_coin_race_0_grade,36 4
race_single_mode_team_status,,6
live_data,sqlite_autoindex_live_data_1,71 1
legend_race_npc,,809
face_type_data,sqlite_autoindex_face_type_data_1,124 1
story_live_position,story_live_position_0_music_id,155 11
story_live_position,story_live_position_0_set_id,155 10
single_mode_member_rank_points,single_mode_member_rank_points_0_rank_id,12 1
gacha_available,gacha_available_0_gacha_id,20755 116
gacha_available,sqlite_autoindex_gacha_available_1,20755 116 1
support_card_limit,,3
campaign_present_bonus_detail,campaign_present_bonus_detail_0_card_id,68 1
campaign_present_bonus_detail,sqlite_autoindex_campaign_present_bonus_detail_2,68 1
campaign_present_bonus_detail,sqlite_autoindex_campaign_present_bonus_detail_1,68 68 1
main_story_race_data,,28
chara_story_data,chara_story_data_0_chara_id,518 7
chara_story_data,chara_story_data_0_chara_id_1_episode_index,518 7 1
chara_story_data,chara_story_data_0_story_id,518 1
single_mode_difficulty_box_gauge,single_mode_difficulty_box_gauge_0_difficulty_id,16 8
announce_event,,21
support_card_unique_effect,,191
event_motion_plus_data,event_motion_plus_data_0_layer_index,151 76
event_motion_plus_data,event_motion_plus_data_0_base_state_name,151 1
single_mode_event_conclusion,sqlite_autoindex_single_mode_event_conclusion_1,296 74 1
single_mode_rival,single_mode_rival_0_race_program_id,2810 18
single_mode_rival,sqlite_autoindex_single_mode_rival_1,2810 38 2 2 1 1
item_place,item_place_0_id,203 2
item_place,sqlite_autoindex_item_place_1,203 2 2 1
home_walk_group,,74
support_card_effect_filter_group,,4
background_data,background_data_0_bg_id_1_bg_sub,495 3 1
need_piece_num_data,need_piece_num_data_0_rarity,3 1
training_challenge_score,training_challenge_score_0_score_group_id,333 23
training_challenge_master,,3
challenge_match_race,challenge_match_race_0_race_instance_id,18 1
challenge_match_race,challenge_match_race_0_challenge_match_id,18 6
story_event_bonus_group_support_card,story_event_bonus_group_support_card_0_support_card_id,7 4
story_event_bonus_group_support_card,story_event_bonus_group_support_card_0_story_event_id,7 2
story_event_bonus_group_support_card,sqlite_autoindex_story_event_bonus_group_support_card_1,7 2 1 1
single_mode_scenario,,5
succession_factor_effect,succession_factor_effect_0_factor_group_id_1_effect_id,3177 8 2
succession_factor_effect,succession_factor_effect_0_factor_group_id,3177 8
legend_race,legend_race_0_legend_race_boss_npc_id,46 1
legend_race,legend_race_0_race_instance_id,46 1
legend_race,legend_race_0_group_id,46 1
skill_upgrade_description,skill_upgrade_description_0_card_id_1_rank,236 2 1
skill_upgrade_description,skill_upgrade_description_0_card_id,236 2
skill_upgrade_description,sqlite_autoindex_skill_upgrade_description_1,236 2 1
team_building_retry_bonus,,5
team_building_rank,team_building_rank_0_team_rank,30 1
background_offset_data,background_offset_data_0_bg_id_1_bg_sub,119 3 2
background_offset_data,sqlite_autoindex_background_offset_data_1,119 3 2 1
single_mode_story_data,single_mode_story_data_0_short_story_id,9280 4
single_mode_story_data,single_mode_story_data_0_gallery_main_scenario,9280 1547
single_mode_story_data,single_mode_story_data_0_support_chara_id,9280 102
single_mode_story_data,single_mode_story_data_0_support_card_id,9280 50
single_mode_story_data,single_mode_story_data_0_card_chara_id,9280 124
single_mode_story_data,single_mode_story_data_0_card_id,9280 78
single_mode_story_data,single_mode_story_data_0_story_id,9280 2
race_motivation_rate,,5
jukebox_setlist_singer_data,jukebox_setlist_singer_data_0_setlist_music_id,469 8
champions_news_title,champions_news_title_0_round_id,438 88
chara_motion_set,,5411
team_stadium_stand_motion,team_stadium_stand_motion_0_character_id_1_type,14 5 5
single_mode_tag_card_pos,single_mode_tag_card_pos_0_support_card_id,4155 15
single_mode_outing,single_mode_outing_0_command_group_id,3 1
race,race_0_group,1721 123
race,race_0_course_set,1721 17
mission_data,mission_data_0_item_category,3632 158
mission_data,mission_data_0_mission_type,3632 227
skill_exp,skill_exp_0_type,10 10
mini_mouth_type,,32
tutorial_guide_data,tutorial_guide_data_0_group_id_1_page_index,175 3 1
tutorial_guide_data,tutorial_guide_data_0_group_id,175 3
transfer_event_reward,transfer_event_reward_0_transfer_detail_id,363 3
audience_impostor,audience_impostor_0_season_1_weather,32 7 2
mob_hair_color_set,,103
limited_exchange,,6
dress_data,dress_data_0_chara_id_1_costume_type,256 3 2
dress_data,dress_data_0_body_type,256 13
dress_data,dress_data_0_condition_type,256 43
dress_data,dress_data_0_chara_id,256 3
crane_game_prop,,2
season_data,season_data_0_type,28 6
single_mode_chara_effect_buff,single_mode_chara_effect_buff_0_chara_id,1 1
single_mode_fan_count,single_mode_fan_count_0_fan_set_id_1_order,972 18 1
single_mode_fan_count,single_mode_fan_count_0_fan_set_id,972 18
champions_race_condition,sqlite_autoindex_champions_race_condition_1,154 7 1
skill_level_value,skill_level_value_0_ability_type,271 10
single_mode_aoharu_schedule,,5
daily_pack,daily_pack_0_group_id,6 6
daily_pack,sqlite_autoindex_daily_pack_1,6 3 1
champions_reward_rate,champions_reward_rate_0_champions_id_1_round_id,1056 48 10
chara_category_motion,,74
love_rank,love_rank_0_rank,13 1
facial_mouth_change,facial_mouth_change_0_chara_id,14 2
facial_mouth_change,facial_mouth_change_0_chara_id_1_before_facialname,14 2 1
campaign_swap_motion_data,campaign_swap_motion_data_0_dress_id,23 2
campaign_cutt_data,campaign_cutt_data_0_chara_id,213 3
campaign_cutt_data,campaign_cutt_data_0_cut_id_1_cut_sub_id,213 71 43
story_still,story_still_0_still_id,98 2
single_mode_skill_need_point,,610
race_overrun_pattern,,5
login_bonus_data,login_bonus_data_0_group_id,91 46
login_bonus_data,login_bonus_data_0_type,91 23
login_bonus_data,sqlite_autoindex_login_bonus_data_1,91 1
item_data,item_data_0_group_id,368 123
item_data,item_data_0_item_category,368 12
jukebox_setlist_music_data,jukebox_setlist_music_data_0_setlist_id,62 31
short_episode,short_episode_0_scene,11 2
champions_news_race,champions_news_race_0_round_id,211 43
support_card_limit_break,,2
skill_data,skill_data_0_group_id,1005 2
single_mode_venus_spirit_group,,18
single_mode_race_group,single_mode_race_group_0_race_program_id,943 1
single_mode_race_group,single_mode_race_group_0_race_group_id,943 2
announce_support_card,,51
champions_news_win_title,,541
character_prop_animation,character_prop_animation_0_prop_id_1_scene_type,19 4 2
skill_upgrade_condition,skill_upgrade_condition_0_description_id,658 3
skill_upgrade_condition,sqlite_autoindex_skill_upgrade_condition_1,658 3 2 1
team_building_chara_count,,10
campaign_chara_story_schedule,campaign_chara_story_schedule_0_campaign_id,364 4
campaign_chara_story_schedule,campaign_chara_story_schedule_0_chara_id,364 6
single_mode_unique_chara,single_mode_unique_chara_0_chara_id_1_scenario_id,29 5 1
single_mode_unique_chara,single_mode_unique_chara_0_partner_id_1_scenario_id,29 5 1
single_mode_route_announce,single_mode_route_announce_0_route_race_type_1_route_race_id,18 18 1
audience_hair_color_set,,78
skill_set,,1607
single_mode_message,,31
jukebox_comment,jukebox_comment_0_chara_id_1_comment_type,188 3 2
jukebox_comment,jukebox_comment_0_comment_id,188 2
card_talent_hint_upgrade,card_talent_hint_upgrade_0_rarity_1_talent_level,6 3 1
available_skill_set,available_skill_set_0_available_skill_set_id,826 7
single_mode_chara_grade,,10
race_fence_set,,114
race_course_set,race_course_set_0_race_track_id,121 9
jukebox_motion_data,jukebox_motion_data_0_song_type,16 3
home_event_schedule,home_event_schedule_0_event_footer_type,7 4
home_event_schedule,home_event_schedule_0_event_walk_type,7 4
home_event_schedule,home_event_schedule_0_event_story_type,7 4
home_character_type,sqlite_autoindex_home_character_type_1,23 6 1
gacha_exchange,gacha_exchange_0_gacha_id,289 2
gacha_exchange,sqlite_autoindex_gacha_exchange_1,289 2 1
random_ear_tail_motion,random_ear_tail_motion_0_parts_type,27 14
nickname,nickname_0_user_show,266 266
