id,reward_set_id,line_num,item_category,item_id,item_num
212,26,4,150,116,1
213,26,5,20,32,1
214,26,6,164,150,1
215,26,7,90,43,150
216,26,8,51,30096,1
217,27,1,30,110,1000
218,27,2,91,59,2000
219,27,3,21,34,1
220,27,4,150,116,1
221,27,5,20,32,1
222,27,6,164,150,1
223,27,7,90,43,150
224,27,8,51,30096,1
225,28,1,103,98,500
226,28,2,30,110,1000
227,28,3,21,34,1
228,28,4,150,116,1
229,28,5,20,32,1
230,28,6,164,150,1
231,28,7,90,43,150
232,28,8,51,30100,1
233,29,1,30,110,1000
234,29,2,91,59,2000
235,29,3,21,34,1
236,29,4,150,116,1
237,29,5,20,32,1
238,29,6,164,150,1
239,29,7,90,43,150
240,29,8,51,30100,1
241,30,1,103,98,500
242,30,2,30,110,1000
243,30,3,21,34,1
244,30,4,150,116,1
245,30,5,20,32,1
246,30,6,164,150,1
247,30,7,90,43,150
248,30,8,51,30104,1
249,31,1,30,110,1000
250,31,2,91,59,2000
251,31,3,21,34,1
252,31,4,150,116,1
253,31,5,20,32,1
254,31,6,164,150,1
255,31,7,90,43,150
256,31,8,51,30104,1
257,32,1,103,98,500
258,32,2,30,110,1000
259,32,3,21,34,1
260,32,4,150,116,1
261,32,5,20,32,1
262,32,6,164,150,1
263,32,7,90,43,150
264,32,8,51,30109,1
265,33,1,30,110,1000
266,33,2,91,59,2000
267,33,3,21,34,1
268,33,4,150,116,1
269,33,5,20,32,1
270,33,6,164,150,1
271,33,7,90,43,150
272,33,8,51,30109,1
273,34,1,103,98,500
274,34,2,30,110,1000
275,34,3,21,34,1
276,34,4,150,116,1
277,34,5,20,32,1
278,34,6,164,150,1
279,34,7,90,43,150
280,34,8,51,30113,1
281,35,1,30,110,1000
282,35,2,91,59,2000
283,35,3,21,34,1
284,35,4,150,116,1
285,35,5,20,32,1
286,35,6,164,150,1
287,35,7,90,43,150
288,35,8,51,30113,1
289,36,1,103,98,500
290,36,2,30,110,1000
291,36,3,21,34,1
292,36,4,150,116,1
293,36,5,20,32,1
294,36,6,164,150,1
295,36,7,90,43,150
296,36,8,51,30117,1
297,37,1,30,110,1000
298,37,2,91,59,2000
299,37,3,21,34,1
300,37,4,150,116,1
301,37,5,20,32,1
302,37,6,164,150,1
303,37,7,90,43,150
304,37,8,51,30117,1
305,38,1,103,98,500
306,38,2,30,110,1000
307,38,3,21,34,1
308,38,4,150,116,1
309,38,5,20,32,1
310,38,6,164,150,1
311,38,7,90,43,150
312,38,8,51,30119,1
313,39,1,30,110,1000
314,39,2,91,59,2000
315,39,3,21,34,1
316,39,4,150,116,1
317,39,5,20,32,1
318,39,6,164,150,1
319,39,7,90,43,150
320,39,8,51,30119,1
321,40,1,103,98,500
322,40,2,30,110,1000
323,40,3,21,34,1
324,40,4,150,116,1
325,40,5,20,32,1
326,40,6,164,150,1
327,40,7,90,43,150
328,40,8,51,30125,1
329,41,1,30,110,1000
330,41,2,91,59,2000
331,41,3,21,34,1
332,41,4,150,116,1
333,41,5,20,32,1
334,41,6,164,150,1
335,41,7,90,43,150
336,41,8,51,30125,1
337,42,1,103,98,500
338,42,2,30,110,1000
339,42,3,21,34,1
340,42,4,150,116,1
341,42,5,20,32,1
342,42,6,164,150,1
343,42,7,90,43,150
344,42,8,51,30129,1
345,43,1,30,110,1000
346,43,2,91,59,2000
347,43,3,21,34,1
348,43,4,150,116,1
349,43,5,20,32,1
350,43,6,164,150,1
351,43,7,90,43,150
352,43,8,51,30129,1
353,44,1,103,98,500
354,44,2,30,110,1000
355,44,3,21,34,1
356,44,4,150,116,1
357,44,5,20,32,1
358,44,6,164,150,1
359,44,7,90,43,150
360,44,8,51,30133,1
361,45,1,30,110,1000
362,45,2,91,59,2000
363,45,3,21,34,1
364,45,4,150,116,1
365,45,5,20,32,1
366,45,6,164,150,1
367,45,7,90,43,150
368,45,8,51,30133,1
369,46,1,103,98,500
370,46,2,30,110,1000
371,46,3,21,34,1
372,46,4,150,116,1
373,46,5,20,32,1
374,46,6,164,150,1
375,46,7,90,43,150
376,46,8,51,30135,1
377,47,1,30,110,1000
378,47,2,91,59,2000
379,47,3,21,34,1
380,47,4,150,116,1
381,47,5,20,32,1
382,47,6,164,150,1
383,47,7,90,43,150
384,47,8,51,30135,1
