gacha_id,card_id,card_type,pay_item_num,disp_order
30077,30089,2,200,1
30078,107401,1,200,1
30079,30065,2,200,1
30079,30068,2,200,2
30080,102002,1,200,1
30080,100502,1,200,2
30081,30090,2,200,1
30081,30091,2,200,2
30082,105101,1,200,1
30083,30093,2,200,1
30084,107201,1,200,1
30085,30026,2,200,1
30085,30011,2,200,2
30086,106002,1,200,1
30086,106102,1,200,2
30087,30094,2,200,1
30087,30095,2,200,2
30088,103101,1,200,1
30089,30097,2,200,1
30090,106401,1,200,1
30091,30078,2,200,1
30091,30034,2,200,2
30092,103802,1,200,1
30092,102202,1,200,2
30093,30098,2,200,1
30093,30099,2,200,2
30094,103401,1,200,1
30095,30077,2,200,1
30095,30038,2,200,2
30096,104401,1,200,1
30097,30053,2,200,1
30098,101002,1,200,1
30098,105902,1,200,2
30099,30102,2,200,1
30099,30103,2,200,2
30100,103601,1,200,1
30101,30106,2,200,1
30102,102001,1,200,1
30102,101601,1,200,2
30103,30067,2,200,1
30104,101303,1,200,1
30104,100702,1,200,2
30105,30107,2,200,1
30105,30108,2,200,2
30106,105301,1,200,1
30107,30063,2,200,1
30107,30031,2,200,2
30108,109801,1,200,1
30109,30110,2,200,1
30110,104602,1,200,1
30111,30052,2,200,1
30111,30101,2,200,2
30112,103502,1,200,1
30112,105002,1,200,2
30113,30111,2,200,1
30113,30112,2,200,2
30114,102901,1,200,1
30115,30017,2,200,1
30115,30002,2,200,2
30116,104201,1,200,1
30117,30114,2,200,1
30118,101902,1,200,1
30118,105802,1,200,2
30119,30115,2,200,1
30119,30116,2,200,2
30120,108701,1,200,1
30121,30107,2,200,1
30121,30010,2,200,2
30122,107801,1,200,1
30123,30118,2,200,1
30124,102102,1,200,1
30124,103402,1,200,2
30125,30146,2,200,1
30125,30120,2,200,2
30126,104901,1,200,1
30127,30097,2,200,1
30127,30016,2,200,2
30128,110001,1,200,1
30129,30122,2,200,1
30130,104201,1,200,1
30131,30114,2,200,1
30132,100802,1,200,1
30132,100902,1,200,2
30133,30123,2,200,1
30133,30124,2,200,2
30134,104701,1,200,1
30135,30052,2,200,1
30135,30072,2,200,2
30136,101602,1,200,1
30137,30126,2,200,1
30138,106802,1,200,1
30138,106702,1,200,2
30139,30127,2,200,1
30139,30128,2,200,2
30140,109901,1,200,1
30141,30101,2,200,1
30141,30111,2,200,2
30142,106501,1,200,1
30143,30130,2,200,1
30144,103002,1,200,1
30144,105202,1,200,2
30145,30053,2,200,1
30145,30078,2,200,2
30146,103102,1,200,1
30146,102702,1,200,2
30147,30131,2,200,1
30147,30132,2,200,2
30148,104301,1,200,1
30149,30107,2,200,1
30149,30082,2,200,2
30150,105701,1,200,1
30151,30134,2,200,1
