music_id,sort,condition_type,is_hidden,version_type,request_type,lamp_color,lamp_animation,name_texture_length,song_type,bgm_cue_name_short,bgm_cuesheet_name_short,bgm_cue_name_gamesize,bgm_cuesheet_name_gamesize,short_length,alter_jacket,start_date,end_date
1024,505,0,0,1,0,4,2,275,6,snd_bgm_CS1024_Short,snd_bgm_CS1024_Short,snd_bgm_CS1024_GameSize,snd_bgm_CS1024_GameSize,31000,0,1670814000,4102412399
1025,201,1,0,1,0,4,2,265,1,snd_bgm_CS1025_Short,snd_bgm_CS1025_Short,snd_bgm_CS1025_GameSize,snd_bgm_CS1025_GameSize,45000,0,1561960800,4102412399
1026,202,1,0,1,0,2,2,220,6,snd_bgm_CS1026_Short,snd_bgm_CS1026_Short,snd_bgm_CS1026_GameSize,snd_bgm_CS1026_GameSize,38000,0,1561960800,4102412399
1027,5,1,0,1,0,2,1,190,4,snd_bgm_CS1027_Short,snd_bgm_CS1027_Short,snd_bgm_CS1027_GameSize,snd_bgm_CS1027_GameSize,28200,0,1561960800,4102412399
1028,4,1,0,1,0,1,1,290,3,snd_bgm_CS1028_Short,snd_bgm_CS1028_Short,snd_bgm_CS1028_GameSize,snd_bgm_CS1028_GameSize,28500,0,1561960800,4102412399
1030,203,1,0,1,0,3,1,340,1,snd_bgm_CS1030_Short,snd_bgm_CS1030_Short,snd_bgm_CS1030_GameSize,snd_bgm_CS1030_GameSize,27500,0,1619406000,4102412399
1031,204,1,0,1,0,1,1,125,3,snd_bgm_CS1031_Short,snd_bgm_CS1031_Short,snd_bgm_CS1031_GameSize,snd_bgm_CS1031_GameSize,24500,0,1626750000,4102412399
1032,301,1,0,1,0,3,1,213,2,snd_bgm_CS1032_Short,snd_bgm_CS1032_Short,snd_bgm_CS1032_GameSize,snd_bgm_CS1032_GameSize,31500,0,1617073200,4102412399
1034,603,0,0,1,0,3,1,317,5,snd_bgm_CS1034_Short,snd_bgm_CS1034_Short,snd_bgm_CS1034_GameSize,snd_bgm_CS1034_GameSize,18600,0,1646622000,4102412399
1035,101,1,0,1,0,4,2,540,2,snd_bgm_CS1035_Short,snd_bgm_CS1035_Short,snd_bgm_CS1035_GameSize,snd_bgm_CS1035_GameSize,26500,0,1622170800,4102412399
1036,103,0,0,1,0,1,1,307,3,snd_bgm_CS1036_Short,snd_bgm_CS1036_Short,snd_bgm_CS1036_GameSize,snd_bgm_CS1036_GameSize,25000,0,1661310000,4102412399
1037,205,1,0,1,0,3,1,216,4,snd_bgm_CS1037_Short,snd_bgm_CS1037_Short,snd_bgm_CS1037_GameSize,snd_bgm_CS1037_GameSize,42500,0,1646622000,4102412399
1040,503,0,0,1,0,4,1,213,2,snd_bgm_CS1040_Short,snd_bgm_CS1040_Short,snd_bgm_CS1040_GameSize,snd_bgm_CS1040_GameSize,26500,0,1646622000,4102412399
1041,504,0,0,1,0,3,1,123,2,snd_bgm_CS1041_Short,snd_bgm_CS1041_Short,snd_bgm_CS1041_GameSize,snd_bgm_CS1041_GameSize,25000,0,1667962800,4102412399
1042,501,0,0,1,0,4,2,220,6,snd_bgm_CS1042_Short,snd_bgm_CS1042_Short,snd_bgm_CS1042_GameSize,snd_bgm_CS1042_GameSize,35000,0,1527832801,4102412400
1043,601,0,0,1,0,4,1,256,6,snd_bgm_CS1043_Short,snd_bgm_CS1043_Short,snd_bgm_CS1043_GameSize,snd_bgm_CS1043_GameSize,33000,0,1527832801,4102412400
1044,608,0,0,1,0,5,1,419,1,snd_bgm_CS1044_Short,snd_bgm_CS1044_Short,snd_bgm_CS1044_GameSize,snd_bgm_CS1044_GameSize,39000,0,1649127600,4102412399
1046,605,0,0,1,0,5,1,386,5,snd_bgm_CS1046_Short,snd_bgm_CS1046_Short,snd_bgm_CS1046_GameSize,snd_bgm_CS1046_GameSize,27000,0,1667962800,4102412399
1047,604,0,0,1,0,5,2,324,6,snd_bgm_CS1047_Short,snd_bgm_CS1047_Short,snd_bgm_CS1047_GameSize,snd_bgm_CS1047_GameSize,27000,0,1667962800,4102412399
1048,102,1,0,1,0,1,1,263,3,snd_bgm_CS1048_Short,snd_bgm_CS1048_Short,snd_bgm_CS1048_GameSize,snd_bgm_CS1048_GameSize,45700,0,1646622000,4102412399
1049,701,1,1,2,1,5,1,425,5,snd_bgm_CS1049_Short,snd_bgm_CS1049_Short,snd_bgm_CS1049_GameSize,snd_bgm_CS1049_GameSize,27000,0,1527832801,4102412400
1050,402,1,0,1,0,1,1,347,1,snd_bgm_CS1050_Short,snd_bgm_CS1050_Short,snd_bgm_CS1050_GameSize,snd_bgm_CS1050_GameSize,23900,0,1646622000,4102412399
1051,206,1,0,1,0,3,2,529,1,snd_bgm_CS1051_Short,snd_bgm_CS1051_Short,snd_bgm_CS1051_GameSize,snd_bgm_CS1051_GameSize,39000,0,1661310000,4102412399
1053,403,1,0,1,0,3,1,208,2,snd_bgm_CS1053_Short,snd_bgm_CS1053_Short,snd_bgm_CS1053_GameSize,snd_bgm_CS1053_GameSize,34000,0,1661310000,4102412399
1054,10,0,0,1,0,2,1,236,3,snd_bgm_CS1054_Short,snd_bgm_CS1054_Short,snd_bgm_CS1054_GameSize,snd_bgm_CS1054_GameSize,36000,0,1667962800,4102412399
1055,702,0,0,2,0,5,1,416,5,snd_bgm_CS1055_Short,snd_bgm_CS1055_Short,snd_bgm_CS1055_GameSize,snd_bgm_CS1055_GameSize,27000,0,1651114800,4102412399
1056,609,0,0,1,0,4,2,155,6,snd_bgm_CS1056_Short,snd_bgm_CS1056_Short,snd_bgm_CS1056_GameSize,snd_bgm_CS1056_GameSize,29000,0,1648785600,4102412399
1057,610,0,0,1,0,5,1,417,1,snd_bgm_CS1057_Short,snd_bgm_CS1057_Short,snd_bgm_CS1057_GameSize,snd_bgm_CS1057_GameSize,29000,0,1661310000,4102412399
1059,616,0,0,1,0,3,1,203,2,snd_bgm_CS1059_Short,snd_bgm_CS1059_Short,snd_bgm_CS1059_GameSize,snd_bgm_CS1059_GameSize,41000,0,1675047600,4102412399
1061,606,0,0,1,0,1,1,359,1,snd_bgm_CS1061_Short,snd_bgm_CS1061_Short,snd_bgm_CS1061_GameSize,snd_bgm_CS1061_GameSize,27000,0,1665975600,4102412399
1062,551,0,0,1,0,5,2,312,1,snd_bgm_CS1062_Short,snd_bgm_CS1062_Short,snd_bgm_CS1062_GameSize,snd_bgm_CS1062_GameSize,29000,0,1667962800,4102412399
1063,552,0,0,1,0,2,1,208,3,snd_bgm_CS1063_Short,snd_bgm_CS1063_Short,snd_bgm_CS1063_GameSize,snd_bgm_CS1063_GameSize,32000,0,1667962800,4102412399
1064,553,0,0,1,0,2,1,114,3,snd_bgm_CS1064_Short,snd_bgm_CS1064_Short,snd_bgm_CS1064_GameSize,snd_bgm_CS1064_GameSize,27600,0,1667962800,4102412399
1065,554,0,0,1,0,4,2,235,6,snd_bgm_CS1065_Short,snd_bgm_CS1065_Short,snd_bgm_CS1065_GameSize,snd_bgm_CS1065_GameSize,42500,0,1667962800,4102412399
1066,555,0,0,1,0,2,1,285,3,snd_bgm_CS1066_Short,snd_bgm_CS1066_Short,snd_bgm_CS1066_GameSize,snd_bgm_CS1066_GameSize,31000,0,1667962800,4102412399
1067,556,0,0,1,0,5,1,404,2,snd_bgm_CS1067_Short,snd_bgm_CS1067_Short,snd_bgm_CS1067_GameSize,snd_bgm_CS1067_GameSize,35500,0,1667962800,4102412399
1068,612,0,0,1,0,4,2,187,6,snd_bgm_CS1068_Short,snd_bgm_CS1068_Short,snd_bgm_CS1068_GameSize,snd_bgm_CS1068_GameSize,37000,0,1667962800,4102412399
1069,557,0,0,1,0,4,2,246,6,snd_bgm_CS1069_Short,snd_bgm_CS1069_Short,snd_bgm_CS1069_GameSize,snd_bgm_CS1069_GameSize,31000,0,1667962800,4102412399
1070,560,0,0,1,0,4,2,259,6,snd_bgm_CS1070_Short,snd_bgm_CS1070_Short,snd_bgm_CS1070_GameSize,snd_bgm_CS1070_GameSize,28000,0,1667962800,4102412399
1071,558,0,0,1,0,5,1,300,1,snd_bgm_CS1071_Short,snd_bgm_CS1071_Short,snd_bgm_CS1071_GameSize,snd_bgm_CS1071_GameSize,36000,0,1667962800,4102412399
1072,559,0,0,1,0,3,1,235,2,snd_bgm_CS1072_Short,snd_bgm_CS1072_Short,snd_bgm_CS1072_GameSize,snd_bgm_CS1072_GameSize,31000,0,1667962800,4102412399
1073,562,0,0,1,0,5,1,169,5,snd_bgm_CS1073_Short,snd_bgm_CS1073_Short,snd_bgm_CS1073_GameSize,snd_bgm_CS1073_GameSize,39000,0,1667962800,4102412399
1074,561,0,0,1,0,4,2,124,6,snd_bgm_CS1074_Short,snd_bgm_CS1074_Short,snd_bgm_CS1074_GameSize,snd_bgm_CS1074_GameSize,35000,0,1667962800,4102412399
1075,703,0,0,1,0,5,1,187,5,snd_bgm_CS1075_Short,snd_bgm_CS1075_Short,snd_bgm_CS1075_GameSize,snd_bgm_CS1075_GameSize,20000,0,1667962800,4102412399
1076,207,0,0,1,0,4,2,381,6,snd_bgm_CS1076_Short,snd_bgm_CS1076_Short,snd_bgm_CS1076_GameSize,snd_bgm_CS1076_GameSize,26000,0,1667962800,4102412399
1077,607,0,0,1,0,4,2,351,6,snd_bgm_CS1077_Short,snd_bgm_CS1077_Short,snd_bgm_CS1077_GameSize,snd_bgm_CS1077_GameSize,18000,0,1667962800,4102412399
1078,614,0,0,1,0,1,1,277,2,snd_bgm_CS1078_Short,snd_bgm_CS1078_Short,snd_bgm_CS1078_GameSize,snd_bgm_CS1078_GameSize,24000,0,1667962800,4102412399
1079,615,0,0,1,0,1,1,593,4,snd_bgm_CS1079_Short,snd_bgm_CS1079_Short,snd_bgm_CS1079_GameSize,snd_bgm_CS1079_GameSize,29000,0,1667962800,4102412399
8501,801,0,0,3,2,2,1,139,2,,,snd_bgm_CS8501_GameSize,snd_bgm_CS8501_GameSize,27000,0,1658286000,4102412399
8502,802,0,0,3,2,3,1,96,2,,,snd_bgm_CS8502_GameSize,snd_bgm_CS8502_GameSize,27000,0,1658286000,4102412399
8503,803,0,0,3,2,1,1,127,4,,,snd_bgm_CS8503_GameSize,snd_bgm_CS8503_GameSize,27000,0,1658286000,4102412399
8504,804,0,0,3,2,2,2,128,6,,,snd_bgm_CS8504_GameSize,snd_bgm_CS8504_GameSize,27000,0,1658286000,4102412399
8505,805,0,0,3,2,3,2,127,1,,,snd_bgm_CS8505_GameSize,snd_bgm_CS8505_GameSize,27000,0,1658286000,4102412399
