id,factor_group_id,effect_id,target_type,value_1,value_2
321,105601,3,41,900561,2
322,105602,3,41,910561,2
323,105701,1,41,900571,1
324,105701,2,41,900571,2
325,105701,3,41,900571,2
326,105801,1,41,900581,1
327,105801,2,41,900581,2
328,105801,3,41,900581,2
329,105901,1,41,900591,1
330,105901,2,41,900591,2
331,105901,3,41,900591,2
332,106001,1,41,900601,1
334,106001,2,41,900601,2
336,106001,3,41,900601,2
338,106101,1,41,900611,1
340,106101,2,41,900611,2
342,106101,3,41,900611,2
344,20001,1,41,200012,1
345,20001,2,41,200012,2
346,20001,3,41,200012,3
347,20001,4,41,200012,4
348,20001,5,41,200012,5
349,20002,1,41,200022,1
350,20002,2,41,200022,2
351,20002,3,41,200022,3
352,20002,4,41,200022,4
353,20002,5,41,200022,5
354,20003,1,41,200032,1
355,20003,2,41,200032,2
356,20003,3,41,200032,3
357,20003,4,41,200032,4
358,20003,5,41,200032,5
359,20004,1,41,200042,1
360,20004,2,41,200042,2
361,20004,3,41,200042,3
362,20004,4,41,200042,4
363,20004,5,41,200042,5
364,20005,1,41,200052,1
365,20005,2,41,200052,2
366,20005,3,41,200052,3
367,20005,4,41,200052,4
368,20005,5,41,200052,5
369,20006,1,41,200062,1
370,20006,2,41,200062,2
371,20006,3,41,200062,3
372,20006,4,41,200062,4
373,20006,5,41,200062,5
374,20007,1,41,200072,1
375,20007,2,41,200072,2
376,20007,3,41,200072,3
377,20007,4,41,200072,4
378,20007,5,41,200072,5
379,20008,1,41,200082,1
380,20008,2,41,200082,2
381,20008,3,41,200082,3
382,20008,4,41,200082,4
383,20008,5,41,200082,5
384,20009,1,41,200092,1
385,20009,2,41,200092,2
386,20009,3,41,200092,3
387,20009,4,41,200092,4
388,20009,5,41,200092,5
389,20010,1,41,200102,1
390,20010,2,41,200102,2
391,20010,3,41,200102,3
392,20010,4,41,200102,4
393,20010,5,41,200102,5
394,20011,1,41,200112,1
395,20011,2,41,200112,2
396,20011,3,41,200112,3
397,20011,4,41,200112,4
398,20011,5,41,200112,5
399,20012,1,41,200122,1
400,20012,2,41,200122,2
401,20012,3,41,200122,3
402,20012,4,41,200122,4
403,20012,5,41,200122,5
404,20013,1,41,200132,1
405,20013,2,41,200132,2
406,20013,3,41,200132,3
407,20013,4,41,200132,4
408,20013,5,41,200132,5
409,20014,1,41,200142,1
410,20014,2,41,200142,2
411,20014,3,41,200142,3
412,20014,4,41,200142,4
413,20014,5,41,200142,5
414,20015,1,41,200152,1
415,20015,2,41,200152,2
416,20015,3,41,200152,3
417,20015,4,41,200152,4
418,20015,5,41,200152,5
419,20016,1,41,200162,1
420,20016,2,41,200162,2
421,20016,3,41,200162,3
422,20016,4,41,200162,4
423,20016,5,41,200162,5
424,20017,1,41,200172,1
425,20017,2,41,200172,2
426,20017,3,41,200172,3
427,20017,4,41,200172,4
428,20017,5,41,200172,5
429,20018,1,41,200182,1
430,20018,2,41,200182,2
431,20018,3,41,200182,3
432,20018,4,41,200182,4
433,20018,5,41,200182,5
434,20019,1,41,200192,1
435,20019,2,41,200192,2
436,20019,3,41,200192,3
437,20019,4,41,200192,4
438,20019,5,41,200192,5
439,20020,1,41,200202,1
440,20020,2,41,200202,2
441,20020,3,41,200202,3
442,20020,4,41,200202,4
443,20020,5,41,200202,5
444,20021,1,41,200212,1
445,20021,2,41,200212,2
446,20021,3,41,200212,3
447,20021,4,41,200212,4
448,20021,5,41,200212,5
449,20022,1,41,200222,1
450,20022,2,41,200222,2
451,20022,3,41,200222,3
452,20022,4,41,200222,4
453,20022,5,41,200222,5
454,20023,1,41,200232,1
455,20023,2,41,200232,2
456,20023,3,41,200232,3
457,20023,4,41,200232,4
458,20023,5,41,200232,5
459,20024,1,41,200242,1
460,20024,2,41,200242,2
461,20024,3,41,200242,3
462,20024,4,41,200242,4
463,20024,5,41,200242,5
464,20025,1,41,200252,1
465,20025,2,41,200252,2
466,20025,3,41,200252,3
467,20025,4,41,200252,4
468,20025,5,41,200252,5
469,20026,1,41,200262,1
470,20026,2,41,200262,2
471,20026,3,41,200262,3
472,20026,4,41,200262,4
473,20026,5,41,200262,5
474,20027,1,41,200272,1
475,20027,2,41,200272,2
476,20027,3,41,200272,3
477,20027,4,41,200272,4
478,20027,5,41,200272,5
479,20028,1,41,200282,1
480,20028,2,41,200282,2
481,20028,3,41,200282,3
482,20028,4,41,200282,4
483,20028,5,41,200282,5
484,20029,1,41,200292,1
485,20029,2,41,200292,2
486,20029,3,41,200292,3
487,20029,4,41,200292,4
488,20029,5,41,200292,5
489,20030,1,41,200302,1
490,20030,2,41,200302,2
491,20030,3,41,200302,3
492,20030,4,41,200302,4
493,20030,5,41,200302,5
494,20033,1,41,200332,1
495,20033,2,41,200332,2
496,20033,3,41,200332,3
497,20033,4,41,200332,4
498,20033,5,41,200332,5
499,20034,1,41,200342,1
500,20034,2,41,200342,2
501,20034,3,41,200342,3
502,20034,4,41,200342,4
503,20034,5,41,200342,5
504,20035,1,41,200352,1
505,20035,2,41,200352,2
506,20035,3,41,200352,3
507,20035,4,41,200352,4
508,20035,5,41,200352,5
509,20036,1,41,200362,1
510,20036,2,41,200362,2
511,20036,3,41,200362,3
512,20036,4,41,200362,4
513,20036,5,41,200362,5
514,20037,1,41,200372,1
515,20037,2,41,200372,2
516,20037,3,41,200372,3
517,20037,4,41,200372,4
518,20037,5,41,200372,5
519,20038,1,41,200382,1
520,20038,2,41,200382,2
521,20038,3,41,200382,3
522,20038,4,41,200382,4
523,20038,5,41,200382,5
524,20043,1,41,200432,1
525,20043,2,41,200432,2
526,20043,3,41,200432,3
527,20043,4,41,200432,4
528,20043,5,41,200432,5
529,20044,1,41,200442,1
530,20044,2,41,200442,2
531,20044,3,41,200442,3
532,20044,4,41,200442,4
533,20044,5,41,200442,5
534,20045,1,41,200452,1
535,20045,2,41,200452,2
536,20045,3,41,200452,3
537,20045,4,41,200452,4
538,20045,5,41,200452,5
539,20046,1,41,200462,1
540,20046,2,41,200462,2
541,20046,3,41,200462,3
542,20046,4,41,200462,4
543,20046,5,41,200462,5
544,20047,1,41,200472,1
545,20047,2,41,200472,2
546,20047,3,41,200472,3
547,20047,4,41,200472,4
548,20047,5,41,200472,5
549,20048,1,41,200482,1
550,20048,2,41,200482,2
551,20048,3,41,200482,3
552,20048,4,41,200482,4
553,20048,5,41,200482,5
554,20049,1,41,200492,1
555,20049,2,41,200492,2
556,20049,3,41,200492,3
557,20049,4,41,200492,4
558,20049,5,41,200492,5
559,20050,1,41,200502,1
560,20050,2,41,200502,2
561,20050,3,41,200502,3
562,20050,4,41,200502,4
563,20050,5,41,200502,5
564,20051,1,41,200512,1
565,20051,2,41,200512,2
566,20051,3,41,200512,3
567,20051,4,41,200512,4
568,20051,5,41,200512,5
569,20053,1,41,200532,1
570,20053,2,41,200532,2
571,20053,3,41,200532,3
572,20053,4,41,200532,4
573,20053,5,41,200532,5
574,20054,1,41,200542,1
575,20054,2,41,200542,2
576,20054,3,41,200542,3
577,20054,4,41,200542,4
578,20054,5,41,200542,5
579,20055,1,41,200552,1
580,20055,2,41,200552,2
581,20055,3,41,200552,3
582,20055,4,41,200552,4
583,20055,5,41,200552,5
584,20056,1,41,200562,1
585,20056,2,41,200562,2
586,20056,3,41,200562,3
587,20056,4,41,200562,4
588,20056,5,41,200562,5
589,20057,1,41,200572,1
590,20057,2,41,200572,2
591,20057,3,41,200572,3
592,20057,4,41,200572,4
593,20057,5,41,200572,5
594,20058,1,41,200582,1
595,20058,2,41,200582,2
596,20058,3,41,200582,3
597,20058,4,41,200582,4
598,20058,5,41,200582,5
599,20059,1,41,200592,1
600,20059,2,41,200592,2
601,20059,3,41,200592,3
602,20059,4,41,200592,4
603,20059,5,41,200592,5
604,20060,1,41,200602,1
605,20060,2,41,200602,2
606,20060,3,41,200602,3
607,20060,4,41,200602,4
608,20060,5,41,200602,5
609,20061,1,41,200612,1
610,20061,2,41,200612,2
611,20061,3,41,200612,3
612,20061,4,41,200612,4
613,20061,5,41,200612,5
614,20062,1,41,200622,1
615,20062,2,41,200622,2
616,20062,3,41,200622,3
617,20062,4,41,200622,4
618,20062,5,41,200622,5
619,20063,1,41,200632,1
620,20063,2,41,200632,2
621,20063,3,41,200632,3
622,20063,4,41,200632,4
623,20063,5,41,200632,5
624,20064,1,41,200642,1
625,20064,2,41,200642,2
626,20064,3,41,200642,3
627,20064,4,41,200642,4
628,20064,5,41,200642,5
629,20065,1,41,200652,1
630,20065,2,41,200652,2
631,20065,3,41,200652,3
632,20065,4,41,200652,4
633,20065,5,41,200652,5
634,20066,1,41,200662,1
635,20066,2,41,200662,2
636,20066,3,41,200662,3
637,20066,4,41,200662,4
638,20066,5,41,200662,5
639,20067,1,41,200672,1
640,20067,2,41,200672,2
641,20067,3,41,200672,3
642,20067,4,41,200672,4
643,20067,5,41,200672,5
644,20068,1,41,200682,1
645,20068,2,41,200682,2
646,20068,3,41,200682,3
647,20068,4,41,200682,4
648,20068,5,41,200682,5
649,20069,1,41,200692,1
650,20069,2,41,200692,2
651,20069,3,41,200692,3
652,20069,4,41,200692,4
653,20069,5,41,200692,5
654,20070,1,41,200702,1
655,20070,2,41,200702,2
656,20070,3,41,200702,3
657,20070,4,41,200702,4
658,20070,5,41,200702,5
659,20071,1,41,200712,1
660,20071,2,41,200712,2
661,20071,3,41,200712,3
662,20071,4,41,200712,4
663,20071,5,41,200712,5
664,20072,1,41,200722,1
665,20072,2,41,200722,2
666,20072,3,41,200722,3
667,20072,4,41,200722,4
668,20072,5,41,200722,5
669,20073,1,41,200732,1
670,20073,2,41,200732,2
671,20073,3,41,200732,3
672,20073,4,41,200732,4
673,20073,5,41,200732,5
674,20074,1,41,200742,1
675,20074,2,41,200742,2
676,20074,3,41,200742,3
677,20074,4,41,200742,4
678,20074,5,41,200742,5
679,20075,1,41,200752,1
680,20075,2,41,200752,2
681,20075,3,41,200752,3
682,20075,4,41,200752,4
683,20075,5,41,200752,5
684,20076,1,41,200762,1
685,20076,2,41,200762,2
686,20076,3,41,200762,3
687,20076,4,41,200762,4
688,20076,5,41,200762,5
689,20077,1,41,200771,1
690,20077,2,41,200771,2
691,20077,3,41,200771,3
692,20077,4,41,200771,4
693,20077,5,41,200771,5
694,20078,1,41,200781,1
695,20078,2,41,200781,2
696,20078,3,41,200781,3
697,20078,4,41,200781,4
698,20078,5,41,200781,5
699,20079,1,41,200791,1
700,20079,2,41,200791,2
701,20079,3,41,200791,3
702,20079,4,41,200791,4
703,20079,5,41,200791,5
704,20080,1,41,200801,1
705,20080,2,41,200801,2
706,20080,3,41,200801,3
707,20080,4,41,200801,4
708,20080,5,41,200801,5
709,20081,1,41,200811,1
710,20081,2,41,200811,2
711,20081,3,41,200811,3
712,20081,4,41,200811,4
713,20081,5,41,200811,5
714,20082,1,41,200821,1
715,20082,2,41,200821,2
716,20082,3,41,200821,3
717,20082,4,41,200821,4
718,20082,5,41,200821,5
719,20083,1,41,200831,1
720,20083,2,41,200831,2
721,20083,3,41,200831,3
722,20083,4,41,200831,4
723,20083,5,41,200831,5
724,20084,1,41,200841,1
725,20084,2,41,200841,2
726,20084,3,41,200841,3
727,20084,4,41,200841,4
728,20084,5,41,200841,5
729,20085,1,41,200851,1
730,20085,2,41,200851,2
731,20085,3,41,200851,3
732,20085,4,41,200851,4
733,20085,5,41,200851,5
734,20086,1,41,200861,1
735,20086,2,41,200861,2
736,20086,3,41,200861,3
737,20086,4,41,200861,4
738,20086,5,41,200861,5
739,20087,1,41,200871,1
740,20087,2,41,200871,2
741,20087,3,41,200871,3
742,20087,4,41,200871,4
743,20087,5,41,200871,5
744,20088,1,41,200881,1
745,20088,2,41,200881,2
746,20088,3,41,200881,3
747,20088,4,41,200881,4
748,20088,5,41,200881,5
749,20089,1,41,200891,1
750,20089,2,41,200891,2
751,20089,3,41,200891,3
752,20089,4,41,200891,4
753,20089,5,41,200891,5
754,20090,1,41,200901,1
755,20090,2,41,200901,2
756,20090,3,41,200901,3
757,20090,4,41,200901,4
758,20090,5,41,200901,5
759,20091,1,41,200911,1
760,20091,2,41,200911,2
761,20091,3,41,200911,3
762,20091,4,41,200911,4
763,20091,5,41,200911,5
764,20092,1,41,200921,1
765,20092,2,41,200921,2
766,20092,3,41,200921,3
767,20092,4,41,200921,4
768,20092,5,41,200921,5
769,20093,1,41,200931,1
770,20093,2,41,200931,2
771,20093,3,41,200931,3
772,20093,4,41,200931,4
773,20093,5,41,200931,5
774,20094,1,41,200941,1
775,20094,2,41,200941,2
776,20094,3,41,200941,3
777,20094,4,41,200941,4
778,20094,5,41,200941,5
779,20095,1,41,200952,1
780,20095,2,41,200952,2
781,20095,3,41,200952,3
782,20095,4,41,200952,4
783,20095,5,41,200952,5
784,20096,1,41,200962,1
785,20096,2,41,200962,2
786,20096,3,41,200962,3
787,20096,4,41,200962,4
788,20096,5,41,200962,5
789,20097,1,41,200972,1
790,20097,2,41,200972,2
791,20097,3,41,200972,3
792,20097,4,41,200972,4
793,20097,5,41,200972,5
794,20098,1,41,200982,1
795,20098,2,41,200982,2
796,20098,3,41,200982,3
797,20098,4,41,200982,4
798,20098,5,41,200982,5
799,20099,1,41,200992,1
800,20099,2,41,200992,2
801,20099,3,41,200992,3
802,20099,4,41,200992,4
803,20099,5,41,200992,5
804,20100,1,41,201002,1
805,20100,2,41,201002,2
806,20100,3,41,201002,3
807,20100,4,41,201002,4
808,20100,5,41,201002,5
809,20101,1,41,201012,1
810,20101,2,41,201012,2
811,20101,3,41,201012,3
812,20101,4,41,201012,4
813,20101,5,41,201012,5
814,20102,1,41,201022,1
815,20102,2,41,201022,2
816,20102,3,41,201022,3
817,20102,4,41,201022,4
818,20102,5,41,201022,5
819,20103,1,41,201032,1
820,20103,2,41,201032,2
821,20103,3,41,201032,3
822,20103,4,41,201032,4
823,20103,5,41,201032,5
824,20104,1,41,201042,1
825,20104,2,41,201042,2
826,20104,3,41,201042,3
827,20104,4,41,201042,4
828,20104,5,41,201042,5
829,20105,1,41,201052,1
830,20105,2,41,201052,2
831,20105,3,41,201052,3
832,20105,4,41,201052,4
833,20105,5,41,201052,5
834,20106,1,41,201062,1
835,20106,2,41,201062,2
836,20106,3,41,201062,3
837,20106,4,41,201062,4
838,20106,5,41,201062,5
839,20107,1,41,201072,1
840,20107,2,41,201072,2
841,20107,3,41,201072,3
842,20107,4,41,201072,4
843,20107,5,41,201072,5
844,20108,1,41,201082,1
845,20108,2,41,201082,2
846,20108,3,41,201082,3
847,20108,4,41,201082,4
848,20108,5,41,201082,5
849,20109,1,41,201092,1
850,20109,2,41,201092,2
851,20109,3,41,201092,3
852,20109,4,41,201092,4
853,20109,5,41,201092,5
854,20110,1,41,201102,1
855,20110,2,41,201102,2
856,20110,3,41,201102,3
857,20110,4,41,201102,4
858,20110,5,41,201102,5
859,20111,1,41,201112,1
860,20111,2,41,201112,2
861,20111,3,41,201112,3
862,20111,4,41,201112,4
863,20111,5,41,201112,5
864,20112,1,41,201122,1
865,20112,2,41,201122,2
866,20112,3,41,201122,3
867,20112,4,41,201122,4
868,20112,5,41,201122,5
869,20113,1,41,201132,1
870,20113,2,41,201132,2
871,20113,3,41,201132,3
872,20113,4,41,201132,4
873,20113,5,41,201132,5
874,20114,1,41,201142,1
875,20114,2,41,201142,2
876,20114,3,41,201142,3
877,20114,4,41,201142,4
878,20114,5,41,201142,5
879,20115,1,41,201152,1
880,20115,2,41,201152,2
881,20115,3,41,201152,3
882,20115,4,41,201152,4
883,20115,5,41,201152,5
884,20116,1,41,201162,1
885,20116,2,41,201162,2
886,20116,3,41,201162,3
887,20116,4,41,201162,4
888,20116,5,41,201162,5
889,20117,1,41,201172,1
890,20117,2,41,201172,2
891,20117,3,41,201172,3
892,20117,4,41,201172,4
893,20117,5,41,201172,5
894,20118,1,41,201182,1
895,20118,2,41,201182,2
896,20118,3,41,201182,3
897,20118,4,41,201182,4
898,20118,5,41,201182,5
899,20119,1,41,201192,1
900,20119,2,41,201192,2
901,20119,3,41,201192,3
902,20119,4,41,201192,4
903,20119,5,41,201192,5
904,20120,1,41,201202,1
905,20120,2,41,201202,2
906,20120,3,41,201202,3
907,20120,4,41,201202,4
908,20120,5,41,201202,5
909,20121,1,41,201212,1
910,20121,2,41,201212,2
911,20121,3,41,201212,3
912,20121,4,41,201212,4
913,20121,5,41,201212,5
914,20122,1,41,201222,1
915,20122,2,41,201222,2
916,20122,3,41,201222,3
917,20122,4,41,201222,4
918,20122,5,41,201222,5
919,20123,1,41,201232,1
920,20123,2,41,201232,2
921,20123,3,41,201232,3
922,20123,4,41,201232,4
923,20123,5,41,201232,5
924,20124,1,41,201242,1
925,20124,2,41,201242,2
926,20124,3,41,201242,3
927,20124,4,41,201242,4
928,20124,5,41,201242,5
929,20125,1,41,201252,1
930,20125,2,41,201252,2
931,20125,3,41,201252,3
932,20125,4,41,201252,4
933,20125,5,41,201252,5
934,20126,1,41,201262,1
935,20126,2,41,201262,2
936,20126,3,41,201262,3
937,20126,4,41,201262,4
938,20126,5,41,201262,5
939,20127,1,41,201272,1
940,20127,2,41,201272,2
941,20127,3,41,201272,3
942,20127,4,41,201272,4
943,20127,5,41,201272,5
944,20128,1,41,201282,1
945,20128,2,41,201282,2
946,20128,3,41,201282,3
947,20128,4,41,201282,4
948,20128,5,41,201282,5
949,20129,1,41,201292,1
950,20129,2,41,201292,2
951,20129,3,41,201292,3
952,20129,4,41,201292,4
953,20129,5,41,201292,5
954,20130,1,41,201302,1
955,20130,2,41,201302,2
956,20130,3,41,201302,3
957,20130,4,41,201302,4
958,20130,5,41,201302,5
959,20131,1,41,201312,1
960,20131,2,41,201312,2
961,20131,3,41,201312,3
962,20131,4,41,201312,4
963,20131,5,41,201312,5
964,20132,1,41,201322,1
965,20132,2,41,201322,2
966,20132,3,41,201322,3
967,20132,4,41,201322,4
968,20132,5,41,201322,5
969,20133,1,41,201332,1
970,20133,2,41,201332,2
971,20133,3,41,201332,3
972,20133,4,41,201332,4
973,20133,5,41,201332,5
974,20134,1,41,201342,1
975,20134,2,41,201342,2
976,20134,3,41,201342,3
977,20134,4,41,201342,4
978,20134,5,41,201342,5
979,20135,1,41,201352,1
980,20135,2,41,201352,2
981,20135,3,41,201352,3
982,20135,4,41,201352,4
983,20135,5,41,201352,5
984,20136,1,41,201362,1
985,20136,2,41,201362,2
986,20136,3,41,201362,3
987,20136,4,41,201362,4
988,20136,5,41,201362,5
989,20137,1,41,201372,1
990,20137,2,41,201372,2
991,20137,3,41,201372,3
992,20137,4,41,201372,4
993,20137,5,41,201372,5
994,20138,1,41,201382,1
995,20138,2,41,201382,2
996,20138,3,41,201382,3
997,20138,4,41,201382,4
998,20138,5,41,201382,5
999,20139,1,41,201392,1
1000,20139,2,41,201392,2
1001,20139,3,41,201392,3
1002,20139,4,41,201392,4
1003,20139,5,41,201392,5
1004,20140,1,41,201402,1
1005,20140,2,41,201402,2
1006,20140,3,41,201402,3
1007,20140,4,41,201402,4
1008,20140,5,41,201402,5
1009,20141,1,41,201412,1
1010,20141,2,41,201412,2
1011,20141,3,41,201412,3
1012,20141,4,41,201412,4
1013,20141,5,41,201412,5
1014,20142,1,41,201422,1
1015,20142,2,41,201422,2
1016,20142,3,41,201422,3
1017,20142,4,41,201422,4
1018,20142,5,41,201422,5
1019,20143,1,41,201432,1
1020,20143,2,41,201432,2
1021,20143,3,41,201432,3
1022,20143,4,41,201432,4
1023,20143,5,41,201432,5
1024,20144,1,41,201442,1
1025,20144,2,41,201442,2
1026,20144,3,41,201442,3
1027,20144,4,41,201442,4
1028,20144,5,41,201442,5
1029,20145,1,41,201452,1
1030,20145,2,41,201452,2
1031,20145,3,41,201452,3
1032,20145,4,41,201452,4
1033,20145,5,41,201452,5
1034,20146,1,41,201462,1
1035,20146,2,41,201462,2
1036,20146,3,41,201462,3
1037,20146,4,41,201462,4
1038,20146,5,41,201462,5
1039,20147,1,41,201472,1
1040,20147,2,41,201472,2
1041,20147,3,41,201472,3
1042,20147,4,41,201472,4
1043,20147,5,41,201472,5
1044,20148,1,41,201482,1
1045,20148,2,41,201482,2
1046,20148,3,41,201482,3
1047,20148,4,41,201482,4
1048,20148,5,41,201482,5
1049,20149,1,41,201492,1
1050,20149,2,41,201492,2
1051,20149,3,41,201492,3
1052,20149,4,41,201492,4
1053,20149,5,41,201492,5
1054,20150,1,41,201502,1
1055,20150,2,41,201502,2
1056,20150,3,41,201502,3
