id,cut_id,cut_sub_id,material_id,background_data_id,bg_position_custom,bg_position_x,reward_set_id,love_point
66,2,1,Concrete,319,1,70000,2,50
67,2,1,Flooring,424,0,0,2,50
68,1,1,Asphalt,474,0,0,3,50
69,1,1,Asphalt,318,0,0,3,50
70,1,1,Flooring,496,1,-170000,3,50
71,2,1,Flooring,509,0,0,2,50
72,2,1,Flooring,360,0,0,2,50
101,4,1,Asphalt,12,0,0,0,0
102,4,1,Asphalt,312,0,0,0,0
103,4,1,Flooring,3,0,0,0,0
104,4,1,Soil,283,0,0,0,0
105,4,1,Concrete,99,0,0,0,0
106,4,1,Flooring,1,0,0,0,0
107,4,1,Flooring,209,0,0,0,0
108,4,1,Asphalt,321,0,0,0,0
109,4,1,Asphalt,10,0,0,0,0
110,4,1,Soil,140,0,0,0,0
111,4,1,Flooring,4,0,0,0,0
112,4,1,Beach,114,0,0,0,0
113,4,1,Beach,451,0,0,0,0
114,4,1,Asphalt,14,0,0,0,0
115,4,1,Beach,236,0,0,0,0
116,4,1,Grass,126,0,0,0,0
117,4,1,Concrete,486,0,0,0,0
118,4,1,Flooring,117,0,0,0,0
119,4,1,Asphalt,441,0,0,0,0
120,4,1,Turf,147,0,0,0,0
121,4,1,Asphalt,18,0,0,0,0
122,4,1,Flooring,438,0,0,0,0
123,4,1,Flooring,371,0,0,0,0
124,4,1,Beach,452,0,0,0,0
125,4,1,Asphalt,318,0,0,0,0
126,4,1,Flooring,239,0,0,0,0
127,4,1,Flooring,368,0,0,0,0
128,4,1,Flooring,68,0,0,0,0
129,4,1,Flooring,196,0,0,0,0
130,4,1,Flooring,295,0,0,0,0
131,4,1,Soil,289,0,0,0,0
132,4,1,Turf,382,0,0,0,0
133,4,1,Soil,471,0,0,0,0
134,4,1,Flooring,381,0,0,0,0
135,4,1,Asphalt,170,0,0,0,0
136,4,1,Flooring,197,0,0,0,0
137,4,1,Flooring,344,0,0,0,0
138,4,1,Asphalt,158,0,0,0,0
139,4,1,Flooring,332,0,0,0,0
140,4,1,Asphalt,411,0,0,0,0
141,4,1,Asphalt,97,0,0,0,0
142,4,1,Asphalt,387,0,0,0,0
143,4,1,Flooring,334,0,0,0,0
144,4,1,Asphalt,15,0,0,0,0
145,4,1,Turf,282,0,0,0,0
146,4,1,Asphalt,311,0,0,0,0
147,4,1,Asphalt,19,0,0,0,0
148,4,1,Asphalt,22,0,0,0,0
149,4,1,Flooring,478,0,0,0,0
150,4,1,Asphalt,89,0,0,0,0
151,4,1,Asphalt,81,0,0,0,0
152,4,1,Asphalt,21,0,0,0,0
153,4,1,Flooring,424,0,0,0,0
154,4,1,Asphalt,422,0,0,0,0
155,4,1,Flooring,67,0,0,0,0
156,4,1,Asphalt,338,0,0,0,0
157,4,1,Asphalt,266,0,0,0,0
159,4,1,Asphalt,480,0,0,0,0
160,4,1,Asphalt,107,0,0,0,0
161,4,1,Flooring,346,0,0,0,0
162,4,1,Soil,309,0,0,0,0
163,4,1,Asphalt,87,0,0,0,0
164,4,1,Grass,430,0,0,0,0
165,4,1,Grass,324,0,0,0,0
166,4,1,Flooring,437,0,0,0,0
167,4,1,Turf,472,0,0,0,0
168,4,1,Soil,123,0,0,0,0
169,4,1,Concrete,486,0,0,0,0
170,4,1,Asphalt,496,0,0,0,0
