transfer_reward_id,transfer_detail_id,reward_rank,item_category,item_id,item_num,odds
80030102,8003,1,91,59,3000,1000000
80040101,8004,1,30,110,500,1000000
80040102,8004,1,91,59,3000,1000000
80050101,8005,1,30,110,300,1000000
80050102,8005,1,91,59,1500,1000000
80060101,8006,1,30,110,300,1000000
80060102,8006,1,91,59,1500,1000000
90010101,9001,1,102,0,5,1000000
90010102,9001,1,30,110,1000,1000000
90010103,9001,1,91,59,5000,1000000
90020101,9002,1,102,0,5,1000000
90020102,9002,1,30,110,1000,1000000
90020103,9002,1,91,59,5000,1000000
90030101,9003,1,30,110,500,1000000
90030102,9003,1,91,59,3000,1000000
90040101,9004,1,30,110,500,1000000
90040102,9004,1,91,59,3000,1000000
90050101,9005,1,30,110,300,1000000
90050102,9005,1,91,59,1500,1000000
90060101,9006,1,30,110,300,1000000
90060102,9006,1,91,59,1500,1000000
100010101,10001,1,102,0,5,1000000
100010102,10001,1,30,110,1000,1000000
100010103,10001,1,91,59,5000,1000000
100020101,10002,1,102,0,5,1000000
100020102,10002,1,30,110,1000,1000000
100020103,10002,1,91,59,5000,1000000
100030101,10003,1,30,110,500,1000000
100030102,10003,1,91,59,3000,1000000
100040101,10004,1,30,110,500,1000000
100040102,10004,1,91,59,3000,1000000
100050101,10005,1,30,110,300,1000000
100050102,10005,1,91,59,1500,1000000
100060101,10006,1,30,110,300,1000000
100060102,10006,1,91,59,1500,1000000
110010101,11001,1,102,0,5,1000000
110010102,11001,1,30,110,1000,1000000
110010103,11001,1,91,59,5000,1000000
110020101,11002,1,102,0,5,1000000
110020102,11002,1,30,110,1000,1000000
110020103,11002,1,91,59,5000,1000000
110030101,11003,1,30,110,500,1000000
110030102,11003,1,91,59,3000,1000000
110040101,11004,1,30,110,500,1000000
110040102,11004,1,91,59,3000,1000000
110050101,11005,1,30,110,300,1000000
110050102,11005,1,91,59,1500,1000000
110060101,11006,1,30,110,300,1000000
110060102,11006,1,91,59,1500,1000000
120010101,12001,1,102,0,5,1000000
120010102,12001,1,30,110,1000,1000000
120010103,12001,1,91,59,5000,1000000
120020101,12002,1,102,0,5,1000000
120020102,12002,1,30,110,1000,1000000
120020103,12002,1,91,59,5000,1000000
120030101,12003,1,30,110,500,1000000
120030102,12003,1,91,59,3000,1000000
120040101,12004,1,30,110,500,1000000
120040102,12004,1,91,59,3000,1000000
120050101,12005,1,30,110,300,1000000
120050102,12005,1,91,59,1500,1000000
120060101,12006,1,30,110,300,1000000
120060102,12006,1,91,59,1500,1000000
130010101,13001,1,11,163,1,1000000
130010102,13001,1,11,160,2,1000000
130010103,13001,1,20,174,1,1000000
130020101,13002,1,102,0,5,1000000
130020102,13002,1,30,110,1000,1000000
130020103,13002,1,91,59,5000,1000000
130020104,13002,1,20,174,1,1000000
130030101,13003,1,102,0,5,1000000
130030102,13003,1,30,110,1000,1000000
130030103,13003,1,91,59,5000,1000000
130030104,13003,1,20,174,1,1000000
130040101,13004,1,30,110,500,1000000
130040102,13004,1,91,59,3000,1000000
130050101,13005,1,30,110,500,1000000
130050102,13005,1,91,59,3000,1000000
130060101,13006,1,11,162,2,1000000
130060102,13006,1,11,161,2,1000000
130060103,13006,1,20,174,1,1000000
130070101,13007,1,102,0,5,1000000
130070102,13007,1,30,110,1000,1000000
130070103,13007,1,91,59,5000,1000000
130070104,13007,1,20,174,1,1000000
130080101,13008,1,102,0,5,1000000
130080102,13008,1,30,110,1000,1000000
130080103,13008,1,91,59,5000,1000000
130080104,13008,1,20,174,1,1000000
130090101,13009,1,30,110,500,1000000
130090102,13009,1,91,59,3000,1000000
130100101,13010,1,30,110,500,1000000
130100102,13010,1,91,59,3000,1000000
130110101,13011,1,11,163,1,1000000
130110102,13011,1,11,160,2,1000000
130110103,13011,1,20,174,1,1000000
130120101,13012,1,102,0,5,1000000
130120102,13012,1,30,110,1000,1000000
130120103,13012,1,91,59,5000,1000000
130120104,13012,1,20,174,1,1000000
130130101,13013,1,102,0,5,1000000
130130102,13013,1,30,110,1000,1000000
130130103,13013,1,91,59,5000,1000000
130130104,13013,1,20,174,1,1000000
130140101,13014,1,30,110,500,1000000
130140102,13014,1,91,59,3000,1000000
130150101,13015,1,30,110,500,1000000
130150102,13015,1,91,59,3000,1000000
140010101,14001,1,102,0,5,1000000
140010102,14001,1,30,110,1000,1000000
140010103,14001,1,91,59,5000,1000000
140020101,14002,1,102,0,5,1000000
140020102,14002,1,30,110,1000,1000000
140020103,14002,1,91,59,5000,1000000
140030101,14003,1,102,0,5,1000000
140030102,14003,1,30,110,1000,1000000
140030103,14003,1,91,59,5000,1000000
140040101,14004,1,30,110,500,1000000
140040102,14004,1,91,59,3000,1000000
140050101,14005,1,30,110,500,1000000
140050102,14005,1,91,59,3000,1000000
140060101,14006,1,30,110,500,1000000
140060102,14006,1,91,59,3000,1000000
140070101,14007,1,30,110,300,1000000
140070102,14007,1,91,59,1500,1000000
140080101,14008,1,30,110,300,1000000
140080102,14008,1,91,59,1500,1000000
140090101,14009,1,30,110,300,1000000
140090102,14009,1,91,59,1500,1000000
150010101,15001,1,102,0,5,1000000
150010102,15001,1,30,110,1000,1000000
150010103,15001,1,91,59,5000,1000000
150020101,15002,1,102,0,5,1000000
150020102,15002,1,30,110,1000,1000000
150020103,15002,1,91,59,5000,1000000
150030101,15003,1,30,110,500,1000000
150030102,15003,1,91,59,3000,1000000
150040101,15004,1,30,110,500,1000000
150040102,15004,1,91,59,3000,1000000
150050101,15005,1,30,110,300,1000000
150050102,15005,1,91,59,1500,1000000
150060101,15006,1,30,110,300,1000000
150060102,15006,1,91,59,1500,1000000
160010101,16001,1,102,0,5,1000000
160010102,16001,1,30,110,1000,1000000
160010103,16001,1,91,59,5000,1000000
160020101,16002,1,102,0,5,1000000
160020102,16002,1,30,110,1000,1000000
160020103,16002,1,91,59,5000,1000000
160030101,16003,1,30,110,500,1000000
160030102,16003,1,91,59,3000,1000000
160040101,16004,1,30,110,500,1000000
160040102,16004,1,91,59,3000,1000000
160050101,16005,1,30,110,300,1000000
160050102,16005,1,91,59,1500,1000000
160060101,16006,1,30,110,300,1000000
160060102,16006,1,91,59,1500,1000000
170010101,17001,1,102,0,5,1000000
170010102,17001,1,30,110,1000,1000000
170010103,17001,1,91,59,5000,1000000
170020101,17002,1,102,0,5,1000000
170020102,17002,1,30,110,1000,1000000
170020103,17002,1,91,59,5000,1000000
170030101,17003,1,30,110,500,1000000
170030102,17003,1,91,59,3000,1000000
170040101,17004,1,30,110,500,1000000
170040102,17004,1,91,59,3000,1000000
170050101,17005,1,30,110,300,1000000
170050102,17005,1,91,59,1500,1000000
170060101,17006,1,30,110,300,1000000
170060102,17006,1,91,59,1500,1000000
180010101,18001,1,102,0,5,1000000
180010102,18001,1,30,110,1000,1000000
180010103,18001,1,91,59,5000,1000000
180020101,18002,1,102,0,5,1000000
180020102,18002,1,30,110,1000,1000000
180020103,18002,1,91,59,5000,1000000
180030101,18003,1,30,110,500,1000000
180030102,18003,1,91,59,3000,1000000
180040101,18004,1,30,110,500,1000000
180040102,18004,1,91,59,3000,1000000
180050101,18005,1,30,110,300,1000000
180050102,18005,1,91,59,1500,1000000
180060101,18006,1,30,110,300,1000000
180060102,18006,1,91,59,1500,1000000
190010101,19001,1,102,0,5,1000000
190010102,19001,1,30,110,1000,1000000
190010103,19001,1,91,59,5000,1000000
190020101,19002,1,102,0,5,1000000
190020102,19002,1,30,110,1000,1000000
190020103,19002,1,91,59,5000,1000000
190030101,19003,1,30,110,500,1000000
190030102,19003,1,91,59,3000,1000000
190040101,19004,1,30,110,500,1000000
190040102,19004,1,91,59,3000,1000000
190050101,19005,1,30,110,300,1000000
190050102,19005,1,91,59,1500,1000000
190060101,19006,1,30,110,300,1000000
190060102,19006,1,91,59,1500,1000000
200010101,20001,1,11,163,1,1000000
200010102,20001,1,11,160,2,1000000
200010103,20001,1,20,174,1,1000000
200020101,20002,1,102,0,5,1000000
200020102,20002,1,30,110,1000,1000000
200020103,20002,1,91,59,5000,1000000
200020104,20002,1,20,174,1,1000000
200030101,20003,1,102,0,5,1000000
200030102,20003,1,30,110,1000,1000000
200030103,20003,1,91,59,5000,1000000
200030104,20003,1,20,174,1,1000000
200040101,20004,1,30,110,500,1000000
200040102,20004,1,91,59,3000,1000000
200050101,20005,1,30,110,500,1000000
200050102,20005,1,91,59,3000,1000000
200060101,20006,1,11,162,2,1000000
200060102,20006,1,11,161,2,1000000
200060103,20006,1,20,174,1,1000000
200070101,20007,1,102,0,5,1000000
200070102,20007,1,30,110,1000,1000000
200070103,20007,1,91,59,5000,1000000
200070104,20007,1,20,174,1,1000000
200080101,20008,1,102,0,5,1000000
200080102,20008,1,30,110,1000,1000000
200080103,20008,1,91,59,5000,1000000
200080104,20008,1,20,174,1,1000000
200090101,20009,1,30,110,500,1000000
200090102,20009,1,91,59,3000,1000000
200100101,20010,1,30,110,500,1000000
200100102,20010,1,91,59,3000,1000000
200110101,20011,1,11,163,1,1000000
200110102,20011,1,11,160,2,1000000
200110103,20011,1,20,174,1,1000000
200120101,20012,1,102,0,5,1000000
200120102,20012,1,30,110,1000,1000000
200120103,20012,1,91,59,5000,1000000
200120104,20012,1,20,174,1,1000000
200140101,20014,1,30,110,500,1000000
200140102,20014,1,91,59,3000,1000000
200150101,20015,1,30,110,500,1000000
200150102,20015,1,91,59,3000,1000000
200200101,20013,1,102,0,5,1000000
200200102,20013,1,30,110,1000,1000000
200200103,20013,1,91,59,5000,1000000
200200104,20013,1,20,174,1,1000000
