id,square_title_text_id,square_content_text_id,master_bonus_id,square_type,perf_type_1,perf_value_1,perf_type_2,perf_value_2,perf_type_3,perf_value_3,perf_type_4,perf_value_4,perf_type_5,perf_value_5
11208,11206,11206,11206,1,2,24,0,0,0,0,0,0,0,0
11209,11206,11206,11206,1,3,24,0,0,0,0,0,0,0,0
11210,11206,11206,11206,1,5,24,0,0,0,0,0,0,0,0
12001,12001,12001,12001,1,1,8,0,0,0,0,0,0,0,0
12002,12002,12002,12002,1,2,8,0,0,0,0,0,0,0,0
12003,12003,12003,12003,1,3,8,0,0,0,0,0,0,0,0
12004,12004,12004,12004,1,4,8,0,0,0,0,0,0,0,0
12005,12005,12005,12005,1,5,8,0,0,0,0,0,0,0,0
12006,12006,12006,12006,1,2,8,0,0,0,0,0,0,0,0
12101,12101,12101,12101,1,1,12,0,0,0,0,0,0,0,0
12102,12102,12102,12102,1,2,12,0,0,0,0,0,0,0,0
12103,12103,12103,12103,1,3,12,0,0,0,0,0,0,0,0
12104,12104,12104,12104,1,4,12,0,0,0,0,0,0,0,0
12105,12105,12105,12105,1,5,12,0,0,0,0,0,0,0,0
12106,12106,12106,12106,1,4,12,0,0,0,0,0,0,0,0
12201,12201,12201,12201,1,1,18,0,0,0,0,0,0,0,0
12202,12202,12202,12202,1,2,18,0,0,0,0,0,0,0,0
12203,12203,12203,12203,1,3,18,0,0,0,0,0,0,0,0
12204,12204,12204,12204,1,4,18,0,0,0,0,0,0,0,0
12205,12205,12205,12205,1,5,18,0,0,0,0,0,0,0,0
12206,12206,12206,12206,1,5,18,0,0,0,0,0,0,0,0
13001,13001,13001,13001,1,1,8,2,8,0,0,0,0,0,0
13002,13002,13002,13002,1,1,8,3,8,0,0,0,0,0,0
13003,13003,13003,13003,1,1,8,4,8,0,0,0,0,0,0
13004,13004,13004,13004,1,1,8,5,8,0,0,0,0,0,0
13005,13005,13005,13005,1,1,10,4,6,0,0,0,0,0,0
13006,13006,13006,13006,1,2,8,3,8,0,0,0,0,0,0
13007,13007,13007,13007,1,2,8,4,8,0,0,0,0,0,0
13008,13008,13008,13008,1,2,8,5,8,0,0,0,0,0,0
13009,13009,13009,13009,1,2,10,3,6,0,0,0,0,0,0
13010,13010,13010,13010,1,3,8,4,8,0,0,0,0,0,0
13011,13011,13011,13011,1,3,8,5,8,0,0,0,0,0,0
13012,13012,13012,13012,1,3,10,5,6,0,0,0,0,0,0
13013,13013,13013,13013,1,4,8,5,8,0,0,0,0,0,0
13014,13014,13014,13014,1,1,6,4,10,0,0,0,0,0,0
13015,13015,13015,13015,1,2,6,5,10,0,0,0,0,0,0
13101,13101,13101,13101,1,1,12,2,12,0,0,0,0,0,0
13102,13102,13102,13102,1,1,12,3,12,0,0,0,0,0,0
13103,13103,13103,13103,1,1,12,4,12,0,0,0,0,0,0
13104,13104,13104,13104,1,1,12,5,12,0,0,0,0,0,0
13105,13105,13105,13105,1,1,14,4,10,0,0,0,0,0,0
13106,13106,13106,13106,1,2,12,3,12,0,0,0,0,0,0
13107,13107,13107,13107,1,2,12,4,12,0,0,0,0,0,0
13108,13108,13108,13108,1,2,12,5,12,0,0,0,0,0,0
13109,13109,13109,13109,1,2,14,3,10,0,0,0,0,0,0
13110,13110,13110,13110,1,3,12,4,12,0,0,0,0,0,0
13111,13111,13111,13111,1,3,12,5,12,0,0,0,0,0,0
13112,13112,13112,13112,1,3,14,5,10,0,0,0,0,0,0
13113,13113,13113,13113,1,4,12,5,12,0,0,0,0,0,0
13114,13114,13114,13114,1,1,10,4,14,0,0,0,0,0,0
13115,13115,13115,13115,1,2,10,5,14,0,0,0,0,0,0
13201,13201,13201,13201,1,1,16,2,16,0,0,0,0,0,0
13202,13202,13202,13202,1,1,16,3,16,0,0,0,0,0,0
13203,13203,13203,13203,1,1,16,4,16,0,0,0,0,0,0
13204,13204,13204,13204,1,1,16,5,16,0,0,0,0,0,0
13205,13205,13205,13205,1,1,20,4,12,0,0,0,0,0,0
13206,13206,13206,13206,1,2,16,3,16,0,0,0,0,0,0
13207,13207,13207,13207,1,2,16,4,16,0,0,0,0,0,0
13208,13208,13208,13208,1,2,16,5,16,0,0,0,0,0,0
13209,13209,13209,13209,1,2,20,3,12,0,0,0,0,0,0
13210,13210,13210,13210,1,3,16,4,16,0,0,0,0,0,0
13211,13211,13211,13211,1,3,16,5,16,0,0,0,0,0,0
13212,13212,13212,13212,1,3,20,5,12,0,0,0,0,0,0
13213,13213,13213,13213,1,4,16,5,16,0,0,0,0,0,0
13214,13214,13214,13214,1,1,12,4,20,0,0,0,0,0,0
13215,13215,13215,13215,1,2,12,5,20,0,0,0,0,0,0
20000,20000,20000,20000,2,1,15,0,0,0,0,0,0,0,0
20001,20000,20000,20000,2,2,15,0,0,0,0,0,0,0,0
20002,20000,20000,20000,2,3,15,0,0,0,0,0,0,0,0
20003,20000,20000,20000,2,4,15,0,0,0,0,0,0,0,0
20004,20000,20000,20000,2,5,15,0,0,0,0,0,0,0,0
20005,20001,20001,20001,2,1,15,0,0,0,0,0,0,0,0
20006,20001,20001,20001,2,2,15,0,0,0,0,0,0,0,0
20007,20001,20001,20001,2,3,15,0,0,0,0,0,0,0,0
20008,20001,20001,20001,2,4,15,0,0,0,0,0,0,0,0
20009,20001,20001,20001,2,5,15,0,0,0,0,0,0,0,0
20010,20002,20002,20002,2,1,15,0,0,0,0,0,0,0,0
20011,20002,20002,20002,2,2,15,0,0,0,0,0,0,0,0
20012,20002,20002,20002,2,3,15,0,0,0,0,0,0,0,0
20013,20002,20002,20002,2,4,15,0,0,0,0,0,0,0,0
20014,20002,20002,20002,2,5,15,0,0,0,0,0,0,0,0
20015,20003,20003,20003,2,1,15,0,0,0,0,0,0,0,0
20016,20003,20003,20003,2,2,15,0,0,0,0,0,0,0,0
20017,20003,20003,20003,2,3,15,0,0,0,0,0,0,0,0
20018,20003,20003,20003,2,4,15,0,0,0,0,0,0,0,0
20019,20003,20003,20003,2,5,15,0,0,0,0,0,0,0,0
20020,20004,20004,20004,2,1,15,0,0,0,0,0,0,0,0
20021,20004,20004,20004,2,2,15,0,0,0,0,0,0,0,0
20022,20004,20004,20004,2,3,15,0,0,0,0,0,0,0,0
20023,20004,20004,20004,2,4,15,0,0,0,0,0,0,0,0
20024,20004,20004,20004,2,5,15,0,0,0,0,0,0,0,0
20025,20005,20005,20005,2,1,15,0,0,0,0,0,0,0,0
20026,20005,20005,20005,2,2,15,0,0,0,0,0,0,0,0
20027,20005,20005,20005,2,3,15,0,0,0,0,0,0,0,0
20028,20005,20005,20005,2,4,15,0,0,0,0,0,0,0,0
20029,20005,20005,20005,2,5,15,0,0,0,0,0,0,0,0
20030,20006,20006,20006,2,1,15,0,0,0,0,0,0,0,0
20031,20006,20006,20006,2,2,15,0,0,0,0,0,0,0,0
20032,20006,20006,20006,2,3,15,0,0,0,0,0,0,0,0
20033,20006,20006,20006,2,4,15,0,0,0,0,0,0,0,0
20034,20006,20006,20006,2,5,15,0,0,0,0,0,0,0,0
20035,20007,20007,20007,2,1,15,0,0,0,0,0,0,0,0
20036,20007,20007,20007,2,2,15,0,0,0,0,0,0,0,0
20037,20007,20007,20007,2,3,15,0,0,0,0,0,0,0,0
20038,20007,20007,20007,2,4,15,0,0,0,0,0,0,0,0
20039,20007,20007,20007,2,5,15,0,0,0,0,0,0,0,0
20040,20008,20008,20008,2,1,15,0,0,0,0,0,0,0,0
20041,20008,20008,20008,2,2,15,0,0,0,0,0,0,0,0
20042,20008,20008,20008,2,3,15,0,0,0,0,0,0,0,0
20043,20008,20008,20008,2,4,15,0,0,0,0,0,0,0,0
20044,20008,20008,20008,2,5,15,0,0,0,0,0,0,0,0
20045,20009,20009,20009,2,1,15,0,0,0,0,0,0,0,0
20046,20009,20009,20009,2,2,15,0,0,0,0,0,0,0,0
20047,20009,20009,20009,2,3,15,0,0,0,0,0,0,0,0
20048,20009,20009,20009,2,4,15,0,0,0,0,0,0,0,0
20049,20009,20009,20009,2,5,15,0,0,0,0,0,0,0,0
20050,20010,20010,20010,2,1,25,0,0,0,0,0,0,0,0
20051,20010,20010,20010,2,2,25,0,0,0,0,0,0,0,0
20052,20010,20010,20010,2,3,25,0,0,0,0,0,0,0,0
20053,20010,20010,20010,2,4,25,0,0,0,0,0,0,0,0
20054,20010,20010,20010,2,5,25,0,0,0,0,0,0,0,0
20055,20011,20011,20011,2,1,25,0,0,0,0,0,0,0,0
20056,20011,20011,20011,2,2,25,0,0,0,0,0,0,0,0
20057,20011,20011,20011,2,3,25,0,0,0,0,0,0,0,0
20058,20011,20011,20011,2,4,25,0,0,0,0,0,0,0,0
20059,20011,20011,20011,2,5,25,0,0,0,0,0,0,0,0
20060,20012,20012,20012,2,1,25,0,0,0,0,0,0,0,0
20061,20012,20012,20012,2,2,25,0,0,0,0,0,0,0,0
20062,20012,20012,20012,2,3,25,0,0,0,0,0,0,0,0
20063,20012,20012,20012,2,4,25,0,0,0,0,0,0,0,0
20064,20012,20012,20012,2,5,25,0,0,0,0,0,0,0,0
20065,20013,20013,20013,2,1,25,0,0,0,0,0,0,0,0
20066,20013,20013,20013,2,2,25,0,0,0,0,0,0,0,0
20067,20013,20013,20013,2,3,25,0,0,0,0,0,0,0,0
20068,20013,20013,20013,2,4,25,0,0,0,0,0,0,0,0
20069,20013,20013,20013,2,5,25,0,0,0,0,0,0,0,0
20070,20014,20014,20014,2,1,25,0,0,0,0,0,0,0,0
20071,20014,20014,20014,2,2,25,0,0,0,0,0,0,0,0
20072,20014,20014,20014,2,3,25,0,0,0,0,0,0,0,0
20073,20014,20014,20014,2,4,25,0,0,0,0,0,0,0,0
20074,20014,20014,20014,2,5,25,0,0,0,0,0,0,0,0
20075,20015,20015,20015,2,1,25,0,0,0,0,0,0,0,0
20076,20015,20015,20015,2,2,25,0,0,0,0,0,0,0,0
20077,20015,20015,20015,2,3,25,0,0,0,0,0,0,0,0
20078,20015,20015,20015,2,4,25,0,0,0,0,0,0,0,0
20079,20015,20015,20015,2,5,25,0,0,0,0,0,0,0,0
20080,20016,20016,20016,2,1,25,0,0,0,0,0,0,0,0
20081,20016,20016,20016,2,2,25,0,0,0,0,0,0,0,0
20082,20016,20016,20016,2,3,25,0,0,0,0,0,0,0,0
20083,20016,20016,20016,2,4,25,0,0,0,0,0,0,0,0
20084,20016,20016,20016,2,5,25,0,0,0,0,0,0,0,0
20085,20017,20017,20017,2,1,25,0,0,0,0,0,0,0,0
20086,20017,20017,20017,2,2,25,0,0,0,0,0,0,0,0
20087,20017,20017,20017,2,3,25,0,0,0,0,0,0,0,0
20088,20017,20017,20017,2,4,25,0,0,0,0,0,0,0,0
20089,20017,20017,20017,2,5,25,0,0,0,0,0,0,0,0
20090,20018,20018,20018,2,1,25,0,0,0,0,0,0,0,0
20091,20018,20018,20018,2,2,25,0,0,0,0,0,0,0,0
20092,20018,20018,20018,2,3,25,0,0,0,0,0,0,0,0
20093,20018,20018,20018,2,4,25,0,0,0,0,0,0,0,0
20094,20018,20018,20018,2,5,25,0,0,0,0,0,0,0,0
20095,20019,20019,20019,2,1,30,0,0,0,0,0,0,0,0
20096,20019,20019,20019,2,2,30,0,0,0,0,0,0,0,0
20097,20019,20019,20019,2,3,30,0,0,0,0,0,0,0,0
20098,20019,20019,20019,2,4,30,0,0,0,0,0,0,0,0
20099,20019,20019,20019,2,5,30,0,0,0,0,0,0,0,0
20100,20020,20020,20020,2,1,30,0,0,0,0,0,0,0,0
20101,20020,20020,20020,2,2,30,0,0,0,0,0,0,0,0
20102,20020,20020,20020,2,3,30,0,0,0,0,0,0,0,0
20103,20020,20020,20020,2,4,30,0,0,0,0,0,0,0,0
20104,20020,20020,20020,2,5,30,0,0,0,0,0,0,0,0
20105,20021,20021,20021,2,1,30,0,0,0,0,0,0,0,0
20106,20021,20021,20021,2,2,30,0,0,0,0,0,0,0,0
20107,20021,20021,20021,2,3,30,0,0,0,0,0,0,0,0
20108,20021,20021,20021,2,4,30,0,0,0,0,0,0,0,0
20109,20021,20021,20021,2,5,30,0,0,0,0,0,0,0,0
20110,20022,20022,20022,2,1,30,0,0,0,0,0,0,0,0
20111,20022,20022,20022,2,2,30,0,0,0,0,0,0,0,0
20112,20022,20022,20022,2,3,30,0,0,0,0,0,0,0,0
20113,20022,20022,20022,2,4,30,0,0,0,0,0,0,0,0
20114,20022,20022,20022,2,5,30,0,0,0,0,0,0,0,0
20115,20023,20023,20023,2,1,30,0,0,0,0,0,0,0,0
20116,20023,20023,20023,2,2,30,0,0,0,0,0,0,0,0
20117,20023,20023,20023,2,3,30,0,0,0,0,0,0,0,0
20118,20023,20023,20023,2,4,30,0,0,0,0,0,0,0,0
20119,20023,20023,20023,2,5,30,0,0,0,0,0,0,0,0
20120,20024,20024,20024,2,1,30,0,0,0,0,0,0,0,0
20121,20024,20024,20024,2,2,30,0,0,0,0,0,0,0,0
20122,20024,20024,20024,2,3,30,0,0,0,0,0,0,0,0
20123,20024,20024,20024,2,4,30,0,0,0,0,0,0,0,0
20124,20024,20024,20024,2,5,30,0,0,0,0,0,0,0,0
20125,20025,20025,20025,2,1,30,0,0,0,0,0,0,0,0
20126,20025,20025,20025,2,2,30,0,0,0,0,0,0,0,0
20127,20025,20025,20025,2,3,30,0,0,0,0,0,0,0,0
20128,20025,20025,20025,2,4,30,0,0,0,0,0,0,0,0
20129,20025,20025,20025,2,5,30,0,0,0,0,0,0,0,0
20130,20026,20026,20026,2,1,30,0,0,0,0,0,0,0,0
20131,20026,20026,20026,2,2,30,0,0,0,0,0,0,0,0
20132,20026,20026,20026,2,3,30,0,0,0,0,0,0,0,0
20133,20026,20026,20026,2,4,30,0,0,0,0,0,0,0,0
20134,20026,20026,20026,2,5,30,0,0,0,0,0,0,0,0
20135,20027,20027,20027,2,1,30,0,0,0,0,0,0,0,0
20136,20027,20027,20027,2,2,30,0,0,0,0,0,0,0,0
20137,20027,20027,20027,2,3,30,0,0,0,0,0,0,0,0
20138,20027,20027,20027,2,4,30,0,0,0,0,0,0,0,0
20139,20027,20027,20027,2,5,30,0,0,0,0,0,0,0,0
30000,30000,30000,30000,3,5,25,0,0,0,0,0,0,0,0
30001,30001,30001,30001,3,5,30,0,0,0,0,0,0,0,0
30002,30002,30002,30002,3,5,35,0,0,0,0,0,0,0,0
30003,30000,30000,30000,3,4,25,0,0,0,0,0,0,0,0
30004,30001,30001,30001,3,4,30,0,0,0,0,0,0,0,0
30005,30002,30002,30002,3,4,35,0,0,0,0,0,0,0,0
30006,30000,30000,30000,3,3,25,0,0,0,0,0,0,0,0
30007,30001,30001,30001,3,3,30,0,0,0,0,0,0,0,0
30008,30002,30002,30002,3,3,35,0,0,0,0,0,0,0,0
30009,30000,30000,30000,3,2,25,0,0,0,0,0,0,0,0
30010,30001,30001,30001,3,2,30,0,0,0,0,0,0,0,0
30011,30002,30002,30002,3,2,35,0,0,0,0,0,0,0,0
30012,30000,30000,30000,3,1,25,0,0,0,0,0,0,0,0
30013,30001,30001,30001,3,1,30,0,0,0,0,0,0,0,0
30014,30002,30002,30002,3,1,35,0,0,0,0,0,0,0,0
40000,40000,40000,40000,4,2,21,4,21,0,0,0,0,0,0
40001,40001,40001,40001,4,3,32,5,12,0,0,0,0,0,0
40002,40002,40002,40002,4,1,32,4,12,0,0,0,0,0,0
40003,40003,40003,40003,4,1,14,4,16,5,14,0,0,0,0
40004,40004,40004,40004,4,1,21,3,21,5,21,0,0,0,0
40005,40005,40005,40005,4,2,42,5,21,0,0,0,0,0,0
40006,40006,40006,40006,4,3,21,5,21,0,0,0,0,0,0
40007,40007,40007,40007,4,2,21,5,21,0,0,0,0,0,0
40008,40008,40008,40008,4,3,21,5,42,0,0,0,0,0,0
40009,40009,40009,40009,4,1,21,4,21,0,0,0,0,0,0
40010,40010,40010,40010,4,2,21,4,21,0,0,0,0,0,0
40011,40011,40011,40011,4,1,21,4,42,0,0,0,0,0,0
40012,40012,40012,40012,4,2,32,3,12,0,0,0,0,0,0
40013,40013,40013,40013,4,1,42,4,21,0,0,0,0,0,0
40014,40014,40014,40014,4,1,12,4,32,0,0,0,0,0,0
40015,40015,40015,40015,4,2,22,5,22,0,0,0,0,0,0
40016,40016,40016,40016,4,3,22,5,22,0,0,0,0,0,0
40017,40017,40017,40017,4,2,42,3,21,0,0,0,0,0,0
40018,40018,40018,40018,4,1,26,4,42,0,0,0,0,0,0
40019,40019,40019,40019,4,1,42,4,26,0,0,0,0,0,0
40020,40020,40020,40020,4,1,21,4,21,0,0,0,0,0,0
